"Date","MJN","Price"
2011-04-08,31,59
2011-04-15,24,60.92
2011-04-29,22,66.88
2011-05-06,23,66.4
2011-05-13,29,68.3
2011-05-20,41,67.3
2011-05-27,44,68.37
2011-06-03,34,66.5
2011-06-10,29,63.89
2011-06-17,28,64.96
2011-06-24,31,65.37
2011-07-01,33,69.04
2011-07-08,44,69.15
2011-07-15,44,69.27
2011-07-22,37,69.08
2011-07-29,32,71.37
2011-08-05,30,68.92
2011-08-12,30,69.18
2011-08-19,45,66.73
2011-08-26,40,68.13
2011-09-02,38,70.21
2011-09-09,43,70.14
2011-09-16,41,76.09
2011-09-23,35,74.45
2011-09-30,42,68.83
2011-10-07,32,71.17
2011-10-14,37,74.07
2011-10-21,32,72.8
2011-10-28,35,73.4
2011-11-04,31,71.26
2011-11-11,40,71.9
2011-11-18,36,70.64
2011-11-25,37,70.99
2011-12-02,54,74.91
2011-12-09,33,75.12
2011-12-16,41,72.92
2011-12-23,50,65.29
2011-12-30,44,68.73
2012-01-06,56,71.15
2012-01-13,46,71.75
2012-01-20,44,73.79
2012-01-27,42,74.03
2012-02-03,38,75.23
2012-02-10,42,74.19
2012-02-17,43,75.51
2012-02-24,100,78.02
2012-03-02,79,78.26
2012-03-09,52,79.42
2012-03-16,45,79.76
2012-03-23,42,81.92
2012-03-30,45,82.48
2012-04-13,43,83.1
2012-04-20,37,84.05
2012-04-27,42,85.97
2012-05-04,43,84.36
2012-05-11,38,83.22
2012-05-18,53,81
2012-05-25,53,83.02
2012-06-01,33,78.15
2012-06-08,43,81.45
2012-06-15,47,85.32
2012-06-22,38,88.64
2012-06-29,39,80.51
2012-07-06,38,80.02
2012-07-13,41,77.02
2012-07-20,54,74.08
2012-07-27,65,72.02
2012-08-03,61,73.84
2012-08-10,49,73
2012-08-17,39,72.93
2012-08-24,39,72.81
2012-08-31,38,73.33
2012-09-07,37,75.98
2012-09-14,32,75.16
2012-09-21,34,77.57
2012-09-28,31,73.28
2012-10-05,32,72.6
2012-10-12,43,70.61
2012-10-19,45,70.22
2012-10-26,39,62
2012-11-02,37,64.97
2012-11-09,32,65.7
2012-11-16,32,65.97
2012-11-23,45,67.4
2012-11-30,37,68.19
2012-12-07,40,66.82
2012-12-14,40,65.86
2012-12-21,39,65.73
2012-12-28,37,65.11
2013-01-04,44,69.99
2013-01-11,44,69.16
2013-01-18,38,66.8
2013-01-25,31,70.03
2013-02-01,33,75.05
2013-02-08,41,77.51
2013-02-15,31,78.95
2013-02-22,41,78.96
2013-03-01,43,75.27
2013-03-08,36,74.93
2013-03-15,35,73.35
2013-03-22,40,75.81
2013-04-05,39,75.76
2013-04-12,37,77.51
2013-04-19,39,81.13
2013-04-26,36,79.97
2013-05-03,38,80.72
2013-05-10,42,78.97
2013-05-17,42,80.47
2013-05-24,34,84.44
2013-05-31,37,81.07
2013-06-07,43,82.63
2013-06-14,40,81.35
2013-06-21,38,78.25
2013-06-28,31,79.23
2013-07-05,37,69.33
2013-07-12,37,74.27
2013-07-19,35,73.3
2013-07-26,39,73.68
2013-08-02,41,76
2013-08-09,39,77.84
2013-08-16,41,76.11
2013-08-23,34,76.95
2013-08-30,32,75.03
2013-09-06,32,74.76
2013-09-13,40,75.64
2013-09-20,33,77.47
2013-09-27,34,75.24
2013-10-04,28,75.12
2013-10-11,31,76.73
2013-10-18,33,78.81
2013-10-25,44,81.09
2013-11-01,31,81.95
2013-11-08,42,80.48
2013-11-15,38,84.85
2013-11-22,33,84.09
2013-11-29,27,84.51
2013-12-06,27,85.58
2013-12-13,38,83.16
2013-12-20,29,82.89
2013-12-27,31,82.95
2014-01-03,26,83.44
2014-01-10,30,83.83
2014-01-17,28,82.28
2014-01-24,32,78.29
2014-01-31,33,76.89
2014-02-07,23,75.95
2014-02-14,32,77.67
2014-02-21,29,80.9
2014-02-28,31,81.55
2014-03-07,31,83.18
2014-03-14,36,82.2
2014-03-21,30,82.09
2014-03-28,28,83
2014-04-04,36,85.11
2014-04-11,31,82.2
2014-04-25,36,87.1
