"Date","SJM","Price"
2007-07-13,32,63.49
2007-07-20,24,57.93
2007-07-27,27,56.22
2007-08-03,23,55.98
2007-08-10,23,56.71
2007-08-17,21,56.68
2007-08-24,30,56.07
2007-08-31,25,55.01
2007-09-07,22,54.91
2007-09-14,26,53.62
2007-09-21,29,54.43
2007-09-28,21,53.42
2007-10-05,22,54.34
2007-10-12,26,53.37
2007-10-19,22,52
2007-10-26,23,53.24
2007-11-02,26,50.74
2007-11-09,31,52.2
2007-11-16,26,52.49
2007-11-23,30,50.61
2007-11-30,32,49.13
2007-12-07,32,52.1
2007-12-14,36,50.08
2007-12-21,25,50.7
2007-12-28,23,51.29
2008-01-04,27,49.09
2008-01-11,32,48.07
2008-01-18,27,45.04
2008-01-25,28,45.04
2008-02-01,31,48.55
2008-02-08,29,47.54
2008-02-15,34,50.26
2008-02-22,26,50.5
2008-02-29,25,51.19
2008-03-07,20,49.44
2008-03-14,25,50.83
2008-03-28,25,50.8
2008-04-04,25,51.17
2008-04-11,34,48.28
2008-04-18,33,50.61
2008-04-25,31,49.53
2008-05-02,52,50.42
2008-05-09,48,50.81
2008-05-16,39,51.69
2008-05-23,36,51.6
2008-05-30,35,52.79
2008-06-06,39,52.06
2008-06-13,36,51.71
2008-06-20,41,44.7
2008-06-27,48,41.38
2008-07-11,52,43.5
2008-07-18,62,46.92
2008-07-25,83,46.95
2008-08-01,61,48.8
2008-08-08,87,50.85
2008-08-15,77,55.69
2008-08-22,65,54.45
2008-08-29,78,54.23
2008-09-05,64,54.25
2008-09-12,56,52.34
2008-09-19,59,53.79
2008-09-26,52,51.63
2008-10-03,65,48.82
2008-10-10,45,41.85
2008-10-17,49,46.64
2008-10-24,52,44.73
2008-10-31,50,44.56
2008-11-07,41,41.15
2008-11-14,43,39
2008-11-21,45,44.05
2008-11-28,43,45.37
2008-12-05,48,42.06
2008-12-12,46,41.23
2008-12-19,41,41.76
2008-12-26,35,42.43
2009-01-02,62,43.48
2009-01-09,50,42.83
2009-01-16,61,44.19
2009-01-23,51,44.17
2009-01-30,58,45.15
2009-02-06,71,44.54
2009-02-13,53,43.41
2009-02-20,41,41.54
2009-02-27,44,37.12
2009-03-06,40,35.01
2009-03-13,42,36.5
2009-03-20,38,36.3
2009-03-27,32,36.66
2009-04-03,32,37.99
2009-04-17,32,38.72
2009-04-24,28,38.28
2009-05-01,34,39.53
2009-05-08,30,40.7
2009-05-15,30,39.75
2009-05-22,30,39.52
2009-05-29,38,40.26
2009-06-05,41,43.46
2009-06-12,40,44.1
2009-06-19,36,47.47
2009-06-26,37,48.38
2009-07-10,36,48.05
2009-07-17,30,49.22
2009-07-24,33,50.59
2009-07-31,36,50.03
2009-08-07,37,50.66
2009-08-14,32,51.94
2009-08-21,42,54.1
2009-08-28,38,51.9
2009-09-04,35,51.73
2009-09-11,34,53.84
2009-09-18,48,53.13
2009-09-25,45,53.5
2009-10-02,38,53.64
2009-10-09,37,54.4
2009-10-16,49,54.32
2009-10-23,79,52.84
2009-10-30,76,52.73
2009-11-06,80,52.68
2009-11-13,74,53.81
2009-11-20,57,56.35
2009-11-27,61,58.49
2009-12-04,55,59.73
2009-12-11,62,60.56
2009-12-18,62,60.36
2010-01-08,74,62.08
2010-01-15,62,61.9
2010-01-22,56,59.97
2010-01-29,47,60.07
2010-02-05,47,59.51
2010-02-12,46,59.02
2010-02-19,50,60.55
2010-02-26,52,59.68
2010-03-05,45,59.66
2010-03-12,38,59.18
2010-03-19,40,59.79
2010-03-26,38,59.87
2010-04-09,34,61.84
2010-04-16,28,62.04
2010-04-23,35,63.24
2010-04-30,37,61.07
2010-05-07,35,58.43
2010-05-14,32,57.79
2010-05-21,34,55.95
2010-05-28,38,55.22
2010-06-04,33,55.28
2010-06-11,38,56.07
2010-06-18,39,62.1
2010-06-25,35,62.02
2010-07-02,28,59.68
2010-07-09,31,62.36
2010-07-16,31,61.51
2010-07-23,27,62.78
2010-07-30,34,61.43
2010-08-06,31,58.8
2010-08-13,31,58.15
2010-08-20,32,59.65
2010-08-27,32,58.33
2010-09-03,31,60.38
2010-09-10,28,61.29
2010-09-17,28,61.07
2010-09-24,30,61.18
2010-10-01,24,60.27
2010-10-08,32,61.9
2010-10-15,27,62.95
2010-10-22,28,63.03
2010-10-29,36,64.28
2010-11-05,33,64.41
2010-11-12,28,62.89
2010-11-19,29,62.23
2010-11-26,26,63.03
2010-12-03,31,64.95
2010-12-10,27,65.5
2010-12-17,33,65.86
2010-12-31,21,65.65
2011-01-07,25,62.75
2011-01-14,31,63.4
2011-01-21,29,63.35
2011-01-28,30,61.84
2011-02-04,21,62.44
2011-02-11,32,62.73
2011-02-18,52,67.33
2011-02-25,59,68.51
2011-03-04,42,69.81
2011-03-11,37,71.4
2011-03-18,36,70.43
2011-03-25,33,72.45
2011-04-01,40,72.44
2011-04-08,41,73.07
2011-04-15,37,74.45
2011-04-29,37,75.07
2011-05-06,36,74.04
2011-05-13,43,75.44
2011-05-20,47,77.81
2011-05-27,50,78.26
2011-06-03,45,78.18
2011-06-10,40,77.01
2011-06-17,37,77.04
2011-06-24,35,74.9
2011-07-01,34,76.86
2011-07-08,31,76.25
2011-07-15,29,76.3
2011-07-22,25,80
2011-07-29,30,77.92
2011-08-05,31,73.88
2011-08-12,30,74.83
2011-08-19,33,67.82
2011-08-26,32,69.2
2011-09-02,27,71.28
2011-09-09,29,70.76
2011-09-16,28,73.6
2011-09-23,28,74.24
2011-09-30,33,72.89
2011-10-07,29,72.84
2011-10-14,28,75.4
2011-10-21,32,76.52
2011-10-28,26,76.83
2011-11-04,24,78.59
2011-11-11,27,76.87
2011-11-18,28,74.29
2011-11-25,27,73.03
2011-12-02,28,74.9
2011-12-09,29,77.42
2011-12-16,28,76.76
2011-12-23,25,78.8
2011-12-30,24,78.17
2012-01-06,26,77.42
2012-01-13,28,78.83
2012-01-20,27,80.38
2012-01-27,26,78.59
2012-02-03,29,79.56
2012-02-10,30,78.84
2012-02-17,26,73.07
2012-02-24,32,74.74
2012-03-02,32,76.35
2012-03-09,26,75.44
2012-03-16,26,78.08
2012-03-23,28,80
2012-03-30,28,81.36
2012-04-13,26,79.25
2012-04-20,32,79.97
2012-04-27,27,79.37
2012-05-04,22,75.99
2012-05-11,26,76.77
2012-05-18,25,76.31
2012-05-25,30,77.58
2012-06-01,30,74.82
2012-06-08,26,75.75
2012-06-15,26,75.77
2012-06-22,27,75.6
2012-06-29,26,75.52
2012-07-06,25,75.31
2012-07-13,24,76.42
2012-07-20,23,76.56
2012-07-27,26,76.36
2012-08-03,28,75.75
2012-08-10,30,76.7
2012-08-17,28,82.96
2012-08-24,23,84.4
2012-08-31,26,84.97
2012-09-07,27,86.1
2012-09-14,26,86.11
2012-09-21,26,86.04
2012-09-28,24,86.33
2012-10-05,27,86.45
2012-10-12,32,83.45
2012-10-19,25,84.76
2012-10-26,23,85.03
2012-11-02,23,85.06
2012-11-09,24,84.33
2012-11-16,27,83.86
2012-11-23,25,86.05
2012-11-30,23,88.46
2012-12-07,26,87.8
2012-12-14,26,86.96
2012-12-21,24,86.61
2012-12-28,19,85.25
2013-01-04,33,90.2
2013-01-11,55,88.22
2013-01-18,35,89.56
2013-01-25,39,89.26
2013-02-01,43,89.79
2013-02-08,35,89.16
2013-02-15,36,92.4
2013-02-22,47,92.99
2013-03-01,39,96.27
2013-03-08,36,97.24
2013-03-15,31,97.4
2013-03-22,27,96.44
2013-04-05,33,98.12
2013-04-12,37,101.1
2013-04-19,33,103.1
2013-04-26,26,101.92
2013-05-03,26,103.56
2013-05-10,25,103.63
2013-05-17,27,102.58
2013-05-24,24,103.22
2013-05-31,28,100.96
2013-06-07,27,101.39
2013-06-14,31,103.01
2013-06-21,30,100.71
2013-06-28,24,103.15
2013-07-05,28,103.12
2013-07-12,26,106.01
2013-07-19,28,108.16
2013-07-26,25,111.54
2013-08-02,27,113.97
2013-08-09,25,113.3
2013-08-16,27,110.32
2013-08-23,29,108.46
2013-08-30,26,106.14
2013-09-06,26,105.99
2013-09-13,24,107.87
2013-09-20,26,107.14
2013-09-27,24,104.79
2013-10-04,25,105.93
2013-10-11,22,106.6
2013-10-18,24,107.88
2013-10-25,24,110.36
2013-11-01,23,111.01
2013-11-08,25,108.61
2013-11-15,27,109.35
2013-11-22,25,103.95
2013-11-29,22,104.24
2013-12-06,25,104.32
2013-12-13,26,100.41
2013-12-20,25,102.12
2013-12-27,20,103.18
2014-01-03,23,101.51
2014-01-10,27,98.42
2014-01-17,23,97.2
2014-01-24,25,97.97
2014-01-31,26,96.39
2014-02-07,27,93.37
2014-02-14,23,91.81
2014-02-21,24,97.94
2014-02-28,25,100.01
2014-03-07,23,97.54
2014-03-14,22,96.18
2014-03-21,40,96.02
2014-03-28,44,96.48
2014-04-04,36,97.55
2014-04-11,33,94.33
2014-04-25,31,96.02
