"Date","WFM","Price"
2013-12-27,36,56.68
2014-01-03,44,56.29
2014-01-10,53,52.56
2014-01-17,50,52.31
2014-01-24,48,51.61
2014-01-31,53,52.26
2014-02-07,53,54.18
2014-02-14,69,52.25
2014-02-21,51,52.76
2014-02-28,50,54.05
2014-03-07,52,53.67
2014-03-14,46,53.93
2014-03-21,44,55.04
2014-03-28,49,51.15
2014-04-04,53,51.1
2014-04-11,50,49.5
2014-04-25,53,50.65
