"Date","GIS","Price"
2012-01-27,38,40.03
2012-02-03,39,39.85
2012-02-10,40,39.09
2012-02-17,38,38.34
2012-02-24,39,38.15
2012-03-02,41,38.19
2012-03-09,45,38.58
2012-03-16,48,38.83
2012-03-23,53,38.85
2012-03-30,48,39.45
2012-04-13,41,38.7
2012-04-20,50,38.94
2012-04-27,47,38.93
2012-05-04,45,38.32
2012-05-11,47,39.27
2012-05-18,43,38.95
2012-05-25,49,39.08
2012-06-01,46,37.9
2012-06-08,53,38.2
2012-06-15,45,38.46
2012-06-22,43,38.44
2012-06-29,48,38.54
2012-07-06,43,38.76
2012-07-13,39,39.04
2012-07-20,37,38.78
2012-07-27,38,38.52
2012-08-03,37,38.52
2012-08-10,35,38.63
2012-08-17,35,38.5
2012-08-24,35,39.04
2012-08-31,39,39.33
2012-09-07,45,39.24
2012-09-14,49,38.89
2012-09-21,50,40.3
2012-09-28,43,39.85
2012-10-05,42,40.05
2012-10-12,41,39.19
2012-10-19,40,39.99
2012-10-26,39,39.85
2012-11-02,41,39.81
2012-11-09,42,39.37
2012-11-16,40,39.79
2012-11-23,35,40.77
2012-11-30,41,40.99
2012-12-07,38,40.94
2012-12-14,36,41.45
2012-12-21,33,41.1
2012-12-28,25,40.06
2013-01-04,29,41.77
2013-01-11,36,40.62
2013-01-18,36,41.37
2013-01-25,36,41.75
2013-02-01,37,42.13
2013-02-08,38,42.6
2013-02-15,37,44.59
2013-02-22,40,45.67
2013-03-01,46,46.39
2013-03-08,52,46.33
2013-03-15,41,46.24
2013-03-22,45,48.15
2013-04-05,42,48.74
2013-04-12,42,49.35
2013-04-19,42,50.34
2013-04-26,42,49.68
2013-05-03,43,50.72
2013-05-10,41,49.91
2013-05-17,40,50.36
2013-05-24,45,48.98
2013-05-31,45,47.08
2013-06-07,44,48.08
2013-06-14,41,49.29
2013-06-21,42,48.64
2013-06-28,41,48.53
2013-07-05,39,49.03
2013-07-12,37,51.09
2013-07-19,37,51.68
2013-07-26,35,51.51
2013-08-02,33,52.35
2013-08-09,32,52.42
2013-08-16,33,49.38
2013-08-23,36,49.82
2013-08-30,35,49.32
2013-09-06,34,49.19
2013-09-13,37,49.25
2013-09-20,35,48.66
2013-09-27,35,48.08
2013-10-04,36,47.95
2013-10-11,37,48.35
2013-10-18,34,49.19
2013-10-25,38,50.06
2013-11-01,38,50.32
2013-11-08,40,50.54
2013-11-15,39,51.31
2013-11-22,38,50.12
2013-11-29,33,50.43
2013-12-06,36,51.5
2013-12-13,36,49.64
2013-12-20,35,49.3
2013-12-27,24,49.84
2014-01-03,27,49.26
2014-01-10,36,49.29
2014-01-17,38,48.28
2014-01-24,37,48.28
2014-01-31,36,48.02
2014-02-07,35,48.05
2014-02-14,39,49.89
2014-02-21,40,49.51
2014-02-28,47,50.03
2014-03-07,47,50.8
2014-03-14,43,49.77
2014-03-21,49,51.03
2014-03-28,45,51.3
2014-04-04,46,51.25
2014-04-11,42,51.15
2014-04-25,42,52.29
