"Date","HSP","Price"
2006-02-24,44,47
2006-03-03,34,40.51
2006-03-10,43,40.9
2006-03-17,38,41.67
2006-03-24,47,39.99
2006-03-31,40,39.46
2006-04-07,42,37
2006-04-21,33,38.76
2006-04-28,37,38.55
2006-05-05,37,38.32
2006-05-12,45,40.9
2006-05-19,41,42.19
2006-05-26,37,43.63
2006-06-02,38,44.88
2006-06-09,33,43.12
2006-06-16,39,42.95
2006-06-23,38,42.81
2006-06-30,41,42.94
2006-07-07,37,42.24
2006-07-14,34,41.85
2006-07-21,38,41.95
2006-07-28,30,43.84
2006-08-04,28,43.71
2006-08-11,35,34.35
2006-08-18,28,36.65
2006-08-25,34,36.28
2006-09-01,37,36.9
2006-09-08,33,36.03
2006-09-15,45,37.06
2006-09-22,40,38.72
2006-09-29,37,38.27
2006-10-06,32,37.92
2006-10-13,38,37.73
2006-10-20,37,38.64
2006-10-27,38,36.97
2006-11-03,34,36.6
2006-11-10,38,32.16
2006-11-17,31,32.8
2006-11-24,37,32.45
2006-12-01,36,32.94
2006-12-08,36,34.47
2006-12-15,33,34.22
2006-12-22,29,33.69
2006-12-29,35,33.58
2007-01-05,33,33.85
2007-01-12,36,34.65
2007-01-19,33,35
2007-01-26,40,36.73
2007-02-02,35,37.11
2007-02-09,37,36.82
2007-02-16,33,37
2007-02-23,32,37.22
2007-03-02,31,39.08
2007-03-09,32,40.02
2007-03-16,41,39.09
2007-03-23,34,39.74
2007-03-30,36,40.9
2007-04-13,30,41.21
2007-04-20,29,41.57
2007-04-27,30,41.06
2007-05-04,28,40.98
2007-05-11,34,40.4
2007-05-18,36,39.74
2007-05-25,33,38.87
2007-06-01,33,40.7
2007-06-08,30,39.46
2007-06-15,30,39.33
2007-06-22,32,38.67
2007-06-29,34,39.04
2007-07-06,31,40.65
2007-07-13,29,40.75
2007-07-20,31,40.36
2007-07-27,26,38.57
2007-08-03,30,39
2007-08-10,33,38.54
2007-08-17,30,37.8
2007-08-24,33,38.63
2007-08-31,30,38.65
2007-09-07,31,38.71
2007-09-14,32,39.31
2007-09-21,39,40.79
2007-09-28,29,41.45
2007-10-05,34,41.56
2007-10-12,33,41.2
2007-10-19,35,40.32
2007-10-26,36,40.89
2007-11-02,36,41.52
2007-11-09,39,39.4
2007-11-16,39,41.29
2007-11-23,41,42.38
2007-11-30,42,43.3
2007-12-07,37,43.93
2007-12-14,30,44.06
2007-12-21,27,42.95
2007-12-28,27,43.29
2008-01-04,31,40.73
2008-01-11,32,42.87
2008-01-18,29,41.52
2008-01-25,34,39.9
2008-02-01,32,41.75
2008-02-08,33,41.06
2008-02-15,33,41.32
2008-02-22,31,40.52
2008-02-29,32,42.56
2008-03-07,31,42.09
2008-03-14,33,42
2008-03-28,34,42.33
2008-04-04,33,43.02
2008-04-11,33,40.86
2008-04-18,34,41.29
2008-04-25,29,41.74
2008-05-02,31,41.98
2008-05-09,30,40.99
2008-05-16,27,39.96
2008-05-23,31,39.73
2008-05-30,27,41.94
2008-06-06,28,41.74
2008-06-13,27,41.31
2008-06-20,28,39.96
2008-06-27,31,39.32
2008-07-11,33,38.84
2008-07-18,32,38.24
2008-07-25,29,38.3
2008-08-01,29,36.96
2008-08-08,24,38.82
2008-08-15,29,39.64
2008-08-22,29,39.06
2008-08-29,25,40.36
2008-09-05,27,39.01
2008-09-12,31,39.56
2008-09-19,31,38.5
2008-09-26,34,39.26
2008-10-03,30,37.29
2008-10-10,29,29.19
2008-10-17,31,29.59
2008-10-24,35,27.26
2008-10-31,31,27.82
2008-11-07,29,30.92
2008-11-14,34,30.02
2008-11-21,29,27.18
2008-11-28,27,30.03
2008-12-05,30,27.53
2008-12-12,32,26.82
2008-12-19,28,26.05
2008-12-26,29,25.94
2009-01-02,28,27.47
2009-01-09,33,26.02
2009-01-16,34,27.04
2009-01-23,34,24.02
2009-01-30,34,24.9
2009-02-06,31,26.38
2009-02-13,29,26.36
2009-02-20,32,25.58
2009-02-27,29,23.2
2009-03-06,37,22.21
2009-03-13,28,24.57
2009-03-20,31,25.1
2009-03-27,32,30.83
2009-04-03,35,30.44
2009-04-17,32,32.91
2009-04-24,34,31.6
2009-05-01,27,32.29
2009-05-08,30,33.92
2009-05-15,32,33.04
2009-05-22,29,32.79
2009-05-29,30,34.5
2009-06-05,25,35.09
2009-06-12,26,34.97
2009-06-19,27,36.53
2009-06-26,29,38.73
2009-07-10,29,37.07
2009-07-17,34,37.14
2009-07-24,33,37.66
2009-07-31,34,38.43
2009-08-07,71,38.67
2009-08-14,51,40.09
2009-08-21,69,40.32
2009-08-28,59,39.55
2009-09-04,45,39.6
2009-09-11,38,40.82
2009-09-18,36,43.12
2009-09-25,40,44.34
2009-10-02,35,43.25
2009-10-09,31,44.88
2009-10-16,30,46.19
2009-10-23,31,45.97
2009-10-30,26,44.64
2009-11-06,30,46.59
2009-11-13,31,47.7
2009-11-20,27,46.88
2009-11-27,27,47.05
2009-12-04,27,48.12
2009-12-11,24,47.51
2009-12-18,27,47.59
2010-01-08,29,51.41
2010-01-15,29,51.29
2010-01-22,30,50.48
2010-01-29,30,50.64
2010-02-05,28,48.56
2010-02-12,27,49.95
2010-02-19,27,51.8
2010-02-26,28,52.33
2010-03-05,27,53.91
2010-03-12,29,54
2010-03-19,30,56.66
2010-03-26,31,56.51
2010-04-09,24,56.25
2010-04-16,33,57.1
2010-04-23,27,57
2010-04-30,31,53.79
2010-05-07,26,52.1
2010-05-14,27,52.11
2010-05-21,28,50.65
2010-05-28,26,52.06
2010-06-04,26,50.83
2010-06-11,25,53.77
2010-06-18,24,56.39
2010-06-25,24,57.6
2010-07-02,25,57.12
2010-07-09,25,58.17
2010-07-16,26,57.32
2010-07-23,22,57.2
2010-07-30,23,52.1
2010-08-06,25,51.83
2010-08-13,24,52.47
2010-08-20,24,51.32
2010-08-27,29,51.77
2010-09-03,24,54.3
2010-09-10,25,54.65
2010-09-17,27,55.68
2010-09-24,28,55.23
2010-10-01,31,56.39
2010-10-08,26,56.46
2010-10-15,30,58.31
2010-10-22,30,59.39
2010-10-29,28,59.48
2010-11-05,28,59.54
2010-11-12,28,58.1
2010-11-19,30,57.7
2010-11-26,25,56.65
2010-12-03,27,56.86
2010-12-10,26,56.27
2010-12-17,25,57.44
2010-12-31,25,55.69
2011-01-07,31,55.19
2011-01-14,29,56.29
2011-01-21,30,55.24
2011-01-28,29,54.6
2011-02-04,29,52.35
2011-02-11,29,54.26
2011-02-18,28,54.61
2011-02-25,29,53.31
2011-03-04,31,54.14
2011-03-11,29,54.96
2011-03-18,27,51.79
2011-03-25,31,54.01
2011-04-01,27,56.17
2011-04-08,35,55.74
2011-04-15,31,56
2011-04-29,27,56.73
2011-05-06,26,56.5
2011-05-13,27,55.49
2011-05-20,27,55.04
2011-05-27,24,55.02
2011-06-03,24,53.9
2011-06-10,25,54.03
2011-06-17,23,54.12
2011-06-24,25,54.76
2011-07-01,23,55.67
2011-07-08,23,53.69
2011-07-15,24,53.46
2011-07-22,22,52.85
2011-07-29,22,51.12
2011-08-05,24,47.58
2011-08-12,23,44.67
2011-08-19,23,42.68
2011-08-26,23,44.5
2011-09-02,24,44.61
2011-09-09,23,41.23
2011-09-16,25,39.45
2011-09-23,28,37.41
2011-09-30,29,37
2011-10-07,27,37.26
2011-10-14,30,38.07
2011-10-21,29,29.39
2011-10-28,27,31.71
2011-11-04,27,31.31
2011-11-11,31,32.39
2011-11-18,30,30.9
2011-11-25,29,30.07
2011-12-02,31,27.64
2011-12-09,33,28.07
2011-12-16,25,28.92
2011-12-23,28,30.92
2011-12-30,25,30.37
2012-01-06,29,30.31
2012-01-13,29,31.51
2012-01-20,26,34.2
2012-01-27,28,35.23
2012-02-03,28,35.25
2012-02-10,25,33.79
2012-02-17,28,37.15
2012-02-24,27,36.16
2012-03-02,25,34.96
2012-03-09,26,35.94
2012-03-16,26,37.13
2012-03-23,26,36.7
2012-03-30,28,37.39
2012-04-13,27,34.46
2012-04-20,27,34.43
2012-04-27,26,35.42
2012-05-04,26,33.88
2012-05-11,26,33.34
2012-05-18,22,31.87
2012-05-25,23,32.38
2012-06-01,24,31.36
2012-06-08,24,32.79
2012-06-15,25,33.63
2012-06-22,24,34.02
2012-06-29,22,34.98
2012-07-06,22,33.98
2012-07-13,23,34.11
2012-07-20,23,35.45
2012-07-27,23,35.08
2012-08-03,21,34.59
2012-08-10,22,34.15
2012-08-17,22,33.99
2012-08-24,20,33.74
2012-08-31,25,33.58
2012-09-07,25,34.97
2012-09-14,26,34.67
2012-09-21,27,34.63
2012-09-28,26,32.82
2012-10-05,26,33.34
2012-10-12,32,32.27
2012-10-19,26,31.31
2012-10-26,25,30.96
2012-11-02,24,30.45
2012-11-09,25,29.95
2012-11-16,26,28.97
2012-11-23,25,29.42
2012-11-30,25,29.8
2012-12-07,27,31.55
2012-12-14,24,31.84
2012-12-21,25,32.12
2012-12-28,22,30.69
2013-01-04,30,32.37
2013-01-11,26,34.13
2013-01-18,27,34.91
2013-01-25,26,35.1
2013-02-01,29,34.55
2013-02-08,26,34.5
2013-02-15,25,29.13
2013-02-22,25,29.73
2013-03-01,24,29.45
2013-03-08,24,30.11
2013-03-15,26,32.25
2013-03-22,26,32.62
2013-04-05,29,30.65
2013-04-12,31,31.61
2013-04-19,28,31.19
2013-04-26,27,32.66
2013-05-03,25,33.02
2013-05-10,25,34.62
2013-05-17,32,35.74
2013-05-24,26,35.08
2013-05-31,22,34.68
2013-06-07,25,35.83
2013-06-14,24,36.24
2013-06-21,24,34.79
2013-06-28,23,38.31
2013-07-05,22,38.98
2013-07-12,23,39.68
2013-07-19,25,39.78
2013-07-26,23,39.91
2013-08-02,22,41.61
2013-08-09,22,41.23
2013-08-16,23,40.2
2013-08-23,24,40.3
2013-08-30,22,39.03
2013-09-06,25,38.88
2013-09-13,26,39.62
2013-09-20,25,41.17
2013-09-27,25,38.9
2013-10-04,25,39.54
2013-10-11,26,40.78
2013-10-18,28,41.62
2013-10-25,25,41.37
2013-11-01,26,40.21
2013-11-08,26,38.89
2013-11-15,27,39.5
2013-11-22,28,39.21
2013-11-29,24,39.31
2013-12-06,26,41.57
2013-12-13,25,39.88
2013-12-20,25,41.27
2013-12-27,21,41.21
2014-01-03,27,41.22
2014-01-10,32,42.18
2014-01-17,33,42.75
2014-01-24,31,44.57
2014-01-31,28,44.01
2014-02-07,27,42.89
2014-02-14,27,43.55
2014-02-21,28,42.27
2014-02-28,30,43.28
2014-03-07,28,43.35
2014-03-14,27,42.1
2014-03-21,27,42.33
2014-03-28,24,42.59
2014-04-04,25,43.38
2014-04-11,28,42.14
2014-04-25,27,43.31
