"Date","FSLR","Price"
2011-04-15,9,137.64
2011-04-29,12,139.57
2011-05-06,13,129.96
2011-05-13,8,125.65
2011-05-20,9,126.38
2011-05-27,9,121.37
2011-06-03,10,118.66
2011-06-10,6,117.09
2011-06-17,6,121.55
2011-06-24,7,116.56
2011-07-01,9,133.06
2011-07-08,6,132.6
2011-07-15,7,124.64
2011-07-22,8,124.12
2011-07-29,10,118.23
2011-08-05,9,105.43
2011-08-12,13,104.13
2011-08-19,10,88.68
2011-08-26,8,100.71
2011-09-02,8,90.1
2011-09-09,8,84.96
2011-09-16,9,85.7
2011-09-23,11,70.24
2011-09-30,12,63.21
2011-10-07,12,59.74
2011-10-14,9,56.23
2011-10-21,12,53.77
2011-10-28,24,53.99
2011-11-04,10,49.59
2011-11-11,11,46.09
2011-11-18,8,45.44
2011-11-25,7,40.32
2011-12-02,8,47.77
2011-12-09,8,45.67
2011-12-16,16,31.91
2011-12-23,12,34.7
2011-12-30,9,33.76
2012-01-06,8,35.27
2012-01-13,13,39.92
2012-01-20,12,38.45
2012-01-27,10,45.54
2012-02-03,11,45.16
2012-02-10,11,43.91
2012-02-17,11,42.59
2012-02-24,13,35.58
2012-03-02,21,30.02
2012-03-09,20,27.49
2012-03-16,16,29.08
2012-03-23,12,26.11
2012-03-30,13,25.05
2012-04-13,13,20.83
2012-04-20,18,20.65
2012-04-27,16,18.35
2012-05-04,17,16.94
2012-05-11,14,16.14
2012-05-18,13,13.66
2012-05-25,12,14.33
2012-06-01,9,11.77
2012-06-08,10,12.8
2012-06-15,14,13.95
2012-06-22,11,15.88
2012-06-29,11,15.06
2012-07-06,11,15.01
2012-07-13,9,14.17
2012-07-20,10,14.79
2012-07-27,6,14.5
2012-08-03,18,17.06
2012-08-10,15,21.43
2012-08-17,14,21.26
2012-08-24,17,24.77
2012-08-31,19,19.99
2012-09-07,14,20.44
2012-09-14,16,24.61
2012-09-21,14,21.2
2012-09-28,12,22.15
2012-10-05,15,20.07
2012-10-12,10,22.11
2012-10-19,13,23.54
2012-10-26,9,23.97
2012-11-02,12,22.54
2012-11-09,12,24.55
2012-11-16,10,23.54
2012-11-23,7,24.45
2012-11-30,11,26.99
2012-12-07,13,29.91
2012-12-14,14,32.56
2012-12-21,8,30.92
2012-12-28,7,29.8
2013-01-04,12,33.59
2013-01-11,10,32.01
2013-01-18,8,30.08
2013-01-25,8,30.21
2013-02-01,10,28.33
2013-02-08,10,30.4
2013-02-15,12,34.09
2013-02-22,12,33.81
2013-03-01,17,25.35
2013-03-08,12,26.29
2013-03-15,8,26.61
2013-03-22,10,28.85
2013-04-05,8,26.44
2013-04-12,33,37.11
2013-04-19,14,38.1
2013-04-26,17,44.08
2013-05-03,17,46
2013-05-10,23,49.34
2013-05-17,16,49.98
2013-05-24,19,51.55
2013-05-31,13,54.39
2013-06-07,13,53.09
2013-06-14,16,44.71
2013-06-21,12,41.37
2013-06-28,14,44.81
2013-07-05,10,46.4
2013-07-12,11,47.65
2013-07-19,12,48.31
2013-07-26,12,47.55
2013-08-02,11,47.3
2013-08-09,25,41.02
2013-08-16,9,38.16
2013-08-23,10,38.97
2013-08-30,11,36.72
2013-09-06,8,37.45
2013-09-13,9,38.22
2013-09-20,10,39.02
2013-09-27,11,40.71
2013-10-04,11,43.97
2013-10-11,9,43.31
2013-10-18,12,49.97
2013-10-25,20,52.8
2013-11-01,27,59.14
2013-11-08,21,60.5
2013-11-15,17,64.19
2013-11-22,11,60.35
2013-11-29,8,59.82
2013-12-06,10,58.01
2013-12-13,11,53.79
2013-12-20,9,55.87
2013-12-27,8,55.26
2014-01-03,8,56.74
2014-01-17,10,51.88
2014-01-24,8,48.67
2014-01-31,8,50.58
2014-02-07,9,49.83
2014-02-14,8,53.17
2014-02-21,12,55.93
2014-02-28,26,57.07
2014-03-07,9,56.11
2014-03-14,7,54.03
2014-03-21,24,73.37
2014-03-28,16,68.64
2014-04-04,11,69.72
2014-04-11,14,67.59
2014-04-25,10,68.63
