"Date","Waters.Corporation","Price"
2011-09-02,22,75.84
2011-09-09,20,74.62
2011-09-16,21,82.43
2011-09-23,20,75.09
2011-09-30,23,75.49
2011-10-07,18,72.78
2011-10-14,20,77.25
2011-10-21,21,80.59
2011-10-28,39,82.22
2011-11-04,16,78.55
2011-11-11,15,80.03
2011-11-18,16,74.77
2011-11-25,15,72.55
2011-12-02,16,79.88
2011-12-09,21,74.82
2011-12-16,15,71.61
2011-12-23,15,74.59
2011-12-30,15,74.05
2012-01-06,23,74.15
2012-01-13,28,76.06
2012-01-20,25,77.99
2012-01-27,23,86.82
2012-02-03,20,89.49
2012-02-10,21,87.8
2012-02-17,21,88.63
2012-02-24,28,88.56
2012-03-02,21,89.34
2012-03-09,29,90.98
2012-03-16,21,92.96
2012-03-23,24,90.89
2012-03-30,34,92.66
2012-04-13,15,87.56
2012-04-20,18,88.75
2012-04-27,20,83.82
2012-05-04,28,83.51
2012-05-11,29,84.82
2012-05-18,23,80.81
2012-05-25,24,82.1
2012-06-01,16,77.07
2012-06-08,16,78.78
2012-06-15,23,80.56
2012-06-22,15,81.09
2012-06-29,16,79.47
2012-07-06,16,77.31
2012-07-13,23,76.63
2012-07-20,21,76.48
2012-07-27,14,79.06
2012-08-03,15,77.11
2012-08-10,19,78.65
2012-08-17,14,75.26
2012-08-24,18,77.72
2012-08-31,18,80.19
2012-09-07,20,83.18
2012-09-14,25,85.04
2012-09-21,21,84.69
2012-09-28,15,83.33
2012-10-05,15,84.35
2012-10-12,15,80.38
2012-10-19,21,79.88
2012-10-26,13,81.56
2012-11-02,23,83.49
2012-11-09,14,82.97
2012-11-16,19,81.21
2012-11-23,18,83.64
2012-11-30,15,84.55
2012-12-07,18,85.5
2012-12-14,21,87.35
2012-12-21,14,88.42
2012-12-28,16,86.25
2013-01-04,18,86.82
2013-01-11,17,90.61
2013-01-18,12,91.89
2013-01-25,15,92.61
2013-02-01,14,93.09
2013-02-08,17,92.53
2013-02-15,13,92.61
2013-02-22,20,92.65
2013-03-01,27,93.77
2013-03-08,14,94.48
2013-03-15,15,94.82
2013-03-22,17,93.26
2013-04-05,22,92.39
2013-04-12,22,94.33
2013-04-19,14,88.45
2013-04-26,15,92.3
2013-05-03,17,93
2013-05-10,15,96.91
2013-05-17,21,98
2013-05-24,18,97.79
2013-05-31,16,96.71
2013-06-07,16,98.38
2013-06-14,22,98.6
2013-06-21,26,99.26
2013-06-28,22,100.05
2013-07-05,11,102.01
2013-07-12,15,104.53
2013-07-19,10,104.74
2013-07-26,29,100.16
2013-08-02,21,102.09
2013-08-09,22,103.41
2013-08-16,27,98.47
2013-08-23,28,99.63
2013-08-30,22,98.85
2013-09-06,11,101.62
2013-09-13,15,104.19
2013-09-20,13,106.54
2013-09-27,28,107.28
2013-10-04,15,105
2013-10-11,16,104.48
2013-10-18,19,106.48
2013-10-25,18,101.99
2013-11-01,21,100.58
2013-11-08,10,100.12
2013-11-15,18,102.12
2013-11-22,10,101.09
2013-11-29,17,99.53
2013-12-06,18,98.21
2013-12-13,13,96.03
2013-12-20,13,99.58
2013-12-27,14,99.36
2014-01-03,11,98.04
2014-01-10,18,101.46
2014-01-17,24,104.4
2014-01-24,18,103.02
2014-01-31,21,108.27
2014-02-07,10,108.72
2014-02-14,21,112.48
2014-02-21,18,113.31
2014-02-28,26,111.4
2014-03-07,21,112.72
2014-03-14,13,113.04
2014-03-21,22,110.74
2014-03-28,26,107.68
2014-04-04,16,111.03
2014-04-11,16,108
2014-04-25,19,108.7
