"Date","CTXS","Price"
2008-04-25,57,32.23
2008-05-02,20,33.85
2008-05-09,22,33.92
2008-05-16,21,35.77
2008-05-23,25,33.72
2008-05-30,29,34.23
2008-06-06,34,34.68
2008-06-13,30,33.2
2008-06-20,30,30.92
2008-06-27,30,29.8
2008-07-11,28,27.96
2008-07-18,30,27.82
2008-07-25,24,25.69
2008-08-01,32,27.03
2008-08-08,32,30.68
2008-08-15,24,31.41
2008-08-22,21,31
2008-08-29,20,30.27
2008-09-05,20,28.65
2008-09-12,23,29.01
2008-09-19,37,28.49
2008-09-26,28,28.02
2008-10-03,31,21
2008-10-10,36,20.2
2008-10-17,32,21.28
2008-10-24,42,21.63
2008-10-31,21,25.77
2008-11-07,22,24.12
2008-11-14,26,22.95
2008-11-21,16,22.89
2008-11-28,16,26.66
2008-12-05,16,25.12
2008-12-12,18,23.03
2008-12-19,16,22.8
2008-12-26,16,22.88
2009-01-02,16,24.36
2009-01-09,16,22.56
2009-01-16,21,23.23
2009-01-23,26,22.99
2009-01-30,31,21.04
2009-02-06,21,23.86
2009-02-13,21,23.28
2009-02-20,21,22.18
2009-02-27,22,20.58
2009-03-06,22,21.76
2009-03-13,22,23.09
2009-03-20,16,22.5
2009-03-27,16,22.71
2009-04-03,21,24.35
2009-04-17,15,26.66
2009-04-24,24,25.84
2009-05-01,32,27.51
2009-05-08,19,27.45
2009-05-15,14,27.62
2009-05-22,14,29.73
2009-05-29,27,31.41
2009-06-05,28,31.97
2009-06-12,25,34.1
2009-06-19,32,32.43
2009-06-26,25,31.94
2009-07-10,14,32.2
2009-07-17,19,34.99
2009-07-24,32,35.53
2009-07-31,28,35.6
2009-08-07,19,36.32
2009-08-14,22,35.6
2009-08-21,27,35.38
2009-08-28,29,35.91
2009-09-04,16,36.02
2009-09-11,15,36.13
2009-09-18,17,37.22
2009-09-25,20,37.4
2009-10-02,17,37.95
2009-10-09,32,41.75
2009-10-16,26,41.96
2009-10-23,29,39.34
2009-10-30,14,36.76
2009-11-06,14,38.88
2009-11-13,19,39.41
2009-11-20,23,37.84
2009-11-27,16,37.88
2009-12-04,19,39.47
2009-12-11,21,38.28
2009-12-18,22,39.44
2010-01-08,18,43.82
2010-01-15,17,43.22
2010-01-22,15,41.4
2010-01-29,24,41.55
2010-02-05,20,41.79
2010-02-12,18,43.16
2010-02-19,25,44.74
2010-02-26,22,43.01
2010-03-05,28,44.61
2010-03-12,34,48.08
2010-03-19,24,48.34
2010-03-26,25,48.09
2010-04-09,17,48.25
2010-04-16,12,48.47
2010-04-23,30,48.45
2010-04-30,15,47.03
2010-05-07,16,43.62
2010-05-14,18,46.51
2010-05-21,19,44.67
2010-05-28,14,43.61
2010-06-04,13,43.3
2010-06-11,13,43.97
2010-06-18,13,46.09
2010-06-25,12,45.12
2010-07-02,12,42.11
2010-07-09,12,44.62
2010-07-16,14,45.36
2010-07-23,18,47.85
2010-07-30,52,55.02
2010-08-06,36,58.32
2010-08-13,29,56.76
2010-08-20,25,59.21
2010-08-27,12,58.68
2010-09-03,22,61.94
2010-09-10,20,63.69
2010-09-17,20,68.21
2010-09-24,21,70.55
2010-10-01,30,67.94
2010-10-08,33,59.66
2010-10-15,28,59.19
2010-10-22,43,60.8
2010-10-29,20,64.13
2010-11-05,14,65.31
2010-11-12,25,64.79
2010-11-19,11,65.93
2010-11-26,15,68.74
2010-12-03,19,70.26
2010-12-10,27,70.88
2010-12-17,20,69.21
2010-12-31,14,68.41
2011-01-07,15,68.42
2011-01-14,17,68.05
2011-01-21,19,65.23
2011-01-28,29,63.76
2011-02-04,18,66.4
2011-02-11,20,69.81
2011-02-18,28,72.63
2011-02-25,11,70.93
2011-03-04,11,71.88
2011-03-11,13,71.74
2011-03-18,11,66.64
2011-03-25,14,70.14
2011-04-01,17,75.26
2011-04-08,14,73.42
2011-04-15,14,74.46
2011-04-29,29,84.34
2011-05-06,12,81.76
2011-05-13,12,83.73
2011-05-20,16,84.28
2011-05-27,18,87.16
2011-06-03,15,83.56
2011-06-10,16,80.01
2011-06-17,14,74.19
2011-06-24,12,76.24
2011-07-01,10,80.78
2011-07-08,14,82.98
2011-07-15,19,76.47
2011-07-22,12,75.27
2011-07-29,23,72.04
2011-08-05,19,64.41
2011-08-12,20,60.75
2011-08-19,20,50.31
2011-08-26,20,55.21
2011-09-02,16,57.35
2011-09-09,13,53.58
2011-09-16,11,58.24
2011-09-23,16,53.12
2011-09-30,11,54.53
2011-10-07,10,54.94
2011-10-14,13,63.02
2011-10-21,14,64.44
2011-10-28,29,73.37
2011-11-04,18,74.23
2011-11-11,15,73.99
2011-11-18,14,70.54
2011-11-25,13,64.47
2011-12-02,7,70.78
2011-12-09,13,71.26
2011-12-16,14,64.08
2011-12-23,16,62.04
2011-12-30,13,60.72
2012-01-06,13,62.02
2012-01-13,13,64.85
2012-01-20,13,68.12
2012-01-27,25,65.14
2012-02-03,10,68.78
2012-02-10,11,71.46
2012-02-17,16,74.77
2012-02-24,8,75.16
2012-03-02,13,75.43
2012-03-09,9,76.27
2012-03-16,16,78.2
2012-03-23,10,77.68
2012-03-30,17,78.91
2012-04-13,14,75.12
2012-04-20,17,77.78
2012-04-27,27,85.78
2012-05-04,19,82.85
2012-05-11,15,79.46
2012-05-18,17,74.82
2012-05-25,18,75.43
2012-06-01,11,70.79
2012-06-08,13,77.12
2012-06-15,13,80.12
2012-06-22,16,80.14
2012-06-29,19,83.94
2012-07-06,14,77.45
2012-07-13,8,76.63
2012-07-20,14,80.75
2012-07-27,22,77.81
2012-08-03,26,72.44
2012-08-10,14,76.26
2012-08-17,17,78.08
2012-08-24,16,77
2012-08-31,8,77.69
2012-09-07,14,80.59
2012-09-14,13,81.74
2012-09-21,11,81.19
2012-09-28,10,76.53
2012-10-05,7,71.57
2012-10-12,14,67.7
2012-10-19,15,64.16
2012-10-26,15,62.82
2012-11-02,11,62.77
2012-11-09,14,60.17
2012-11-16,10,59.21
2012-11-23,9,61.77
2012-11-30,12,61.16
2012-12-07,11,62.03
2012-12-14,14,65.02
2012-12-21,12,66.15
2012-12-28,9,64.3
2013-01-04,9,66.55
2013-01-11,14,71.47
2013-01-18,12,67.65
2013-01-25,10,71.55
2013-02-01,35,74.03
2013-02-08,12,72.91
2013-02-15,15,72.62
2013-02-22,9,72.91
2013-03-01,17,71.36
2013-03-08,15,74.43
2013-03-15,11,73.79
2013-03-22,12,71.01
2013-04-05,10,68.9
2013-04-12,11,70.39
2013-04-19,9,67.17
2013-04-26,24,61.8
2013-05-03,15,63.49
2013-05-10,10,66.56
2013-05-17,8,66.84
2013-05-24,11,63.43
2013-05-31,10,64.38
2013-06-07,8,63.61
2013-06-14,9,61.23
2013-06-21,15,59.99
2013-06-28,11,60.36
2013-07-05,10,63.36
2013-07-12,14,67.41
2013-07-19,20,65.07
2013-07-26,25,67.78
2013-08-02,17,73.12
2013-08-09,13,72.96
2013-08-16,11,71.6
2013-08-23,11,72.71
2013-08-30,14,70.77
2013-09-06,11,71.38
2013-09-13,13,73.79
2013-09-20,13,76.08
2013-09-27,12,70.8
2013-10-04,10,70.48
2013-10-11,31,59.08
2013-10-18,21,57.26
2013-10-25,19,57.98
2013-11-01,15,56.82
2013-11-08,14,59.79
2013-11-15,20,56.9
2013-11-22,11,59
2013-11-29,8,59.32
2013-12-06,11,60.03
2013-12-13,5,57.99
2013-12-20,10,61.73
2013-12-27,10,61.67
2014-01-03,8,62.48
2014-01-10,8,60.13
2014-01-17,11,60.44
2014-01-24,9,58.9
2014-01-31,31,54.07
2014-02-07,18,55.28
2014-02-14,11,57.14
2014-02-21,16,59.8
2014-02-28,14,60.05
2014-03-07,15,60.99
2014-03-14,10,59.8
2014-03-21,13,62.02
2014-03-28,11,57.47
2014-04-04,13,56.53
2014-04-11,13,54.56
2014-04-25,24,59.42
