"Date","buy.CAM","Price"
2005-11-18,59,78.39
2005-11-25,71,79.72
2005-12-02,52,82.81
2005-12-09,85,84.29
2005-12-16,57,41.29
2005-12-23,68,42.36
2005-12-30,85,41.4
2006-01-06,71,45.81
2006-01-13,42,47.36
2006-01-20,46,48.53
2006-01-27,57,48.89
2006-02-03,29,45.77
2006-02-10,39,43.49
2006-02-17,54,41.44
2006-02-24,55,42.05
2006-03-03,44,41.71
2006-03-10,62,39.01
2006-03-17,55,41.42
2006-03-24,44,43.26
2006-03-31,49,44.08
2006-04-07,42,46.61
2006-04-21,41,49.78
2006-04-28,57,50.24
2006-05-05,33,53.93
2006-05-12,32,51.92
2006-05-19,43,46.59
2006-05-26,39,46.66
2006-06-02,35,48.7
2006-06-09,40,45.4
2006-06-16,45,45.03
2006-06-23,42,44.84
2006-06-30,32,47.77
2006-07-07,38,45.73
2006-07-14,32,49.02
2006-07-21,33,43.69
2006-07-28,37,49.42
2006-08-04,34,49.75
2006-08-11,63,48.05
2006-08-18,41,48.83
2006-08-25,41,49.77
2006-09-01,54,48.94
2006-09-08,45,46.49
2006-09-15,50,44.6
2006-09-22,40,44.9
2006-09-29,49,48.31
2006-10-06,51,46.95
2006-10-13,56,48.71
2006-10-20,37,49.75
2006-10-27,38,50.93
2006-11-03,34,51.42
2006-11-10,62,53.66
2006-11-17,62,52.75
2006-11-24,51,53.12
2006-12-01,81,55.3
2006-12-08,55,55.59
2006-12-15,57,56.64
2006-12-22,57,53.65
2006-12-29,61,53.05
2007-01-05,40,49.86
2007-01-12,48,51.66
2007-01-19,28,51.44
2007-01-26,40,52.02
2007-02-02,22,53.25
2007-02-09,39,57.41
2007-02-16,27,57.34
2007-02-23,38,58.73
2007-03-02,34,55.83
2007-03-09,44,57.71
2007-03-16,28,58.53
2007-03-23,31,61.92
2007-03-30,31,62.79
2007-04-13,38,65.37
2007-04-20,41,65.08
2007-04-27,30,66.94
2007-05-04,42,67.92
2007-05-11,40,68.34
2007-05-18,42,70.79
2007-05-25,34,68.96
2007-06-01,33,70.65
2007-06-08,45,69.56
2007-06-15,53,73.37
2007-06-22,34,73.73
2007-06-29,19,71.47
2007-07-06,49,74.67
2007-07-13,29,77.73
2007-07-20,52,79.14
2007-07-27,49,76.91
2007-08-03,49,76.5
2007-08-10,35,78.67
2007-08-17,33,71.7
2007-08-24,35,78.26
2007-08-31,44,81.77
2007-09-07,43,85.27
2007-09-14,36,89.24
2007-09-21,37,93.54
2007-09-28,42,92.29
2007-10-05,41,96.08
2007-10-12,39,102.28
2007-10-19,33,98.13
2007-10-26,47,103.94
2007-11-02,51,98.6
2007-11-09,55,95.42
2007-11-16,44,89.33
2007-11-23,45,94.23
2007-11-30,32,93.23
2007-12-07,68,98.68
2007-12-14,52,95.71
2007-12-21,49,95
2007-12-28,70,98.33
2008-01-04,53,50.37
2008-01-11,55,48.73
2008-01-18,36,45.58
2008-01-25,28,43.99
2008-02-01,54,42.12
2008-02-08,39,39.39
2008-02-15,43,41.36
2008-02-22,47,43.34
2008-02-29,34,42.48
2008-03-07,51,39.26
2008-03-14,44,42.73
2008-03-28,38,41.83
2008-04-04,43,46
2008-04-11,54,45.71
2008-04-18,38,50.52
2008-04-25,27,49.75
2008-05-02,46,47.65
2008-05-09,28,51.76
2008-05-16,37,55.84
2008-05-23,33,52.48
2008-05-30,31,53.23
2008-06-06,38,55.25
2008-06-13,30,55.03
2008-06-20,41,54.56
2008-06-27,37,54.91
2008-07-11,40,51.37
2008-07-18,44,51.91
2008-07-25,59,47.98
2008-08-01,47,48.96
2008-08-08,48,45.66
2008-08-15,52,45.7
2008-08-22,48,47.61
2008-08-29,44,46.59
2008-09-05,48,43.67
2008-09-12,40,42.2
2008-09-19,37,44.85
2008-09-26,33,40.45
2008-10-03,32,31.23
2008-10-10,39,25.24
2008-10-17,37,23.8
2008-10-24,41,21.29
2008-10-31,42,24.26
2008-11-07,50,23.82
2008-11-14,52,20.62
2008-11-21,59,18.4
2008-11-28,62,21.1
2008-12-05,50,18.09
2008-12-12,56,20.84
2008-12-19,61,19.9
2008-12-26,69,19.53
2009-01-02,62,22.07
2009-01-09,61,23.14
2009-01-16,48,22.58
2009-01-23,60,22.83
2009-01-30,47,23.16
2009-02-06,46,23.26
2009-02-13,45,21.8
2009-02-20,48,19.32
2009-02-27,38,19.28
2009-03-06,35,18.36
2009-03-13,37,20.54
2009-03-20,32,22.59
2009-03-27,43,23.32
2009-04-03,37,23.52
2009-04-17,45,25.45
2009-04-24,44,26.59
2009-05-01,41,26.28
2009-05-08,40,30.5
2009-05-15,46,27.55
2009-05-22,46,29.53
2009-05-29,38,31.23
2009-06-05,34,30.27
2009-06-12,47,31.43
2009-06-19,44,28.18
2009-06-26,34,28.9
2009-07-10,36,26.42
2009-07-17,36,29.17
2009-07-24,48,31.85
2009-07-31,38,31.23
2009-08-07,45,34.19
2009-08-14,50,33.53
2009-08-21,49,36.66
2009-08-28,52,36.64
2009-09-04,52,35.98
2009-09-11,47,37.33
2009-09-18,37,38.77
2009-09-25,51,36.91
2009-10-02,37,35.92
2009-10-09,42,39.51
2009-10-16,38,41.59
2009-10-23,40,40.16
2009-10-30,40,36.97
2009-11-06,39,39.24
2009-11-13,42,40.06
2009-11-20,45,37.48
2009-11-27,48,37.24
2009-12-04,55,37.35
2009-12-11,56,37.95
2009-12-18,52,39.88
2010-01-08,60,44.86
2010-01-15,48,41.65
2010-01-22,43,39.08
2010-01-29,44,37.66
2010-02-05,57,37.31
2010-02-12,53,40.86
2010-02-19,48,41.94
2010-02-26,51,41.13
2010-03-05,40,44.43
2010-03-12,49,44.65
2010-03-19,40,41.81
2010-03-26,53,41.1
2010-04-09,48,45.23
2010-04-16,41,44.75
2010-04-23,42,47.31
2010-04-30,40,39.46
2010-05-07,47,35.58
2010-05-14,46,37.3
2010-05-21,42,35.84
2010-05-28,49,36.2
2010-06-04,44,33.23
2010-06-11,54,36.43
2010-06-18,54,37.97
2010-06-25,38,35.55
2010-07-02,46,32.53
2010-07-09,48,35.2
2010-07-16,45,34.75
2010-07-23,42,38.58
2010-07-30,38,39.59
2010-08-06,64,39.07
2010-08-13,46,37.94
2010-08-20,43,36.84
2010-08-27,46,37.97
2010-09-03,48,38.92
2010-09-10,47,40.22
2010-09-17,42,39.54
2010-09-24,49,42.07
2010-10-01,47,43.63
2010-10-08,38,43.49
2010-10-15,43,43.09
2010-10-22,43,42.92
2010-10-29,43,43.75
2010-11-05,51,46.13
2010-11-12,45,44.23
2010-11-19,48,48.69
2010-11-26,64,47.48
2010-12-03,59,51.36
2010-12-10,66,49.35
2010-12-17,64,49.54
2010-12-31,85,50.73
2011-01-07,49,48.68
2011-01-14,54,52.23
2011-01-21,42,50.28
2011-01-28,39,52.48
2011-02-04,47,57.01
2011-02-11,55,56.54
2011-02-18,47,59.18
2011-02-25,46,59.72
2011-03-04,46,61.98
2011-03-11,46,59.04
2011-03-18,37,59.1
2011-03-25,44,59.08
2011-04-01,43,56.64
2011-04-08,45,55.49
2011-04-15,50,53.35
2011-04-29,43,52.72
2011-05-06,43,48.07
2011-05-13,43,49.65
2011-05-20,40,48.16
2011-05-27,39,47.37
2011-06-03,36,46.27
2011-06-10,51,44.78
2011-06-17,42,46.11
2011-06-24,43,45.7
2011-07-01,36,50.43
2011-07-08,42,51.15
2011-07-15,41,50.61
2011-07-22,42,52.94
2011-07-29,48,55.94
2011-08-05,45,47.89
2011-08-12,38,47.93
2011-08-19,42,44.42
2011-08-26,39,48.76
2011-09-02,47,49.63
2011-09-09,46,48.28
2011-09-16,44,52.43
2011-09-23,36,43.74
2011-09-30,37,41.54
2011-10-07,36,45.46
2011-10-14,29,49.68
2011-10-21,44,49.75
2011-10-28,33,51.78
2011-11-04,43,50.97
2011-11-11,39,52.19
2011-11-18,39,49.32
2011-11-25,54,46.29
2011-12-02,58,52.87
2011-12-09,44,53.02
2011-12-16,57,47.55
2011-12-23,57,49.63
2011-12-30,56,49.19
2012-01-06,46,49.87
2012-01-13,40,51.23
2012-01-20,39,53.35
2012-01-27,47,53.45
2012-02-03,41,55.83
2012-02-10,42,56.5
2012-02-17,37,56.09
2012-02-24,47,56.85
2012-03-02,44,55.44
2012-03-09,41,54.26
2012-03-16,37,52.94
2012-03-23,37,51.78
2012-03-30,37,52.83
2012-04-13,36,50.81
2012-04-20,29,49
2012-04-27,39,51.28
2012-05-04,37,48.73
2012-05-11,41,48.56
2012-05-18,40,44.71
2012-05-25,36,47.94
2012-06-01,37,44.54
2012-06-08,35,45.97
2012-06-15,35,44.75
2012-06-22,35,41.11
2012-06-29,38,42.71
2012-07-06,39,42.82
2012-07-13,33,43.62
2012-07-20,38,45.66
2012-07-27,38,51.82
2012-08-03,45,52.09
2012-08-10,48,52.29
2012-08-17,40,53.92
2012-08-24,43,53.71
2012-08-31,38,54.71
2012-09-07,45,56.02
2012-09-14,36,58.99
2012-09-21,33,57.73
2012-09-28,35,56.07
2012-10-05,30,54.93
2012-10-12,35,53.22
2012-10-19,38,55.21
2012-10-26,38,51.24
2012-11-02,37,49.71
2012-11-09,33,50.97
2012-11-16,38,52.27
2012-11-23,43,54.47
2012-11-30,42,53.95
2012-12-07,45,55.09
2012-12-14,38,53.21
2012-12-21,53,56.28
2012-12-28,50,54.18
2013-01-04,41,58.52
2013-01-11,35,57.55
2013-01-18,35,58.9
2013-01-25,33,60.72
2013-02-01,38,65.46
2013-02-08,41,65.41
2013-02-15,41,64.58
2013-02-22,46,63.95
2013-03-01,35,62.85
2013-03-08,38,65.45
2013-03-15,43,66.66
2013-03-22,39,63.19
2013-04-05,36,61.46
2013-04-12,29,62.64
2013-04-19,35,59.19
2013-04-26,34,60.4
2013-05-03,32,63.21
2013-05-10,34,63.36
2013-05-17,33,64.47
2013-05-24,33,62.65
2013-05-31,39,60.87
2013-06-07,37,62.55
2013-06-14,35,62.1
2013-06-21,36,61.53
2013-06-28,41,61.16
2013-07-05,41,63.16
2013-07-12,41,64.7
2013-07-19,34,65.76
2013-07-26,35,57.18
2013-08-02,41,58.91
2013-08-09,35,57.51
2013-08-16,32,55.99
2013-08-23,39,56.84
2013-08-30,40,56.79
2013-09-06,41,58.4
2013-09-13,41,57.93
2013-09-20,37,60.21
2013-09-27,32,59.01
2013-10-04,33,61.52
2013-10-11,32,63.36
2013-10-18,29,65.11
2013-10-25,37,53.25
2013-11-01,38,54.64
2013-11-08,35,54.65
2013-11-15,38,55.96
2013-11-22,46,55.5
2013-11-29,46,55.39
2013-12-06,48,55.98
2013-12-13,46,56.09
2013-12-20,54,58.71
2013-12-27,48,59.5
2014-01-03,45,58.35
2014-01-10,40,59.47
2014-01-17,41,58.69
2014-01-24,32,57.97
2014-01-31,31,59.97
2014-02-07,37,58.65
2014-02-14,39,61.07
2014-02-21,35,61.83
2014-02-28,35,64.06
2014-03-07,36,63
2014-03-14,34,61.92
2014-03-21,35,62.85
2014-03-28,43,61.46
2014-04-04,37,63.97
2014-04-11,32,60.66
2014-04-25,34,64.6
