"Date","CSX","Price"
2008-04-11,62,56.31
2008-04-18,67,61.24
2008-04-25,64,61.94
2008-05-02,71,64.14
2008-05-09,59,63.24
2008-05-16,65,65.54
2008-05-23,71,66.73
2008-05-30,70,69.06
2008-06-06,73,65.41
2008-06-13,74,65.42
2008-06-20,69,64.83
2008-06-27,72,62.14
2008-07-11,69,60.62
2008-07-18,67,60.88
2008-07-25,65,63.34
2008-08-01,68,66.17
2008-08-08,71,65.61
2008-08-15,64,60.91
2008-08-22,65,63.73
2008-08-29,59,64.68
2008-09-05,65,57.71
2008-09-12,68,61.61
2008-09-19,64,59.37
2008-09-26,66,56.39
2008-10-03,59,47.7
2008-10-10,55,43.31
2008-10-17,58,43.33
2008-10-24,62,42.38
2008-10-31,62,45.72
2008-11-07,57,42.77
2008-11-14,63,38.82
2008-11-21,59,33.7
2008-11-28,49,37.24
2008-12-05,56,34.15
2008-12-12,58,31.85
2008-12-19,56,31.6
2008-12-26,51,31.5
2009-01-02,58,34.62
2009-01-09,65,34.52
2009-01-16,60,29.83
2009-01-23,60,28.84
2009-01-30,60,28.96
2009-02-06,51,32.78
2009-02-13,50,29.22
2009-02-20,56,26.61
2009-02-27,54,24.68
2009-03-06,53,21.59
2009-03-13,48,23.21
2009-03-20,52,24.24
2009-03-27,48,27.41
2009-04-03,55,29.45
2009-04-17,57,31.38
2009-04-24,57,30.97
2009-05-01,49,30.57
2009-05-08,50,31.02
2009-05-15,51,27.67
2009-05-22,45,28.16
2009-05-29,43,31.76
2009-06-05,48,33.94
2009-06-12,45,36.52
2009-06-19,51,34.56
2009-06-26,44,36.2
2009-07-10,47,32.03
2009-07-17,48,37.87
2009-07-24,47,40.72
2009-07-31,45,40.12
2009-08-07,44,44.33
2009-08-14,47,44.58
2009-08-21,46,45.06
2009-08-28,46,43.73
2009-09-04,46,45.29
2009-09-11,44,46.93
2009-09-18,44,45.26
2009-09-25,43,42.82
2009-10-02,41,41.65
2009-10-09,43,44.46
2009-10-16,49,46.77
2009-10-23,46,43.32
2009-10-30,44,42.18
2009-11-06,51,47.69
2009-11-13,41,48.95
2009-11-20,43,48.62
2009-11-27,40,47.53
2009-12-04,44,50.13
2009-12-11,42,48.94
2009-12-18,43,48.47
2010-01-08,45,52.38
2010-01-15,43,50.04
2010-01-22,51,44.12
2010-01-29,49,42.86
2010-02-05,47,42.92
2010-02-12,50,44.9
2010-02-19,48,46.77
2010-02-26,48,47.46
2010-03-05,45,48.97
2010-03-12,48,50.98
2010-03-19,46,51.51
2010-03-26,51,50.99
2010-04-09,51,52.96
2010-04-16,49,54.44
2010-04-23,44,56.82
2010-04-30,43,56.05
2010-05-07,42,52.67
2010-05-14,44,55.03
2010-05-21,42,51.09
2010-05-28,42,52.25
2010-06-04,45,50.02
2010-06-11,44,52.15
2010-06-18,47,54.95
2010-06-25,46,52.25
2010-07-02,47,47.7
2010-07-09,47,51.76
2010-07-16,58,50.12
2010-07-23,50,52.65
2010-07-30,50,52.72
2010-08-06,50,53.4
2010-08-13,50,50.39
2010-08-20,49,49.79
2010-08-27,50,49.79
2010-09-03,43,53.67
2010-09-10,48,54.72
2010-09-17,48,54.9
2010-09-24,50,56.14
2010-10-01,48,55.16
2010-10-08,49,57.49
2010-10-15,52,59.54
2010-10-22,51,61.18
2010-10-29,52,61.45
2010-11-05,55,61.8
2010-11-12,51,60.85
2010-11-19,59,62.44
2010-11-26,48,61.67
2010-12-03,51,64.41
2010-12-10,53,64.1
2010-12-17,45,63.66
2010-12-31,49,64.61
2011-01-07,52,67.79
2011-01-14,53,69.21
2011-01-21,50,67.64
2011-01-28,58,69.28
2011-02-04,51,69.7
2011-02-11,57,73.24
2011-02-18,55,74.76
2011-02-25,56,73.32
2011-03-04,53,74.96
2011-03-11,54,74.89
2011-03-18,50,76.22
2011-03-25,53,79.16
2011-04-01,56,79.39
2011-04-08,60,76.92
2011-04-15,56,76.66
2011-04-29,52,78.69
2011-05-06,51,78.6
2011-05-13,54,74.75
2011-05-20,51,77.4
2011-05-27,55,77.93
2011-06-03,50,75.74
2011-06-10,47,73.48
2011-06-17,54,24.81
2011-06-24,57,24.99
2011-07-01,53,26.81
2011-07-08,49,26.62
2011-07-15,58,25.32
2011-07-22,56,25.38
2011-07-29,54,24.57
2011-08-05,52,21.97
2011-08-12,55,22.6
2011-08-19,50,20.4
2011-08-26,57,21.45
2011-09-02,51,20.56
2011-09-09,46,19.58
2011-09-16,53,21.43
2011-09-23,56,19.25
2011-09-30,51,18.67
2011-10-07,49,20.09
2011-10-14,50,21.13
2011-10-21,47,21.86
2011-10-28,51,23.11
2011-11-04,46,21.76
2011-11-11,50,22.49
2011-11-18,49,21.64
2011-11-25,42,20
2011-12-02,53,21.65
2011-12-09,43,21.32
2011-12-16,46,20.41
2011-12-23,42,21.34
2011-12-30,44,21.06
2012-01-06,51,22.69
2012-01-13,55,22.94
2012-01-20,53,22.82
2012-01-27,59,22.76
2012-02-03,48,23.17
2012-02-10,51,22.05
2012-02-17,49,21.59
2012-02-24,50,21.66
2012-03-02,46,20.76
2012-03-09,51,20.9
2012-03-16,45,22.25
2012-03-23,46,21.17
2012-03-30,46,21.52
2012-04-13,51,21.92
2012-04-20,53,21.61
2012-04-27,48,22.39
2012-05-04,49,22.15
2012-05-11,46,21.66
2012-05-18,44,20.78
2012-05-25,44,21.37
2012-06-01,44,20.32
2012-06-08,43,21.08
2012-06-15,45,22.3
2012-06-22,44,21.63
2012-06-29,43,22.36
2012-07-06,40,22.41
2012-07-13,45,22.66
2012-07-20,43,22.37
2012-07-27,47,22.85
2012-08-03,43,23.11
2012-08-10,42,22.98
2012-08-17,44,23.39
2012-08-24,63,22.99
2012-08-31,42,22.46
2012-09-07,41,22.31
2012-09-14,41,23.16
2012-09-21,45,21.13
2012-09-28,44,20.75
2012-10-05,43,21.42
2012-10-12,41,21.31
2012-10-19,41,21.1
2012-10-26,40,20.55
2012-11-02,41,20.66
2012-11-09,42,19.88
2012-11-16,41,19.01
2012-11-23,33,19.71
2012-11-30,40,19.76
2012-12-07,36,19.91
2012-12-14,39,19.77
2012-12-21,36,19.95
2012-12-28,33,19.43
2013-01-04,40,20.94
2013-01-11,40,20.54
2013-01-18,40,20.91
2013-01-25,46,22.24
2013-02-01,46,21.92
2013-02-08,42,21.97
2013-02-15,43,22.79
2013-02-22,41,22.86
2013-03-01,42,22.97
2013-03-08,42,22.99
2013-03-15,41,24.02
2013-03-22,39,24.03
2013-04-05,41,23.84
2013-04-12,41,24.51
2013-04-19,43,23.7
2013-04-26,45,24.37
2013-05-03,43,24.81
2013-05-10,43,25.43
2013-05-17,41,25.92
2013-05-24,40,25.5
2013-05-31,53,25.21
2013-06-07,41,25.02
2013-06-14,40,24.94
2013-06-21,41,23.47
2013-06-28,42,23.19
2013-07-05,40,23.26
2013-07-12,43,24.36
2013-07-19,47,25.39
2013-07-26,43,24.68
2013-08-02,43,26.05
2013-08-09,44,25.7
2013-08-16,44,25.16
2013-08-23,44,25.36
2013-08-30,42,24.61
2013-09-06,39,25.45
2013-09-13,39,26.06
2013-09-20,41,26.42
2013-09-27,39,25.85
2013-10-04,42,25.57
2013-10-11,39,25.83
2013-10-18,43,25.7
2013-10-25,41,26.61
2013-11-01,42,26.28
2013-11-08,42,26.61
2013-11-15,42,27
2013-11-22,43,27.35
2013-11-29,33,27.27
2013-12-06,39,27.75
2013-12-13,40,27.57
2013-12-20,38,28.08
2013-12-27,36,28.29
2014-01-03,38,28.43
2014-01-10,43,28.88
2014-01-17,43,27.23
2014-01-24,44,26.2
2014-01-31,41,26.91
2014-02-07,44,27.25
2014-02-14,39,27.53
2014-02-21,43,27.32
2014-02-28,41,27.71
2014-03-07,43,28.87
2014-03-14,38,28.38
2014-03-21,39,28.76
2014-03-28,42,28.58
2014-04-04,41,28.76
2014-04-11,39,28.01
2014-04-25,41,28.03
