"Date","JPMorgan.Chase...Co.","Price"
2008-08-08,38,41.07
2008-08-15,41,38.07
2008-08-22,36,37.67
2008-08-29,34,38.49
2008-09-05,33,39.6
2008-09-12,43,41.17
2008-09-19,65,47.05
2008-09-26,100,48.24
2008-10-03,80,45.9
2008-10-10,67,41.64
2008-10-17,54,39.33
2008-10-24,47,35.43
2008-10-31,51,41.25
2008-11-07,39,37.75
2008-11-14,44,34.47
2008-11-21,48,22.72
2008-11-28,34,31.66
2008-12-05,50,33.35
2008-12-12,43,30.94
2008-12-19,39,30.32
2008-12-26,30,29.8
2009-01-02,40,31.35
2009-01-09,45,25.97
2009-01-16,52,22.82
2009-01-23,42,24.28
2009-01-30,45,25.51
2009-02-06,43,27.63
2009-02-13,40,24.69
2009-02-20,39,19.9
2009-02-27,47,22.85
2009-03-06,54,15.93
2009-03-13,47,23.75
2009-03-20,47,23.15
2009-03-27,55,27.4
2009-04-03,42,29.28
2009-04-17,52,33.26
2009-04-24,41,33.38
2009-05-01,38,32.49
2009-05-08,46,38.94
2009-05-15,39,34.91
2009-05-22,35,34.41
2009-05-29,41,36.9
2009-06-05,40,34.55
2009-06-12,47,35.13
2009-06-19,50,35
2009-06-26,40,34.45
2009-07-10,43,32.34
2009-07-17,52,36.89
2009-07-24,44,37.92
2009-07-31,43,38.65
2009-08-07,48,42.36
2009-08-14,41,42.45
2009-08-21,37,43.66
2009-08-28,45,42.92
2009-09-04,41,42.34
2009-09-11,39,42.5
2009-09-18,45,44.95
2009-09-25,39,43.65
2009-10-02,35,41.86
2009-10-09,40,45.85
2009-10-16,48,46.06
2009-10-23,42,45.23
2009-10-30,45,41.77
2009-11-06,48,43.48
2009-11-13,56,42.9
2009-11-20,48,42.46
2009-11-27,38,41.33
2009-12-04,45,41.74
2009-12-11,41,40.96
2009-12-18,44,40.95
2010-01-08,48,44.68
2010-01-15,66,43.68
2010-01-22,49,39.16
2010-01-29,52,38.94
2010-02-05,47,38.3
2010-02-12,45,38.95
2010-02-19,49,40.03
2010-02-26,43,41.97
2010-03-05,49,42.81
2010-03-12,41,43.15
2010-03-19,44,43.45
2010-03-26,40,45.02
2010-04-09,51,45.98
2010-04-16,55,45.55
2010-04-23,50,44.94
2010-04-30,46,42.58
2010-05-07,49,40.76
2010-05-14,43,39.89
2010-05-21,44,40.05
2010-05-28,49,39.58
2010-06-04,41,37.62
2010-06-11,45,38.09
2010-06-18,46,39.18
2010-06-25,49,39.44
2010-07-02,47,35.83
2010-07-09,47,38.85
2010-07-16,53,39
2010-07-23,52,39.83
2010-07-30,48,40.28
2010-08-06,50,40.44
2010-08-13,50,37.5
2010-08-20,47,37.14
2010-08-27,51,36.6
2010-09-03,53,39.17
2010-09-10,46,39.76
2010-09-17,49,40.06
2010-09-24,49,39.75
2010-10-01,50,38.81
2010-10-08,52,39.31
2010-10-15,55,37.15
2010-10-22,49,37.7
2010-10-29,42,37.63
2010-11-05,47,40.94
2010-11-12,49,39.61
2010-11-19,45,39.41
2010-11-26,35,37.5
2010-12-03,44,39.61
2010-12-10,40,41.43
2010-12-17,44,39.67
2010-12-31,42,42.42
2011-01-07,48,43.64
2011-01-14,51,44.91
2011-01-21,50,45.29
2011-01-28,44,44.54
2011-02-04,41,44.59
2011-02-11,45,46.57
2011-02-18,44,48
2011-02-25,37,46.68
2011-03-04,48,45.52
2011-03-11,42,45.74
2011-03-18,39,45.74
2011-03-25,42,45.86
2011-04-01,41,46.35
2011-04-08,45,46.84
2011-04-15,48,44.89
2011-04-29,44,45.63
2011-05-06,39,45.04
2011-05-13,41,43.15
2011-05-20,42,43.13
2011-05-27,45,42.79
2011-06-03,42,41.57
2011-06-10,45,41.05
2011-06-17,61,40.8
2011-06-24,46,39.49
2011-07-01,51,41.58
2011-07-08,48,40.74
2011-07-15,57,39.98
2011-07-22,51,42.19
2011-07-29,49,40.45
2011-08-05,54,37.6
2011-08-12,49,35.91
2011-08-19,50,34.35
2011-08-26,50,36.21
2011-09-02,48,34.63
2011-09-09,39,32.08
2011-09-16,47,33.43
2011-09-23,41,29.59
2011-09-30,44,30.12
2011-10-07,44,30.7
2011-10-14,47,31.89
2011-10-21,40,33.42
2011-10-28,42,36.69
2011-11-04,36,33.97
2011-11-11,38,33.28
2011-11-18,36,30.62
2011-11-25,29,28.48
2011-12-02,37,32.33
2011-12-09,31,33.18
2011-12-16,34,31.89
2011-12-23,26,33.57
2011-12-30,29,33.25
2012-01-06,31,35.36
2012-01-13,38,35.92
2012-01-20,37,37.36
2012-01-27,34,37.21
2012-02-03,36,38.28
2012-02-10,38,37.61
2012-02-17,36,38.47
2012-02-24,32,38.28
2012-03-02,33,40.63
2012-03-09,34,41.03
2012-03-16,38,44.57
2012-03-23,37,45.16
2012-03-30,39,45.98
2012-04-13,36,43.21
2012-04-20,43,42.72
2012-04-27,34,43.34
2012-05-04,40,41.75
2012-05-11,63,36.96
2012-05-18,87,33.49
2012-05-25,47,33.5
2012-06-01,42,31.93
2012-06-08,37,33.68
2012-06-15,48,35.03
2012-06-22,47,35.99
2012-06-29,48,35.73
2012-07-06,43,33.9
2012-07-13,52,36.07
2012-07-20,50,33.9
2012-07-27,51,36.89
2012-08-03,50,36.09
2012-08-10,54,36.97
2012-08-17,49,36.98
2012-08-24,51,37.17
2012-08-31,48,37.14
2012-09-07,44,39.3
2012-09-14,53,41.57
2012-09-21,56,40.88
2012-09-28,46,40.48
2012-10-05,53,41.71
2012-10-12,50,41.62
2012-10-19,47,42.32
2012-10-26,44,41.16
2012-11-02,39,42.42
2012-11-09,44,40.62
2012-11-16,45,39.53
2012-11-23,35,41.09
2012-11-30,42,41.08
2012-12-07,42,42.56
2012-12-14,38,42.81
2012-12-21,36,44
2012-12-28,32,43.24
2013-01-04,40,45.36
2013-01-11,43,46.14
2013-01-18,50,46.46
2013-01-25,39,47.16
2013-02-01,42,47.85
2013-02-08,45,48.63
2013-02-15,45,48.88
2013-02-22,42,48.91
2013-03-01,48,48.91
2013-03-08,46,50.2
2013-03-15,50,50.02
2013-03-22,45,48.78
2013-04-05,47,47.91
2013-04-12,48,49.01
2013-04-19,48,47.23
2013-04-26,39,48.88
2013-05-03,43,47.57
2013-05-10,44,48.96
2013-05-17,39,52.3
2013-05-24,46,53.66
2013-05-31,42,54.59
2013-06-07,46,54.27
2013-06-14,50,53.13
2013-06-21,43,51.96
2013-06-28,46,52.79
2013-07-05,39,53.99
2013-07-12,49,54.97
2013-07-19,46,56.16
2013-07-26,47,56.05
2013-08-02,48,56.49
2013-08-09,47,54.52
2013-08-16,50,53.29
2013-08-23,47,52.32
2013-08-30,44,50.53
2013-09-06,42,52.56
2013-09-13,47,52.59
2013-09-20,50,52.8
2013-09-27,50,52.24
2013-10-04,44,52.67
2013-10-11,50,52.51
2013-10-18,45,54.3
2013-10-25,52,52.77
2013-11-01,40,52.51
2013-11-08,46,53.96
2013-11-15,47,54.87
2013-11-22,51,57.46
2013-11-29,36,57.22
2013-12-06,42,56.06
2013-12-13,42,56.17
2013-12-20,41,57.7
2013-12-27,31,58.14
2014-01-03,34,58.66
2014-01-10,48,58.49
2014-01-17,47,58.11
2014-01-24,43,55.09
2014-01-31,50,55.36
2014-02-07,49,56.62
2014-02-14,46,58.15
2014-02-21,58,57.61
2014-02-28,70,56.82
2014-03-07,62,59.4
2014-03-14,58,56.8
2014-03-21,59,60.17
2014-03-28,60,60.04
2014-04-04,56,59.81
2014-04-11,59,55.3
2014-04-25,53,55.7
