"Date","JBL","Price"
2005-10-21,62,30.21
2005-10-28,70,29.48
2005-11-04,69,30.58
2005-11-11,71,31.42
2005-11-18,72,32.16
2005-11-25,81,33.47
2005-12-02,84,34.33
2005-12-09,81,34.37
2005-12-16,88,35.13
2005-12-23,88,37.38
2005-12-30,98,37.09
2006-01-06,78,38.55
2006-01-13,78,37.91
2006-01-20,76,38.45
2006-01-27,71,41.19
2006-02-03,75,38.38
2006-02-10,68,38.78
2006-02-17,65,40.04
2006-02-24,70,38.24
2006-03-03,70,38.29
2006-03-10,69,37.06
2006-03-17,68,37.99
2006-03-24,64,42.72
2006-03-31,63,42.86
2006-04-07,61,42.75
2006-04-21,66,39.1
2006-04-28,64,38.99
2006-05-05,66,40.15
2006-05-12,65,36.27
2006-05-19,62,34.52
2006-05-26,66,35.42
2006-06-02,68,36.05
2006-06-09,65,34.04
2006-06-16,61,26.26
2006-06-23,60,25
2006-06-30,62,25.6
2006-07-07,59,24.68
2006-07-14,62,23.8
2006-07-21,62,22.07
2006-07-28,67,22.9
2006-08-04,64,23.66
2006-08-11,66,23.69
2006-08-18,65,27.35
2006-08-25,68,26.89
2006-09-01,67,27.3
2006-09-08,68,26.46
2006-09-15,64,27.01
2006-09-22,65,27.72
2006-09-29,71,28.57
2006-10-06,73,30.8
2006-10-13,67,30.53
2006-10-20,62,29.6
2006-10-27,61,28.71
2006-11-03,64,28.69
2006-11-10,69,29.8
2006-11-17,67,28.75
2006-11-24,77,29.16
2006-12-01,76,28.68
2006-12-08,81,28.43
2006-12-15,83,27.3
2006-12-22,86,24.15
2006-12-29,99,24.55
2007-01-05,82,25.03
2007-01-12,75,24.92
2007-01-19,72,24.21
2007-01-26,72,24.61
2007-02-02,67,24.47
2007-02-09,63,25.87
2007-02-16,67,26.49
2007-02-23,69,27.64
2007-03-02,63,26.35
2007-03-09,67,26.29
2007-03-16,62,26.09
2007-03-23,65,22.26
2007-03-30,62,21.41
2007-04-13,63,21.85
2007-04-20,56,22.81
2007-04-27,57,23.6
2007-05-04,58,23.87
2007-05-11,64,23.4
2007-05-18,59,22.57
2007-05-25,61,23.12
2007-06-01,60,22.61
2007-06-08,59,20.53
2007-06-15,65,20.58
2007-06-22,61,23.13
2007-06-29,64,22.07
2007-07-06,61,22.31
2007-07-13,60,24.81
2007-07-20,60,24.47
2007-07-27,59,22.69
2007-08-03,59,21.89
2007-08-10,62,24.08
2007-08-17,61,22.42
2007-08-24,61,21.67
2007-08-31,62,22.2
2007-09-07,65,22.32
2007-09-14,60,23.39
2007-09-21,62,24.74
2007-09-28,59,22.84
2007-10-05,59,22.58
2007-10-12,63,21.89
2007-10-19,60,21.37
2007-10-26,58,20.65
2007-11-02,64,20.73
2007-11-09,60,19.15
2007-11-16,60,17.81
2007-11-23,75,17.35
2007-11-30,76,16.95
2007-12-07,80,17.85
2007-12-14,72,16.99
2007-12-21,77,14.43
2007-12-28,82,15.18
2008-01-04,76,13.56
2008-01-11,70,14.45
2008-01-18,64,13.94
2008-01-25,66,13.14
2008-02-01,66,13.91
2008-02-08,60,13.56
2008-02-15,60,14.4
2008-02-22,63,14.3
2008-02-29,59,12.92
2008-03-07,61,12.12
2008-03-14,61,12.44
2008-03-28,60,9.21
2008-04-04,58,9.98
2008-04-11,58,9.8
2008-04-18,55,10.68
2008-04-25,58,10.87
2008-05-02,60,11.14
2008-05-09,58,10.91
2008-05-16,57,11.65
2008-05-23,54,11.34
2008-05-30,56,12.72
2008-06-06,54,14.07
2008-06-13,55,14.5
2008-06-20,56,14.95
2008-06-27,55,16.22
2008-07-11,54,14.96
2008-07-18,58,15.99
2008-07-25,60,15.72
2008-08-01,58,16.64
2008-08-08,59,18.28
2008-08-15,56,18.5
2008-08-22,56,17.31
2008-08-29,60,16.86
2008-09-05,60,13.31
2008-09-12,55,12.73
2008-09-19,56,11.24
2008-09-26,57,10.99
2008-10-03,53,8.62
2008-10-10,56,6.35
2008-10-17,53,7.39
2008-10-24,56,7.74
2008-10-31,53,8.41
2008-11-07,55,8.29
2008-11-14,57,6.33
2008-11-21,58,5.39
2008-11-28,60,6.58
2008-12-05,63,6.34
2008-12-12,68,6.6
2008-12-19,66,6.32
2008-12-26,73,6.32
2009-01-02,75,7.09
2009-01-09,60,6.98
2009-01-16,63,5.92
2009-01-23,60,6.1
2009-01-30,59,5.82
2009-02-06,60,6.5
2009-02-13,56,6.1
2009-02-20,58,5.19
2009-02-27,56,4.14
2009-03-06,57,3.26
2009-03-13,57,4.03
2009-03-20,59,3.97
2009-03-27,54,5.69
2009-04-03,50,6.3
2009-04-17,55,7.28
2009-04-24,52,7.71
2009-05-01,51,8.03
2009-05-08,50,8.41
2009-05-15,52,7.49
2009-05-22,51,7.63
2009-05-29,51,7.83
2009-06-05,50,8.58
2009-06-12,49,7.55
2009-06-19,51,6.85
2009-06-26,48,7.16
2009-07-10,49,6.82
2009-07-17,49,8.16
2009-07-24,52,9.05
2009-07-31,52,9.16
2009-08-07,48,9.79
2009-08-14,51,9.87
2009-08-21,50,10.71
2009-08-28,52,11.16
2009-09-04,52,11.08
2009-09-11,49,11.77
2009-09-18,49,12.41
2009-09-25,48,11.87
2009-10-02,47,12.94
2009-10-09,46,14.35
2009-10-16,49,14.78
2009-10-23,48,14.96
2009-10-30,48,13.38
2009-11-06,49,14.29
2009-11-13,51,14.48
2009-11-20,51,13.63
2009-11-27,55,13.34
2009-12-04,56,12.94
2009-12-11,62,14.06
2009-12-18,55,14.8
2010-01-08,53,17.54
2010-01-15,53,17.04
2010-01-22,51,15.69
2010-01-29,49,14.48
2010-02-05,49,14.36
2010-02-12,49,14.74
2010-02-19,49,15.16
2010-02-26,46,15.17
2010-03-05,48,16.72
2010-03-12,49,17.62
2010-03-19,46,17.34
2010-03-26,44,16.37
2010-04-09,46,16.8
2010-04-16,48,16.45
2010-04-23,44,17.02
2010-04-30,43,15.32
2010-05-07,44,14.09
2010-05-14,45,14.12
2010-05-21,44,13.15
2010-05-28,44,13.69
2010-06-04,45,12.66
2010-06-11,42,13.09
2010-06-18,41,13.96
2010-06-25,42,14.4
2010-07-02,40,13.02
2010-07-09,39,13.97
2010-07-16,41,14.79
2010-07-23,43,15.31
2010-07-30,42,14.51
2010-08-06,45,13.29
2010-08-13,43,11.55
2010-08-20,43,11.17
2010-08-27,44,10.82
2010-09-03,44,11.73
2010-09-10,44,12.22
2010-09-17,44,12.79
2010-09-24,42,13.57
2010-10-01,42,14.3
2010-10-08,42,14.71
2010-10-15,41,14.75
2010-10-22,42,14.18
2010-10-29,42,15.34
2010-11-05,44,15.63
2010-11-12,43,14.39
2010-11-19,44,15.03
2010-11-26,46,14.59
2010-12-03,45,16.16
2010-12-10,48,16.71
2010-12-17,49,17.47
2010-12-31,51,20.09
2011-01-07,49,21.07
2011-01-14,46,21.34
2011-01-21,45,19.84
2011-01-28,43,19.81
2011-02-04,43,21.22
2011-02-11,43,21.66
2011-02-18,44,22.57
2011-02-25,42,20.93
2011-03-04,42,21.79
2011-03-11,46,20.48
2011-03-18,41,18.59
2011-03-25,40,21.28
2011-04-01,42,20.04
2011-04-08,39,19.79
2011-04-15,40,19.18
2011-04-29,39,19.84
2011-05-06,38,20.99
2011-05-13,39,21.58
2011-05-20,39,20.74
2011-05-27,40,21.22
2011-06-03,39,19.95
2011-06-10,38,19.08
2011-06-17,38,18.29
2011-06-24,39,19.14
2011-07-01,40,20.77
2011-07-08,38,21.35
2011-07-15,39,19.79
2011-07-22,38,20.26
2011-07-29,38,18.31
2011-08-05,40,15.54
2011-08-12,39,16.25
2011-08-19,41,14.22
2011-08-26,40,15.46
2011-09-02,41,16.37
2011-09-09,39,15.76
2011-09-16,39,17.66
2011-09-23,39,16.28
2011-09-30,37,17.79
2011-10-07,37,18.6
2011-10-14,39,20.07
2011-10-21,39,19.92
2011-10-28,39,21.32
2011-11-04,40,20.59
2011-11-11,39,20.91
2011-11-18,41,20.32
2011-11-25,42,18.34
2011-12-02,47,20.71
2011-12-09,46,20.65
2011-12-16,50,19.42
2011-12-23,47,19.91
2011-12-30,50,19.66
2012-01-06,45,20.87
2012-01-13,43,21.04
2012-01-20,43,23
2012-01-27,42,22.8
2012-02-03,41,24.12
2012-02-10,40,24.72
2012-02-17,39,26.03
2012-02-24,40,26.01
2012-03-02,40,25.98
2012-03-09,40,26.16
2012-03-16,38,26.82
2012-03-23,39,25.5
2012-03-30,38,25.12
2012-04-13,38,23.03
2012-04-20,38,22.58
2012-04-27,37,23.58
2012-05-04,36,21.66
2012-05-11,36,20.04
2012-05-18,35,18.91
2012-05-25,35,19.25
2012-06-01,35,18.19
2012-06-08,37,19.1
2012-06-15,35,19.13
2012-06-22,35,19.76
2012-06-29,36,20.33
2012-07-06,36,19.85
2012-07-13,36,19.02
2012-07-20,39,20.55
2012-07-27,39,21.22
2012-08-03,36,22.02
2012-08-10,35,22.67
2012-08-17,36,23.16
2012-08-24,37,23.27
2012-08-31,39,22.78
2012-09-07,37,21.9
2012-09-14,36,22.7
2012-09-21,40,21.55
2012-09-28,36,18.72
2012-10-05,37,18.05
2012-10-12,37,17.03
2012-10-19,36,17.19
2012-10-26,37,17.28
2012-11-02,37,17.4
2012-11-09,37,17.62
2012-11-16,40,17.63
2012-11-23,43,18.95
2012-11-30,44,19
2012-12-07,41,18.37
2012-12-14,43,17.51
2012-12-21,47,19.39
2012-12-28,50,18.61
2013-01-04,46,19.44
2013-01-11,44,19.92
2013-01-18,42,19.63
2013-01-25,41,19.94
2013-02-01,41,19.36
2013-02-08,39,19.36
2013-02-15,38,19.77
2013-02-22,38,19.07
2013-03-01,38,18.47
2013-03-08,40,18.89
2013-03-15,38,19.25
2013-03-22,38,18.56
2013-04-05,39,18.31
2013-04-12,39,18.01
2013-04-19,39,16.57
2013-04-26,39,17.31
2013-05-03,37,18.23
2013-05-10,37,19.28
2013-05-17,39,20.05
2013-05-24,40,19.25
2013-05-31,40,20.06
2013-06-07,40,19.44
2013-06-14,40,19.42
2013-06-21,40,20.23
2013-06-28,39,20.38
2013-07-05,40,20.93
2013-07-12,41,21.95
2013-07-19,39,22.25
2013-07-26,40,22.6
2013-08-02,42,23.39
2013-08-09,41,23.63
2013-08-16,43,23.36
2013-08-23,43,23.39
2013-08-30,42,22.82
2013-09-06,42,23
2013-09-13,40,23.67
2013-09-20,39,23.11
2013-09-27,40,21.42
2013-10-04,38,22.11
2013-10-11,41,21.99
2013-10-18,41,22.52
2013-10-25,41,22.52
2013-11-01,43,20.71
2013-11-08,43,20.51
2013-11-15,45,19.82
2013-11-22,43,19.62
2013-11-29,51,20.27
2013-12-06,50,20.42
2013-12-13,55,19.07
2013-12-20,62,16.12
2013-12-27,70,17.01
2014-01-03,57,17.19
2014-01-10,50,17.02
2014-01-17,50,18.01
2014-01-24,50,17.96
2014-01-31,52,17.97
2014-02-07,47,18.01
2014-02-14,46,18.49
2014-02-21,46,18.48
2014-02-28,46,18.51
2014-03-07,44,18.39
2014-03-14,44,17.73
2014-03-21,44,17.72
2014-03-28,43,17.76
2014-04-04,43,18.44
2014-04-11,44,17.23
2014-04-25,44,17.64
