"Date","CL","Price"
2006-12-29,46,65.24
2007-01-05,42,65.46
2007-01-12,45,66.84
2007-01-19,44,66.85
2007-01-26,45,66.18
2007-02-02,44,67.74
2007-02-09,44,66.92
2007-02-16,43,68.76
2007-02-23,51,68.33
2007-03-02,44,66.65
2007-03-09,51,66.63
2007-03-16,45,65.1
2007-03-23,44,67.12
2007-03-30,50,66.79
2007-04-13,49,66.41
2007-04-20,45,67.29
2007-04-27,47,67.04
2007-05-04,48,68.15
2007-05-11,47,66.96
2007-05-18,47,67.3
2007-05-25,53,66.57
2007-06-01,46,67.41
2007-06-08,46,66.69
2007-06-15,44,66.63
2007-06-22,45,65.27
2007-06-29,45,64.85
2007-07-06,46,66.01
2007-07-13,47,68.45
2007-07-20,45,67.68
2007-07-27,44,68.45
2007-08-03,44,66.2
2007-08-10,44,66.95
2007-08-17,45,67.37
2007-08-24,46,67.46
2007-08-31,52,66.32
2007-09-07,46,65.43
2007-09-14,45,68.03
2007-09-21,50,69.85
2007-09-28,48,71.32
2007-10-05,52,72.13
2007-10-12,47,74.34
2007-10-19,45,71.84
2007-10-26,46,73.95
2007-11-02,48,74.72
2007-11-09,49,76.51
2007-11-16,47,78.8
2007-11-23,51,79
2007-11-30,56,80.08
2007-12-07,52,79.81
2007-12-14,48,80.64
2007-12-21,48,78.73
2007-12-28,45,78.74
2008-01-04,43,78.78
2008-01-11,45,79.41
2008-01-18,45,77
2008-01-25,44,73.75
2008-02-01,44,75.42
2008-02-08,42,74.32
2008-02-15,45,75.32
2008-02-22,49,76.18
2008-02-29,46,76.09
2008-03-07,50,74.89
2008-03-14,48,76.28
2008-03-28,44,78.12
2008-04-04,50,78.89
2008-04-11,48,78
2008-04-18,47,77.41
2008-04-25,48,76.1
2008-05-02,48,73.68
2008-05-09,46,71.21
2008-05-16,46,72.5
2008-05-23,56,72.14
2008-05-30,46,74.36
2008-06-06,46,72.69
2008-06-13,47,73.3
2008-06-20,47,69.61
2008-06-27,44,68.21
2008-07-11,45,69.19
2008-07-18,44,68.84
2008-07-25,46,69.2
2008-08-01,49,74.44
2008-08-08,46,78.27
2008-08-15,47,78.42
2008-08-22,43,77.26
2008-08-29,52,76.03
2008-09-05,46,77.07
2008-09-12,48,79.99
2008-09-19,51,75.71
2008-09-26,48,77.06
2008-10-03,53,75.5
2008-10-10,49,60.75
2008-10-17,49,62.19
2008-10-24,51,55.94
2008-10-31,46,62.76
2008-11-07,49,63.02
2008-11-14,45,62.06
2008-11-21,46,62.65
2008-11-28,50,65.07
2008-12-05,48,63.01
2008-12-12,52,59.22
2008-12-19,48,65
2008-12-26,49,68.1
2009-01-02,50,69.32
2009-01-09,49,64.9
2009-01-16,51,63.54
2009-01-23,54,61.68
2009-01-30,56,65.04
2009-02-06,53,65.66
2009-02-13,54,63.13
2009-02-20,54,59.48
2009-02-27,66,60.18
2009-03-06,63,56.05
2009-03-13,68,57.62
2009-03-20,63,57.37
2009-03-27,62,59.51
2009-04-03,61,60.44
2009-04-17,64,60.82
2009-04-24,62,59.16
2009-05-01,62,61.4
2009-05-08,69,61.82
2009-05-15,65,63.49
2009-05-22,60,64.11
2009-05-29,73,65.95
2009-06-05,61,70.9
2009-06-12,62,71.38
2009-06-19,61,70.57
2009-06-26,59,71.76
2009-07-10,63,71.23
2009-07-17,62,73.52
2009-07-24,62,75.1
2009-07-31,65,72.44
2009-08-07,68,71.02
2009-08-14,63,71.75
2009-08-21,66,73.16
2009-08-28,73,72.76
2009-09-04,65,71.08
2009-09-11,62,75.23
2009-09-18,66,76.1
2009-09-25,65,76.5
2009-10-02,69,76.84
2009-10-09,66,78.71
2009-10-16,62,79.26
2009-10-23,68,77.72
2009-10-30,64,78.63
2009-11-06,69,79.87
2009-11-13,63,81.49
2009-11-20,66,83.97
2009-11-27,72,83.63
2009-12-04,64,85.21
2009-12-11,69,83.92
2009-12-18,68,82.62
2010-01-08,64,81.51
2010-01-15,63,80
2010-01-22,63,80.71
2010-01-29,65,80.03
2010-02-05,65,79.26
2010-02-12,64,79.66
2010-02-19,70,81.75
2010-02-26,73,82.94
2010-03-05,74,84.21
2010-03-12,72,84.15
2010-03-19,78,84.84
2010-03-26,70,84.44
2010-04-09,79,84.27
2010-04-16,70,84.25
2010-04-23,75,83.27
2010-04-30,77,84.1
2010-05-07,72,80.21
2010-05-14,71,82.76
2010-05-21,75,79.59
2010-05-28,69,78.09
2010-06-04,70,77.24
2010-06-11,65,79.15
2010-06-18,66,80.59
2010-06-25,65,79.03
2010-07-02,66,78.72
2010-07-09,66,82.15
2010-07-16,63,82.83
2010-07-23,61,83.47
2010-07-30,64,78.98
2010-08-06,63,76.5
2010-08-13,62,76.39
2010-08-20,65,76.03
2010-08-27,74,74.25
2010-09-03,65,74.85
2010-09-10,68,75.18
2010-09-17,72,77.37
2010-09-24,68,78.52
2010-10-01,73,76.57
2010-10-08,67,74.9
2010-10-15,67,75.89
2010-10-22,70,76.84
2010-10-29,65,77.12
2010-11-05,68,77.57
2010-11-12,65,76.58
2010-11-19,66,78.53
2010-11-26,68,77.39
2010-12-03,66,77.95
2010-12-10,69,78.21
2010-12-17,69,81
2010-12-31,64,80.37
2011-01-07,68,78.33
2011-01-14,64,78.31
2011-01-21,66,79
2011-01-28,66,76.99
2011-02-04,66,76.24
2011-02-11,65,78.92
2011-02-18,70,78.42
2011-02-25,69,78.12
2011-03-04,64,77.5
2011-03-11,66,79.18
2011-03-18,70,76.95
2011-03-25,63,80.15
2011-04-01,66,80.52
2011-04-08,73,81.28
2011-04-15,70,81.81
2011-04-29,71,84.35
2011-05-06,66,84.88
2011-05-13,65,86.55
2011-05-20,65,86.55
2011-05-27,76,85.72
2011-06-03,70,84.11
2011-06-10,66,84.7
2011-06-17,66,87.88
2011-06-24,65,85.46
2011-07-01,66,88.47
2011-07-08,65,88.42
2011-07-15,67,89.01
2011-07-22,65,87.62
2011-07-29,67,84.38
2011-08-05,70,84.15
2011-08-12,69,85.34
2011-08-19,68,84.99
2011-08-26,79,87.84
2011-09-02,77,88.52
2011-09-09,69,88.96
2011-09-16,77,93.64
2011-09-23,72,88.92
2011-09-30,80,88.68
2011-10-07,76,90.41
2011-10-14,69,92.34
2011-10-21,75,93.92
2011-10-28,71,91.22
2011-11-04,81,88.06
2011-11-11,71,89.17
2011-11-18,68,88.61
2011-11-25,75,86.73
2011-12-02,71,90.19
2011-12-09,75,90.46
2011-12-16,72,89.89
2011-12-23,66,93.09
2011-12-30,66,92.39
2012-01-06,64,89.8
2012-01-13,66,88.52
2012-01-20,65,89
2012-01-27,68,90.4
2012-02-03,69,91.54
2012-02-10,67,91.17
2012-02-17,68,93.25
2012-02-24,70,93.3
2012-03-02,68,93.2
2012-03-09,73,93.98
2012-03-16,78,94.79
2012-03-23,71,95.94
2012-03-30,74,97.78
2012-04-13,67,97.21
2012-04-20,74,98.88
2012-04-27,82,98.38
2012-05-04,70,99.13
2012-05-11,71,99.31
2012-05-18,88,98.79
2012-05-25,78,98.8
2012-06-01,71,96.48
2012-06-08,66,100.17
2012-06-15,66,101.53
2012-06-22,67,99.9
2012-06-29,68,104.1
2012-07-06,71,104.29
2012-07-13,69,105.46
2012-07-20,71,103.9
2012-07-27,72,107.17
2012-08-03,71,106.46
2012-08-10,69,105.37
2012-08-17,70,106.18
2012-08-24,72,105.77
2012-08-31,78,106.31
2012-09-07,67,106.3
2012-09-14,66,103.75
2012-09-21,74,106.53
2012-09-28,68,107.22
2012-10-05,78,108.45
2012-10-12,69,107.89
2012-10-19,70,107.74
2012-10-26,78,103.87
2012-11-02,71,104.96
2012-11-09,73,103.87
2012-11-16,64,105.15
2012-11-23,71,108
2012-11-30,66,108.5
2012-12-07,70,108.37
2012-12-14,65,105.84
2012-12-21,69,105.1
2012-12-28,63,104.04
2013-01-04,62,107.9
2013-01-11,61,107.09
2013-01-18,61,109.01
2013-01-25,62,110.15
2013-02-01,64,109.84
2013-02-08,64,108.49
2013-02-15,73,110.02
2013-02-22,69,113.97
2013-03-01,65,114.11
2013-03-08,72,115.74
2013-03-15,83,112.08
2013-03-22,69,114.41
2013-04-05,77,116.72
2013-04-12,92,118.37
2013-04-19,67,119.72
2013-04-26,86,118.99
2013-05-03,85,121.15
2013-05-10,71,120.72
2013-05-17,71,62.04
2013-05-24,100,61.17
2013-05-31,92,57.84
2013-06-07,71,59.1
2013-06-14,73,58.82
2013-06-21,68,56.81
2013-06-28,70,57.29
2013-07-05,70,57.86
2013-07-12,68,59.14
2013-07-19,67,58.88
2013-07-26,65,60.25
2013-08-02,68,60.53
2013-08-09,67,60.68
2013-08-16,60,59.47
2013-08-23,66,59.03
2013-08-30,77,57.77
2013-09-06,63,58
2013-09-13,65,59.43
2013-09-20,71,60.44
2013-09-27,69,59.93
2013-10-04,76,59.33
2013-10-11,66,61.45
2013-10-18,62,62.81
2013-10-25,71,63.6
2013-11-01,63,65.39
2013-11-08,71,64.83
2013-11-15,64,65.78
2013-11-22,66,66.26
2013-11-29,72,65.81
2013-12-06,61,65.66
2013-12-13,73,63.98
2013-12-20,72,64.74
2013-12-27,62,65.37
2014-01-03,61,64.18
2014-01-10,61,65.08
2014-01-17,60,64.7
2014-01-24,59,62.39
2014-01-31,62,61.23
2014-02-07,61,60.86
2014-02-14,61,62.68
2014-02-21,69,61.56
2014-02-28,70,62.83
2014-03-07,70,63.13
2014-03-14,78,63.83
2014-03-21,83,63.46
2014-03-28,69,64.1
2014-04-04,73,64.22
2014-04-11,84,65.31
2014-04-25,73,66.24
