"Date","sell.ALL","Price"
2009-09-04,60,28.85
2009-09-11,71,28.92
2009-09-18,58,30.64
2009-09-25,66,29.13
2009-10-02,69,30.76
2009-10-09,83,31.92
2009-10-16,59,31.67
2009-10-23,63,31.5
2009-10-30,69,29.57
2009-11-06,77,28.93
2009-11-13,60,28.91
2009-11-20,76,29.12
2009-11-27,76,28.27
2009-12-04,61,28.6
2009-12-11,69,28.63
2009-12-18,75,28.82
2010-01-08,81,31.21
2010-01-15,70,30.91
2010-01-22,82,29.98
2010-01-29,79,29.93
2010-02-05,79,28.91
2010-02-12,73,29.53
2010-02-19,77,31.22
2010-02-26,73,31.25
2010-03-05,76,32.14
2010-03-12,74,31.47
2010-03-19,76,31.26
2010-03-26,86,32.2
2010-04-09,75,32.97
2010-04-16,83,33.85
2010-04-23,70,35.19
2010-04-30,61,32.67
2010-05-07,75,31.8
2010-05-14,69,31.87
2010-05-21,62,30.54
2010-05-28,63,30.63
2010-06-04,83,28.94
2010-06-11,62,29.98
2010-06-18,65,30.54
2010-06-25,62,30.83
2010-07-02,63,28.28
2010-07-09,69,29.44
2010-07-16,80,27.83
2010-07-23,72,28.28
2010-07-30,74,28.24
2010-08-06,65,28.98
2010-08-13,77,28.1
2010-08-20,75,27.75
2010-08-27,80,27.99
2010-09-03,65,29.42
2010-09-10,66,29.87
2010-09-17,74,30.99
2010-09-24,63,31.6
2010-10-01,68,31.57
2010-10-08,64,32.42
2010-10-15,74,32.43
2010-10-22,63,32.79
2010-10-29,58,30.49
2010-11-05,68,31.27
2010-11-12,76,30.18
2010-11-19,71,30.33
2010-11-26,72,29.33
2010-12-03,75,30.31
2010-12-10,69,30.94
2010-12-17,79,31.31
2010-12-31,68,31.88
2011-01-07,91,31.29
2011-01-14,70,30.71
2011-01-21,86,31.35
2011-01-28,79,31.15
2011-02-04,79,31.35
2011-02-11,83,31.39
2011-02-18,82,32.11
2011-02-25,84,31.48
2011-03-04,77,31.71
2011-03-11,74,31.99
2011-03-18,62,31.15
2011-03-25,64,31.46
2011-04-01,79,31.45
2011-04-08,74,31.4
2011-04-15,69,31.41
2011-04-29,74,33.84
2011-05-06,78,33.43
2011-05-13,71,32.38
2011-05-20,69,32.01
2011-05-27,63,31.24
2011-06-03,58,30.67
2011-06-10,68,29.65
2011-06-17,66,29.65
2011-06-24,76,29.43
2011-07-01,68,30.9
2011-07-08,67,30.54
2011-07-15,77,29.47
2011-07-22,60,28.69
2011-07-29,75,27.72
2011-08-05,73,26.29
2011-08-12,80,25.12
2011-08-19,75,24.36
2011-08-26,71,24.45
2011-09-02,74,24.96
2011-09-09,63,24.81
2011-09-16,63,24.94
2011-09-23,70,22.77
2011-09-30,73,23.69
2011-10-07,72,23.72
2011-10-14,73,24.96
2011-10-21,75,26.9
2011-10-28,74,27.16
2011-11-04,79,25.9
2011-11-11,69,26.64
2011-11-18,74,25.98
2011-11-25,76,24.7
2011-12-02,83,26.68
2011-12-09,83,26.93
2011-12-16,72,26.44
2011-12-23,78,27.62
2011-12-30,74,27.41
2012-01-06,85,28.02
2012-01-13,80,28.98
2012-01-20,80,29.83
2012-01-27,73,29.09
2012-02-03,80,30.69
2012-02-10,78,30.97
2012-02-17,85,31.39
2012-02-24,84,31.36
2012-03-02,80,31.24
2012-03-09,83,31.66
2012-03-16,72,32.68
2012-03-23,77,32.51
2012-03-30,74,32.92
2012-04-13,75,32.3
2012-04-20,82,32.65
2012-04-27,77,33.55
2012-05-04,78,34.2
2012-05-11,67,34.83
2012-05-18,75,32.75
2012-05-25,70,33.57
2012-06-01,78,33.07
2012-06-08,71,34.31
2012-06-15,76,34.15
2012-06-22,66,34.08
2012-06-29,74,35.09
2012-07-06,74,34.79
2012-07-13,86,33.87
2012-07-20,77,34.41
2012-07-27,67,34.73
2012-08-03,63,37.04
2012-08-10,81,37.98
2012-08-17,83,37.86
2012-08-24,69,37.76
2012-08-31,79,37.28
2012-09-07,69,38.48
2012-09-14,83,39.86
2012-09-21,82,40.43
2012-09-28,82,39.61
2012-10-05,84,40.98
2012-10-12,85,40.61
2012-10-19,81,42.01
2012-10-26,79,40.15
2012-11-02,84,38.56
2012-11-09,81,38.73
2012-11-16,86,38.92
2012-11-23,84,40.74
2012-11-30,89,40.48
2012-12-07,89,41.48
2012-12-14,89,40.18
2012-12-21,75,40.31
2012-12-28,80,39.86
2013-01-04,87,42.2
2013-01-11,81,42.96
2013-01-18,80,43.21
2013-01-25,97,43.91
2013-02-01,85,44.84
2013-02-08,88,45.14
2013-02-15,84,45.85
2013-02-22,83,46.74
2013-03-01,80,46.35
2013-03-08,81,47.42
2013-03-15,71,47.98
2013-03-22,82,48.22
2013-04-05,76,49.32
2013-04-12,89,50.35
2013-04-19,83,48.97
2013-04-26,77,49.09
2013-05-03,78,48.69
2013-05-10,81,49.39
2013-05-17,77,50
2013-05-24,73,48.73
2013-05-31,70,48.24
2013-06-07,73,47.46
2013-06-14,85,46.87
2013-06-21,70,47.23
2013-06-28,72,48.12
2013-07-05,71,49.13
2013-07-12,82,51.11
2013-07-19,81,52.1
2013-07-26,87,51.52
2013-08-02,81,52.15
2013-08-09,85,50.66
2013-08-16,94,49.39
2013-08-23,80,49.27
2013-08-30,77,47.92
2013-09-06,80,48.4
2013-09-13,82,50.06
2013-09-20,88,52
2013-09-27,81,51.07
2013-10-04,78,52.35
2013-10-11,92,52.52
2013-10-18,86,53.87
2013-10-25,82,53.35
2013-11-01,85,53.28
2013-11-08,87,54.12
2013-11-15,99,54.7
2013-11-22,83,54.71
2013-11-29,74,54.27
2013-12-06,79,54.32
2013-12-13,96,52.81
2013-12-20,89,53.77
2013-12-27,83,53.65
2014-01-03,98,53.33
2014-01-10,98,54.09
2014-01-17,94,52.9
2014-01-24,90,50.62
2014-01-31,93,51.2
2014-02-07,94,52.76
2014-02-14,93,52.96
2014-02-21,95,53.86
2014-02-28,94,54.26
2014-03-07,95,55.71
2014-03-14,89,55.13
2014-03-21,86,56.06
2014-03-28,81,55.8
2014-04-04,93,56.41
2014-04-11,88,55.29
2014-04-25,100,56.11
