"Date","CA","Price"
2006-07-07,72,20.18
2006-07-14,76,19.21
2006-07-21,77,19.56
2006-07-28,80,20.35
2006-08-04,76,21.83
2006-08-11,75,21.66
2006-08-18,74,23.87
2006-08-25,73,23.38
2006-09-01,69,23.58
2006-09-08,65,23.57
2006-09-15,67,23.5
2006-09-22,67,23.05
2006-09-29,67,23.69
2006-10-06,66,23.95
2006-10-13,66,23.88
2006-10-20,66,25.08
2006-10-27,65,24.51
2006-11-03,65,22.91
2006-11-10,67,23.38
2006-11-17,62,22.45
2006-11-24,54,22.22
2006-12-01,62,21.5
2006-12-08,62,22.35
2006-12-15,64,22.8
2006-12-22,65,22.73
2006-12-29,64,22.65
2007-01-05,68,24.04
2007-01-12,67,24.86
2007-01-19,66,24.41
2007-01-26,69,24.66
2007-02-02,67,26.69
2007-02-09,67,26.69
2007-02-16,68,26.81
2007-02-23,69,27.02
2007-03-02,68,25.49
2007-03-09,70,25.39
2007-03-16,72,25.22
2007-03-23,68,26.77
2007-03-30,69,25.91
2007-04-13,69,26.35
2007-04-20,71,26.65
2007-04-27,69,27.3
2007-05-04,74,28.16
2007-05-11,72,28.01
2007-05-18,72,27.6
2007-05-25,72,26.01
2007-06-01,70,26.19
2007-06-08,75,25.63
2007-06-15,74,25.85
2007-06-22,74,25.76
2007-06-29,77,25.83
2007-07-06,76,25.82
2007-07-13,80,26
2007-07-20,81,26.55
2007-07-27,78,25.23
2007-08-03,77,25.32
2007-08-10,77,24.14
2007-08-17,77,23.73
2007-08-24,75,24.94
2007-08-31,76,25.19
2007-09-07,68,25.14
2007-09-14,72,24.65
2007-09-21,70,25.95
2007-09-28,71,25.72
2007-10-05,73,26.02
2007-10-12,71,26.7
2007-10-19,69,25.6
2007-10-26,81,25.46
2007-11-02,72,27.18
2007-11-09,70,25.73
2007-11-16,68,25.65
2007-11-23,60,24.65
2007-11-30,70,24.49
2007-12-07,70,26.38
2007-12-14,69,26.46
2007-12-21,75,25.72
2007-12-28,71,25.39
2008-01-04,76,23.77
2008-01-11,75,22.48
2008-01-18,74,22.22
2008-01-25,72,21.94
2008-02-01,76,26.31
2008-02-08,77,24.07
2008-02-15,74,23.75
2008-02-22,77,23.3
2008-02-29,75,22.88
2008-03-07,76,22.21
2008-03-14,75,22.07
2008-03-28,77,22.53
2008-04-04,77,23.24
2008-04-11,77,21.79
2008-04-18,77,23.04
2008-04-25,77,22.66
2008-05-02,82,22.86
2008-05-09,82,22.68
2008-05-16,80,25
2008-05-23,83,25.1
2008-05-30,76,26.54
2008-06-06,82,24.94
2008-06-13,83,24.12
2008-06-20,85,23.53
2008-06-27,87,23.28
2008-07-11,88,22.15
2008-07-18,89,23.73
2008-07-25,88,23.41
2008-08-01,92,22.29
2008-08-08,87,23.87
2008-08-15,87,24.63
2008-08-22,87,24.48
2008-08-29,85,23.91
2008-09-05,79,22.1
2008-09-12,80,21.7
2008-09-19,82,21.93
2008-09-26,82,21
2008-10-03,81,19.37
2008-10-10,80,15.84
2008-10-17,80,15.9
2008-10-24,77,14.65
2008-10-31,79,17.8
2008-11-07,82,16.89
2008-11-14,77,17.02
2008-11-21,75,14.96
2008-11-28,66,16.84
2008-12-05,76,16.06
2008-12-12,80,17.45
2008-12-19,79,18.13
2008-12-26,76,18.02
2009-01-02,83,18.9
2009-01-09,82,18.42
2009-01-16,84,18
2009-01-23,79,17.44
2009-01-30,83,17.99
2009-02-06,82,18.56
2009-02-13,81,18.65
2009-02-20,81,17.46
2009-02-27,85,16.95
2009-03-06,85,16.01
2009-03-13,82,16.9
2009-03-20,84,15.95
2009-03-27,85,17.21
2009-04-03,86,18.17
2009-04-17,83,17.95
2009-04-24,83,18.13
2009-05-01,85,17.58
2009-05-08,85,17.53
2009-05-15,84,18.04
2009-05-22,86,17.26
2009-05-29,85,17.45
2009-06-05,88,17.51
2009-06-12,86,17.73
2009-06-19,87,17.22
2009-06-26,85,17.21
2009-07-10,86,16.44
2009-07-17,91,18.03
2009-07-24,92,20.64
2009-07-31,92,21.14
2009-08-07,92,21.99
2009-08-14,91,22.56
2009-08-21,91,22.99
2009-08-28,92,22.6
2009-09-04,89,21.45
2009-09-11,83,22.59
2009-09-18,86,22.51
2009-09-25,84,21.67
2009-10-02,81,21.39
2009-10-09,81,22.79
2009-10-16,83,23.71
2009-10-23,80,21.61
2009-10-30,80,20.92
2009-11-06,81,21.52
2009-11-13,75,22.1
2009-11-20,78,21.86
2009-11-27,69,22
2009-12-04,78,22.65
2009-12-11,80,22.83
2009-12-18,79,22.51
2010-01-08,84,23.11
2010-01-15,85,23.29
2010-01-22,84,22.8
2010-01-29,81,22.04
2010-02-05,82,21.71
2010-02-12,79,21.59
2010-02-19,78,22.51
2010-02-26,80,22.5
2010-03-05,83,22.84
2010-03-12,81,22.78
2010-03-19,80,23.45
2010-03-26,83,23.41
2010-04-09,85,22.94
2010-04-16,85,22.84
2010-04-23,82,23.54
2010-04-30,84,22.82
2010-05-07,85,20.49
2010-05-14,81,20.51
2010-05-21,83,19.89
2010-05-28,85,20.25
2010-06-04,80,19.41
2010-06-11,84,19.66
2010-06-18,83,20.11
2010-06-25,85,19.46
2010-07-02,87,17.96
2010-07-09,92,18.77
2010-07-16,94,19
2010-07-23,95,19.38
2010-07-30,95,19.56
2010-08-06,93,19.82
2010-08-13,92,18.32
2010-08-20,93,18.35
2010-08-27,88,18.3
2010-09-03,87,19.09
2010-09-10,85,19.78
2010-09-17,84,20.44
2010-09-24,85,21.15
2010-10-01,85,21.25
2010-10-08,82,21.82
2010-10-15,83,22.17
2010-10-22,84,22.87
2010-10-29,82,23.2
2010-11-05,86,23.46
2010-11-12,81,23.15
2010-11-19,82,23.16
2010-11-26,74,23.34
2010-12-03,81,24.15
2010-12-10,83,24.14
2010-12-17,81,24.89
2010-12-31,90,24.44
2011-01-07,91,24.64
2011-01-14,87,25.24
2011-01-21,85,25.31
2011-01-28,85,23.38
2011-02-04,83,24.53
2011-02-11,85,25
2011-02-18,89,25.21
2011-02-25,88,24.74
2011-03-04,87,23.98
2011-03-11,86,23.08
2011-03-18,85,22.87
2011-03-25,90,23.75
2011-04-01,91,24.13
2011-04-08,90,24.05
2011-04-15,92,24.18
2011-04-29,90,24.59
2011-05-06,90,24.37
2011-05-13,91,22.9
2011-05-20,93,23.18
2011-05-27,91,22.89
2011-06-03,92,22.57
2011-06-10,91,21.51
2011-06-17,93,21.59
2011-06-24,92,21.91
2011-07-01,98,23.17
2011-07-08,93,23.18
2011-07-15,97,21.98
2011-07-22,94,22.77
2011-07-29,93,22.3
2011-08-05,98,20.45
2011-08-12,95,20.09
2011-08-19,91,18.62
2011-08-26,90,19.92
2011-09-02,90,20.15
2011-09-09,87,19.71
2011-09-16,91,21.25
2011-09-23,86,19.95
2011-09-30,87,19.41
2011-10-07,88,20.72
2011-10-14,88,21.74
2011-10-21,87,21.97
2011-10-28,89,22.21
2011-11-04,87,21.68
2011-11-11,86,21.87
2011-11-18,86,20.44
2011-11-25,78,19.8
2011-12-02,83,21.03
2011-12-09,83,21.41
2011-12-16,86,20.12
2011-12-23,86,20.4
2011-12-30,89,20.22
2012-01-06,89,20.57
2012-01-13,87,21.51
2012-01-20,89,22.65
2012-01-27,87,25.42
2012-02-03,88,26.54
2012-02-10,91,26.72
2012-02-17,92,26.98
2012-02-24,91,26.93
2012-03-02,93,27.05
2012-03-09,94,27
2012-03-16,94,27.23
2012-03-23,95,27.35
2012-03-30,99,27.56
2012-04-13,92,26.75
2012-04-20,90,26.56
2012-04-27,91,26.54
2012-05-04,90,26.29
2012-05-11,89,26.12
2012-05-18,90,24.97
2012-05-25,92,25.12
2012-06-01,92,24.39
2012-06-08,93,25.47
2012-06-15,93,26.31
2012-06-22,96,26.13
2012-06-29,94,27.09
2012-07-06,92,26.37
2012-07-13,96,25.88
2012-07-20,98,26.05
2012-07-27,97,24.43
2012-08-03,97,24.79
2012-08-10,98,25.56
2012-08-17,100,25.94
2012-08-24,96,25.8
2012-08-31,95,26.03
2012-09-07,89,26.83
2012-09-14,93,27.31
2012-09-21,92,26.77
2012-09-28,88,25.77
2012-10-05,92,25.45
2012-10-12,87,24.86
2012-10-19,88,24.51
2012-10-26,89,22.73
2012-11-02,83,22.97
2012-11-09,91,22.21
2012-11-16,84,21.81
2012-11-23,79,22.1
2012-11-30,83,22.16
2012-12-07,84,22.03
2012-12-14,82,21.86
2012-12-21,86,22.19
2012-12-28,82,21.79
2013-01-04,87,23.05
2013-01-11,89,23.34
2013-01-18,83,24.57
2013-01-25,86,25.05
2013-02-01,84,25.03
2013-02-08,85,25.02
2013-02-15,83,25.05
2013-02-22,84,24.56
2013-03-01,85,24.42
2013-03-08,89,25.08
2013-03-15,87,25.44
2013-03-22,85,25.32
2013-04-05,89,24.6
2013-04-12,87,24.93
2013-04-19,83,24.36
2013-04-26,85,25.98
2013-05-03,85,27.73
2013-05-10,89,27.22
2013-05-17,88,27.69
2013-05-24,87,27.4
2013-05-31,88,27.32
2013-06-07,89,29.14
2013-06-14,89,28.26
2013-06-21,87,27.52
2013-06-28,90,28.62
2013-07-05,91,28.26
2013-07-12,93,29.92
2013-07-19,94,29.65
2013-07-26,95,29.68
2013-08-02,95,30.39
2013-08-09,97,30.98
2013-08-16,91,30.55
2013-08-23,92,30.24
2013-08-30,91,29.25
2013-09-06,86,29.6
2013-09-13,87,30.39
2013-09-20,85,30.72
2013-09-27,81,30.06
2013-10-04,85,29.57
2013-10-11,84,29.52
2013-10-18,85,30.1
2013-10-25,81,31.4
2013-11-01,82,31.73
2013-11-08,82,31.93
2013-11-15,82,32.85
2013-11-22,82,33.13
2013-11-29,77,33
2013-12-06,81,32.85
2013-12-13,82,32.34
2013-12-20,86,32.93
2013-12-27,80,33.43
2014-01-03,83,33.11
2014-01-10,85,34.02
2014-01-17,84,34.43
2014-01-24,83,32.66
2014-01-31,84,32.09
2014-02-07,77,32.17
2014-02-14,85,32.99
2014-02-21,85,32.42
2014-02-28,87,33.5
2014-03-07,86,32.93
2014-03-14,83,31.48
2014-03-21,84,31.11
2014-03-28,86,30.84
2014-04-04,86,31.08
2014-04-11,87,29.41
2014-04-25,88,29.95
