"Date","Chesapeake.Energy","Price"
2007-02-02,18,29.46
2007-02-09,10,29.63
2007-02-16,12,29.68
2007-02-23,11,30.47
2007-03-02,8,29.89
2007-03-09,9,30.13
2007-03-16,7,29.57
2007-03-23,12,30.76
2007-03-30,14,30.88
2007-04-13,11,33.69
2007-04-20,12,32.81
2007-04-27,13,33.67
2007-05-04,16,35.54
2007-05-11,16,34.3
2007-05-18,13,35.26
2007-05-25,15,34.89
2007-06-01,12,35.04
2007-06-08,13,35.58
2007-06-15,10,37.32
2007-06-22,8,36.22
2007-06-29,11,34.6
2007-07-06,12,35.25
2007-07-13,16,36.32
2007-07-20,17,36.49
2007-07-27,12,33.78
2007-08-03,17,35.17
2007-08-10,13,34.02
2007-08-17,22,33.55
2007-08-24,15,33.04
2007-08-31,17,32.26
2007-09-07,13,33.99
2007-09-14,14,34.95
2007-09-21,14,35.56
2007-09-28,15,35.26
2007-10-05,13,36.87
2007-10-12,16,37.49
2007-10-19,11,37.6
2007-10-26,14,38.81
2007-11-02,14,40.07
2007-11-09,17,40.22
2007-11-16,9,38.18
2007-11-23,12,38.13
2007-11-30,19,37.85
2007-12-07,14,38.37
2007-12-14,15,38.21
2007-12-21,14,39.09
2007-12-28,5,39.53
2008-01-04,18,39.32
2008-01-11,14,39.52
2008-01-18,16,37.23
2008-01-25,25,36.1
2008-02-01,19,37.71
2008-02-08,15,38.64
2008-02-15,21,43.05
2008-02-22,21,44.45
2008-02-29,18,45.22
2008-03-07,19,44.74
2008-03-14,16,47.9
2008-03-28,24,45.5
2008-04-04,27,46.42
2008-04-11,21,47.6
2008-04-18,27,50.39
2008-04-25,31,54.68
2008-05-02,31,52.67
2008-05-09,24,56.67
2008-05-16,23,58.78
2008-05-23,27,52.55
2008-05-30,24,54.77
2008-06-06,24,58.05
2008-06-13,30,59.26
2008-06-20,29,63.96
2008-06-27,31,64.09
2008-07-11,43,63.52
2008-07-18,37,54.33
2008-07-25,32,48.29
2008-08-01,46,49.22
2008-08-08,40,43.29
2008-08-15,30,45.53
2008-08-22,31,47.65
2008-08-29,33,48.4
2008-09-05,34,44.34
2008-09-12,31,42.26
2008-09-19,32,41.73
2008-09-26,42,37.94
2008-10-03,38,28.92
2008-10-10,61,16.52
2008-10-17,100,20.47
2008-10-24,45,20.4
2008-10-31,38,21.97
2008-11-07,39,23.39
2008-11-14,38,21.23
2008-11-21,36,16.97
2008-11-28,21,17.18
2008-12-05,31,11.32
2008-12-12,33,16.64
2008-12-19,16,15.97
2008-12-26,16,15.4
2009-01-02,23,17.27
2009-01-09,30,16.68
2009-01-16,23,15.26
2009-01-23,26,14.9
2009-01-30,35,15.81
2009-02-06,25,18.11
2009-02-13,18,18.6
2009-02-20,23,15.7
2009-02-27,29,15.64
2009-03-06,23,14.06
2009-03-13,21,15.46
2009-03-20,15,17.64
2009-03-27,21,18.34
2009-04-03,23,19.95
2009-04-17,18,21.63
2009-04-24,24,20.8
2009-05-01,22,20.89
2009-05-08,30,23.84
2009-05-15,17,19.95
2009-05-22,19,20.5
2009-05-29,18,22.66
2009-06-05,18,23.28
2009-06-12,15,23.84
2009-06-19,22,20.95
2009-06-26,23,19.64
2009-07-10,18,17.85
2009-07-17,19,20.12
2009-07-24,16,21.29
2009-07-31,20,21.44
2009-08-07,25,24.44
2009-08-14,20,23.66
2009-08-21,18,23.79
2009-08-28,22,23.59
2009-09-04,20,22.2
2009-09-11,17,26.12
2009-09-18,22,27.85
2009-09-25,20,27.53
2009-10-02,20,26.7
2009-10-09,18,28.66
2009-10-16,25,28.67
2009-10-23,21,26.73
2009-10-30,24,24.5
2009-11-06,25,24.22
2009-11-13,19,25.03
2009-11-20,15,23.03
2009-11-27,13,24.17
2009-12-04,15,22.57
2009-12-11,20,23.03
2009-12-18,24,26.06
2010-01-08,31,28.91
2010-01-15,19,27.91
2010-01-22,23,26.62
2010-01-29,27,24.78
2010-02-05,21,24.52
2010-02-12,17,24.96
2010-02-19,26,27.59
2010-02-26,20,26.57
2010-03-05,21,26.31
2010-03-12,22,25.64
2010-03-19,46,24.21
2010-03-26,24,22.37
2010-04-09,22,24.56
2010-04-16,23,23.88
2010-04-23,22,24.89
2010-04-30,22,23.8
2010-05-07,19,21.91
2010-05-14,25,22.62
2010-05-21,19,21.01
2010-05-28,19,22.34
2010-06-04,16,24.09
2010-06-11,20,24.64
2010-06-18,22,24.61
2010-06-25,23,22.98
2010-07-02,20,20.51
2010-07-09,18,21.48
2010-07-16,18,20.87
2010-07-23,21,21.81
2010-07-30,21,21.03
2010-08-06,24,22.29
2010-08-13,23,20.78
2010-08-20,24,20.38
2010-08-27,21,20.81
2010-09-03,25,21.72
2010-09-10,18,21.2
2010-09-17,24,21.46
2010-09-24,23,21.56
2010-10-01,22,22.8
2010-10-08,24,23.05
2010-10-15,34,22.99
2010-10-22,21,21.2
2010-10-29,23,21.68
2010-11-05,23,22.27
2010-11-12,21,22.72
2010-11-19,39,22.64
2010-11-26,18,21.99
2010-12-03,27,22.16
2010-12-10,24,22.92
2010-12-17,23,23.3
2010-12-31,22,25.91
2011-01-07,31,26.95
2011-01-14,26,27.66
2011-01-21,28,27.8
2011-01-28,30,27.33
2011-02-04,31,30.06
2011-02-11,37,30.84
2011-02-18,27,30.43
2011-02-25,42,35.37
2011-03-04,29,33.57
2011-03-11,26,32.81
2011-03-18,25,33.37
2011-03-25,26,34.24
2011-04-01,29,33.5
2011-04-08,31,34.02
2011-04-15,28,32.73
2011-04-29,33,33.67
2011-05-06,30,30.95
2011-05-13,29,29.78
2011-05-20,34,30.62
2011-05-27,26,31.11
2011-06-03,26,30.53
2011-06-10,26,29.24
2011-06-17,32,28.02
2011-06-24,28,28.01
2011-07-01,27,30.1
2011-07-08,23,30.58
2011-07-15,40,32.96
2011-07-22,33,34.39
2011-07-29,43,34.35
2011-08-05,41,30.68
2011-08-12,37,31.3
2011-08-19,36,29.31
2011-08-26,33,30.52
2011-09-02,35,32.11
2011-09-09,33,30.38
2011-09-16,33,31.82
2011-09-23,34,26.04
2011-09-30,40,25.55
2011-10-07,35,25.35
2011-10-14,38,27.75
2011-10-21,37,27.81
2011-10-28,33,29.74
2011-11-04,45,27.07
2011-11-11,37,26.45
2011-11-18,39,24.33
2011-11-25,29,22.42
2011-12-02,39,25.44
2011-12-09,41,24.66
2011-12-16,42,22.98
2011-12-23,38,23.73
2011-12-30,44,22.29
2012-01-06,45,23.98
2012-01-13,46,21.41
2012-01-20,51,20.96
2012-01-27,61,22.05
2012-02-03,53,22.31
2012-02-10,44,22.13
2012-02-17,52,24.71
2012-02-24,50,25.45
2012-03-02,46,24.33
2012-03-09,51,24.55
2012-03-16,42,25.06
2012-03-23,44,24.66
2012-03-30,41,23.17
2012-04-13,44,19.95
2012-04-20,59,17.44
2012-04-27,59,17.72
2012-05-04,81,17.39
2012-05-11,60,14.81
2012-05-18,81,14.36
2012-05-25,56,15.81
2012-06-01,49,15.58
2012-06-08,72,18.36
2012-06-15,66,18.1
2012-06-22,43,18.61
2012-06-29,42,18.6
2012-07-06,30,20.04
2012-07-13,32,19.11
2012-07-20,35,17.2
2012-07-27,30,18.46
2012-08-03,32,17.89
2012-08-10,36,19.68
2012-08-17,27,19.14
2012-08-24,30,19.39
2012-08-31,26,19.35
2012-09-07,29,20.34
2012-09-14,37,20.52
2012-09-21,29,19.36
2012-09-28,38,18.87
2012-10-05,32,19.23
2012-10-12,32,20.18
2012-10-19,29,20.81
2012-10-26,31,20.1
2012-11-02,28,18.49
2012-11-09,25,17.04
2012-11-16,26,16.62
2012-11-23,25,17.83
2012-11-30,30,17.03
2012-12-07,33,17.25
2012-12-14,34,16.56
2012-12-21,30,17.32
2012-12-28,26,16.56
2013-01-04,36,17.45
2013-01-11,32,16.87
2013-01-18,30,17.82
2013-01-25,33,19.36
2013-02-01,41,20.33
2013-02-08,36,20.23
2013-02-15,39,20.01
2013-02-22,29,20.5
2013-03-01,36,19.67
2013-03-08,32,21.33
2013-03-15,32,22.46
2013-03-22,32,20.39
2013-04-05,32,19.75
2013-04-12,22,19.68
2013-04-19,23,18.59
2013-04-26,28,19.25
2013-05-03,30,19.25
2013-05-10,28,20.15
2013-05-17,23,20.27
2013-05-24,41,21.67
2013-05-31,44,21.84
2013-06-07,24,22
2013-06-14,22,20.68
2013-06-21,21,20.22
2013-06-28,23,20.38
2013-07-05,27,21.04
2013-07-12,23,21.24
2013-07-19,21,22.58
2013-07-26,25,22.85
2013-08-02,23,24.95
2013-08-09,23,25
2013-08-16,27,25
2013-08-23,22,26.23
2013-08-30,19,25.81
2013-09-06,19,26.03
2013-09-13,27,26.67
2013-09-20,23,26.58
2013-09-27,25,26.21
2013-10-04,20,26.5
2013-10-11,33,26.47
2013-10-18,20,28.25
2013-10-25,21,28.47
2013-11-01,20,28
2013-11-08,28,25.71
2013-11-15,29,25.88
2013-11-22,25,26.3
2013-11-29,21,26.87
2013-12-06,21,26.48
2013-12-13,20,27
2013-12-20,26,27.11
2013-12-27,15,27.49
2014-01-03,20,26.42
2014-01-10,24,25.71
2014-01-17,26,25.45
2014-01-24,26,26.88
2014-01-31,30,26.91
2014-02-07,26,24.59
2014-02-14,19,25.14
2014-02-21,21,26.57
2014-02-28,27,25.91
2014-03-07,22,25.85
2014-03-14,23,25.03
2014-03-21,24,24.67
2014-03-28,22,25.67
2014-04-04,21,26.59
2014-04-11,20,26.16
2014-04-25,19,28.8
