"Date","Keurig.Green.Mountain","Price"
2011-09-23,48,104.26
2011-09-30,53,92.94
2011-10-07,21,92.06
2011-10-14,24,92.09
2011-10-21,31,67.85
2011-10-28,36,70.99
2011-11-04,35,70.67
2011-11-11,54,43.71
2011-11-18,47,50.45
2011-11-25,46,49.66
2011-12-02,68,56.32
2011-12-09,56,58.44
2011-12-16,66,45.26
2011-12-23,49,45.41
2011-12-30,89,44.85
2012-01-06,59,43.17
2012-01-13,46,46.97
2012-01-20,37,50.9
2012-01-27,34,52.5
2012-02-03,43,66.21
2012-02-10,27,62.85
2012-02-17,27,69.01
2012-02-24,41,66.18
2012-03-02,31,68.29
2012-03-09,43,52.59
2012-03-16,20,51.39
2012-03-23,44,53.51
2012-03-30,25,46.84
2012-04-13,23,43.59
2012-04-20,32,44.26
2012-04-27,28,47.9
2012-05-04,44,25.1
2012-05-11,24,25.16
2012-05-18,20,24.05
2012-05-25,19,25.31
2012-06-01,30,22.42
2012-06-08,21,23.13
2012-06-15,21,19.82
2012-06-22,34,20.31
2012-06-29,24,21.78
2012-07-06,37,24.5
2012-07-13,29,19.7
2012-07-20,32,17.57
2012-07-27,31,18.04
2012-08-03,23,21.63
2012-08-10,23,24.43
2012-08-17,23,24.95
2012-08-24,30,25.63
2012-08-31,25,24.31
2012-09-07,26,27.83
2012-09-14,36,31.09
2012-09-21,28,26.76
2012-09-28,24,23.74
2012-10-05,26,22.13
2012-10-12,51,22
2012-10-19,40,23.93
2012-10-26,63,24.36
2012-11-02,39,25.67
2012-11-09,40,23.81
2012-11-16,41,24.55
2012-11-23,51,28.13
2012-11-30,63,36.67
2012-12-07,49,37.85
2012-12-14,35,40.32
2012-12-21,31,41.11
2012-12-28,33,40.35
2013-01-04,56,42.08
2013-01-11,43,41.23
2013-01-18,41,40.6
2013-01-25,43,46.31
2013-02-01,28,46.92
2013-02-08,31,45.16
2013-02-15,30,44.39
2013-02-22,21,45.53
2013-03-01,19,48.91
2013-03-08,28,52.87
2013-03-15,33,54.22
2013-03-22,26,55.43
2013-04-05,17,53.23
2013-04-12,20,57.44
2013-04-19,27,55.01
2013-04-26,14,55.56
2013-05-03,20,58.08
2013-05-10,24,77.22
2013-05-17,21,79.61
2013-05-24,16,71.9
2013-05-31,12,73.13
2013-06-07,25,76.09
2013-06-14,19,78.38
2013-06-21,11,74.42
2013-06-28,16,75.22
2013-07-05,17,72.83
2013-07-12,12,68.88
2013-07-19,18,73.62
2013-07-26,18,75.33
2013-08-02,26,78.11
2013-08-09,21,78.17
2013-08-16,21,76.38
2013-08-23,27,85.61
2013-08-30,23,86.31
2013-09-06,26,82.14
2013-09-13,24,84.29
2013-09-20,21,84.16
2013-09-27,23,74.88
2013-10-04,17,75.71
2013-10-11,21,68.26
2013-10-18,26,64.41
2013-10-25,31,61.78
2013-11-01,21,62.68
2013-11-08,27,59.71
2013-11-15,27,63.02
2013-11-22,29,68.77
2013-11-29,30,67.38
2013-12-06,39,71.3
2013-12-13,37,72.66
2013-12-20,31,77.25
2013-12-27,30,74.83
2014-01-03,35,75.75
2014-01-10,40,80.76
2014-01-17,28,78.96
2014-01-24,28,78.68
2014-01-31,30,81
2014-02-07,75,107.75
2014-02-14,36,116.03
2014-02-21,33,123.04
2014-02-28,28,109.78
2014-03-07,29,106
2014-03-14,58,113.25
2014-03-21,47,112
2014-03-28,34,108.15
2014-04-04,43,102.99
2014-04-11,39,97.98
2014-04-25,35,93.27
