"Date","sell.HOT","Price"
2012-11-16,66,51.52
2012-11-23,66,53.47
2012-11-30,61,53.96
2012-12-07,55,54.3
2012-12-14,64,54.04
2012-12-21,57,57.63
2012-12-28,67,56.14
2013-01-04,65,60.38
2013-01-11,61,59.56
2013-01-18,57,60.02
2013-01-25,57,60.89
2013-02-01,65,61.87
2013-02-08,54,62.81
2013-02-15,58,62.26
2013-02-22,56,60.05
2013-03-01,60,60.51
2013-03-08,56,62.56
2013-03-15,57,63.32
2013-03-22,59,60.78
2013-04-05,63,60.14
2013-04-12,70,63.86
2013-04-19,49,61.23
2013-04-26,58,62.09
2013-05-03,58,65.21
2013-05-10,52,67.88
2013-05-17,39,67.49
2013-05-24,60,68.45
2013-05-31,52,68.3
2013-06-07,66,69.17
2013-06-14,67,66.36
2013-06-21,55,62.49
2013-06-28,61,63.19
2013-07-05,57,65.4
2013-07-12,78,66.75
2013-07-19,69,66.15
2013-07-26,96,65.94
2013-08-02,71,68.23
2013-08-09,71,66.65
2013-08-16,68,64.46
2013-08-23,62,65.67
2013-08-30,60,63.94
2013-09-06,60,65.74
2013-09-13,63,68.08
2013-09-20,61,67.64
2013-09-27,57,66.99
2013-10-04,58,66.98
2013-10-11,68,67.49
2013-10-18,77,70.61
2013-10-25,70,74.56
2013-11-01,69,74.63
2013-11-08,60,74.44
2013-11-15,64,74.92
2013-11-22,63,74
2013-11-29,61,74.48
2013-12-06,65,73.98
2013-12-13,67,74.2
2013-12-20,72,78.9
2013-12-27,63,79.03
2014-01-03,69,78.58
2014-01-10,60,78.75
2014-01-17,73,78.87
2014-01-24,61,76.61
2014-01-31,57,74.71
2014-02-07,66,76.47
2014-02-14,63,78.62
2014-02-21,65,80.1
2014-02-28,56,82.46
2014-03-07,57,80.66
2014-03-14,62,78.08
2014-03-21,70,78.23
2014-03-28,56,78.45
2014-04-04,55,78.5
2014-04-11,52,75.15
2014-04-25,59,75
