"Date","buy.MAR","Price"
2010-08-20,51,33.57
2010-08-27,46,32.7
2010-09-03,48,35.35
2010-09-10,60,35.51
2010-09-17,47,35.62
2010-09-24,72,36.22
2010-10-01,43,36.28
2010-10-08,59,36.17
2010-10-15,60,35.6
2010-10-22,53,37.29
2010-10-29,50,37.05
2010-11-05,33,39.55
2010-11-12,49,38.54
2010-11-19,65,39.01
2010-11-26,73,39.39
2010-12-03,58,40.99
2010-12-10,40,41.96
2010-12-17,65,41.65
2010-12-31,83,41.54
2011-01-07,49,40.81
2011-01-14,51,41.89
2011-01-21,71,39.81
2011-01-28,38,38.6
2011-02-04,50,40
2011-02-11,68,41.22
2011-02-18,69,40.92
2011-02-25,63,39.31
2011-03-04,70,38
2011-03-11,95,38.15
2011-03-18,76,37.97
2011-03-25,95,37.66
2011-04-01,76,35.41
2011-04-08,42,34.57
2011-04-15,35,34.1
2011-04-29,26,35.3
2011-05-06,59,36.29
2011-05-13,39,36.5
2011-05-20,53,37.16
2011-05-27,49,37.86
2011-06-03,73,36.25
2011-06-10,38,33.84
2011-06-17,79,33.15
2011-06-24,87,33.96
2011-07-01,84,36.82
2011-07-08,67,37.17
2011-07-15,62,34.94
2011-07-22,58,35.11
2011-07-29,88,32.5
2011-08-05,49,29.5
2011-08-12,67,28.22
2011-08-19,48,26.24
2011-08-26,65,27.52
2011-09-02,64,27.28
2011-09-09,42,26.08
2011-09-16,54,29.2
2011-09-23,47,27.17
2011-09-30,53,27.24
2011-10-07,59,28.17
2011-10-14,44,30.65
2011-10-21,46,30.96
2011-10-28,67,32.78
2011-11-04,60,31.61
2011-11-11,47,31.62
2011-11-18,67,30.92
2011-11-25,78,27.92
2011-12-02,57,30.92
2011-12-09,62,29.92
2011-12-16,54,28.56
2011-12-23,70,29.71
2011-12-30,48,29.17
2012-01-06,33,31.74
2012-01-13,51,33.53
2012-01-20,55,34.84
2012-01-27,64,34.57
2012-02-03,48,36.13
2012-02-10,54,35.72
2012-02-17,56,34.93
2012-02-24,43,34.73
2012-03-02,58,35.75
2012-03-09,77,37.54
2012-03-16,81,38.14
2012-03-23,82,37.72
2012-03-30,66,37.85
2012-04-13,32,37.31
2012-04-20,53,38.9
2012-04-27,65,39.53
2012-05-04,61,39.28
2012-05-11,49,39.34
2012-05-18,57,36.83
2012-05-25,46,38.64
2012-06-01,69,36.49
2012-06-08,63,37.8
2012-06-15,67,37.98
2012-06-22,69,38.8
2012-06-29,74,39.2
2012-07-06,66,39.4
2012-07-13,51,36.28
2012-07-20,65,36.85
2012-07-27,56,36.89
2012-08-03,73,37.55
2012-08-10,68,36.94
2012-08-17,58,38.05
2012-08-24,72,36.97
2012-08-31,69,37.68
2012-09-07,43,39.36
2012-09-14,40,41.6
2012-09-21,29,40.43
2012-09-28,46,39.1
2012-10-05,37,38.29
2012-10-12,33,38.16
2012-10-19,36,37.53
2012-10-26,50,36.82
2012-11-02,40,36.69
2012-11-09,45,35.54
2012-11-16,48,34.43
2012-11-23,67,35.24
2012-11-30,61,36.29
2012-12-07,50,35.43
2012-12-14,42,36.11
2012-12-21,57,37.4
2012-12-28,60,36.48
2013-01-04,51,39.23
2013-01-11,53,38.88
2013-01-18,49,39.27
2013-01-25,46,39.56
2013-02-01,52,40.29
2013-02-08,52,40.97
2013-02-15,27,41.23
2013-02-22,43,39.49
2013-03-01,61,39.57
2013-03-08,61,40.29
2013-03-15,57,40.35
2013-03-22,55,39.85
2013-04-05,39,40.66
2013-04-12,44,42.59
2013-04-19,52,41.34
2013-04-26,54,41.57
2013-05-03,47,43.01
2013-05-10,54,43.97
2013-05-17,52,43.73
2013-05-24,40,42.77
2013-05-31,49,42.01
2013-06-07,61,41.66
2013-06-14,55,40.77
2013-06-21,87,38.93
2013-06-28,47,40.37
2013-07-05,57,41.4
2013-07-12,46,41.73
2013-07-19,63,41.62
2013-07-26,45,41.26
2013-08-02,64,42.42
2013-08-09,50,40.94
2013-08-16,49,40.4
2013-08-23,53,41.16
2013-08-30,58,39.99
2013-09-06,46,40.62
2013-09-13,33,42.86
2013-09-20,41,43.17
2013-09-27,40,42.35
2013-10-04,43,42.6
2013-10-11,32,42.3
2013-10-18,32,43.5
2013-10-25,38,44.49
2013-11-01,26,45.71
2013-11-08,45,46.12
2013-11-15,39,47.02
2013-11-22,33,46.92
2013-11-29,51,47.02
2013-12-06,48,46.23
2013-12-13,41,46.57
2013-12-20,64,48.15
2013-12-27,38,48.78
2014-01-03,55,48.65
2014-01-10,50,49.28
2014-01-17,45,50.62
2014-01-24,42,49.76
2014-01-31,46,49.3
2014-02-07,52,49.24
2014-02-14,47,51.52
2014-02-21,44,52.51
2014-02-28,46,54.23
2014-03-07,41,54.79
2014-03-14,68,53.88
2014-03-21,66,55.25
2014-03-28,66,55.44
2014-04-04,54,55.8
2014-04-11,41,55.3
2014-04-25,41,57.23
