"Date","AMAT","Price"
2009-05-01,66,12.18
2009-05-08,65,11.89
2009-05-15,79,10.71
2009-05-22,74,10.67
2009-05-29,69,11.26
2009-06-05,61,10.98
2009-06-12,71,11.23
2009-06-19,71,10.98
2009-06-26,63,10.91
2009-07-10,68,11
2009-07-17,70,12.67
2009-07-24,65,13.19
2009-07-31,69,13.8
2009-08-07,69,13.52
2009-08-14,74,13.55
2009-08-21,63,13.74
2009-08-28,65,13.27
2009-09-04,71,13.45
2009-09-11,73,13.51
2009-09-18,72,13.03
2009-09-25,73,13.1
2009-10-02,69,12.68
2009-10-09,76,13.22
2009-10-16,70,13.38
2009-10-23,76,12.95
2009-10-30,65,12.2
2009-11-06,69,12.4
2009-11-13,74,12.72
2009-11-20,72,12.28
2009-11-27,70,12.29
2009-12-04,68,13.32
2009-12-11,63,13.38
2009-12-18,58,13.62
2010-01-08,64,14.55
2010-01-15,68,13.73
2010-01-22,63,12.63
2010-01-29,64,12.18
2010-02-05,67,12.23
2010-02-12,62,12.47
2010-02-19,62,12.5
2010-02-26,62,12.24
2010-03-05,63,12.29
2010-03-12,71,12.36
2010-03-19,59,12.49
2010-03-26,68,13.21
2010-04-09,69,13.47
2010-04-16,75,14.36
2010-04-23,63,14.47
2010-04-30,65,13.78
2010-05-07,70,12.5
2010-05-14,80,12.95
2010-05-21,62,12.72
2010-05-28,67,12.92
2010-06-04,62,12.57
2010-06-11,67,12.69
2010-06-18,75,13.34
2010-06-25,63,12.95
2010-07-02,66,12
2010-07-09,61,12.3
2010-07-16,60,12.19
2010-07-23,65,12.51
2010-07-30,69,11.8
2010-08-06,62,11.84
2010-08-13,56,11.17
2010-08-20,62,11.09
2010-08-27,60,10.69
2010-09-03,63,10.98
2010-09-10,70,10.68
2010-09-17,80,11.02
2010-09-24,74,11.63
2010-10-01,68,11.71
2010-10-08,71,11.82
2010-10-15,71,12.02
2010-10-22,72,12.13
2010-10-29,67,12.35
2010-11-05,67,12.98
2010-11-12,71,12.59
2010-11-19,68,12.53
2010-11-26,68,12.53
2010-12-03,64,13.06
2010-12-10,69,13.36
2010-12-17,64,13.61
2010-12-31,59,14.05
2011-01-07,64,13.96
2011-01-14,71,15.32
2011-01-21,69,15.01
2011-01-28,74,15.77
2011-02-04,80,16.49
2011-02-11,66,16.01
2011-02-18,72,16.47
2011-02-25,75,16.12
2011-03-04,66,16.73
2011-03-11,73,15
2011-03-18,62,14.84
2011-03-25,67,15.43
2011-04-01,73,15.53
2011-04-08,74,15.31
2011-04-15,71,14.72
2011-04-29,65,15.69
2011-05-06,66,15.23
2011-05-13,70,14.8
2011-05-20,69,14.09
2011-05-27,72,13.43
2011-06-03,72,12.96
2011-06-10,70,12.58
2011-06-17,64,12.41
2011-06-24,64,12.4
2011-07-01,67,13.29
2011-07-08,66,13.1
2011-07-15,64,12.45
2011-07-22,66,13.15
2011-07-29,59,12.32
2011-08-05,63,11.44
2011-08-12,62,11.6
2011-08-19,61,10.82
2011-08-26,66,11.06
2011-09-02,66,10.84
2011-09-09,73,10.73
2011-09-16,73,11.57
2011-09-23,68,10.59
2011-09-30,70,10.36
2011-10-07,100,10.71
2011-10-14,69,11.6
2011-10-21,77,11.69
2011-10-28,70,12.62
2011-11-04,67,12.42
2011-11-11,70,12.73
2011-11-18,69,11.23
2011-11-25,66,10.16
2011-12-02,62,10.83
2011-12-09,62,11.2
2011-12-16,64,10.33
2011-12-23,56,10.82
2011-12-30,57,10.71
2012-01-06,55,11.01
2012-01-13,62,11.5
2012-01-20,60,12.47
2012-01-27,64,12.23
2012-02-03,58,12.79
2012-02-10,56,12.95
2012-02-17,61,12.99
2012-02-24,60,12.63
2012-03-02,63,12.22
2012-03-09,60,12.37
2012-03-16,60,12.82
2012-03-23,65,12.69
2012-03-30,54,12.45
2012-04-13,55,11.8
2012-04-20,51,11.77
2012-04-27,60,12.03
2012-05-04,57,11.28
2012-05-11,63,10.98
2012-05-18,64,10.36
2012-05-25,57,10.54
2012-06-01,59,10.01
2012-06-08,56,10.76
2012-06-15,56,10.99
2012-06-22,62,11.24
2012-06-29,54,11.45
2012-07-06,54,11.04
2012-07-13,58,10.48
2012-07-20,62,10.51
2012-07-27,59,10.9
2012-08-03,58,11.22
2012-08-10,56,11.95
2012-08-17,52,12
2012-08-24,61,11.77
2012-08-31,63,11.69
2012-09-07,66,11.86
2012-09-14,69,12.05
2012-09-21,70,11.45
2012-09-28,65,11.17
2012-10-05,70,11.13
2012-10-12,60,10.9
2012-10-19,62,10.84
2012-10-26,58,10.65
2012-11-02,56,10.81
2012-11-09,61,10.67
2012-11-16,63,10.15
2012-11-23,58,10.4
2012-11-30,58,10.73
2012-12-07,55,10.97
2012-12-14,53,11.08
2012-12-21,54,11.5
2012-12-28,47,11.26
2013-01-04,51,11.81
2013-01-11,55,11.71
2013-01-18,54,12.65
2013-01-25,55,12.83
2013-02-01,55,13.17
2013-02-08,57,13.61
2013-02-15,57,13.74
2013-02-22,55,13.57
2013-03-01,60,13.59
2013-03-08,59,13.54
2013-03-15,54,13.31
2013-03-22,54,13.26
2013-04-05,58,13.2
2013-04-12,62,13.63
2013-04-19,53,12.93
2013-04-26,56,14.14
2013-05-03,55,14.83
2013-05-10,57,14.97
2013-05-17,64,14.96
2013-05-24,59,14.5
2013-05-31,73,15.2
2013-06-07,53,15.49
2013-06-14,57,15.41
2013-06-21,55,15.08
2013-06-28,64,14.92
2013-07-05,58,15.22
2013-07-12,58,16.66
2013-07-19,58,16.56
2013-07-26,53,16.13
2013-08-02,52,16.32
2013-08-09,56,15.67
2013-08-16,58,15.62
2013-08-23,58,15.62
2013-08-30,58,15.01
2013-09-06,62,15.51
2013-09-13,68,15.91
2013-09-20,67,15.93
2013-09-27,79,17.6
2013-10-04,61,17.57
2013-10-11,66,18
2013-10-18,62,18.05
2013-10-25,64,17.7
2013-11-01,61,17.7
2013-11-08,63,17.75
2013-11-15,63,17.52
2013-11-22,59,17.25
2013-11-29,61,17.3
2013-12-06,57,16.83
2013-12-13,58,16.7
2013-12-20,59,17.19
2013-12-27,59,17.43
2014-01-03,56,17.51
2014-01-10,64,17.47
2014-01-17,60,17.55
2014-01-24,56,17.17
2014-01-31,58,16.82
2014-02-07,57,17.18
2014-02-14,60,18.96
2014-02-21,59,19.1
2014-02-28,58,18.96
2014-03-07,65,19.64
2014-03-14,59,18.72
2014-03-21,62,20.17
2014-03-28,58,20.18
2014-04-04,62,20.25
2014-04-11,60,19.12
2014-04-25,56,18.62
