"Date","buy.KEY","Price"
2008-06-20,45,11.53
2008-06-27,52,11.14
2008-07-11,55,9.84
2008-07-18,69,11.36
2008-07-25,59,11.16
2008-08-01,52,10.97
2008-08-08,57,11.94
2008-08-15,55,11.73
2008-08-22,61,11.47
2008-08-29,61,12.01
2008-09-05,49,12.97
2008-09-12,56,13.37
2008-09-19,63,14.88
2008-09-26,54,14.7
2008-10-03,45,12.55
2008-10-10,52,6.79
2008-10-17,52,10.08
2008-10-24,54,10.12
2008-10-31,50,12.41
2008-11-07,55,11.24
2008-11-14,100,9.6
2008-11-21,64,6.27
2008-11-28,47,9.38
2008-12-05,64,8.39
2008-12-12,61,8
2008-12-19,59,8.07
2008-12-26,69,7.7
2009-01-02,68,8.87
2009-01-09,63,7.58
2009-01-16,59,6.31
2009-01-23,57,7.62
2009-01-30,57,7.28
2009-02-06,48,8.47
2009-02-13,60,7.05
2009-02-20,58,6.07
2009-02-27,57,7.01
2009-03-06,56,5.36
2009-03-13,56,7.7
2009-03-20,62,7.47
2009-03-27,58,8.32
2009-04-03,55,8.54
2009-04-17,59,9.05
2009-04-24,55,7
2009-05-01,55,5.88
2009-05-08,57,6.97
2009-05-15,53,5.8
2009-05-22,52,5.26
2009-05-29,56,5
2009-06-05,57,5.43
2009-06-12,53,6.12
2009-06-19,58,6.07
2009-06-26,52,5.2
2009-07-10,62,5.12
2009-07-17,64,5.11
2009-07-24,61,5.26
2009-07-31,60,5.78
2009-08-07,65,6.78
2009-08-14,63,6.65
2009-08-21,66,6.73
2009-08-28,62,6.68
2009-09-04,62,6.22
2009-09-11,73,5.93
2009-09-18,67,6.63
2009-09-25,56,6.24
2009-10-02,57,6.17
2009-10-09,56,6.19
2009-10-16,53,6.45
2009-10-23,58,6.48
2009-10-30,62,5.39
2009-11-06,56,5.73
2009-11-13,68,5.59
2009-11-20,66,5.73
2009-11-27,69,5.57
2009-12-04,72,6.16
2009-12-11,67,6.07
2009-12-18,64,5.56
2010-01-08,63,6.5
2010-01-15,61,6.88
2010-01-22,65,7.25
2010-01-29,66,7.18
2010-02-05,71,6.89
2010-02-12,60,6.79
2010-02-19,75,6.79
2010-02-26,62,7.15
2010-03-05,75,7.25
2010-03-12,75,7.55
2010-03-19,64,7.6
2010-03-26,62,7.86
2010-04-09,61,8.35
2010-04-16,55,8
2010-04-23,70,9.19
2010-04-30,67,9.02
2010-05-07,63,7.88
2010-05-14,64,8.43
2010-05-21,66,7.87
2010-05-28,57,8.02
2010-06-04,64,7.77
2010-06-11,62,8.24
2010-06-18,60,8.37
2010-06-25,61,8.27
2010-07-02,61,7.22
2010-07-09,64,8.35
2010-07-16,68,7.75
2010-07-23,64,8.03
2010-07-30,71,8.46
2010-08-06,69,8.17
2010-08-13,72,7.82
2010-08-20,67,7.64
2010-08-27,77,7.58
2010-09-03,66,8.03
2010-09-10,68,8.22
2010-09-17,63,8.23
2010-09-24,59,7.9
2010-10-01,66,8.11
2010-10-08,58,8.4
2010-10-15,64,8.03
2010-10-22,56,8.3
2010-10-29,61,8.2
2010-11-05,62,8.4
2010-11-12,67,8.02
2010-11-19,62,7.66
2010-11-26,64,7.48
2010-12-03,56,8.2
2010-12-10,74,8.38
2010-12-17,65,8.42
2010-12-31,66,8.85
2011-01-07,71,8.73
2011-01-14,57,8.77
2011-01-21,61,8.78
2011-01-28,62,8.79
2011-02-04,63,9.45
2011-02-11,60,9.54
2011-02-18,56,9.53
2011-02-25,61,9.29
2011-03-04,58,9.26
2011-03-11,58,9.08
2011-03-18,53,8.92
2011-03-25,57,8.72
2011-04-01,61,8.95
2011-04-08,61,8.87
2011-04-15,55,8.82
2011-04-29,56,8.67
2011-05-06,50,8.53
2011-05-13,52,8.27
2011-05-20,59,8.4
2011-05-27,53,8.45
2011-06-03,57,8.06
2011-06-10,55,8.01
2011-06-17,60,8.3
2011-06-24,60,7.93
2011-07-01,59,8.44
2011-07-08,63,8.26
2011-07-15,52,7.93
2011-07-22,54,8.41
2011-07-29,58,8.04
2011-08-05,54,7.25
2011-08-12,56,6.43
2011-08-19,63,6.01
2011-08-26,61,6.42
2011-09-02,59,6.24
2011-09-09,59,6.12
2011-09-16,53,6.53
2011-09-23,60,5.71
2011-09-30,61,5.93
2011-10-07,57,6.16
2011-10-14,57,6.51
2011-10-21,53,6.95
2011-10-28,58,7.33
2011-11-04,59,7.33
2011-11-11,64,7.47
2011-11-18,66,7.08
2011-11-25,68,6.67
2011-12-02,59,7.2
2011-12-09,64,7.38
2011-12-16,62,7.18
2011-12-23,78,7.78
2011-12-30,73,7.69
2012-01-06,70,7.98
2012-01-13,65,8.32
2012-01-20,65,8.3
2012-01-27,61,8.01
2012-02-03,60,8.24
2012-02-10,60,7.94
2012-02-17,57,8.12
2012-02-24,61,8.06
2012-03-02,61,7.98
2012-03-09,62,8.02
2012-03-16,55,8.54
2012-03-23,55,8.36
2012-03-30,54,8.5
2012-04-13,53,7.97
2012-04-20,56,7.87
2012-04-27,57,8.11
2012-05-04,59,7.82
2012-05-11,58,7.89
2012-05-18,91,7.41
2012-05-25,68,7.5
2012-06-01,65,7.14
2012-06-08,61,7.28
2012-06-15,59,7.43
2012-06-22,60,7.62
2012-06-29,58,7.74
2012-07-06,55,7.7
2012-07-13,55,7.85
2012-07-20,65,7.89
2012-07-27,65,8.18
2012-08-03,59,8.24
2012-08-10,60,8.34
2012-08-17,66,8.36
2012-08-24,63,8.35
2012-08-31,70,8.43
2012-09-07,65,8.61
2012-09-14,63,9.04
2012-09-21,58,8.91
2012-09-28,64,8.74
2012-10-05,61,8.88
2012-10-12,59,8.33
2012-10-19,57,8.74
2012-10-26,61,8.39
2012-11-02,68,8.37
2012-11-09,63,8.29
2012-11-16,75,8.03
2012-11-23,71,8.45
2012-11-30,71,8.08
2012-12-07,60,8.11
2012-12-14,71,8.14
2012-12-21,73,8.44
2012-12-28,76,8.35
2013-01-04,70,8.95
2013-01-11,65,8.84
2013-01-18,62,9.28
2013-01-25,69,9.29
2013-02-01,68,9.47
2013-02-08,70,9.57
2013-02-15,62,9.48
2013-02-22,62,9.51
2013-03-01,61,9.33
2013-03-08,64,9.86
2013-03-15,71,10.11
2013-03-22,63,10.05
2013-04-05,58,9.66
2013-04-12,60,9.84
2013-04-19,56,9.41
2013-04-26,55,9.8
2013-05-03,58,10.03
2013-05-10,60,10.3
2013-05-17,60,10.8
2013-05-24,61,10.66
2013-05-31,56,10.78
2013-06-07,56,10.86
2013-06-14,62,10.41
2013-06-21,57,10.54
2013-06-28,63,11.04
2013-07-05,64,12
2013-07-12,70,11.79
2013-07-19,68,12.04
2013-07-26,64,12.4
2013-08-02,61,12.55
2013-08-09,62,12.23
2013-08-16,65,12.16
2013-08-23,74,12.2
2013-08-30,69,11.67
2013-09-06,75,11.9
2013-09-13,73,11.97
2013-09-20,64,11.57
2013-09-27,60,11.36
2013-10-04,60,11.64
2013-10-11,61,11.88
2013-10-18,69,12.6
2013-10-25,68,12.69
2013-11-01,65,12.54
2013-11-08,67,13.02
2013-11-15,70,12.85
2013-11-22,67,12.98
2013-11-29,69,12.75
2013-12-06,71,12.95
2013-12-13,68,13.04
2013-12-20,76,13.32
2013-12-27,80,13.4
2014-01-03,78,13.32
2014-01-10,68,13.63
2014-01-17,73,13.54
2014-01-24,63,12.93
2014-01-31,63,12.76
2014-02-07,66,12.74
2014-02-14,61,12.92
2014-02-21,61,12.85
2014-02-28,64,13.17
2014-03-07,68,13.9
2014-03-14,63,13.79
2014-03-21,65,14.36
2014-03-28,67,14.14
2014-04-04,65,14.21
2014-04-11,63,13.18
2014-04-25,68,13.54
