"Date","HSY","Price"
2008-05-16,23,37.47
2008-05-23,25,36.51
2008-05-30,36,39.19
2008-06-06,31,37.46
2008-06-13,23,38.33
2008-06-20,25,33.75
2008-06-27,25,32.48
2008-07-11,21,33.51
2008-07-18,22,35
2008-07-25,25,36.33
2008-08-01,24,36.45
2008-08-08,33,40.58
2008-08-15,19,41.62
2008-08-22,33,37.44
2008-08-29,34,36.09
2008-09-05,33,37.72
2008-09-12,41,41.09
2008-09-19,27,40.7
2008-09-26,28,41.06
2008-10-03,22,38.96
2008-10-10,62,34.5
2008-10-17,38,35.2
2008-10-24,26,33.59
2008-10-31,24,37.24
2008-11-07,22,36.51
2008-11-14,31,35.96
2008-11-21,30,34.69
2008-11-28,24,36
2008-12-05,16,34.63
2008-12-12,28,35.66
2008-12-19,19,35.06
2008-12-26,29,34.89
2009-01-02,21,35.81
2009-01-09,27,34.42
2009-01-16,25,35.03
2009-01-23,20,34.94
2009-01-30,28,37.28
2009-02-06,25,37.48
2009-02-13,27,36.87
2009-02-20,25,34.64
2009-02-27,32,33.69
2009-03-06,31,31.99
2009-03-13,33,33.21
2009-03-20,32,34.93
2009-03-27,24,34.95
2009-04-03,30,36.14
2009-04-17,26,35.84
2009-04-24,37,36.18
2009-05-01,29,35.71
2009-05-08,29,35.22
2009-05-15,39,35.28
2009-05-22,22,34.88
2009-05-29,32,35.22
2009-06-05,22,34.87
2009-06-12,24,35.39
2009-06-19,18,34.77
2009-06-26,12,35.99
2009-07-10,26,36.68
2009-07-17,25,38.17
2009-07-24,37,40.97
2009-07-31,30,39.95
2009-08-07,28,39.14
2009-08-14,28,38.94
2009-08-21,26,39.66
2009-08-28,28,38.95
2009-09-04,25,38.63
2009-09-11,21,40.24
2009-09-18,23,39.61
2009-09-25,22,39
2009-10-02,23,39.54
2009-10-09,26,39.9
2009-10-16,35,39.63
2009-10-23,21,38.06
2009-10-30,25,37.79
2009-11-06,19,37.62
2009-11-13,29,38.22
2009-11-20,30,37.18
2009-11-27,32,35.6
2009-12-04,29,35.99
2009-12-11,35,36.02
2009-12-18,44,35.29
2010-01-08,47,36.38
2010-01-15,54,36.25
2010-01-22,46,36.28
2010-01-29,46,36.43
2010-02-05,33,37.35
2010-02-12,45,37.6
2010-02-19,44,39.97
2010-02-26,46,39.76
2010-03-05,63,41.45
2010-03-12,51,42.65
2010-03-19,48,42.44
2010-03-26,62,42.49
2010-04-09,44,44.12
2010-04-16,54,43.87
2010-04-23,44,48.72
2010-04-30,50,47.01
2010-05-07,46,46.42
2010-05-14,53,47.22
2010-05-21,48,46.56
2010-05-28,45,46.8
2010-06-04,47,48.29
2010-06-11,57,50.77
2010-06-18,44,50.22
2010-06-25,40,48.38
2010-07-02,40,48.21
2010-07-09,34,50.72
2010-07-16,41,50.81
2010-07-23,37,47.21
2010-07-30,41,47
2010-08-06,52,46.18
2010-08-13,45,46.35
2010-08-20,52,47.74
2010-08-27,43,47.09
2010-09-03,34,47.14
2010-09-10,35,45.94
2010-09-17,42,47.37
2010-09-24,50,48.12
2010-10-01,54,47.79
2010-10-08,53,48.75
2010-10-15,52,51.62
2010-10-22,45,49.91
2010-10-29,44,49.49
2010-11-05,58,48.49
2010-11-12,43,47.55
2010-11-19,40,46.52
2010-11-26,42,47.22
2010-12-03,43,46.75
2010-12-10,46,47.4
2010-12-17,39,48.3
2010-12-31,44,47.15
2011-01-07,47,48.14
2011-01-14,46,49.55
2011-01-21,38,49.39
2011-01-28,42,47.04
2011-02-04,47,50.49
2011-02-11,49,50.01
2011-02-18,49,50.33
2011-02-25,40,51.95
2011-03-04,44,52.94
2011-03-11,54,53.73
2011-03-18,59,53.87
2011-03-25,70,54.36
2011-04-01,62,54.3
2011-04-08,82,55.71
2011-04-15,100,57.3
2011-04-29,57,57.71
2011-05-06,50,56.06
2011-05-13,50,57.34
2011-05-20,49,56.14
2011-05-27,55,55.02
2011-06-03,49,54.51
2011-06-10,47,53.92
2011-06-17,44,55.66
2011-06-24,51,55.94
2011-07-01,44,57.41
2011-07-08,40,57.78
2011-07-15,41,56.8
2011-07-22,33,58.93
2011-07-29,46,56.44
2011-08-05,50,56.15
2011-08-12,44,55.85
2011-08-19,44,55.12
2011-08-26,40,57.29
2011-09-02,41,57.21
2011-09-09,45,56.56
2011-09-16,45,59.42
2011-09-23,57,59.08
2011-09-30,47,59.24
2011-10-07,60,58.99
2011-10-14,52,60.04
2011-10-21,50,60.26
2011-10-28,46,57.45
2011-11-04,42,57.61
2011-11-11,34,56.99
2011-11-18,42,56.38
2011-11-25,53,55.36
2011-12-02,55,57.84
2011-12-09,36,59.3
2011-12-16,44,59.4
2011-12-23,44,61
2011-12-30,41,61.78
2012-01-06,44,60.69
2012-01-13,49,61.48
2012-01-20,37,61.54
2012-01-27,38,61.24
2012-02-03,41,61.16
2012-02-10,50,59.55
2012-02-17,46,60.86
2012-02-24,49,61.11
2012-03-02,51,61.33
2012-03-09,92,59.49
2012-03-16,68,60.14
2012-03-23,69,60.52
2012-03-30,60,61.33
2012-04-13,59,61.69
2012-04-20,65,63.15
2012-04-27,72,66.75
2012-05-04,49,66.89
2012-05-11,63,68.46
2012-05-18,55,67.41
2012-05-25,44,67.72
2012-06-01,45,65.9
2012-06-08,50,67.57
2012-06-15,48,69.49
2012-06-22,44,69.5
2012-06-29,47,72.03
2012-07-06,55,72.24
2012-07-13,44,72.54
2012-07-20,39,71.26
2012-07-27,47,72.17
2012-08-03,48,72.17
2012-08-10,38,72.23
2012-08-17,38,71.92
2012-08-24,30,72.61
2012-08-31,39,71.82
2012-09-07,40,72.32
2012-09-14,45,70.09
2012-09-21,50,71.68
2012-09-28,52,70.89
2012-10-05,54,71.49
2012-10-12,51,69.53
2012-10-19,41,70.33
2012-10-26,42,69.33
2012-11-02,43,69.49
2012-11-09,49,70.35
2012-11-16,42,71.74
2012-11-23,48,72.4
2012-11-30,43,73.27
2012-12-07,40,72.27
2012-12-14,40,74.02
2012-12-21,37,73.37
2012-12-28,41,71.44
2013-01-04,39,74.54
2013-01-11,48,76.12
2013-01-18,51,78.28
2013-01-25,42,77.85
2013-02-01,48,80.14
2013-02-08,46,80.21
2013-02-15,55,80.93
2013-02-22,48,81.23
2013-03-01,49,83.45
2013-03-08,47,84.32
2013-03-15,57,83.9
2013-03-22,47,85.91
2013-04-05,51,85.44
2013-04-12,54,86.52
2013-04-19,57,90.38
2013-04-26,64,87.57
2013-05-03,58,89.56
2013-05-10,55,87.9
2013-05-17,49,90.1
2013-05-24,45,89.25
2013-05-31,46,89.11
2013-06-07,40,89.48
2013-06-14,53,89.15
2013-06-21,59,86.66
2013-06-28,50,89.28
2013-07-05,46,90.02
2013-07-12,60,91.69
2013-07-19,52,92.67
2013-07-26,49,94.46
2013-08-02,45,97.23
2013-08-09,41,97.55
2013-08-16,44,95.17
2013-08-23,60,95.47
2013-08-30,51,91.95
2013-09-06,50,90.74
2013-09-13,58,91.58
2013-09-20,57,93.6
2013-09-27,65,93
2013-10-04,52,91.77
2013-10-11,57,93.95
2013-10-18,56,96.03
2013-10-25,61,97.11
2013-11-01,62,99.21
2013-11-08,59,97.55
2013-11-15,58,98.56
2013-11-22,59,96.29
2013-11-29,48,96.89
2013-12-06,48,97.16
2013-12-13,56,94.84
2013-12-20,54,96.3
2013-12-27,53,96.28
2014-01-03,49,95.81
2014-01-10,50,97.86
2014-01-17,63,98.58
2014-01-24,58,98.12
2014-01-31,56,99.4
2014-02-07,63,100.38
2014-02-14,59,105.28
2014-02-21,62,107.7
2014-02-28,60,105.82
2014-03-07,57,105.64
2014-03-14,59,106.2
2014-03-21,61,104.84
2014-03-28,69,103.24
2014-04-04,59,102.97
2014-04-11,54,98.32
2014-04-25,59,96.36
