"Date","Dominion.Resources","Price"
2007-06-15,25,85.63
2007-06-22,29,80.55
2007-06-29,42,86.31
2007-07-06,44,86.19
2007-07-13,29,88.6
2007-07-20,38,87.19
2007-07-27,35,82.19
2007-08-03,55,84
2007-08-10,29,90.25
2007-08-17,49,87.37
2007-08-24,26,88.9
2007-08-31,19,85.18
2007-09-07,19,84.48
2007-09-14,19,85.72
2007-09-21,19,86.16
2007-09-28,17,84.3
2007-10-05,17,87.07
2007-10-12,24,87.55
2007-10-19,32,85.99
2007-10-26,32,88.64
2007-11-02,32,90.69
2007-11-09,24,92.14
2007-11-16,28,91.3
2007-11-23,56,45.71
2007-11-30,47,47.23
2007-12-07,49,48.77
2007-12-14,28,47.82
2007-12-21,28,48.7
2007-12-28,25,47.6
2008-01-04,25,46.44
2008-01-11,29,47.29
2008-01-18,25,44.24
2008-01-25,27,41.03
2008-02-01,44,43.57
2008-02-08,20,42.11
2008-02-15,33,42.67
2008-02-22,22,42.27
2008-02-29,34,39.94
2008-03-07,28,39.1
2008-03-14,37,39.57
2008-03-28,30,40.5
2008-04-04,40,43.21
2008-04-11,33,42.95
2008-04-18,31,44.19
2008-04-25,21,43.54
2008-05-02,36,45.59
2008-05-09,18,44.99
2008-05-16,21,45.97
2008-05-23,21,45.44
2008-05-30,24,46.3
2008-06-06,29,45.92
2008-06-13,28,46.13
2008-06-20,24,47.08
2008-06-27,24,46.2
2008-07-11,34,46.87
2008-07-18,23,44.47
2008-07-25,33,43.31
2008-08-01,27,42.59
2008-08-08,26,42.77
2008-08-15,28,42.55
2008-08-22,17,43.58
2008-08-29,27,43.53
2008-09-05,27,40.94
2008-09-12,19,43.11
2008-09-19,22,44.17
2008-09-26,34,43.4
2008-10-03,34,41.88
2008-10-10,38,33.67
2008-10-17,41,35.95
2008-10-24,29,35.14
2008-10-31,31,36.28
2008-11-07,23,35.83
2008-11-14,19,36.39
2008-11-21,35,36.93
2008-11-28,15,36.82
2008-12-05,20,35.23
2008-12-12,23,34.6
2008-12-19,18,34.98
2008-12-26,17,34.9
2009-01-02,23,36.54
2009-01-09,28,35.11
2009-01-16,14,34.6
2009-01-23,15,35
2009-01-30,27,35.18
2009-02-06,19,36.93
2009-02-13,22,34.54
2009-02-20,18,31.69
2009-02-27,30,30.18
2009-03-06,30,28.12
2009-03-13,30,29.53
2009-03-20,15,30.99
2009-03-27,19,31.07
2009-04-03,24,30.44
2009-04-17,31,29.94
2009-04-24,32,29.29
2009-05-01,32,31.09
2009-05-08,26,31.87
2009-05-15,27,30.52
2009-05-22,25,30.81
2009-05-29,23,31.79
2009-06-05,23,32.02
2009-06-12,30,33.39
2009-06-19,27,32.72
2009-06-26,21,33.39
2009-07-10,10,32.45
2009-07-17,21,32.87
2009-07-24,20,34.59
2009-07-31,27,33.8
2009-08-07,10,33.6
2009-08-14,16,33.56
2009-08-21,29,34.22
2009-08-28,25,33.22
2009-09-04,23,33
2009-09-11,24,32.79
2009-09-18,24,34.33
2009-09-25,19,34.19
2009-10-02,20,33.49
2009-10-09,19,34.7
2009-10-16,14,34.52
2009-10-23,21,35.17
2009-10-30,18,34.09
2009-11-06,22,35.97
2009-11-13,24,36.26
2009-11-20,18,36.37
2009-11-27,21,36.14
2009-12-04,21,37.75
2009-12-11,27,39.08
2009-12-18,32,39.13
2010-01-08,20,38.56
2010-01-15,12,38.85
2010-01-22,23,37.8
2010-01-29,24,37.46
2010-02-05,14,36.75
2010-02-12,17,37.14
2010-02-19,15,39.17
2010-02-26,17,37.99
2010-03-05,20,39.11
2010-03-12,25,39.69
2010-03-19,38,40.7
2010-03-26,25,40.6
2010-04-09,21,41.59
2010-04-16,28,41.18
2010-04-23,28,41.77
2010-04-30,22,41.8
2010-05-07,28,40.22
2010-05-14,17,40.99
2010-05-21,17,39.53
2010-05-28,20,38.96
2010-06-04,21,39.01
2010-06-11,16,40.6
2010-06-18,22,42
2010-06-25,16,40.17
2010-07-02,17,38.67
2010-07-09,12,40.9
2010-07-16,11,40.43
2010-07-23,17,42.41
2010-07-30,19,41.99
2010-08-06,19,43.67
2010-08-13,22,43.91
2010-08-20,16,43.93
2010-08-27,25,43.42
2010-09-03,20,43.99
2010-09-10,17,43.29
2010-09-17,15,43.42
2010-09-24,17,44.23
2010-10-01,22,44.03
2010-10-08,22,44.68
2010-10-15,12,44.54
2010-10-22,11,44.51
2010-10-29,9,43.46
2010-11-05,11,43.5
2010-11-12,9,42.86
2010-11-19,19,42.76
2010-11-26,14,41.84
2010-12-03,14,42.42
2010-12-10,16,41.62
2010-12-17,19,42.57
2010-12-31,10,42.72
2011-01-07,15,43.23
2011-01-14,23,42.98
2011-01-21,14,43.35
2011-01-28,23,43.39
2011-02-04,17,43.61
2011-02-11,29,44.12
2011-02-18,17,44.37
2011-02-25,14,45
2011-03-04,14,45.54
2011-03-11,18,45.51
2011-03-18,19,43.78
2011-03-25,17,44.54
2011-04-01,23,44.7
2011-04-08,20,44.82
2011-04-15,18,44.47
2011-04-29,24,46.42
2011-05-06,22,46.92
2011-05-13,25,47.99
2011-05-20,15,48.28
2011-05-27,17,47.23
2011-06-03,9,47.15
2011-06-10,19,47.53
2011-06-17,12,47.66
2011-06-24,16,47.25
2011-07-01,18,48.99
2011-07-08,10,48.63
2011-07-15,14,48.46
2011-07-22,18,49.78
2011-07-29,16,48.45
2011-08-05,20,48.59
2011-08-12,21,47.71
2011-08-19,14,47.99
2011-08-26,17,48.46
2011-09-02,22,47.98
2011-09-09,14,47.19
2011-09-16,15,49.84
2011-09-23,16,49.99
2011-09-30,19,50.77
2011-10-07,13,50.27
2011-10-14,21,50.49
2011-10-21,16,52.07
2011-10-28,17,51.37
2011-11-04,16,51.56
2011-11-11,18,52.06
2011-11-18,16,51.04
2011-11-25,10,49.51
2011-12-02,13,50.56
2011-12-09,17,50.77
2011-12-16,17,50.65
2011-12-23,18,52.95
2011-12-30,12,53.08
2012-01-06,18,51.43
2012-01-13,12,50.6
2012-01-20,15,50.57
2012-01-27,21,49.56
2012-02-03,22,50.38
2012-02-10,17,49.91
2012-02-17,17,50.57
2012-02-24,19,51.32
2012-03-02,17,50.52
2012-03-09,16,50.76
2012-03-16,15,50.32
2012-03-23,22,50.28
2012-03-30,16,51.21
2012-04-13,18,50.28
2012-04-20,19,51.02
2012-04-27,15,52.07
2012-05-04,18,51.99
2012-05-11,12,52.22
2012-05-18,17,52.29
2012-05-25,15,52.55
2012-06-01,17,51.63
2012-06-08,14,53.23
2012-06-15,15,53.78
2012-06-22,15,53.61
2012-06-29,12,54
2012-07-06,16,53.83
2012-07-13,10,54.19
2012-07-20,14,53.96
2012-07-27,9,54.97
2012-08-03,18,54.41
2012-08-10,14,53.72
2012-08-17,11,53.92
2012-08-24,12,53.49
2012-08-31,11,52.48
2012-09-07,13,53.16
2012-09-14,14,52.82
2012-09-21,14,52.7
2012-09-28,15,52.94
2012-10-05,15,53.26
2012-10-12,13,52.68
2012-10-19,8,53.51
2012-10-26,12,52.07
2012-11-02,9,51.7
2012-11-09,11,49.33
2012-11-16,10,50.15
2012-11-23,9,50.12
2012-11-30,14,51.11
2012-12-07,16,51.69
2012-12-14,15,51.19
2012-12-21,10,51.94
2012-12-28,11,51.08
2013-01-04,11,53.54
2013-01-11,17,52.43
2013-01-18,10,52.92
2013-01-25,13,53.88
2013-02-01,12,54.17
2013-02-08,14,54.31
2013-02-15,12,54.92
2013-02-22,14,56.38
2013-03-01,14,56.42
2013-03-08,13,55.87
2013-03-15,14,56.79
2013-03-22,15,56.77
2013-04-05,19,59.63
2013-04-12,18,60.12
2013-04-19,13,61.07
2013-04-26,16,61.01
2013-05-03,16,60.91
2013-05-10,16,59.75
2013-05-17,16,61.17
2013-05-24,12,57.62
2013-05-31,10,56.55
2013-06-07,16,55.64
2013-06-14,13,56.04
2013-06-21,12,55.01
2013-06-28,12,56.82
2013-07-05,10,56.25
2013-07-12,13,58.8
2013-07-19,14,59.68
2013-07-26,13,59.52
2013-08-02,11,59.43
2013-08-09,13,60.33
2013-08-16,10,57.44
2013-08-23,8,58.86
2013-08-30,11,58.35
2013-09-06,13,57.53
2013-09-13,14,61.28
2013-09-20,13,62.27
2013-09-27,15,62.43
2013-10-04,13,62.22
2013-10-11,13,62.95
2013-10-18,14,63.68
2013-10-25,19,64.66
2013-11-01,8,64.09
2013-11-08,12,65.41
2013-11-15,15,67.52
2013-11-22,13,66.62
2013-11-29,11,64.91
2013-12-06,14,64.42
2013-12-13,10,63.58
2013-12-20,18,64.55
2013-12-27,11,64.41
2014-01-03,9,63.51
2014-01-10,13,67.78
2014-01-17,11,66.29
2014-01-24,16,65.93
2014-01-31,16,67.91
2014-02-07,12,66.93
2014-02-14,16,71.11
2014-02-21,16,71.39
2014-02-28,16,69.4
2014-03-07,13,68.44
2014-03-14,17,69.89
2014-03-21,11,70.06
2014-03-28,16,71.09
2014-04-04,19,69.62
2014-04-11,19,69.42
2014-04-25,16,72.33
