"Date","ETR","Price"
2006-02-24,37,72.18
2006-03-03,40,70.94
2006-03-10,36,70.93
2006-03-17,42,71.64
2006-03-24,48,69.98
2006-03-31,42,68.94
2006-04-07,47,69.57
2006-04-21,39,70.09
2006-04-28,50,69.94
2006-05-05,53,70.46
2006-05-12,40,68.12
2006-05-19,44,68.56
2006-05-26,45,69.56
2006-06-02,46,72.31
2006-06-09,49,72.48
2006-06-16,47,71.08
2006-06-23,46,69.73
2006-06-30,55,70.75
2006-07-07,52,72.06
2006-07-14,39,73.59
2006-07-21,49,76.61
2006-07-28,51,77.61
2006-08-04,47,77.9
2006-08-11,47,77.78
2006-08-18,48,77.46
2006-08-25,49,77.08
2006-09-01,61,77.54
2006-09-08,60,78.11
2006-09-15,57,78.38
2006-09-22,60,77.01
2006-09-29,58,78.23
2006-10-06,43,80.63
2006-10-13,47,81.2
2006-10-20,53,85.3
2006-10-27,53,86.45
2006-11-03,49,84.26
2006-11-10,43,86.73
2006-11-17,46,89.35
2006-11-24,47,89.31
2006-12-01,57,90.83
2006-12-08,54,91.23
2006-12-15,58,92.6
2006-12-22,52,92.8
2006-12-29,52,92.32
2007-01-05,63,91.76
2007-01-12,62,90.46
2007-01-19,68,91.03
2007-01-26,59,91.88
2007-02-02,57,95.13
2007-02-09,57,98.12
2007-02-16,47,99.66
2007-02-23,53,100.95
2007-03-02,47,96.25
2007-03-09,48,97.83
2007-03-16,51,99.78
2007-03-23,42,104.06
2007-03-30,44,104.92
2007-04-13,47,109.74
2007-04-20,48,113.9
2007-04-27,49,114.12
2007-05-04,62,117.27
2007-05-11,59,118.37
2007-05-18,58,118.27
2007-05-25,66,110.91
2007-06-01,61,112.27
2007-06-08,76,106.8
2007-06-15,55,112.34
2007-06-22,58,105.18
2007-06-29,58,107.35
2007-07-06,52,107.25
2007-07-13,52,110.25
2007-07-20,46,106.76
2007-07-27,55,97.84
2007-08-03,52,98.56
2007-08-10,44,97.99
2007-08-17,48,99.84
2007-08-24,63,105.11
2007-08-31,75,103.62
2007-09-07,87,104.44
2007-09-14,88,105.7
2007-09-21,68,109.59
2007-09-28,48,108.29
2007-10-05,54,114.59
2007-10-12,60,115.42
2007-10-19,63,112.19
2007-10-26,58,119.49
2007-11-02,51,118.69
2007-11-09,57,119.46
2007-11-16,56,117.7
2007-11-23,60,115.13
2007-11-30,63,119.54
2007-12-07,75,122.46
2007-12-14,76,116.87
2007-12-21,69,120.06
2007-12-28,53,120.74
2008-01-04,58,118.7
2008-01-11,76,124.39
2008-01-18,79,111.25
2008-01-25,69,106.33
2008-02-01,74,109.57
2008-02-08,68,104.3
2008-02-15,61,106.49
2008-02-22,52,104.5
2008-02-29,50,102.74
2008-03-07,51,105.48
2008-03-14,49,107.3
2008-03-28,51,108.06
2008-04-04,57,111.35
2008-04-11,46,109.19
2008-04-18,51,113.86
2008-04-25,51,113.21
2008-05-02,59,115.85
2008-05-09,59,114.32
2008-05-16,68,119.1
2008-05-23,63,120.38
2008-05-30,75,120.77
2008-06-06,67,117.76
2008-06-13,68,121.21
2008-06-20,70,120.98
2008-06-27,63,117.72
2008-07-11,48,119.71
2008-07-18,46,110.6
2008-07-25,44,107.01
2008-08-01,47,104.12
2008-08-08,44,102.05
2008-08-15,44,100.55
2008-08-22,57,102.5
2008-08-29,63,103.39
2008-09-05,76,96.85
2008-09-12,69,100.6
2008-09-19,56,91.24
2008-09-26,59,90.53
2008-10-03,57,86.65
2008-10-10,56,68.25
2008-10-17,49,80.85
2008-10-24,44,79.27
2008-10-31,51,78.05
2008-11-07,49,80.1
2008-11-14,52,79.99
2008-11-21,60,85.76
2008-11-28,57,85.1
2008-12-05,57,83.11
2008-12-12,58,81.54
2008-12-19,70,81.86
2008-12-26,56,81.72
2009-01-02,57,84.69
2009-01-09,74,80.12
2009-01-16,70,77.11
2009-01-23,80,78.06
2009-01-30,73,76.36
2009-02-06,74,74.29
2009-02-13,60,69.98
2009-02-20,59,67.64
2009-02-27,50,67.39
2009-03-06,55,63.52
2009-03-13,47,60.53
2009-03-20,48,67.05
2009-03-27,46,68
2009-04-03,53,69.22
2009-04-17,51,68.19
2009-04-24,56,64
2009-05-01,51,66.9
2009-05-08,55,74.7
2009-05-15,69,73.42
2009-05-22,69,72.58
2009-05-29,73,74.62
2009-06-05,67,74.17
2009-06-12,66,78.24
2009-06-19,62,76.87
2009-06-26,61,76.43
2009-07-10,54,72.71
2009-07-17,48,74.86
2009-07-24,46,80.96
2009-07-31,47,80.33
2009-08-07,50,78.87
2009-08-14,51,79.06
2009-08-21,54,81.78
2009-08-28,63,79.95
2009-09-04,94,79.58
2009-09-11,88,77.69
2009-09-18,68,80.89
2009-09-25,65,79.36
2009-10-02,58,77.38
2009-10-09,60,79.73
2009-10-16,57,80.64
2009-10-23,56,79.29
2009-10-30,50,76.72
2009-11-06,54,77.01
2009-11-13,62,78.64
2009-11-20,61,77.79
2009-11-27,71,78.5
2009-12-04,67,80.46
2009-12-11,75,83.06
2009-12-18,78,83.04
2010-01-08,83,79.51
2010-01-15,75,81.85
2010-01-22,77,78.54
2010-01-29,83,76.31
2010-02-05,73,77.09
2010-02-12,72,77.14
2010-02-19,57,78.75
2010-02-26,57,75.97
2010-03-05,53,79.45
2010-03-12,51,78.25
2010-03-19,47,80.69
2010-03-26,49,80.28
2010-04-09,49,82.26
2010-04-16,47,80.19
2010-04-23,44,82.28
2010-04-30,60,81.29
2010-05-07,57,75.79
2010-05-14,66,77.42
2010-05-21,76,74.6
2010-05-28,67,75.07
2010-06-04,70,71.99
2010-06-11,68,74.39
2010-06-18,64,78.1
2010-06-25,67,73.43
2010-07-02,56,70.7
2010-07-09,41,76.11
2010-07-16,40,75.96
2010-07-23,45,78.29
2010-07-30,47,77.51
2010-08-06,49,79.75
2010-08-13,54,78.11
2010-08-20,55,77.46
2010-08-27,78,79.64
2010-09-03,98,79.97
2010-09-10,93,80.09
2010-09-17,74,76.68
2010-09-24,67,77.05
2010-10-01,65,77.17
2010-10-08,60,76.12
2010-10-15,59,76.97
2010-10-22,56,74.59
2010-10-29,56,74.53
2010-11-05,53,75.4
2010-11-12,60,72.26
2010-11-19,57,73.74
2010-11-26,65,72.32
2010-12-03,71,72.39
2010-12-10,69,70.37
2010-12-17,75,70.51
2010-12-31,62,70.83
2011-01-07,77,72.35
2011-01-14,83,73.11
2011-01-21,84,73.04
2011-01-28,82,72.07
2011-02-04,81,73.25
2011-02-11,81,72.11
2011-02-18,64,71.71
2011-02-25,52,70.93
2011-03-04,54,72.25
2011-03-11,50,73.69
2011-03-18,50,65.64
2011-03-25,51,66.61
2011-04-01,46,67.64
2011-04-08,44,66.3
2011-04-15,50,66.52
2011-04-29,60,69.72
2011-05-06,66,69.33
2011-05-13,66,68.99
2011-05-20,74,69.04
2011-05-27,71,67.77
2011-06-03,73,66.61
2011-06-10,68,67.77
2011-06-17,69,69.35
2011-06-24,65,68.17
2011-07-01,56,68.38
2011-07-08,45,67.94
2011-07-15,43,67.34
2011-07-22,49,68.31
2011-07-29,46,66.8
2011-08-05,51,62.84
2011-08-12,54,61.55
2011-08-19,52,61.88
2011-08-26,67,62.43
2011-09-02,100,63.62
2011-09-09,95,62.3
2011-09-16,83,65.6
2011-09-23,65,65.27
2011-09-30,62,66.29
2011-10-07,61,65.38
2011-10-14,58,66.69
2011-10-21,58,68.48
2011-10-28,57,69.01
2011-11-04,54,69.46
2011-11-11,57,69.95
2011-11-18,62,68.77
2011-11-25,65,66.54
2011-12-02,72,69.64
2011-12-09,66,71.27
2011-12-16,80,71.64
2011-12-23,81,73.14
2011-12-30,55,73.05
2012-01-06,77,71.5
2012-01-13,85,71.11
2012-01-20,79,69.93
2012-01-27,85,70.62
2012-02-03,87,69.04
2012-02-10,78,67.8
2012-02-17,71,67.78
2012-02-24,59,67.14
2012-03-02,61,67.13
2012-03-09,58,67.87
2012-03-16,50,67.87
2012-03-23,50,66.83
2012-03-30,53,67.2
2012-04-13,50,65.5
2012-04-20,54,65.65
2012-04-27,58,65.3
2012-05-04,60,65.11
2012-05-11,71,64.72
2012-05-18,73,63.08
2012-05-25,77,64.51
2012-06-01,78,64.35
2012-06-08,77,66.28
2012-06-15,73,66.55
2012-06-22,81,66.7
2012-06-29,66,67.89
2012-07-06,59,67.88
2012-07-13,48,69.6
2012-07-20,44,71.31
2012-07-27,45,72.59
2012-08-03,49,72.71
2012-08-10,50,71.75
2012-08-17,46,69.48
2012-08-24,70,68.73
2012-08-31,86,68.08
2012-09-07,91,68.21
2012-09-14,83,68.36
2012-09-21,66,68.45
2012-09-28,64,69.3
2012-10-05,62,70.48
2012-10-12,56,69.95
2012-10-19,50,71.23
2012-10-26,53,72.1
2012-11-02,51,71.23
2012-11-09,53,64.9
2012-11-16,53,62.86
2012-11-23,60,62.04
2012-11-30,60,63.54
2012-12-07,65,63.94
2012-12-14,70,63.4
2012-12-21,69,64.52
2012-12-28,44,62.58
2013-01-04,50,64.43
2013-01-11,71,63.07
2013-01-18,68,63.87
2013-01-25,70,64.59
2013-02-01,71,64.84
2013-02-08,65,64.47
2013-02-15,60,61.45
2013-02-22,52,62.05
2013-03-01,43,62.12
2013-03-08,49,63.43
2013-03-15,41,65.23
2013-03-22,42,62.38
2013-04-05,40,67.28
2013-04-12,46,69.7
2013-04-19,45,69.71
2013-04-26,46,69.11
2013-05-03,51,71.1
2013-05-10,53,67.49
2013-05-17,62,71.14
2013-05-24,62,68.94
2013-05-31,66,68.88
2013-06-07,60,68.19
2013-06-14,59,68.47
2013-06-21,53,68.13
2013-06-28,52,69.68
2013-07-05,47,68.06
2013-07-12,40,70.89
2013-07-19,41,71.91
2013-07-26,40,70.13
2013-08-02,44,68.19
2013-08-09,43,66.9
2013-08-16,47,64.59
2013-08-23,59,63.94
2013-08-30,70,63.23
2013-09-06,78,62.92
2013-09-13,63,63.09
2013-09-20,57,63.63
2013-09-27,51,63.32
2013-10-04,51,63.48
2013-10-11,50,65.3
2013-10-18,46,66.35
2013-10-25,42,68.27
2013-11-01,44,65.14
2013-11-08,48,64.42
2013-11-15,48,63.67
2013-11-22,48,62.53
2013-11-29,56,61.89
2013-12-06,61,63.01
2013-12-13,69,61.2
2013-12-20,66,62.49
2013-12-27,37,62.83
2014-01-03,46,61.03
2014-01-10,61,61.06
2014-01-17,65,61.61
2014-01-24,61,61.28
2014-01-31,63,63.03
2014-02-07,67,63.56
2014-02-14,57,64.49
2014-02-21,48,64.45
2014-02-28,46,63.82
2014-03-07,45,62.56
2014-03-14,42,64.58
2014-03-21,41,66.03
2014-03-28,42,66.65
2014-04-04,40,69.07
2014-04-11,44,70.35
2014-04-25,41,71.84
