"Date","GILD","Price"
2006-07-21,61,59.71
2006-07-28,55,62.48
2006-08-04,55,61.33
2006-08-11,44,62.05
2006-08-18,60,63.65
2006-08-25,44,63.2
2006-09-01,36,63.33
2006-09-08,45,63.69
2006-09-15,53,64.75
2006-09-22,52,64.78
2006-09-29,42,68.77
2006-10-06,60,65.35
2006-10-13,44,66.89
2006-10-20,50,68.99
2006-10-27,48,68.18
2006-11-03,39,67.86
2006-11-10,40,67.34
2006-11-17,33,69.43
2006-11-24,44,66.15
2006-12-01,44,65.22
2006-12-08,31,66.12
2006-12-15,48,64.49
2006-12-22,42,64.5
2006-12-29,48,64.93
2007-01-05,37,64.21
2007-01-12,46,66.16
2007-01-19,44,65.58
2007-01-26,47,62.73
2007-02-02,55,70.67
2007-02-09,46,71.16
2007-02-16,49,72.06
2007-02-23,57,73.63
2007-03-02,42,70.44
2007-03-09,48,70.26
2007-03-16,42,69.54
2007-03-23,41,74.58
2007-03-30,44,76.5
2007-04-13,41,78.42
2007-04-20,56,82.39
2007-04-27,43,81.86
2007-05-04,42,83.12
2007-05-11,42,82.14
2007-05-18,41,83.02
2007-05-25,40,81.74
2007-06-01,41,83
2007-06-08,55,79
2007-06-15,41,80.83
2007-06-22,38,78.48
2007-06-29,48,38.8
2007-07-06,53,39.12
2007-07-13,37,39.96
2007-07-20,53,38.75
2007-07-27,44,36.96
2007-08-03,39,36.93
2007-08-10,28,37.06
2007-08-17,44,38
2007-08-24,33,37.29
2007-08-31,38,36.37
2007-09-07,24,37.66
2007-09-14,36,38.02
2007-09-21,48,40.13
2007-09-28,48,40.87
2007-10-05,44,42.11
2007-10-12,49,43.3
2007-10-19,41,42
2007-10-26,50,46.37
2007-11-02,44,46.91
2007-11-09,48,43.57
2007-11-16,34,44.64
2007-11-23,44,43.32
2007-11-30,41,46.54
2007-12-07,50,47.07
2007-12-14,43,45.85
2007-12-21,45,46.46
2007-12-28,43,46.33
2008-01-04,40,45.9
2008-01-11,57,48.68
2008-01-18,37,46.17
2008-01-25,39,43.07
2008-02-01,52,45.93
2008-02-08,36,44.53
2008-02-15,50,44.62
2008-02-22,40,42.92
2008-02-29,41,47.32
2008-03-07,49,48.7
2008-03-14,48,47.55
2008-03-28,42,49.61
2008-04-04,49,52.35
2008-04-11,36,50.64
2008-04-18,43,51.76
2008-04-25,56,51.4
2008-05-02,40,53.63
2008-05-09,48,53.64
2008-05-16,46,53.09
2008-05-23,39,52.98
2008-05-30,40,55.32
2008-06-06,47,54.76
2008-06-13,49,54.14
2008-06-20,46,54.72
2008-06-27,47,52.86
2008-07-11,52,53.7
2008-07-18,51,49.53
2008-07-25,56,54.51
2008-08-01,52,53.69
2008-08-08,54,56.77
2008-08-15,57,56.26
2008-08-22,43,54.31
2008-08-29,44,52.68
2008-09-05,45,47.85
2008-09-12,47,48.12
2008-09-19,48,46.46
2008-09-26,51,48.64
2008-10-03,41,45.75
2008-10-10,46,37.47
2008-10-17,54,43.03
2008-10-24,37,43.32
2008-10-31,54,45.85
2008-11-07,43,45.04
2008-11-14,47,46.92
2008-11-21,46,41.46
2008-11-28,36,44.79
2008-12-05,40,47.39
2008-12-12,37,45.03
2008-12-19,33,49.65
2008-12-26,43,50.01
2009-01-02,40,52.18
2009-01-09,43,47.77
2009-01-16,37,48.28
2009-01-23,37,48.25
2009-01-30,50,50.77
2009-02-06,41,52.45
2009-02-13,43,50.25
2009-02-20,38,50
2009-02-27,48,44.8
2009-03-06,43,44.01
2009-03-13,39,45.43
2009-03-20,38,44.31
2009-03-27,41,44.37
2009-04-03,34,46.98
2009-04-17,42,44.69
2009-04-24,49,45.8
2009-05-01,49,44.81
2009-05-08,36,44.01
2009-05-15,41,43.75
2009-05-22,41,42.33
2009-05-29,34,43.1
2009-06-05,40,44.58
2009-06-12,30,44.94
2009-06-19,38,47.02
2009-06-26,29,47.52
2009-07-10,35,44.44
2009-07-17,32,47.83
2009-07-24,43,48.43
2009-07-31,35,48.93
2009-08-07,46,45.76
2009-08-14,40,44.95
2009-08-21,37,46.09
2009-08-28,40,45.25
2009-09-04,33,46.13
2009-09-11,37,46.1
2009-09-18,42,45.76
2009-09-25,35,46.2
2009-10-02,36,44.51
2009-10-09,28,45.3
2009-10-16,39,46.17
2009-10-23,41,43.83
2009-10-30,34,42.55
2009-11-06,37,46.26
2009-11-13,39,47.05
2009-11-20,30,46.39
2009-11-27,30,46.56
2009-12-04,32,46.59
2009-12-11,34,46.42
2009-12-18,40,42.83
2010-01-08,36,44.54
2010-01-15,24,45.52
2010-01-22,31,46.08
2010-01-29,38,48.27
2010-02-05,30,46.38
2010-02-12,40,47.01
2010-02-19,35,48.84
2010-02-26,36,47.61
2010-03-05,27,47.61
2010-03-12,31,47.42
2010-03-19,30,47.87
2010-03-26,26,45.34
2010-04-09,36,45.8
2010-04-16,31,45.7
2010-04-23,41,41.67
2010-04-30,39,39.71
2010-05-07,37,38.37
2010-05-14,35,37.78
2010-05-21,28,36.57
2010-05-28,31,35.92
2010-06-04,35,34.71
2010-06-11,36,34.53
2010-06-18,34,36.02
2010-06-25,29,36.35
2010-07-02,34,34.87
2010-07-09,43,34.74
2010-07-16,39,31.94
2010-07-23,47,33.43
2010-07-30,45,33.32
2010-08-06,40,35.82
2010-08-13,39,34.31
2010-08-20,37,32.64
2010-08-27,42,32.52
2010-09-03,45,34.02
2010-09-10,42,34.39
2010-09-17,39,34.56
2010-09-24,42,36.55
2010-10-01,45,35.76
2010-10-08,40,36.33
2010-10-15,42,37.73
2010-10-22,47,39.11
2010-10-29,46,39.67
2010-11-05,43,38.95
2010-11-12,46,37.8
2010-11-19,44,38.08
2010-11-26,38,37.1
2010-12-03,41,37.25
2010-12-10,44,37.61
2010-12-17,42,37.19
2010-12-31,40,36.24
2011-01-07,45,37.5
2011-01-14,44,38.22
2011-01-21,39,38.19
2011-01-28,48,38.21
2011-02-04,45,38.79
2011-02-11,45,38.39
2011-02-18,45,39.3
2011-02-25,46,39.01
2011-03-04,39,40.71
2011-03-11,53,40.83
2011-03-18,40,40.15
2011-03-25,41,42.08
2011-04-01,43,42.66
2011-04-08,49,41.25
2011-04-15,38,41.7
2011-04-29,40,38.84
2011-05-06,37,41.01
2011-05-13,41,41.2
2011-05-20,39,40.98
2011-05-27,44,41.19
2011-06-03,44,41.05
2011-06-10,40,40.23
2011-06-17,44,39.54
2011-06-24,49,39.71
2011-07-01,45,41.95
2011-07-08,45,42.44
2011-07-15,38,41
2011-07-22,43,43.21
2011-07-29,40,42.36
2011-08-05,45,37.76
2011-08-12,51,37.43
2011-08-19,44,37.2
2011-08-26,41,38.73
2011-09-02,38,38.82
2011-09-09,40,37.81
2011-09-16,39,40.41
2011-09-23,41,38.43
2011-09-30,42,38.8
2011-10-07,44,39.31
2011-10-14,44,40.43
2011-10-21,42,41.47
2011-10-28,44,42.79
2011-11-04,43,40.72
2011-11-11,42,41.08
2011-11-18,45,39.88
2011-11-25,46,39.28
2011-12-02,44,39.4
2011-12-09,40,39.01
2011-12-16,43,37.16
2011-12-23,45,39.29
2011-12-30,48,40.93
2012-01-06,44,42.78
2012-01-13,44,44.89
2012-01-20,42,47.44
2012-01-27,39,48.72
2012-02-03,45,54.7
2012-02-10,50,53.75
2012-02-17,49,47
2012-02-24,49,45.26
2012-03-02,43,46.99
2012-03-09,44,46.09
2012-03-16,43,46.73
2012-03-23,43,46.85
2012-03-30,39,48.86
2012-04-13,38,45.51
2012-04-20,40,51
2012-04-27,42,52.16
2012-05-04,43,50.27
2012-05-11,45,51.84
2012-05-18,41,49.94
2012-05-25,40,50.49
2012-06-01,37,48.67
2012-06-08,38,49.64
2012-06-15,36,50.29
2012-06-22,36,50.52
2012-06-29,37,51.28
2012-07-06,38,50.96
2012-07-13,35,51.17
2012-07-20,44,53.08
2012-07-27,47,55.5
2012-08-03,51,56.87
2012-08-10,50,56.77
2012-08-17,45,56.75
2012-08-24,44,57.29
2012-08-31,60,57.69
2012-09-07,51,59.26
2012-09-14,51,62.02
2012-09-21,52,67.76
2012-09-28,53,66.33
2012-10-05,49,69.43
2012-10-12,40,67.94
2012-10-19,41,66.59
2012-10-26,45,67.07
2012-11-02,38,67.01
2012-11-09,37,65.01
2012-11-16,52,74.4
2012-11-23,41,76.12
2012-11-30,42,75
2012-12-07,39,73.92
2012-12-14,39,74.24
2012-12-21,39,72.78
2012-12-28,44,72.38
2013-01-04,38,75.72
2013-01-11,42,78.08
2013-01-18,39,78.28
2013-01-25,43,79.36
2013-02-01,49,40.56
2013-02-08,44,40.9
2013-02-15,46,41.6
2013-02-22,49,42.45
2013-03-01,41,43.45
2013-03-08,42,45.43
2013-03-15,40,45.17
2013-03-22,40,45.51
2013-04-05,42,47.37
2013-04-12,45,51.93
2013-04-19,52,53.17
2013-04-26,49,51.38
2013-05-03,59,55.15
2013-05-10,51,52.88
2013-05-17,47,56.3
2013-05-24,44,55.81
2013-05-31,43,54.48
2013-06-07,47,52.89
2013-06-14,44,52.23
2013-06-21,43,48.83
2013-06-28,41,51.27
2013-07-05,38,53.32
2013-07-12,45,57.34
2013-07-19,41,60.1
2013-07-26,46,62.57
2013-08-02,46,61.75
2013-08-09,42,59.21
2013-08-16,45,56.91
2013-08-23,51,59.64
2013-08-30,45,60.27
2013-09-06,41,61.12
2013-09-13,47,63.53
2013-09-20,49,63.86
2013-09-27,46,63.54
2013-10-04,47,63.04
2013-10-11,48,62.69
2013-10-18,49,68.21
2013-10-25,52,69.68
2013-11-01,60,70.97
2013-11-08,56,67.37
2013-11-15,47,69.89
2013-11-22,57,74.27
2013-11-29,43,74.81
2013-12-06,56,73.99
2013-12-13,59,71.4
2013-12-20,51,74.66
2013-12-27,50,74.45
2014-01-03,46,74.32
2014-01-10,53,74.87
2014-01-17,55,78.4
2014-01-24,66,80.62
2014-01-31,59,80.65
2014-02-07,68,78.75
2014-02-14,67,81.21
2014-02-21,64,82.59
2014-02-28,62,82.79
2014-03-07,60,79.58
2014-03-14,61,75.05
2014-03-21,63,72.07
2014-03-28,75,68.55
2014-04-04,71,72.2
2014-04-11,72,66.03
2014-04-25,100,73.9
