"Date","buy.ABT","Price"
2009-10-09,28,50.08
2009-10-16,32,51.43
2009-10-23,25,51.31
2009-10-30,52,50.57
2009-11-06,33,51.53
2009-11-13,47,52.95
2009-11-20,35,53.64
2009-11-27,49,54.08
2009-12-04,40,53.78
2009-12-11,41,53.77
2009-12-18,50,53.34
2010-01-08,36,55.05
2010-01-15,41,55.49
2010-01-22,33,54.51
2010-01-29,28,52.94
2010-02-05,21,53.97
2010-02-12,32,53.93
2010-02-19,31,54.38
2010-02-26,24,54.28
2010-03-05,39,54.32
2010-03-12,26,54.52
2010-03-19,24,53.46
2010-03-26,24,52.9
2010-04-09,20,52.73
2010-04-16,19,52.26
2010-04-23,39,51.2
2010-04-30,28,51.16
2010-05-07,34,48.72
2010-05-14,23,48.5
2010-05-21,26,46.94
2010-05-28,29,47.56
2010-06-04,23,46.53
2010-06-11,29,47.2
2010-06-18,29,48.77
2010-06-25,29,47.19
2010-07-02,29,46.46
2010-07-09,52,48.03
2010-07-16,25,47.07
2010-07-23,29,48.93
2010-07-30,29,49.08
2010-08-06,29,50.57
2010-08-13,20,50.06
2010-08-20,24,49.34
2010-08-27,26,49.84
2010-09-03,29,50.74
2010-09-10,31,51.54
2010-09-17,32,51.64
2010-09-24,23,51.94
2010-10-01,23,52.58
2010-10-08,24,52.81
2010-10-15,26,53.17
2010-10-22,30,52.56
2010-10-29,30,51.32
2010-11-05,30,50.92
2010-11-12,31,48.58
2010-11-19,42,47.4
2010-11-26,77,46.8
2010-12-03,41,47.37
2010-12-10,43,47.62
2010-12-17,57,48.4
2010-12-31,51,47.91
2011-01-07,29,48.37
2011-01-14,23,46.89
2011-01-21,22,47.92
2011-01-28,27,45.49
2011-02-04,25,46.12
2011-02-11,46,45.56
2011-02-18,24,46.88
2011-02-25,28,47.64
2011-03-04,28,48.69
2011-03-11,22,48.46
2011-03-18,22,47.91
2011-03-25,33,48.03
2011-04-01,28,49.37
2011-04-08,27,50.49
2011-04-15,20,51.9
2011-04-29,27,52.04
2011-05-06,27,52.52
2011-05-13,17,53.49
2011-05-20,31,53.51
2011-05-27,22,51.55
2011-06-03,34,51.08
2011-06-10,23,50.9
2011-06-17,19,51.68
2011-06-24,29,51.75
2011-07-01,28,53.1
2011-07-08,35,53.33
2011-07-15,27,53.04
2011-07-22,27,52.95
2011-07-29,17,51.32
2011-08-05,21,50.23
2011-08-12,31,49.63
2011-08-19,41,49.08
2011-08-26,35,50.15
2011-09-02,35,51.04
2011-09-09,24,50.43
2011-09-16,22,52.17
2011-09-23,33,50.96
2011-09-30,23,51.14
2011-10-07,24,51.53
2011-10-14,14,52.73
2011-10-21,22,53.86
2011-10-28,15,54.22
2011-11-04,22,53.33
2011-11-11,37,54.53
2011-11-18,37,53.52
2011-11-25,66,52.05
2011-12-02,38,54.15
2011-12-09,32,54.57
2011-12-16,34,54.89
2011-12-23,50,56.02
2011-12-30,45,56.23
2012-01-06,31,55.86
2012-01-13,27,55.43
2012-01-20,28,55.76
2012-01-27,26,55.02
2012-02-03,26,55
2012-02-10,23,55.11
2012-02-17,25,56.36
2012-02-24,25,56.7
2012-03-02,18,57.39
2012-03-09,23,57.95
2012-03-16,20,59.42
2012-03-23,18,60.4
2012-03-30,21,61.29
2012-04-13,26,59.59
2012-04-20,25,59.88
2012-04-27,18,61.99
2012-05-04,18,62.41
2012-05-11,19,62.04
2012-05-18,13,61.57
2012-05-25,13,62.25
2012-06-01,18,60.52
2012-06-08,16,61.88
2012-06-15,23,62.5
2012-06-22,23,62.32
2012-06-29,24,64.47
2012-07-06,22,64.75
2012-07-13,22,65.45
2012-07-20,23,65.06
2012-07-27,22,66.39
2012-08-03,27,66.59
2012-08-10,22,66.11
2012-08-17,16,65.92
2012-08-24,19,65.84
2012-08-31,20,65.54
2012-09-07,13,66.69
2012-09-14,20,68.27
2012-09-21,28,69.62
2012-09-28,14,68.56
2012-10-05,14,71.61
2012-10-12,21,69.28
2012-10-19,13,66.15
2012-10-26,20,65.48
2012-11-02,21,64.96
2012-11-09,20,64.84
2012-11-16,21,62.88
2012-11-23,59,64.47
2012-11-30,33,65
2012-12-07,27,65.53
2012-12-14,29,65.35
2012-12-21,30,66.05
2012-12-28,40,64.42
2013-01-04,24,33.07
2013-01-11,17,33.37
2013-01-18,24,32.74
2013-01-25,18,32.79
2013-02-01,18,33.87
2013-02-08,21,34.41
2013-02-15,20,35.08
2013-02-22,27,34.55
2013-03-01,21,33.6
2013-03-08,21,34.68
2013-03-15,28,34.14
2013-03-22,23,33.69
2013-04-05,24,36.31
2013-04-12,15,37.13
2013-04-19,15,37.2
2013-04-26,15,36.46
2013-05-03,14,36.8
2013-05-10,15,36.17
2013-05-17,18,36.59
2013-05-24,23,37.76
2013-05-31,28,36.67
2013-06-07,16,37.51
2013-06-14,15,36.81
2013-06-21,20,35.58
2013-06-28,19,34.88
2013-07-05,16,34.92
2013-07-12,20,35.32
2013-07-19,23,35.87
2013-07-26,18,36.78
2013-08-02,20,36.75
2013-08-09,13,35.89
2013-08-16,17,34.97
2013-08-23,23,34.84
2013-08-30,23,33.33
2013-09-06,19,33.5
2013-09-13,27,34.87
2013-09-20,21,35.29
2013-09-27,13,33.14
2013-10-04,12,33.56
2013-10-11,15,33.76
2013-10-18,14,37.29
2013-10-25,20,37.25
2013-11-01,20,36.96
2013-11-08,19,38.12
2013-11-15,20,38.05
2013-11-22,26,38.25
2013-11-29,54,38.19
2013-12-06,33,37.53
2013-12-13,31,36.4
2013-12-20,32,37.84
2013-12-27,24,38.37
2014-01-03,32,38.64
2014-01-10,18,39.57
2014-01-17,17,39.4
2014-01-24,22,36.58
2014-01-31,21,36.66
2014-02-07,25,37.18
2014-02-14,20,38.81
2014-02-21,18,38.82
2014-02-28,15,39.78
2014-03-07,17,39.57
2014-03-14,20,38.97
2014-03-21,19,38.39
2014-03-28,17,38.31
2014-04-04,11,38.63
2014-04-11,18,37.02
2014-04-25,16,38.03
