"Date","XL.Capital","Price"
2012-04-27,9,21.72
2012-05-04,10,21.14
2012-05-11,8,22.12
2012-05-18,5,20.35
2012-05-25,5,20.25
2012-06-01,5,19.7
2012-06-08,6,20.39
2012-06-15,7,20.35
2012-06-22,4,20.11
2012-06-29,4,21.04
2012-07-06,7,20.83
2012-07-13,5,20.45
2012-07-20,8,20.41
2012-07-27,9,20.88
2012-08-03,7,21.2
2012-08-10,8,22.98
2012-08-17,5,23.45
2012-08-24,9,23.23
2012-08-31,6,23.12
2012-09-07,7,23.76
2012-09-14,7,24.68
2012-09-21,4,24.2
2012-09-28,7,24.03
2012-10-05,5,24.86
2012-10-12,6,24.98
2012-10-19,6,25.43
2012-10-26,4,24.77
2012-11-02,5,24.01
2012-11-09,6,24
2012-11-16,7,23.71
2012-11-23,5,24.36
2012-11-30,5,24.33
2012-12-07,8,25.09
2012-12-14,11,24.29
2012-12-21,6,24.56
2012-12-28,6,24.69
2013-01-04,6,26.01
2013-01-11,5,26.6
2013-01-18,7,27.22
2013-01-25,8,27.79
2013-02-01,6,28.07
2013-02-08,6,28.24
2013-02-15,6,28.67
2013-02-22,7,28.99
2013-03-01,4,28.82
2013-03-08,8,29.66
2013-03-15,6,30.4
2013-03-22,5,30.25
2013-04-05,6,30.77
2013-04-12,6,31.29
2013-04-19,6,30.44
2013-04-26,7,31.15
2013-05-03,7,32.23
2013-05-10,5,31.93
2013-05-17,7,32.45
2013-05-24,7,31.5
2013-05-31,5,31.43
2013-06-07,5,31.31
2013-06-14,4,31.06
2013-06-21,4,29.56
2013-06-28,6,30.32
2013-07-05,5,30.65
2013-07-12,7,32.01
2013-07-19,6,32.88
2013-07-26,7,32.22
2013-08-02,8,31.95
2013-08-09,5,30.84
2013-08-16,5,30.43
2013-08-23,6,30.92
2013-08-30,5,29.56
2013-09-06,3,29.94
2013-09-13,5,30.51
2013-09-20,6,31.44
2013-09-27,5,31
2013-10-04,6,31.15
2013-10-11,5,31.3
2013-10-18,4,32.08
2013-10-25,7,31.68
2013-11-01,8,30.32
2013-11-08,6,31.25
2013-11-15,6,31.39
2013-11-22,7,31.55
2013-11-29,5,31.99
2013-12-06,4,30.75
2013-12-13,5,29.65
2013-12-20,5,31.1
2013-12-27,4,31.69
2014-01-03,5,30.81
2014-01-10,5,30.42
2014-01-17,4,29.94
2014-01-24,6,28.81
2014-01-31,8,28.74
2014-02-07,5,28.87
2014-02-14,5,29.23
2014-02-21,4,29.44
2014-02-28,6,30.4
2014-03-07,8,30.7
2014-03-14,7,29.97
2014-03-21,7,30.55
2014-03-28,4,30.62
2014-04-04,5,31.21
2014-04-11,4,30.95
2014-04-25,5,31.39
