"Date","sell.F","Price"
2012-12-28,51,12.87
2013-01-04,62,13.57
2013-01-11,71,14
2013-01-18,79,14.11
2013-01-25,57,13.68
2013-02-01,56,13.02
2013-02-08,52,13.1
2013-02-15,72,13.02
2013-02-22,64,12.48
2013-03-01,68,12.61
2013-03-08,72,12.98
2013-03-15,46,13.45
2013-03-22,65,13.26
2013-04-05,44,12.44
2013-04-12,68,13.53
2013-04-19,71,12.93
2013-04-26,100,13.67
2013-05-03,59,13.83
2013-05-10,65,14.11
2013-05-17,60,15.08
2013-05-24,60,14.79
2013-05-31,70,15.68
2013-06-07,64,15.73
2013-06-14,53,15.37
2013-06-21,36,15
2013-06-28,49,15.47
2013-07-05,54,16.7
2013-07-12,54,17.11
2013-07-19,70,16.76
2013-07-26,69,17.02
2013-08-02,47,17.5
2013-08-09,71,17.02
2013-08-16,46,16.3
2013-08-23,76,16.45
2013-08-30,50,16.19
2013-09-06,55,17
2013-09-13,70,17.35
2013-09-20,67,17.39
2013-09-27,38,17.05
2013-10-04,45,17.09
2013-10-11,43,17.11
2013-10-18,45,17.53
2013-10-25,53,17.6
2013-11-01,59,16.89
2013-11-08,63,16.85
2013-11-15,65,17.07
2013-11-22,74,17.01
2013-11-29,61,17.08
2013-12-06,63,16.7
2013-12-13,45,16.59
2013-12-20,50,15.42
2013-12-27,41,15.3
2014-01-03,74,15.51
2014-01-10,63,16.07
2014-01-17,50,16.52
2014-01-24,59,15.83
2014-01-31,64,14.96
2014-02-07,50,14.97
2014-02-14,47,15.24
2014-02-21,31,15.16
2014-02-28,53,15.39
2014-03-07,55,15.62
2014-03-14,55,15.08
2014-03-21,67,15.47
2014-03-28,73,15.45
2014-04-04,39,16.13
2014-04-11,49,15.63
2014-04-25,52,15.78
