"Date","Macerich","Price"
2012-11-02,9,57.54
2012-11-09,8,56
2012-11-16,10,55.38
2012-11-23,6,56.97
2012-11-30,8,56.5
2012-12-07,9,57.9
2012-12-14,12,57.85
2012-12-21,12,58.48
2012-12-28,5,57.6
2013-01-04,7,59
2013-01-11,7,57.94
2013-01-18,10,58.61
2013-01-25,5,59.34
2013-02-01,11,60.46
2013-02-08,10,61.64
2013-02-15,10,61.53
2013-02-22,9,60.5
2013-03-01,10,60.11
2013-03-08,8,62.01
2013-03-15,8,62.61
2013-03-22,9,62.87
2013-04-05,10,65.06
2013-04-12,9,67.54
2013-04-19,10,67.18
2013-04-26,7,68.8
2013-05-03,11,70.42
2013-05-10,9,70.24
2013-05-17,11,70.41
2013-05-24,10,66.86
2013-05-31,6,64.91
2013-06-07,7,62.75
2013-06-14,11,62.25
2013-06-21,7,58.45
2013-06-28,11,60.97
2013-07-05,6,61.4
2013-07-12,10,63.78
2013-07-19,9,65.35
2013-07-26,6,63.63
2013-08-02,12,61.85
2013-08-09,11,61.81
2013-08-16,12,56.72
2013-08-23,8,56.72
2013-08-30,7,56.28
2013-09-06,8,56.61
2013-09-13,8,57.2
2013-09-20,7,58.12
2013-09-27,7,57.26
2013-10-04,7,55.68
2013-10-11,8,56.25
2013-10-18,9,59.09
2013-10-25,9,59.76
2013-11-01,9,59.93
2013-11-08,14,56.56
2013-11-15,8,58.89
2013-11-22,9,57.67
2013-11-29,7,56.94
2013-12-06,9,60.49
2013-12-13,11,58.51
2013-12-20,7,58.96
2013-12-27,7,59.17
2014-01-03,6,58.69
2014-01-10,8,58.91
2014-01-17,10,58.04
2014-01-24,8,57.1
2014-01-31,8,56.6
2014-02-07,8,59.23
2014-02-14,7,60.9
2014-02-21,9,60.67
2014-02-28,11,60.13
2014-03-07,9,60.25
2014-03-14,11,59.97
2014-03-21,9,60.56
2014-03-28,8,61.69
2014-04-04,7,62.67
2014-04-11,4,63.09
2014-04-25,6,63.92
