"Date","Edwards.Lifesciences","Price"
2008-06-27,33,62.26
2008-07-11,42,64.58
2008-07-18,40,66.17
2008-07-25,38,62.18
2008-08-01,35,62.25
2008-08-08,22,59.05
2008-08-15,22,58.85
2008-08-22,21,60.56
2008-08-29,26,59.21
2008-09-05,27,56.39
2008-09-12,30,57
2008-09-19,34,60.21
2008-09-26,33,58.46
2008-10-03,26,57.09
2008-10-10,39,49.5
2008-10-17,44,50.33
2008-10-24,28,50.94
2008-10-31,39,52.84
2008-11-07,34,53.25
2008-11-14,31,53.31
2008-11-21,24,48.59
2008-11-28,36,49.77
2008-12-05,32,48.47
2008-12-12,36,48.57
2008-12-19,28,53.13
2008-12-26,31,54.01
2009-01-02,35,55.99
2009-01-09,38,55.66
2009-01-16,42,57.32
2009-01-23,23,56.86
2009-01-30,22,57.49
2009-02-06,42,61.1
2009-02-13,43,62.93
2009-02-20,39,61.1
2009-02-27,39,55.61
2009-03-06,29,54.89
2009-03-13,33,61.4
2009-03-20,44,60.88
2009-03-27,42,62.47
2009-04-03,46,58.12
2009-04-17,25,59.74
2009-04-24,41,57.08
2009-05-01,37,64.11
2009-05-08,35,63.27
2009-05-15,47,62.77
2009-05-22,38,62.86
2009-05-29,36,63.84
2009-06-05,41,64.62
2009-06-12,26,66.14
2009-06-19,28,67.36
2009-06-26,25,67.25
2009-07-10,36,65.93
2009-07-17,32,68
2009-07-24,32,67.25
2009-07-31,23,65.41
2009-08-07,28,63.84
2009-08-14,26,64.23
2009-08-21,40,64.05
2009-08-28,29,62.12
2009-09-04,20,63.63
2009-09-11,25,66.01
2009-09-18,38,67.26
2009-09-25,41,69.08
2009-10-02,37,68.4
2009-10-09,41,71.38
2009-10-16,33,71.58
2009-10-23,51,76
2009-10-30,36,76.94
2009-11-06,42,79.97
2009-11-13,35,80.64
2009-11-20,34,81.25
2009-11-27,31,82.52
2009-12-04,36,83.33
2009-12-11,15,85.94
2009-12-18,29,85.29
2010-01-08,20,89.48
2010-01-15,31,91.59
2010-01-22,37,90.92
2010-01-29,25,89.62
2010-02-05,34,89.72
2010-02-12,20,87.33
2010-02-19,37,90.5
2010-02-26,36,91.83
2010-03-05,28,96.93
2010-03-12,36,97.85
2010-03-19,23,99.9
2010-03-26,35,98.21
2010-04-09,34,104.02
2010-04-16,41,104.35
2010-04-23,37,102.74
2010-04-30,45,103.08
2010-05-07,37,97.47
2010-05-14,47,100.61
2010-05-21,40,98.4
2010-05-28,37,50.53
2010-06-04,36,52.46
2010-06-11,31,53.8
2010-06-18,36,55.05
2010-06-25,30,53.32
2010-07-02,29,55.41
2010-07-09,31,56.14
2010-07-16,42,54.75
2010-07-23,40,58.23
2010-07-30,38,57.8
2010-08-06,46,58.3
2010-08-13,36,57.31
2010-08-20,38,58.18
2010-08-27,20,58.1
2010-09-03,30,60.97
2010-09-10,39,59.03
2010-09-17,33,55.81
2010-09-24,61,67.91
2010-10-01,41,67.11
2010-10-08,32,68.02
2010-10-15,30,67.48
2010-10-22,33,66.24
2010-10-29,36,63.91
2010-11-05,43,65.63
2010-11-12,41,64.91
2010-11-19,23,66.89
2010-11-26,30,65.94
2010-12-03,35,68.17
2010-12-10,40,71.29
2010-12-17,53,84.75
2010-12-31,25,80.84
2011-01-07,22,79.05
2011-01-14,25,81.7
2011-01-21,37,82.69
2011-01-28,47,83.18
2011-02-04,39,85.94
2011-02-11,39,88.87
2011-02-18,42,89.5
2011-02-25,40,86.4
2011-03-04,30,89.51
2011-03-11,25,89.27
2011-03-18,46,86.21
2011-03-25,48,88.5
2011-04-01,43,86.07
2011-04-08,65,83.06
2011-04-15,34,83.95
2011-04-29,33,86.35
2011-05-06,39,88.2
2011-05-13,40,88.25
2011-05-20,39,88.43
2011-05-27,46,88.08
2011-06-03,39,86.44
2011-06-10,35,84.2
2011-06-17,22,84.01
2011-06-24,24,84.76
2011-07-01,36,88.07
2011-07-08,41,90.91
2011-07-15,43,88.94
2011-07-22,50,77.91
2011-07-29,46,71.35
2011-08-05,41,68.39
2011-08-12,37,69.15
2011-08-19,50,67.73
2011-08-26,36,73.58
2011-09-02,32,72.7
2011-09-09,36,70.44
2011-09-16,47,77.16
2011-09-23,51,74.54
2011-09-30,31,71.28
2011-10-07,31,72.03
2011-10-14,37,72
2011-10-21,37,73.38
2011-10-28,31,76.06
2011-11-04,52,76.44
2011-11-11,53,70.57
2011-11-18,34,63.02
2011-11-25,25,62.5
2011-12-02,36,64.99
2011-12-09,46,64.53
2011-12-16,38,67.39
2011-12-23,27,70.98
2011-12-30,26,70.7
2012-01-06,33,72.88
2012-01-13,36,73.21
2012-01-20,31,77.12
2012-01-27,38,79.18
2012-02-03,44,71.54
2012-02-10,43,73.87
2012-02-17,31,75.61
2012-02-24,38,74.26
2012-03-02,32,71.22
2012-03-09,39,68.92
2012-03-16,38,71.42
2012-03-23,33,71.28
2012-03-30,33,72.73
2012-04-13,43,68.55
2012-04-20,37,73.37
2012-04-27,34,82.69
2012-05-04,37,84.99
2012-05-11,37,84.68
2012-05-18,39,81.89
2012-05-25,34,87.4
2012-06-01,35,84.57
2012-06-08,39,88.23
2012-06-15,40,97.52
2012-06-22,32,101.56
2012-06-29,30,103.3
2012-07-06,26,101.92
2012-07-13,33,101.44
2012-07-20,21,101.09
2012-07-27,30,105.19
2012-08-03,36,101.32
2012-08-10,35,98.17
2012-08-17,37,100.43
2012-08-24,28,99.18
2012-08-31,30,102.11
2012-09-07,35,108.82
2012-09-14,29,105.1
2012-09-21,32,105.85
2012-09-28,32,107.37
2012-10-05,34,108.45
2012-10-12,45,87.1
2012-10-19,45,86.14
2012-10-26,39,87.15
2012-11-02,27,87.83
2012-11-09,28,87.7
2012-11-16,34,85.74
2012-11-23,26,85.6
2012-11-30,32,86.77
2012-12-07,30,91.36
2012-12-14,27,91.02
2012-12-21,29,92.11
2012-12-28,16,89.27
2013-01-04,27,92.65
2013-01-11,33,91.79
2013-01-18,30,94.56
2013-01-25,32,92.09
2013-02-01,31,93.41
2013-02-08,36,87.22
2013-02-15,34,86.36
2013-02-22,33,86.37
2013-03-01,33,86.1
2013-03-08,33,90.3
2013-03-15,36,82.19
2013-03-22,35,82.19
2013-04-05,26,81.4
2013-04-12,33,84.8
2013-04-19,23,83.12
2013-04-26,38,64.17
2013-05-03,33,63.21
2013-05-10,31,67.87
2013-05-17,35,67.06
2013-05-24,36,65.53
2013-05-31,34,66.46
2013-06-07,31,67.2
2013-06-14,33,70
2013-06-21,34,66.45
2013-06-28,33,67.2
2013-07-05,30,66.6
2013-07-12,34,67.85
2013-07-19,37,68.25
2013-07-26,41,71.8
2013-08-02,34,72.61
2013-08-09,31,72.67
2013-08-16,30,70.01
2013-08-23,24,72.94
2013-08-30,28,70.38
2013-09-06,32,71.47
2013-09-13,30,71.61
2013-09-20,31,70.03
2013-09-27,35,68.79
2013-10-04,30,72.81
2013-10-11,32,73.98
2013-10-18,28,77.2
2013-10-25,31,77.06
2013-11-01,31,64.27
2013-11-08,32,64.26
2013-11-15,38,64.99
2013-11-22,27,64.86
2013-11-29,19,65.53
2013-12-06,32,66.29
2013-12-13,38,61.44
2013-12-20,30,65.19
2013-12-27,9,66.01
2014-01-03,20,67.26
2014-01-10,31,68.48
2014-01-17,32,68.54
2014-01-24,25,68.81
2014-01-31,37,65.12
2014-02-07,28,66.94
2014-02-14,28,67.53
2014-02-21,32,68.24
2014-02-28,36,69.76
2014-03-07,29,72.07
2014-03-14,23,72.14
2014-03-21,30,72.13
2014-03-28,26,71.16
2014-04-04,34,74.25
2014-04-11,29,72.97
2014-04-25,27,80.5
