"Date","TSO","Price"
2006-07-07,49,74
2006-07-14,53,71.72
2006-07-21,54,68.78
2006-07-28,60,73.43
2006-08-04,61,71.08
2006-08-11,55,70.68
2006-08-18,55,68.6
2006-08-25,52,68.81
2006-09-01,47,65.1
2006-09-08,70,59.9
2006-09-15,69,57.06
2006-09-22,66,54.49
2006-09-29,66,57.98
2006-10-06,61,58.37
2006-10-13,59,63.49
2006-10-20,62,64.6
2006-10-27,58,63.56
2006-11-03,67,64.5
2006-11-10,76,65.4
2006-11-17,71,66.06
2006-11-24,69,68.17
2006-12-01,87,71.49
2006-12-08,94,70.68
2006-12-15,90,71.63
2006-12-22,93,65.44
2006-12-29,64,65.77
2007-01-05,56,65.67
2007-01-12,52,67.98
2007-01-19,60,70.67
2007-01-26,57,73.82
2007-02-02,51,83.98
2007-02-09,54,84.36
2007-02-16,61,85.78
2007-02-23,55,91.23
2007-03-02,63,92.2
2007-03-09,63,94.88
2007-03-16,54,96.83
2007-03-23,54,100.84
2007-03-30,61,100.43
2007-04-13,51,111.74
2007-04-20,54,108.82
2007-04-27,52,119.17
2007-05-04,61,116.96
2007-05-11,53,119.3
2007-05-18,51,118.98
2007-05-25,53,119.79
2007-06-01,53,63.74
2007-06-08,59,59.2
2007-06-15,48,62.76
2007-06-22,48,61.44
2007-06-29,63,57.15
2007-07-06,52,58.91
2007-07-13,49,59.2
2007-07-20,51,54.38
2007-07-27,52,47.89
2007-08-03,41,45.42
2007-08-10,48,49.3
2007-08-17,52,46.95
2007-08-24,61,50.96
2007-08-31,59,49.33
2007-09-07,64,49.53
2007-09-14,57,49.4
2007-09-21,63,50.79
2007-09-28,59,46.02
2007-10-05,62,48.77
2007-10-12,60,54.06
2007-10-19,56,51.7
2007-10-26,55,64.48
2007-11-02,64,57.35
2007-11-09,72,56.02
2007-11-16,73,55.84
2007-11-23,75,55.92
2007-11-30,82,49.18
2007-12-07,86,48.14
2007-12-14,76,47.87
2007-12-21,89,47.84
2007-12-28,66,47.93
2008-01-04,61,43.55
2008-01-11,58,37.51
2008-01-18,55,38.91
2008-01-25,51,39.29
2008-02-01,59,38.31
2008-02-08,59,37.93
2008-02-15,56,37.09
2008-02-22,47,39.51
2008-02-29,56,37.14
2008-03-07,55,32.83
2008-03-14,51,30.13
2008-03-28,44,29.23
2008-04-04,51,31.25
2008-04-11,56,26.89
2008-04-18,54,28
2008-04-25,49,26.43
2008-05-02,55,25.48
2008-05-09,51,21.96
2008-05-16,51,24.99
2008-05-23,47,23.65
2008-05-30,46,24.85
2008-06-06,55,24.75
2008-06-13,50,23.55
2008-06-20,56,20.35
2008-06-27,62,19.06
2008-07-11,50,16.04
2008-07-18,46,16.69
2008-07-25,49,15.47
2008-08-01,52,15.33
2008-08-08,59,17.92
2008-08-15,54,18.08
2008-08-22,47,16.52
2008-08-29,52,18.55
2008-09-05,52,18.66
2008-09-12,54,19.06
2008-09-19,56,18.86
2008-09-26,56,18.88
2008-10-03,50,13.92
2008-10-10,54,8.36
2008-10-17,50,9.93
2008-10-24,59,8.98
2008-10-31,62,9.67
2008-11-07,74,9.69
2008-11-14,78,10.25
2008-11-21,76,7.86
2008-11-28,75,9.19
2008-12-05,93,8.18
2008-12-12,81,9.09
2008-12-19,81,11.61
2008-12-26,74,12.05
2009-01-02,56,13.79
2009-01-09,58,14.72
2009-01-16,59,15.91
2009-01-23,52,15.49
2009-01-30,48,17.23
2009-02-06,51,17.71
2009-02-13,54,18.53
2009-02-20,53,14.13
2009-02-27,56,14.76
2009-03-06,49,12.23
2009-03-13,52,12.8
2009-03-20,45,13.95
2009-03-27,51,14.67
2009-04-03,52,14.72
2009-04-17,48,15.45
2009-04-24,52,15.69
2009-05-01,49,16.11
2009-05-08,50,16.72
2009-05-15,46,16.6
2009-05-22,42,16.23
2009-05-29,44,16.94
2009-06-05,47,15.56
2009-06-12,42,14.8
2009-06-19,42,14.02
2009-06-26,47,12.77
2009-07-10,45,10.89
2009-07-17,42,11.86
2009-07-24,45,13.13
2009-07-31,40,13.09
2009-08-07,49,12.84
2009-08-14,43,13.2
2009-08-21,52,13.44
2009-08-28,48,14.19
2009-09-04,54,14.18
2009-09-11,54,14.93
2009-09-18,54,15.44
2009-09-25,51,14.54
2009-10-02,47,13.94
2009-10-09,52,14.57
2009-10-16,54,15.39
2009-10-23,51,16.24
2009-10-30,60,14.14
2009-11-06,66,13.97
2009-11-13,70,13.65
2009-11-20,78,13.25
2009-11-27,67,12.69
2009-12-04,76,12.69
2009-12-11,79,12.87
2009-12-18,75,13.01
2010-01-08,55,14.76
2010-01-15,50,13.77
2010-01-22,47,12.97
2010-01-29,47,12.5
2010-02-05,46,12
2010-02-12,50,11.91
2010-02-19,46,12.23
2010-02-26,44,11.92
2010-03-05,46,13.43
2010-03-12,46,13.77
2010-03-19,42,13.84
2010-03-26,47,13.64
2010-04-09,47,13.2
2010-04-16,40,12.55
2010-04-23,43,13.25
2010-04-30,41,13.15
2010-05-07,41,12.32
2010-05-14,43,12.94
2010-05-21,42,11.86
2010-05-28,39,11.7
2010-06-04,41,11.56
2010-06-11,42,11.37
2010-06-18,39,12.3
2010-06-25,43,12.6
2010-07-02,43,10.75
2010-07-09,41,11.45
2010-07-16,42,11.35
2010-07-23,42,12.31
2010-07-30,43,12.91
2010-08-06,43,12.77
2010-08-13,43,11.97
2010-08-20,44,11.32
2010-08-27,48,11.6
2010-09-03,52,12.16
2010-09-10,43,12.41
2010-09-17,46,12.56
2010-09-24,49,12.89
2010-10-01,48,13.41
2010-10-08,48,13.71
2010-10-15,48,14.1
2010-10-22,49,13.2
2010-10-29,46,12.96
2010-11-05,53,14.17
2010-11-12,60,14.59
2010-11-19,70,15.18
2010-11-26,61,16.4
2010-12-03,71,17.39
2010-12-10,74,17.42
2010-12-17,68,17.44
2010-12-31,53,18.54
2011-01-07,48,19.35
2011-01-14,44,18.85
2011-01-21,46,18.03
2011-01-28,48,18.87
2011-02-04,45,20.79
2011-02-11,47,21.92
2011-02-18,47,24.15
2011-02-25,49,24.17
2011-03-04,45,24.92
2011-03-11,47,24.51
2011-03-18,46,24.62
2011-03-25,47,26.57
2011-04-01,47,27.04
2011-04-08,46,25.79
2011-04-15,44,26.54
2011-04-29,50,27.12
2011-05-06,45,24.91
2011-05-13,48,23.43
2011-05-20,48,23.65
2011-05-27,43,24.14
2011-06-03,48,22.68
2011-06-10,45,21.04
2011-06-17,48,20.87
2011-06-24,41,20.84
2011-07-01,46,23.06
2011-07-08,46,24.44
2011-07-15,41,23.48
2011-07-22,45,24.37
2011-07-29,42,24.29
2011-08-05,41,21.48
2011-08-12,43,20.32
2011-08-19,44,19.16
2011-08-26,44,22.18
2011-09-02,49,23.08
2011-09-09,44,23.45
2011-09-16,51,23.72
2011-09-23,47,18.93
2011-09-30,48,19.47
2011-10-07,44,22.62
2011-10-14,44,26.7
2011-10-21,51,26.4
2011-10-28,50,27.1
2011-11-04,51,28.8
2011-11-11,55,28.21
2011-11-18,67,23.68
2011-11-25,61,22.37
2011-12-02,71,24.5
2011-12-09,75,21.79
2011-12-16,68,22.1
2011-12-23,66,23.58
2011-12-30,54,23.36
2012-01-06,41,22.95
2012-01-13,49,23.04
2012-01-20,47,24.18
2012-01-27,49,25.47
2012-02-03,47,25.41
2012-02-10,46,27.76
2012-02-17,48,27.82
2012-02-24,46,27.7
2012-03-02,48,27.6
2012-03-09,50,29.46
2012-03-16,44,29.63
2012-03-23,45,28.52
2012-03-30,47,26.84
2012-04-13,46,23.64
2012-04-20,44,22.94
2012-04-27,43,23.57
2012-05-04,45,21.99
2012-05-11,46,22.46
2012-05-18,41,22.14
2012-05-25,44,23.76
2012-06-01,41,22.49
2012-06-08,44,22.42
2012-06-15,44,22.8
2012-06-22,44,24.31
2012-06-29,45,24.96
2012-07-06,42,25.91
2012-07-13,41,27.32
2012-07-20,41,27.43
2012-07-27,44,27.9
2012-08-03,43,31.79
2012-08-10,45,35.5
2012-08-17,45,39.39
2012-08-24,49,39.45
2012-08-31,45,39.74
2012-09-07,53,40.14
2012-09-14,52,40.85
2012-09-21,51,41.2
2012-09-28,52,41.9
2012-10-05,52,43.24
2012-10-12,50,38.29
2012-10-19,48,38.16
2012-10-26,47,38.35
2012-11-02,48,35.46
2012-11-09,60,37.59
2012-11-16,66,38.07
2012-11-23,57,41.92
2012-11-30,68,42.28
2012-12-07,67,39.65
2012-12-14,69,43.66
2012-12-21,68,43.69
2012-12-28,58,42.75
2013-01-04,51,42.54
2013-01-11,47,42.17
2013-01-18,50,42.49
2013-01-25,55,44.58
2013-02-01,52,49.37
2013-02-08,48,53.86
2013-02-15,50,54.64
2013-02-22,49,54.6
2013-03-01,48,58.29
2013-03-08,48,58.4
2013-03-15,45,56.5
2013-03-22,49,58.87
2013-04-05,43,53.24
2013-04-12,45,51.46
2013-04-19,48,50.67
2013-04-26,45,53.84
2013-05-03,43,55.47
2013-05-10,48,54.41
2013-05-17,48,62.24
2013-05-24,44,61.23
2013-05-31,44,61.65
2013-06-07,51,58.68
2013-06-14,46,57.16
2013-06-21,48,54.13
2013-06-28,45,52.32
2013-07-05,41,51.28
2013-07-12,44,55.2
2013-07-19,45,51.74
2013-07-26,45,54.51
2013-08-02,46,55.3
2013-08-09,46,53.08
2013-08-16,47,48.8
2013-08-23,48,49.01
2013-08-30,46,46.09
2013-09-06,48,46.78
2013-09-13,51,46.11
2013-09-20,47,44.41
2013-09-27,48,44.74
2013-10-04,46,44.21
2013-10-11,50,45.19
2013-10-18,49,49.13
2013-10-25,47,46.96
2013-11-01,49,47.82
2013-11-08,54,50.09
2013-11-15,63,54.53
2013-11-22,67,57.42
2013-11-29,61,58.63
2013-12-06,70,57.7
2013-12-13,73,56.3
2013-12-20,66,56.16
2013-12-27,62,57.37
2014-01-03,53,57.14
2014-01-10,52,57.51
2014-01-17,53,52.58
2014-01-24,51,50.57
2014-01-31,50,51.52
2014-02-07,50,47.89
2014-02-14,48,50.26
2014-02-21,48,50.34
2014-02-28,48,51.01
2014-03-07,48,53.47
2014-03-14,48,53.21
2014-03-21,49,50.37
2014-03-28,48,50.5
2014-04-04,49,50.58
2014-04-11,48,47.47
2014-04-25,52,55
