"Date","XRX","Price"
2009-01-16,30,7.69
2009-01-23,34,7.03
2009-01-30,44,6.64
2009-02-06,30,7.06
2009-02-13,20,6.44
2009-02-20,31,5.52
2009-02-27,31,5.18
2009-03-06,36,4.28
2009-03-13,31,5.19
2009-03-20,41,4.34
2009-03-27,41,5.1
2009-04-03,52,5
2009-04-17,43,5.92
2009-04-24,51,5.95
2009-05-01,43,6.44
2009-05-08,46,6.69
2009-05-15,54,6.23
2009-05-22,41,6.78
2009-05-29,21,6.8
2009-06-05,39,7.11
2009-06-12,48,6.98
2009-06-19,35,6.74
2009-06-26,24,6.63
2009-07-10,30,6.11
2009-07-17,28,6.7
2009-07-24,50,7.9
2009-07-31,27,8.19
2009-08-07,43,8.45
2009-08-14,39,8.47
2009-08-21,35,8.45
2009-08-28,42,8.89
2009-09-04,27,8.64
2009-09-11,23,9.17
2009-09-18,39,9.48
2009-09-25,37,9.02
2009-10-02,85,7.32
2009-10-09,53,7.75
2009-10-16,24,7.61
2009-10-23,58,7.88
2009-10-30,32,7.52
2009-11-06,37,7.93
2009-11-13,40,7.86
2009-11-20,41,7.83
2009-11-27,30,7.79
2009-12-04,28,7.91
2009-12-11,23,7.93
2009-12-18,34,8.37
2010-01-08,27,8.57
2010-01-15,37,8.84
2010-01-22,33,8.97
2010-01-29,38,8.72
2010-02-05,27,8.47
2010-02-12,37,8.77
2010-02-19,27,9.2
2010-02-26,33,9.37
2010-03-05,20,9.87
2010-03-12,35,9.89
2010-03-19,39,9.57
2010-03-26,29,9.7
2010-04-09,33,10.44
2010-04-16,34,10.32
2010-04-23,37,11.32
2010-04-30,31,10.9
2010-05-07,49,9.73
2010-05-14,46,10.02
2010-05-21,33,9.22
2010-05-28,26,9.31
2010-06-04,35,8.88
2010-06-11,34,9.02
2010-06-18,25,9.43
2010-06-25,20,8.74
2010-07-02,33,7.99
2010-07-09,38,8.22
2010-07-16,23,8.3
2010-07-23,45,9.25
2010-07-30,33,9.74
2010-08-06,23,9.59
2010-08-13,22,9.01
2010-08-20,25,8.97
2010-08-27,26,8.64
2010-09-03,31,9.09
2010-09-10,21,9.11
2010-09-17,37,10.1
2010-09-24,33,10.52
2010-10-01,34,10.5
2010-10-08,41,10.95
2010-10-15,34,11.06
2010-10-22,39,11.42
2010-10-29,38,11.7
2010-11-05,34,11.9
2010-11-12,24,11.29
2010-11-19,41,11.68
2010-11-26,32,11.76
2010-12-03,32,11.83
2010-12-10,31,12
2010-12-17,30,11.75
2010-12-31,21,11.52
2011-01-07,32,11.3
2011-01-14,19,11.62
2011-01-21,18,11.14
2011-01-28,33,10.55
2011-02-04,30,10.85
2011-02-11,26,10.97
2011-02-18,26,11.32
2011-02-25,26,10.72
2011-03-04,32,10.49
2011-03-11,17,10.4
2011-03-18,27,10.12
2011-03-25,33,10.67
2011-04-01,25,10.88
2011-04-08,26,10.7
2011-04-15,27,10.73
2011-04-29,44,10.09
2011-05-06,31,10.25
2011-05-13,29,10.21
2011-05-20,29,10.11
2011-05-27,28,10
2011-06-03,26,10
2011-06-10,21,9.4
2011-06-17,33,9.85
2011-06-24,28,9.89
2011-07-01,25,10.71
2011-07-08,27,10.66
2011-07-15,25,10.01
2011-07-22,30,10.08
2011-07-29,30,9.33
2011-08-05,36,8.53
2011-08-12,34,8.01
2011-08-19,27,7.32
2011-08-26,28,7.72
2011-09-02,34,7.91
2011-09-09,23,7.41
2011-09-16,20,8.02
2011-09-23,25,7.1
2011-09-30,26,6.97
2011-10-07,29,7.17
2011-10-14,25,7.73
2011-10-21,28,7.83
2011-10-28,35,8.53
2011-11-04,28,8.46
2011-11-11,30,8.21
2011-11-18,23,7.88
2011-11-25,24,7.57
2011-12-02,24,8.22
2011-12-09,32,8.16
2011-12-16,21,7.97
2011-12-23,29,8.29
2011-12-30,22,7.96
2012-01-06,26,8.1
2012-01-13,29,8.08
2012-01-20,31,8.76
2012-01-27,37,7.88
2012-02-03,28,7.96
2012-02-10,24,7.92
2012-02-17,23,8.3
2012-02-24,22,8.36
2012-03-02,21,8.27
2012-03-09,21,8.25
2012-03-16,22,8.32
2012-03-23,27,8.22
2012-03-30,23,8.08
2012-04-13,25,7.84
2012-04-20,27,7.87
2012-04-27,26,7.83
2012-05-04,38,7.62
2012-05-11,29,7.63
2012-05-18,24,7.15
2012-05-25,31,7.07
2012-06-01,33,7.12
2012-06-08,27,7.71
2012-06-15,22,7.79
2012-06-22,31,7.81
2012-06-29,23,7.87
2012-07-06,30,7.79
2012-07-13,23,7.27
2012-07-20,27,6.7
2012-07-27,34,6.84
2012-08-03,22,6.93
2012-08-10,27,7.18
2012-08-17,26,7.41
2012-08-24,24,7.38
2012-08-31,23,7.37
2012-09-07,21,7.68
2012-09-14,27,7.86
2012-09-21,15,7.8
2012-09-28,24,7.34
2012-10-05,25,7.27
2012-10-12,17,7.08
2012-10-19,28,6.98
2012-10-26,26,6.49
2012-11-02,20,6.47
2012-11-09,20,6.34
2012-11-16,27,6.23
2012-11-23,21,6.66
2012-11-30,26,6.81
2012-12-07,24,7.09
2012-12-14,28,6.97
2012-12-21,16,7.05
2012-12-28,26,6.69
2013-01-04,21,7.11
2013-01-11,24,7.26
2013-01-18,26,7.64
2013-01-25,31,7.93
2013-02-01,28,8.02
2013-02-08,26,7.96
2013-02-15,20,7.97
2013-02-22,22,8.12
2013-03-01,20,8.15
2013-03-08,33,8.71
2013-03-15,28,8.71
2013-03-22,32,8.6
2013-04-05,28,8.63
2013-04-12,27,9.06
2013-04-19,29,8.46
2013-04-26,30,8.38
2013-05-03,31,8.54
2013-05-10,26,9
2013-05-17,28,8.82
2013-05-24,29,8.92
2013-05-31,25,8.79
2013-06-07,32,9.17
2013-06-14,27,9.1
2013-06-21,25,9.28
2013-06-28,27,9.07
2013-07-05,26,9.44
2013-07-12,29,9.82
2013-07-19,28,9.7
2013-07-26,28,9.69
2013-08-02,33,10
2013-08-09,36,10.03
2013-08-16,37,10.3
2013-08-23,39,10.04
2013-08-30,28,9.98
2013-09-06,27,10.03
2013-09-13,37,10.45
2013-09-20,27,10.14
2013-09-27,26,10.37
2013-10-04,24,10.53
2013-10-11,29,10.64
2013-10-18,30,10.91
2013-10-25,34,9.71
2013-11-01,30,10.02
2013-11-08,27,10.3
2013-11-15,35,11.04
2013-11-22,35,11.22
2013-11-29,29,11.38
2013-12-06,34,11.28
2013-12-13,29,11.33
2013-12-20,24,11.88
2013-12-27,29,12.2
2014-01-03,27,11.99
2014-01-10,25,11.99
2014-01-17,29,12.2
2014-01-24,29,11.24
2014-01-31,30,10.85
2014-02-07,27,10.41
2014-02-14,20,10.72
2014-02-21,25,10.74
2014-02-28,25,10.99
2014-03-07,29,10.93
2014-03-14,31,10.6
2014-03-21,32,11.2
2014-03-28,26,11.06
2014-04-04,30,11.48
2014-04-11,27,11.06
2014-04-25,34,11.74
