"Date","buy.WU","Price"
2011-03-11,24,21.16
2011-03-18,34,21.09
2011-03-25,22,21.76
2011-04-01,20,20.77
2011-04-08,20,20.76
2011-04-15,24,21.05
2011-04-29,25,21.25
2011-05-06,22,20.72
2011-05-13,24,20.7
2011-05-20,26,20.6
2011-05-27,28,20.38
2011-06-03,27,19.8
2011-06-10,26,19.63
2011-06-17,26,19.73
2011-06-24,26,19.23
2011-07-01,32,20.24
2011-07-08,30,19.77
2011-07-15,30,19.09
2011-07-22,30,19.37
2011-07-29,34,19.41
2011-08-05,20,17.84
2011-08-12,25,16.93
2011-08-19,30,15.81
2011-08-26,27,16.26
2011-09-02,27,16
2011-09-09,27,15.55
2011-09-16,31,16.48
2011-09-23,34,15.1
2011-09-30,38,15.29
2011-10-07,25,15.82
2011-10-14,22,16.75
2011-10-21,20,17.19
2011-10-28,20,18.01
2011-11-04,21,17.36
2011-11-11,28,17.3
2011-11-18,24,16.2
2011-11-25,26,16.3
2011-12-02,26,17.55
2011-12-09,19,18.18
2011-12-16,32,17.78
2011-12-23,30,18.47
2011-12-30,26,18.26
2012-01-06,33,18.31
2012-01-13,33,18.83
2012-01-20,24,19.05
2012-01-27,37,19.16
2012-02-03,36,19.73
2012-02-10,67,17.59
2012-02-17,24,17.97
2012-02-24,16,17.88
2012-03-02,24,17.29
2012-03-09,32,17.67
2012-03-16,16,18.05
2012-03-23,17,17.93
2012-03-30,22,17.6
2012-04-13,30,17.56
2012-04-20,25,18
2012-04-27,18,18.57
2012-05-04,18,17.7
2012-05-11,19,17.12
2012-05-18,20,16.54
2012-05-25,19,16.9
2012-06-01,19,15.97
2012-06-08,26,16.2
2012-06-15,23,16.24
2012-06-22,17,16.74
2012-06-29,23,16.84
2012-07-06,19,16.83
2012-07-13,25,16.69
2012-07-20,19,16.76
2012-07-27,25,17.62
2012-08-03,24,17.26
2012-08-10,24,17.65
2012-08-17,19,17.69
2012-08-24,23,17.42
2012-08-31,18,17.61
2012-09-07,20,18.15
2012-09-14,23,19.11
2012-09-21,27,18.67
2012-09-28,24,18.22
2012-10-05,24,18.46
2012-10-12,17,17.88
2012-10-19,31,17.93
2012-10-26,20,17.93
2012-11-02,21,11.95
2012-11-09,27,12.35
2012-11-16,23,12.71
2012-11-23,26,12.8
2012-11-30,16,12.61
2012-12-07,20,13
2012-12-14,25,13.11
2012-12-21,20,13.59
2012-12-28,19,13.38
2013-01-04,24,14.02
2013-01-11,22,13.8
2013-01-18,19,13.41
2013-01-25,37,13.53
2013-02-01,18,14.38
2013-02-08,18,14.66
2013-02-15,22,14.4
2013-02-22,14,14.02
2013-03-01,23,14.26
2013-03-08,16,14.63
2013-03-15,12,14.67
2013-03-22,16,14.64
2013-04-05,22,14.32
2013-04-12,26,15.04
2013-04-19,15,14.47
2013-04-26,21,14.58
2013-05-03,13,15.64
2013-05-10,20,15.99
2013-05-17,20,16.65
2013-05-24,20,16.45
2013-05-31,13,16.38
2013-06-07,30,16.65
2013-06-14,19,17.02
2013-06-21,18,16.58
2013-06-28,15,17.11
2013-07-05,16,17.04
2013-07-12,17,17.47
2013-07-19,18,17.32
2013-07-26,18,16.96
2013-08-02,20,18.31
2013-08-09,28,18.46
2013-08-16,22,18.25
2013-08-23,15,18.3
2013-08-30,15,17.53
2013-09-06,17,18.06
2013-09-13,18,18.41
2013-09-20,25,18.64
2013-09-27,17,18.64
2013-10-04,23,18.78
2013-10-11,31,18.41
2013-10-18,14,18.66
2013-10-25,12,19.29
2013-11-01,19,17.48
2013-11-08,19,17.21
2013-11-15,19,16.7
2013-11-22,19,16.84
2013-11-29,22,16.67
2013-12-06,26,16.77
2013-12-13,18,16.37
2013-12-20,36,17.01
2013-12-27,22,17.2
2014-01-03,14,16.92
2014-01-10,14,16.77
2014-01-17,19,16.45
2014-01-24,18,15.74
2014-01-31,13,15.4
2014-02-07,16,15.63
2014-02-14,23,16.26
2014-02-21,14,16.04
2014-02-28,17,16.73
2014-03-07,21,16.72
2014-03-14,13,15.93
2014-03-21,26,16.2
2014-03-28,35,16.21
2014-04-04,27,16.38
2014-04-11,19,15.79
2014-04-25,27,15.55
