"Date","EXPD","Price"
2009-03-20,32,27.28
2009-03-27,34,28.72
2009-04-03,26,30.66
2009-04-17,31,33.87
2009-04-24,24,33.89
2009-05-01,35,34.61
2009-05-08,24,33.51
2009-05-15,23,32.11
2009-05-22,23,31.69
2009-05-29,23,32.81
2009-06-05,23,34.1
2009-06-12,23,34.25
2009-06-19,27,33.02
2009-06-26,29,33.06
2009-07-10,32,31.66
2009-07-17,24,31.05
2009-07-24,24,33.51
2009-07-31,24,33.93
2009-08-07,24,32.99
2009-08-14,24,32.33
2009-08-21,24,33.49
2009-08-28,24,33.06
2009-09-04,24,33.08
2009-09-11,22,35.79
2009-09-18,24,37
2009-09-25,26,35.1
2009-10-02,29,33.53
2009-10-09,31,33.52
2009-10-16,23,34.74
2009-10-23,27,33.08
2009-10-30,31,32.22
2009-11-06,35,31.62
2010-01-08,21,34.65
2010-01-15,27,34.47
2010-02-26,23,36.47
2010-03-05,16,36.58
2010-03-12,16,37.21
2010-03-19,18,38.61
2010-03-26,20,36.67
2010-04-09,21,37.2
2010-04-16,21,39.4
2010-04-23,21,40.66
2010-04-30,25,40.71
2010-05-07,35,38.63
2010-05-14,19,40.99
2010-05-21,19,38.3
2010-05-28,20,38.24
2010-06-04,22,37.14
2010-06-11,24,37.91
2010-06-18,19,38.62
2010-06-25,17,36.61
2010-07-02,24,33.97
2010-07-09,31,35.91
2010-07-16,39,38.66
2010-07-23,31,41.38
2010-07-30,37,42.64
2010-08-06,36,43.89
2010-08-13,23,40.71
2010-08-20,28,41.65
2010-08-27,23,40.63
2010-09-03,30,43.12
2010-09-10,20,43.65
2010-09-17,25,44.2
2010-09-24,20,45.6
2010-10-01,23,46.13
2010-10-08,20,47.61
2010-10-15,19,49.48
2010-10-22,39,49.57
2010-10-29,36,49.36
2010-11-05,39,51.78
2010-11-12,44,51.09
2010-11-19,37,51.85
2010-11-26,29,52.85
2010-12-03,40,55.6
2010-12-10,30,56.12
2010-12-17,33,55.35
2010-12-31,29,54.6
2011-01-07,30,54.18
2011-01-14,25,54.42
2011-01-21,19,53.44
2011-01-28,27,50.62
2011-02-04,21,51.17
2011-02-11,33,53.69
2011-02-18,30,54.83
2011-02-25,31,47.67
2011-03-04,30,48.5
2011-03-11,21,48.36
2011-03-18,17,47.57
2011-03-25,17,48.25
2011-04-01,21,50.81
2011-04-08,28,50.44
2011-04-15,16,51.43
2011-04-29,23,54.27
2011-05-06,20,53.53
2011-05-13,25,53.07
2011-05-20,19,53
2011-05-27,27,51.96
2011-06-03,29,50.39
2011-06-10,22,47.03
2011-06-17,21,47.54
2011-06-24,17,47.58
2011-07-01,25,52.43
2011-07-08,32,52.34
2011-07-15,23,49.45
2011-07-22,23,50.52
2011-07-29,21,47.72
2011-08-05,45,43.86
2011-08-12,32,44.34
2011-08-19,23,40.33
2011-08-26,21,43.85
2011-09-02,23,43.08
2011-09-09,18,42.06
2011-09-16,16,44.33
2011-09-23,13,40.45
2011-09-30,16,40.55
2011-10-07,14,42.64
2011-10-14,13,44.45
2011-10-21,16,45.64
2011-10-28,16,47.22
2011-11-04,16,44.21
2011-11-11,13,45.53
2011-11-18,14,42.82
2011-11-25,23,40
2011-12-02,22,42.11
2011-12-09,13,41.73
2011-12-16,17,40.37
2011-12-23,20,41.07
2011-12-30,11,40.96
2012-01-06,11,41.66
2012-01-13,14,42.69
2012-01-20,14,44.41
2012-01-27,12,44.5
2012-02-03,12,44.56
2012-02-10,17,43.03
2012-02-17,15,44.32
2012-02-24,24,43.34
2012-03-02,15,44.32
2012-03-09,13,44.33
2012-03-16,19,45.81
2012-03-23,22,46.26
2012-03-30,14,46.51
2012-04-13,12,46.33
2012-04-20,16,41.96
2012-04-27,33,39.9
2012-05-04,16,39.5
2012-05-11,21,38.72
2012-05-18,17,37.32
2012-05-25,20,38.47
2012-06-01,26,37.45
2012-06-08,15,39.36
2012-06-15,10,39.48
2012-06-22,15,38.73
2012-06-29,18,38.75
2012-07-06,10,38.28
2012-07-13,10,37.67
2012-07-20,14,37.05
2012-07-27,14,36.06
2012-08-03,11,36.1
2012-08-10,12,36.68
2012-08-17,17,38.29
2012-08-24,15,37.71
2012-08-31,18,36.61
2012-09-07,10,37.78
2012-09-14,18,39.16
2012-09-21,16,36.78
2012-09-28,15,36.35
2012-10-05,9,35.55
2012-10-12,18,34.78
2012-10-19,12,35.32
2012-10-26,12,36.43
2012-11-02,14,36.91
2012-11-09,16,36.73
2012-11-16,16,35.76
2012-11-23,10,37.18
2012-11-30,15,37.42
2012-12-07,15,37.34
2012-12-14,10,38.22
2012-12-21,12,39.73
2012-12-28,11,39.03
2013-01-04,11,41.82
2013-01-11,20,42.7
2013-01-18,14,42.87
2013-01-25,16,43.54
2013-02-01,18,43.03
2013-02-08,17,43.34
2013-02-15,11,42.26
2013-02-22,11,40.81
2013-03-01,19,38.82
2013-03-08,15,38.69
2013-03-15,19,38.44
2013-03-22,22,36.54
2013-04-05,18,36.21
2013-04-12,15,36.7
2013-04-19,12,35.34
2013-04-26,12,35.42
2013-05-03,24,37.11
2013-05-10,14,38.43
2013-05-17,18,38.53
2013-05-24,22,39.33
2013-05-31,19,39.03
2013-06-07,13,38.62
2013-06-14,19,38.28
2013-06-21,19,37.05
2013-06-28,12,38.04
2013-07-05,17,38.52
2013-07-12,21,40
2013-07-19,17,41.2
2013-07-26,19,40.8
2013-08-02,20,41.19
2013-08-09,16,40.79
2013-08-16,17,40.03
2013-08-23,19,41.25
2013-08-30,19,40.56
2013-09-06,20,42.9
2013-09-13,30,44.28
2013-09-20,31,44.81
2013-09-27,22,44.14
2013-10-04,16,43.03
2013-10-11,18,43.45
2013-10-18,18,43.91
2013-10-25,21,45.88
2013-11-01,25,45.4
2013-11-08,27,42.42
2013-11-15,14,43.33
2013-11-22,22,43.62
2013-11-29,18,43.44
2013-12-06,15,43.44
2013-12-13,11,43.02
2013-12-20,21,43.55
2013-12-27,16,44.16
2014-01-03,14,43.25
2014-01-10,15,43.61
2014-01-17,12,43.77
2014-01-24,18,42
2014-01-31,15,40.86
2014-02-07,12,40.66
2014-02-14,14,41.86
2014-02-21,12,41.58
2014-02-28,22,39.51
2014-03-07,18,39.82
2014-03-14,13,38.98
2014-03-21,13,38.95
2014-03-28,17,39.21
2014-04-04,12,39.44
2014-04-11,12,38.9
2014-04-25,10,40.05
