"Date","Southwestern.Energy","Price"
2010-04-30,33,39.68
2010-05-07,33,37.16
2010-05-14,41,39.06
2010-05-21,28,37.27
2010-05-28,21,37.61
2010-06-04,18,41.7
2010-06-11,28,43.91
2010-06-18,34,44.08
2010-06-25,32,41.55
2010-07-02,30,37.75
2010-07-09,34,38.41
2010-07-16,24,37.41
2010-07-23,32,37.75
2010-07-30,32,36.45
2010-08-06,34,37.45
2010-08-13,23,34.47
2010-08-20,30,33.71
2010-08-27,37,33.35
2010-09-03,25,34.07
2010-09-10,24,33.37
2010-09-17,46,31.44
2010-09-24,32,33.05
2010-10-01,21,33.46
2010-10-08,42,33.87
2010-10-15,21,34.62
2010-10-22,26,33.91
2010-10-29,38,33.84
2010-11-05,35,36.09
2010-11-12,43,37.89
2010-11-19,29,38.42
2010-11-26,17,36.31
2010-12-03,26,37.91
2010-12-10,33,35.65
2010-12-17,52,35.77
2010-12-31,24,37.43
2011-01-07,39,38.15
2011-01-14,34,39.38
2011-01-21,35,38.17
2011-01-28,34,38.79
2011-02-04,32,39.34
2011-02-11,40,36.91
2011-02-18,22,36.45
2011-02-25,32,38.87
2011-03-04,43,37.85
2011-03-11,26,36.9
2011-03-18,19,41.12
2011-03-25,29,43.49
2011-04-01,43,42.87
2011-04-08,26,40.55
2011-04-15,37,39.96
2011-04-29,39,43.86
2011-05-06,22,41.91
2011-05-13,25,41.2
2011-05-20,32,42.87
2011-05-27,26,43.37
2011-06-03,28,43.73
2011-06-10,32,42.22
2011-06-17,41,41.16
2011-06-24,23,40.84
2011-07-01,34,43.8
2011-07-08,24,43.91
2011-07-15,24,47.53
2011-07-22,38,49
2011-07-29,30,44.56
2011-08-05,27,37.7
2011-08-12,39,38.17
2011-08-19,34,36.21
2011-08-26,28,36.96
2011-09-02,39,36.69
2011-09-09,30,35.91
2011-09-16,36,38.98
2011-09-23,31,33.91
2011-09-30,37,33.33
2011-10-07,31,34.38
2011-10-14,36,39.02
2011-10-21,27,40.25
2011-10-28,40,44.21
2011-11-04,21,42.66
2011-11-11,33,42.37
2011-11-18,28,38.62
2011-11-25,22,35.03
2011-12-02,24,37.69
2011-12-09,21,36.79
2011-12-16,30,33.49
2011-12-23,28,32.89
2011-12-30,17,31.94
2012-01-06,29,33.2
2012-01-13,44,29.42
2012-01-20,34,29.43
2012-01-27,32,32.04
2012-02-03,30,31.29
2012-02-10,26,33.59
2012-02-17,26,35.54
2012-02-24,35,35.21
2012-03-02,62,33.38
2012-03-09,45,33.52
2012-03-16,30,34.54
2012-03-23,22,32.38
2012-03-30,26,30.6
2012-04-13,23,28.4
2012-04-20,27,27.85
2012-04-27,33,30.51
2012-05-04,49,28.73
2012-05-11,35,30.4
2012-05-18,28,29.11
2012-05-25,27,28.77
2012-06-01,19,27.43
2012-06-08,33,27.09
2012-06-15,29,27.38
2012-06-22,28,29.02
2012-06-29,30,31.93
2012-07-06,26,31.9
2012-07-13,26,31.66
2012-07-20,24,31.97
2012-07-27,16,33.01
2012-08-03,22,30.6
2012-08-10,21,32.04
2012-08-17,24,32.2
2012-08-24,21,31.55
2012-08-31,18,31.13
2012-09-07,25,32.63
2012-09-14,29,35.64
2012-09-21,39,33.99
2012-09-28,27,34.78
2012-10-05,31,35.51
2012-10-12,21,36.11
2012-10-19,17,35.25
2012-10-26,33,34.14
2012-11-02,28,35.91
2012-11-09,22,34.2
2012-11-16,34,35.64
2012-11-23,15,36.6
2012-11-30,28,34.71
2012-12-07,24,34.38
2012-12-14,20,32.93
2012-12-21,14,34.45
2012-12-28,10,32.78
2013-01-04,17,34.34
2013-01-11,25,32.51
2013-01-18,29,33.69
2013-01-25,28,34.63
2013-02-01,35,34.09
2013-02-08,25,34.5
2013-02-15,24,33.04
2013-02-22,26,33.35
2013-03-01,28,35.26
2013-03-08,21,37.6
2013-03-15,21,38.59
2013-03-22,27,37.67
2013-04-05,25,37.41
2013-04-12,23,37.95
2013-04-19,25,35.38
2013-04-26,21,35.48
2013-05-03,44,37.04
2013-05-10,29,36.8
2013-05-17,23,38.86
2013-05-24,28,38.08
2013-05-31,28,37.69
2013-06-07,24,38.29
2013-06-14,33,36.54
2013-06-21,25,36.12
2013-06-28,27,36.53
2013-07-05,18,37.91
2013-07-12,24,38.74
2013-07-19,25,39.15
2013-07-26,28,39.32
2013-08-02,34,38.65
2013-08-09,31,37.48
2013-08-16,30,36.95
2013-08-23,24,38.16
2013-08-30,27,38.2
2013-09-06,22,37.63
2013-09-13,22,37.93
2013-09-20,27,37.06
2013-09-27,19,36.44
2013-10-04,21,35.89
2013-10-11,18,35.9
2013-10-18,27,36.47
2013-10-25,31,37.13
2013-11-01,24,38.2
2013-11-08,19,36.15
2013-11-15,26,36.47
2013-11-22,18,39.14
2013-11-29,19,38.66
2013-12-06,24,38.68
2013-12-13,22,38.58
2013-12-20,18,39.32
2013-12-27,11,39.73
2014-01-03,11,38.75
2014-01-10,19,38.51
2014-01-17,22,39.33
2014-01-24,19,41.66
2014-01-31,24,40.69
2014-02-07,21,41.47
2014-02-14,16,41.64
2014-02-21,22,42.81
2014-02-28,25,41.34
2014-03-07,25,41.94
2014-03-14,17,44.07
2014-03-21,32,46.57
2014-03-28,12,45.81
2014-04-04,23,46.77
2014-04-11,27,46.63
2014-04-25,26,47.79
