"Date","Dr.Pepper.Snapple.Group","Price"
2012-04-20,41,40.59
2012-04-27,44,39.71
2012-05-04,49,39.92
2012-05-11,50,40.95
2012-05-18,39,40.25
2012-05-25,49,41.09
2012-06-01,47,40.63
2012-06-08,34,42.64
2012-06-15,55,42.69
2012-06-22,33,42.9
2012-06-29,50,43.75
2012-07-06,33,43.31
2012-07-13,60,44.09
2012-07-20,46,43.78
2012-07-27,51,45.59
2012-08-03,47,45.6
2012-08-10,37,45.03
2012-08-17,50,45.16
2012-08-24,42,45.19
2012-08-31,45,44.81
2012-09-07,53,44.94
2012-09-14,53,44.08
2012-09-21,54,43.77
2012-09-28,49,44.53
2012-10-05,49,44.02
2012-10-12,49,43.46
2012-10-19,33,44.46
2012-10-26,49,42.76
2012-11-02,28,42.94
2012-11-09,30,43.51
2012-11-16,47,42.85
2012-11-23,33,44.81
2012-11-30,41,44.85
2012-12-07,49,45.51
2012-12-14,41,44.63
2012-12-21,29,44.68
2012-12-28,27,43.88
2013-01-04,42,45.68
2013-01-11,29,45.08
2013-01-18,35,45.3
2013-01-25,37,44.56
2013-02-01,35,45.24
2013-02-08,38,45.73
2013-02-15,44,42.91
2013-02-22,39,42.9
2013-03-01,37,43.78
2013-03-08,52,44
2013-03-15,40,44.07
2013-03-22,39,46.42
2013-04-05,50,46.12
2013-04-12,47,47.64
2013-04-19,51,48.07
2013-04-26,47,48.08
2013-05-03,41,49.2
2013-05-10,57,49
2013-05-17,43,49.25
2013-05-24,34,48.09
2013-05-31,31,45.98
2013-06-07,28,46.33
2013-06-14,37,46.93
2013-06-21,48,45.54
2013-06-28,53,45.93
2013-07-05,27,46.37
2013-07-12,43,47.46
2013-07-19,44,48.29
2013-07-26,43,46.64
2013-08-02,36,47.41
2013-08-09,51,46.85
2013-08-16,54,44.83
2013-08-23,44,45.62
2013-08-30,49,44.76
2013-09-06,32,44.47
2013-09-13,36,44.91
2013-09-20,51,45.59
2013-09-27,40,44.98
2013-10-04,29,43.47
2013-10-11,43,43.92
2013-10-18,45,45.01
2013-10-25,37,46.67
2013-11-01,53,47.43
2013-11-08,45,47.91
2013-11-15,36,48.56
2013-11-22,38,48.94
2013-11-29,27,48.26
2013-12-06,32,49
2013-12-13,32,47.58
2013-12-20,15,48.42
2013-12-27,18,48.8
2014-01-03,23,47.6
2014-01-10,29,48.43
2014-01-17,33,48.49
2014-01-24,27,48.47
2014-01-31,56,47.88
2014-02-07,44,48.89
2014-02-14,42,50.3
2014-02-21,37,51.74
2014-02-28,29,52.11
2014-03-07,45,52.29
2014-03-14,36,52.38
2014-03-21,43,52.77
2014-03-28,46,53.95
2014-04-04,33,53.71
2014-04-11,31,51.19
2014-04-25,45,53.58
