"Date","BorgWarner","Price"
2011-08-26,32,68.44
2011-09-02,26,68.07
2011-09-09,34,65.82
2011-09-16,22,69.42
2011-09-23,28,59.89
2011-09-30,28,60.53
2011-10-07,24,64.39
2011-10-14,30,70.86
2011-10-21,28,72.24
2011-10-28,27,76.33
2011-11-04,29,75.75
2011-11-11,33,67.96
2011-11-18,24,63.86
2011-11-25,25,61.2
2011-12-02,29,67.11
2011-12-09,19,69.15
2011-12-16,17,62.35
2011-12-23,23,65.58
2011-12-30,20,63.74
2012-01-06,22,65.12
2012-01-13,27,73.7
2012-01-20,25,74.88
2012-01-27,27,74.72
2012-02-03,24,79.51
2012-02-10,30,77.05
2012-02-17,27,81.21
2012-02-24,26,82.43
2012-03-02,26,85.42
2012-03-09,20,83.85
2012-03-16,24,85.74
2012-03-23,29,83.84
2012-03-30,27,84.34
2012-04-13,30,81.8
2012-04-20,32,80.59
2012-04-27,25,79.72
2012-05-04,26,77.98
2012-05-11,23,77.58
2012-05-18,33,73.3
2012-05-25,26,74.33
2012-06-01,26,66.59
2012-06-08,21,68.13
2012-06-15,25,65.19
2012-06-22,21,65.5
2012-06-29,22,65.59
2012-07-06,35,65.26
2012-07-13,26,64.7
2012-07-20,24,63.99
2012-07-27,23,67.32
2012-08-03,26,65.93
2012-08-10,25,71.32
2012-08-17,27,71.25
2012-08-24,31,68.43
2012-08-31,31,68.78
2012-09-07,26,72.38
2012-09-14,27,78.08
2012-09-21,29,72.29
2012-09-28,24,69.11
2012-10-05,30,73.7
2012-10-12,24,66.57
2012-10-19,18,65.79
2012-10-26,25,63.71
2012-11-02,26,66.35
2012-11-09,29,63.23
2012-11-16,24,61.75
2012-11-23,23,65.3
2012-11-30,25,66.3
2012-12-07,23,67.25
2012-12-14,22,66.47
2012-12-21,18,68.64
2012-12-28,17,70.05
2013-01-04,23,73.79
2013-01-11,23,71.7
2013-01-18,26,75.63
2013-01-25,27,77.29
2013-02-01,20,74.51
2013-02-08,27,74.94
2013-02-15,25,76.11
2013-02-22,25,74.45
2013-03-01,25,75.07
2013-03-08,27,79.5
2013-03-15,25,79.76
2013-03-22,28,76.42
2013-04-05,21,73.22
2013-04-12,27,74.81
2013-04-19,27,72.69
2013-04-26,26,77.93
2013-05-03,26,79.34
2013-05-10,25,82.22
2013-05-17,26,85.35
2013-05-24,23,81.96
2013-05-31,28,81.07
2013-06-07,29,82.62
2013-06-14,29,84.54
2013-06-21,27,83.26
2013-06-28,24,86.15
2013-07-05,24,86.29
2013-07-12,26,89.3
2013-07-19,26,91.17
2013-07-26,24,92.53
2013-08-02,23,97.46
2013-08-09,23,95.77
2013-08-16,22,96.17
2013-08-23,31,98.42
2013-08-30,25,96.58
2013-09-06,23,97.77
2013-09-13,25,99.09
2013-09-20,21,100.86
2013-09-27,29,101.51
2013-10-04,27,103.49
2013-10-11,23,102.9
2013-10-18,24,105.66
2013-10-25,26,106.27
2013-11-01,27,102.64
2013-11-08,26,101.25
2013-11-15,24,104.32
2013-11-22,21,106.16
2013-11-29,25,107.17
2013-12-06,25,107.07
2013-12-13,29,107.57
2013-12-20,29,55.02
2013-12-27,16,55.83
2014-01-03,18,54.89
2014-01-10,25,56.75
2014-01-17,26,55.81
2014-01-24,33,53.71
2014-01-31,31,53.7
2014-02-07,33,53.91
2014-02-14,23,57.96
2014-02-21,28,61.16
2014-02-28,29,61.45
2014-03-07,27,61.31
2014-03-14,32,61.13
2014-03-21,33,61.74
2014-03-28,29,60.02
2014-04-04,27,62.1
2014-04-11,29,59.27
2014-04-25,22,61.64
