"Date","Microchip.Technology","Price"
2013-05-24,8,36.32
2013-05-31,9,36.48
2013-06-07,15,36.7
2013-06-14,16,37.04
2013-06-21,12,36.75
2013-06-28,10,37.25
2013-07-05,10,38.23
2013-07-12,9,39.44
2013-07-19,7,39.87
2013-07-26,14,39.29
2013-08-02,9,41.48
2013-08-09,10,40.61
2013-08-16,11,39.51
2013-08-23,10,39.08
2013-08-30,9,38.81
2013-09-06,8,38.9
2013-09-13,13,39.6
2013-09-20,10,40.24
2013-09-27,10,40.3
2013-10-04,12,39.39
2013-10-11,12,40.1
2013-10-18,11,40.3
2013-10-25,10,38.87
2013-11-01,13,42.54
2013-11-08,14,42.89
2013-11-15,10,43.61
2013-11-22,14,43.81
2013-11-29,11,43.29
2013-12-06,11,43.56
2013-12-13,10,41.53
2013-12-20,15,43.42
2013-12-27,7,44.28
2014-01-03,6,44.54
2014-01-10,10,45.07
2014-01-17,11,46.2
2014-01-24,6,44.08
2014-01-31,18,44.86
2014-02-07,10,44.44
2014-02-14,13,45.76
2014-02-21,9,45.26
2014-02-28,11,45.55
2014-03-07,12,46.58
2014-03-14,14,46.07
2014-03-21,10,47.45
2014-03-28,7,46.92
2014-04-04,8,47.18
2014-04-11,10,46.46
2014-04-25,11,47.16
