"Date","buy.EA","Price"
2009-09-04,31,18.51
2009-09-11,26,18.18
2009-09-18,24,18.71
2009-09-25,55,19.46
2009-10-02,44,18.32
2009-10-09,34,20.41
2009-10-16,38,20.56
2009-10-23,35,19.71
2009-10-30,38,18.24
2009-11-06,23,19
2009-11-13,35,18.16
2009-11-20,34,17.3
2009-11-27,40,17.01
2009-12-04,39,16.2
2009-12-11,47,16.11
2009-12-18,39,16.72
2010-01-08,57,18.4
2010-01-15,46,17.03
2010-01-22,38,16.77
2010-01-29,38,16.28
2010-02-05,25,17.26
2010-02-12,34,16.06
2010-02-19,33,16.75
2010-02-26,34,16.58
2010-03-05,45,17.12
2010-03-12,36,17.77
2010-03-19,42,18.42
2010-03-26,26,18.85
2010-04-09,30,19.36
2010-04-16,24,19.57
2010-04-23,29,19.97
2010-04-30,29,19.37
2010-05-07,33,17.63
2010-05-14,32,17.42
2010-05-21,25,16.7
2010-05-28,28,16.51
2010-06-04,31,15.81
2010-06-11,26,16.32
2010-06-18,38,16.03
2010-06-25,31,15.14
2010-07-02,33,14.6
2010-07-09,44,14.84
2010-07-16,52,14.79
2010-07-23,38,15.88
2010-07-30,36,15.93
2010-08-06,34,17.07
2010-08-13,25,15.67
2010-08-20,35,15.79
2010-08-27,33,15.55
2010-09-03,31,16.46
2010-09-10,44,16.24
2010-09-17,30,16.26
2010-09-24,33,16.46
2010-10-01,40,16.44
2010-10-08,49,17.65
2010-10-15,33,15.96
2010-10-22,37,15.61
2010-10-29,46,15.83
2010-11-05,44,16.34
2010-11-12,41,15.83
2010-11-19,57,15.35
2010-11-26,63,14.82
2010-12-03,63,15.18
2010-12-10,64,15.82
2010-12-17,59,15.91
2010-12-31,96,16.38
2011-01-07,61,16.05
2011-01-14,48,15.95
2011-01-21,40,15.13
2011-01-28,45,15
2011-02-04,40,18.23
2011-02-11,40,18.21
2011-02-18,44,19.28
2011-02-25,28,19.18
2011-03-04,35,18.79
2011-03-11,36,18.54
2011-03-18,33,18.59
2011-03-25,37,19.7
2011-04-01,46,19.73
2011-04-08,34,19.86
2011-04-15,32,20.13
2011-04-29,24,20.18
2011-05-06,25,21.75
2011-05-13,35,23.7
2011-05-20,38,23.64
2011-05-27,27,23.9
2011-06-03,35,24.03
2011-06-10,32,22.81
2011-06-17,39,22.24
2011-06-24,34,21.77
2011-07-01,33,24.19
2011-07-08,33,25.05
2011-07-15,34,23.6
2011-07-22,39,23.93
2011-07-29,37,22.25
2011-08-05,35,20
2011-08-12,32,19.93
2011-08-19,48,19.31
2011-08-26,41,21.5
2011-09-02,44,21.99
2011-09-09,36,21.36
2011-09-16,41,23.01
2011-09-23,35,21.25
2011-09-30,49,20.45
2011-10-07,50,22.38
2011-10-14,38,24.54
2011-10-21,35,23.58
2011-10-28,90,24.1
2011-11-04,58,25.2
2011-11-11,43,23.9
2011-11-18,35,21.99
2011-11-25,43,20.83
2011-12-02,44,23
2011-12-09,32,21.99
2011-12-16,57,20.23
2011-12-23,66,20.71
2011-12-30,75,20.6
2012-01-06,36,19.67
2012-01-13,38,18.04
2012-01-20,33,17.93
2012-01-27,31,18.14
2012-02-03,31,19.24
2012-02-10,32,17.42
2012-02-17,36,17.47
2012-02-24,37,16.93
2012-03-02,34,16.78
2012-03-09,38,17.26
2012-03-16,35,17.46
2012-03-23,36,16.86
2012-03-30,41,16.49
2012-04-13,31,16.18
2012-04-20,27,14.93
2012-04-27,43,15.32
2012-05-04,39,15.12
2012-05-11,29,14.57
2012-05-18,29,14.1
2012-05-25,23,14.22
2012-06-01,31,13.12
2012-06-08,43,13.47
2012-06-15,32,12.44
2012-06-22,29,12.26
2012-06-29,35,12.35
2012-07-06,31,12.02
2012-07-13,30,11.71
2012-07-20,27,11.98
2012-07-27,29,11.41
2012-08-03,31,11.97
2012-08-10,36,13.08
2012-08-17,27,13.77
2012-08-24,30,13.33
2012-08-31,35,13.33
2012-09-07,34,14.04
2012-09-14,66,14.5
2012-09-21,61,13.24
2012-09-28,60,12.69
2012-10-05,38,12.95
2012-10-12,36,13.41
2012-10-19,34,13.08
2012-10-26,29,11.91
2012-11-02,33,12.99
2012-11-09,31,12.89
2012-11-16,28,13.05
2012-11-23,33,14.37
2012-11-30,35,14.81
2012-12-07,27,14.84
2012-12-14,26,15.3
2012-12-21,30,13.89
2012-12-28,47,13.92
2013-01-04,33,14.88
2013-01-11,35,14.24
2013-01-18,27,14.46
2013-01-25,35,14.77
2013-02-01,29,16.19
2013-02-08,25,17.37
2013-02-15,30,16.97
2013-02-22,29,17.81
2013-03-01,27,18.04
2013-03-08,44,18.58
2013-03-15,46,18.88
2013-03-22,41,17.97
2013-04-05,34,17.35
2013-04-12,33,17.58
2013-04-19,23,17.09
2013-04-26,18,17.88
2013-05-03,26,17.96
2013-05-10,18,22.48
2013-05-17,32,22.21
2013-05-24,31,22.77
2013-05-31,32,22.99
2013-06-07,29,23.61
2013-06-14,25,21.81
2013-06-21,29,21.98
2013-06-28,28,22.99
2013-07-05,27,23.83
2013-07-12,30,24.32
2013-07-19,24,24.27
2013-07-26,26,25.82
2013-08-02,25,26.57
2013-08-09,23,26.65
2013-08-16,25,26.89
2013-08-23,34,27.97
2013-08-30,34,26.64
2013-09-06,28,26.76
2013-09-13,25,26.67
2013-09-20,46,26.54
2013-09-27,42,25.95
2013-10-04,28,25.76
2013-10-11,32,24.72
2013-10-18,26,25.03
2013-10-25,21,24.75
2013-11-01,28,25.63
2013-11-08,29,25.7
2013-11-15,27,24.06
2013-11-22,25,23.14
2013-11-29,35,22.17
2013-12-06,34,22.24
2013-12-13,30,22.22
2013-12-20,27,23.54
2013-12-27,43,23.17
2014-01-03,40,22.68
2014-01-10,31,23.01
2014-01-17,28,24.1
2014-01-24,23,23.84
2014-01-31,25,26.4
2014-02-07,23,27.2
2014-02-14,28,27.58
2014-02-21,29,28
2014-02-28,24,28.59
2014-03-07,26,29.38
2014-03-14,19,29.6
2014-03-21,27,29.75
2014-03-28,32,28.53
2014-04-04,22,28.6
2014-04-11,24,26.67
2014-04-25,30,28.21
