"Date","Principal.Financial.Group","Price"
2011-05-06,32,31.41
2011-05-13,35,31.02
2011-05-20,27,31.58
2011-05-27,29,30.97
2011-06-03,24,29.88
2011-06-10,29,28.29
2011-06-17,23,29.1
2011-06-24,22,29.01
2011-07-01,27,30.87
2011-07-08,21,30.15
2011-07-15,31,28.41
2011-07-22,33,28.99
2011-07-29,31,27.63
2011-08-05,33,25.33
2011-08-12,39,23.48
2011-08-19,27,21.63
2011-08-26,30,23.67
2011-09-02,31,23.25
2011-09-09,26,23.02
2011-09-16,24,25.49
2011-09-23,21,22.89
2011-09-30,30,22.67
2011-10-07,35,22.67
2011-10-14,23,25.15
2011-10-21,22,25.96
2011-10-28,29,26.98
2011-11-04,31,24.99
2011-11-11,26,24.02
2011-11-18,33,23.75
2011-11-25,22,21.43
2011-12-02,37,24.3
2011-12-09,38,24.53
2011-12-16,32,23.54
2011-12-23,23,24.95
2011-12-30,26,24.6
2012-01-06,36,24.47
2012-01-13,27,26.1
2012-01-20,35,27.07
2012-01-27,33,27.54
2012-02-03,31,27.5
2012-02-10,36,26.21
2012-02-17,35,27.4
2012-02-24,32,27.85
2012-03-02,29,27.58
2012-03-09,35,27.14
2012-03-16,34,29.17
2012-03-23,34,29.12
2012-03-30,25,29.51
2012-04-13,32,27.71
2012-04-20,30,28.16
2012-04-27,29,27.69
2012-05-04,31,26.09
2012-05-11,26,25.22
2012-05-18,30,23.47
2012-05-25,28,24.44
2012-06-01,28,23.3
2012-06-08,32,24.81
2012-06-15,28,25.4
2012-06-22,31,24.85
2012-06-29,29,26.23
2012-07-06,26,26.04
2012-07-13,35,26.11
2012-07-20,32,25.58
2012-07-27,35,24.98
2012-08-03,30,26.11
2012-08-10,31,26.23
2012-08-17,31,26.55
2012-08-24,32,27.27
2012-08-31,36,27.44
2012-09-07,30,28.31
2012-09-14,38,29.16
2012-09-21,30,27.92
2012-09-28,36,26.94
2012-10-05,40,27.76
2012-10-12,36,26.92
2012-10-19,33,28.16
2012-10-26,27,27.7
2012-11-02,23,28.17
2012-11-09,25,26.6
2012-11-16,28,26.32
2012-11-23,21,27.33
2012-11-30,34,27.15
2012-12-07,27,27.66
2012-12-14,26,27.51
2012-12-21,30,28.05
2012-12-28,23,28.08
2013-01-04,41,29.33
2013-01-11,36,29.2
2013-01-18,36,29.51
2013-01-25,33,30.78
2013-02-01,34,30.52
2013-02-08,40,30.9
2013-02-15,33,31.69
2013-02-22,38,31.61
2013-03-01,33,31.55
2013-03-08,31,33.42
2013-03-15,31,34.09
2013-03-22,26,33.53
2013-04-05,27,33.47
2013-04-12,29,35.45
2013-04-19,30,34.34
2013-04-26,25,35.74
2013-05-03,32,36.72
2013-05-10,23,37.05
2013-05-17,31,38.14
2013-05-24,29,37.22
2013-05-31,28,37.85
2013-06-07,29,38.58
2013-06-14,37,38.04
2013-06-21,33,36.8
2013-06-28,41,37.45
2013-07-05,28,37.91
2013-07-12,37,38.9
2013-07-19,32,39.68
2013-07-26,30,42.99
2013-08-02,26,44.37
2013-08-09,21,42.89
2013-08-16,20,42.48
2013-08-23,22,42.31
2013-08-30,24,40.92
2013-09-06,24,42.04
2013-09-13,31,43.09
2013-09-20,36,43.24
2013-09-27,36,43.19
2013-10-04,34,43.41
2013-10-11,36,43.94
2013-10-18,27,46.36
2013-10-25,33,46.85
2013-11-01,36,47.48
2013-11-08,33,48.44
2013-11-15,34,49.19
2013-11-22,37,50.16
2013-11-29,25,50.63
2013-12-06,32,49.46
2013-12-13,35,48.08
2013-12-20,36,48.75
2013-12-27,22,49.38
2014-01-03,38,48.96
2014-01-10,40,49.56
2014-01-17,35,47.44
2014-01-24,29,43.97
2014-01-31,30,43.57
2014-02-07,28,43.49
2014-02-14,22,44.54
2014-02-21,20,44.48
2014-02-28,19,45.35
2014-03-07,21,47.28
2014-03-14,25,45.37
2014-03-21,26,46.42
2014-03-28,26,45.81
2014-04-04,30,46.67
2014-04-11,27,43.28
2014-04-25,21,46.29
