"Date","TAP","Price"
2007-10-19,22,53.75
2007-10-26,22,57.14
2007-11-02,22,55.71
2007-11-09,22,52.87
2007-11-16,21,52.37
2007-11-23,22,51.79
2007-11-30,23,53.84
2007-12-07,22,55.48
2007-12-14,21,52.05
2007-12-21,20,52.6
2007-12-28,21,52.12
2008-01-04,22,50.69
2008-01-11,24,49.7
2008-01-18,23,46.2
2008-01-25,22,43.96
2008-02-01,22,45.83
2008-02-08,21,45.12
2008-02-15,22,50.99
2008-02-22,23,52.91
2008-02-29,23,53.96
2008-03-07,23,50.57
2008-03-14,23,52.26
2008-03-28,23,53.24
2008-04-04,24,54.48
2008-04-11,24,54.13
2008-04-18,23,55.72
2008-04-25,24,54.66
2008-05-02,24,53.5
2008-05-09,24,56
2008-05-16,25,58.03
2008-05-23,24,58.32
2008-05-30,22,58
2008-06-06,24,58.07
2008-06-13,23,57.72
2008-06-20,23,55.14
2008-06-27,24,54.12
2008-07-11,24,54.25
2008-07-18,25,57.29
2008-07-25,26,56.08
2008-08-01,25,54.41
2008-08-08,25,49.91
2008-08-15,24,49.62
2008-08-22,24,48.3
2008-08-29,24,47.65
2008-09-05,24,48.3
2008-09-12,27,49.02
2008-09-19,27,47.76
2008-09-26,26,46.41
2008-10-03,26,46.38
2008-10-10,26,37.6
2008-10-17,26,38.51
2008-10-24,25,38.14
2008-10-31,25,37.36
2008-11-07,25,42.43
2008-11-14,26,42.55
2008-11-21,25,43.31
2008-11-28,25,44.47
2008-12-05,26,41.05
2008-12-12,28,45.58
2008-12-19,27,46.2
2008-12-26,27,47.04
2009-01-02,26,49.52
2009-01-09,27,43.83
2009-01-16,26,42.19
2009-01-23,25,42.49
2009-01-30,25,40.27
2009-02-06,27,41.17
2009-02-13,28,38.84
2009-02-20,29,36.1
2009-02-27,30,35.23
2009-03-06,33,34.1
2009-03-13,34,31.68
2009-03-20,34,33.08
2009-03-27,35,35.37
2009-04-03,34,36.23
2009-04-17,34,38.38
2009-04-24,33,37.07
2009-05-01,33,39.04
2009-05-08,35,42
2009-05-15,35,41.96
2009-05-22,35,43.56
2009-05-29,36,43.99
2009-06-05,35,45.75
2009-06-12,35,44.93
2009-06-19,36,43.03
2009-06-26,35,42.64
2009-07-10,36,41.86
2009-07-17,37,43.86
2009-07-24,35,44.9
2009-07-31,37,45.21
2009-08-07,38,45.43
2009-08-14,36,45.62
2009-08-21,36,46.3
2009-08-28,35,46.67
2009-09-04,35,48.23
2009-09-11,36,49.28
2009-09-18,37,47.8
2009-09-25,37,47.89
2009-10-02,35,47.72
2009-10-09,37,49.74
2009-10-16,36,49.95
2009-10-23,34,50.24
2009-10-30,36,48.97
2009-11-06,37,43.85
2009-11-13,39,45.68
2009-11-20,38,45.57
2009-11-27,39,45.01
2009-12-04,40,45.72
2009-12-11,41,45.06
2009-12-18,42,43.43
2010-01-08,44,44.5
2010-01-15,42,45.18
2010-01-22,41,43.02
2010-01-29,40,42
2010-02-05,38,41.22
2010-02-12,35,38.9
2010-02-19,34,41.11
2010-02-26,40,40.38
2010-03-05,42,42.81
2010-03-12,43,43.15
2010-03-19,46,43.36
2010-03-26,45,42.61
2010-04-09,46,43.58
2010-04-16,46,43.98
2010-04-23,49,44.14
2010-04-30,45,44.36
2010-05-07,47,41.96
2010-05-14,49,42.7
2010-05-21,49,41.89
2010-05-28,46,41.04
2010-06-04,47,41.64
2010-06-11,48,43.68
2010-06-18,46,44.55
2010-06-25,48,43.4
2010-07-02,49,42.18
2010-07-09,48,44.16
2010-07-16,51,43.97
2010-07-23,52,46.24
2010-07-30,50,45.01
2010-08-06,53,45.68
2010-08-13,50,45.62
2010-08-20,52,45.92
2010-08-27,51,43.81
2010-09-03,49,44.59
2010-09-10,51,44.08
2010-09-17,50,45.5
2010-09-24,50,46.89
2010-10-01,52,47.78
2010-10-08,49,49.16
2010-10-15,50,48.71
2010-10-22,49,48.53
2010-10-29,51,47.23
2010-11-05,50,50.25
2010-11-12,53,49.02
2010-11-19,53,49.11
2010-11-26,51,48.68
2010-12-03,55,49.36
2010-12-10,53,49.3
2010-12-17,53,50.8
2010-12-31,57,50.19
2011-01-07,54,47.47
2011-01-14,55,47.7
2011-01-21,54,48.78
2011-01-28,50,46.51
2011-02-04,43,47.47
2011-02-11,53,45.05
2011-02-18,58,45.6
2011-02-25,59,45
2011-03-04,57,44.24
2011-03-11,55,44.1
2011-03-18,54,43.25
2011-03-25,58,45.12
2011-04-01,59,47.24
2011-04-08,62,46.78
2011-04-15,64,47.86
2011-04-29,67,48.75
2011-05-06,66,45.02
2011-05-13,68,46.02
2011-05-20,70,46.5
2011-05-27,70,46.63
2011-06-03,73,44.19
2011-06-10,72,44.22
2011-06-17,71,44.64
2011-06-24,72,44.29
2011-07-01,72,45.32
2011-07-08,68,44.55
2011-07-15,69,44.82
2011-07-22,71,46.54
2011-07-29,71,45.05
2011-08-05,72,42.53
2011-08-12,67,43.25
2011-08-19,67,42.87
2011-08-26,64,42.67
2011-09-02,63,42.66
2011-09-09,63,41.8
2011-09-16,64,42.81
2011-09-23,66,39.13
2011-09-30,67,39.61
2011-10-07,65,41.01
2011-10-14,65,41.78
2011-10-21,67,41.7
2011-10-28,68,42.96
2011-11-04,68,38.87
2011-11-11,69,41.02
2011-11-18,66,39.57
2011-11-25,67,38
2011-12-02,66,40.51
2011-12-09,72,41.4
2011-12-16,65,42.64
2011-12-23,68,44
2011-12-30,70,43.54
2012-01-06,67,43.57
2012-01-13,63,43.94
2012-01-20,57,44
2012-01-27,54,42.88
2012-02-03,66,43.93
2012-02-10,72,43.17
2012-02-17,75,45.43
2012-02-24,75,43.92
2012-03-02,78,43.6
2012-03-09,73,42.76
2012-03-16,70,43.11
2012-03-23,75,43.96
2012-03-30,69,45.25
2012-04-13,71,40.94
2012-04-20,68,41.3
2012-04-27,69,41.49
2012-05-04,68,42
2012-05-11,72,41.32
2012-05-18,71,39.84
2012-05-25,72,39.78
2012-06-01,73,38.33
2012-06-08,74,38.98
2012-06-15,73,39.43
2012-06-22,76,38.96
2012-06-29,79,41.61
2012-07-06,80,41
2012-07-13,78,40.86
2012-07-20,77,41.34
2012-07-27,79,42.28
2012-08-03,79,42.08
2012-08-10,77,44.17
2012-08-17,76,44.33
2012-08-24,75,44.27
2012-08-31,71,44.54
2012-09-07,76,45.54
2012-09-14,76,45.87
2012-09-21,74,45.6
2012-09-28,72,45.05
2012-10-05,75,44.64
2012-10-12,74,44.2
2012-10-19,72,44.03
2012-10-26,73,43.46
2012-11-02,70,43.31
2012-11-09,68,41.18
2012-11-16,70,39.83
2012-11-23,70,40.51
2012-11-30,69,41.46
2012-12-07,66,43.01
2012-12-14,67,43.04
2012-12-21,68,43.36
2012-12-28,72,42.71
2013-01-04,72,42.75
2013-01-11,69,42.69
2013-01-18,69,44.84
2013-01-25,70,45.12
2013-02-01,67,45.37
2013-02-08,63,44.41
2013-02-15,61,43.53
2013-02-22,72,46.48
2013-03-01,77,45.24
2013-03-08,77,47.37
2013-03-15,78,48.46
2013-03-22,77,48.96
2013-04-05,76,50.16
2013-04-12,77,51.91
2013-04-19,77,52.65
2013-04-26,76,51.01
2013-05-03,78,51.31
2013-05-10,81,50.08
2013-05-17,79,53.32
2013-05-24,81,51.56
2013-05-31,82,49.41
2013-06-07,88,50.66
2013-06-14,89,49.59
2013-06-21,91,47.79
2013-06-28,90,47.86
2013-07-05,91,47.65
2013-07-12,93,51.3
2013-07-19,92,51.39
2013-07-26,93,49.79
2013-08-02,93,50.79
2013-08-09,95,53.2
2013-08-16,92,50.78
2013-08-23,84,50.46
2013-08-30,83,48.79
2013-09-06,87,49.24
2013-09-13,81,49.54
2013-09-20,81,50.53
2013-09-27,85,50.4
2013-10-04,81,50.47
2013-10-11,83,51.76
2013-10-18,84,52.62
2013-10-25,85,53.89
2013-11-01,85,53.99
2013-11-08,85,53.79
2013-11-15,87,54.12
2013-11-22,90,53.65
2013-11-29,88,52.67
2013-12-06,85,54.96
2013-12-13,85,53.19
2013-12-20,79,54.94
2013-12-27,81,55.76
2014-01-03,83,55.01
2014-01-10,80,56.08
2014-01-17,77,55.58
2014-01-24,72,53.82
2014-01-31,69,52.64
2014-02-07,77,52.41
2014-02-14,84,55.02
2014-02-21,85,56.6
2014-02-28,90,56.83
2014-03-07,91,58.24
2014-03-14,89,57.61
2014-03-21,90,58.5
2014-03-28,92,58.08
2014-04-04,92,59.79
2014-04-11,94,57.08
2014-04-25,97,58.56
