"Date","LO","Price"
2011-06-17,91,111.34
2011-06-24,92,110.49
2011-07-01,92,110.38
2011-07-08,86,110.94
2011-07-15,85,109.96
2011-07-22,84,112.29
2011-07-29,83,106.22
2011-08-05,84,105.25
2011-08-12,88,101.62
2011-08-19,86,108.62
2011-08-26,87,110.11
2011-09-02,94,110.07
2011-09-09,90,107.54
2011-09-16,91,111.8
2011-09-23,90,106
2011-09-30,91,110.7
2011-10-07,88,115.95
2011-10-14,87,117.53
2011-10-21,89,115.64
2011-10-28,88,114.61
2011-11-04,84,109.39
2011-11-11,87,109.49
2011-11-18,85,109.49
2011-11-25,86,108.63
2011-12-02,86,110.02
2011-12-09,82,109.3
2011-12-16,80,108.03
2011-12-23,80,113.67
2011-12-30,80,114
2012-01-06,76,114.06
2012-01-13,81,113.1
2012-01-20,80,109.69
2012-01-27,79,107.48
2012-02-03,80,111.57
2012-02-10,86,122.58
2012-02-17,86,127.05
2012-02-24,83,130.01
2012-03-02,91,128.83
2012-03-09,83,128.91
2012-03-16,84,130.54
2012-03-23,83,131.2
2012-03-30,83,129.48
2012-04-13,83,137.88
2012-04-20,83,137.95
2012-04-27,84,135.69
2012-05-04,81,132.65
2012-05-11,86,128.78
2012-05-18,81,125.1
2012-05-25,87,124.84
2012-06-01,83,119.98
2012-06-08,83,123.16
2012-06-15,80,127.17
2012-06-22,82,129.4
2012-06-29,82,131.95
2012-07-06,81,136.05
2012-07-13,78,138.66
2012-07-20,78,137.67
2012-07-27,80,127.45
2012-08-03,79,126.51
2012-08-10,78,123.8
2012-08-17,80,131.6
2012-08-24,84,128.38
2012-08-31,84,125.51
2012-09-07,88,123.64
2012-09-14,86,115.22
2012-09-21,85,122.44
2012-09-28,87,116.45
2012-10-05,85,118.34
2012-10-12,88,113.74
2012-10-19,90,117.28
2012-10-26,91,114.57
2012-11-02,84,115.35
2012-11-09,87,112.59
2012-11-16,83,115.28
2012-11-23,85,123.27
2012-11-30,82,121.16
2012-12-07,82,121.48
2012-12-14,85,119.42
2012-12-21,85,116.89
2012-12-28,82,115.35
2013-01-04,80,117.87
2013-01-11,80,117.02
2013-01-18,84,39.51
2013-01-25,83,39.66
2013-02-01,82,39.52
2013-02-08,79,40.23
2013-02-15,78,41.46
2013-02-22,85,41.15
2013-03-01,83,38.2
2013-03-08,80,38.62
2013-03-15,82,39.39
2013-03-22,81,40.09
2013-04-05,80,40.57
2013-04-12,84,41.56
2013-04-19,82,41.23
2013-04-26,84,42.83
2013-05-03,82,42.73
2013-05-10,84,43.08
2013-05-17,83,44.27
2013-05-24,84,43.88
2013-05-31,85,42.44
2013-06-07,80,43.61
2013-06-14,81,43.89
2013-06-21,80,43.74
2013-06-28,80,43.68
2013-07-05,81,44.27
2013-07-12,81,46.17
2013-07-19,83,46.5
2013-07-26,79,43.94
2013-08-02,78,43.3
2013-08-09,79,43.45
2013-08-16,78,42.16
2013-08-23,79,43.39
2013-08-30,84,42.3
2013-09-06,84,44.03
2013-09-13,84,44.02
2013-09-20,81,45.11
2013-09-27,86,45.23
2013-10-04,83,44.93
2013-10-11,84,46.11
2013-10-18,83,47.73
2013-10-25,86,49.59
2013-11-01,83,51.39
2013-11-08,84,51.46
2013-11-15,86,52.65
2013-11-22,81,52.56
2013-11-29,84,51.33
2013-12-06,79,50.8
2013-12-13,82,50.14
2013-12-20,82,49.9
2013-12-27,77,50.53
2014-01-03,80,49.8
2014-01-10,84,49.26
2014-01-17,86,49.22
2014-01-24,87,49.53
2014-01-31,88,49.22
2014-02-07,85,49.52
2014-02-14,88,48
2014-02-21,91,48.05
2014-02-28,88,49.06
2014-03-07,85,52.99
2014-03-14,87,51.86
2014-03-21,85,52.15
2014-03-28,88,53.35
2014-04-04,85,53.41
2014-04-11,88,52.24
2014-04-25,92,54.12
