"Date","Philip.Morris.International","Price"
2011-04-29,16,69.44
2011-05-06,13,68.6
2011-05-13,21,68.31
2011-05-20,17,70.19
2011-05-27,13,70.52
2011-06-03,13,68.99
2011-06-10,20,67.35
2011-06-17,18,68.48
2011-06-24,19,65.1
2011-07-01,17,66.75
2011-07-08,20,69.41
2011-07-15,15,66.93
2011-07-22,20,72.11
2011-07-29,18,71.17
2011-08-05,21,69.34
2011-08-12,26,66.63
2011-08-19,18,68.83
2011-08-26,13,69.2
2011-09-02,20,68.24
2011-09-09,15,65.9
2011-09-16,20,69.08
2011-09-23,27,63.81
2011-09-30,19,62.38
2011-10-07,23,65.13
2011-10-14,19,67.4
2011-10-21,22,70
2011-10-28,18,72.12
2011-11-04,18,70.21
2011-11-11,17,71.64
2011-11-18,16,73.09
2011-11-25,17,71.31
2011-12-02,18,75.47
2011-12-09,21,75.58
2011-12-16,20,75.6
2011-12-23,18,78.75
2011-12-30,11,78.48
2012-01-06,20,77.08
2012-01-13,21,77.32
2012-01-20,15,74.52
2012-01-27,18,75.46
2012-02-03,17,76.62
2012-02-10,21,80.44
2012-02-17,21,81.74
2012-02-24,22,83.02
2012-03-02,26,84.55
2012-03-09,19,84.61
2012-03-16,19,85.81
2012-03-23,15,86.83
2012-03-30,23,88.61
2012-04-13,28,87.84
2012-04-20,20,87.81
2012-04-27,18,89.81
2012-05-04,19,89.13
2012-05-11,24,86.15
2012-05-18,18,84.3
2012-05-25,14,85.38
2012-06-01,18,82.79
2012-06-08,17,83.97
2012-06-15,20,87.73
2012-06-22,18,86.01
2012-06-29,22,87.26
2012-07-06,15,89.45
2012-07-13,15,90.21
2012-07-20,13,88.89
2012-07-27,19,90.3
2012-08-03,15,91.93
2012-08-10,20,92.21
2012-08-17,24,93.38
2012-08-24,19,89.76
2012-08-31,15,89.3
2012-09-07,15,88.83
2012-09-14,25,89.48
2012-09-21,19,92.14
2012-09-28,20,89.94
2012-10-05,23,93.74
2012-10-12,14,91.7
2012-10-19,18,88.12
2012-10-26,23,88.28
2012-11-02,16,86.93
2012-11-09,16,85.42
2012-11-16,19,84.93
2012-11-23,18,90.41
2012-11-30,17,89.88
2012-12-07,21,89.47
2012-12-14,11,87.75
2012-12-21,21,84.95
2012-12-28,12,82.65
2013-01-04,9,86.52
2013-01-11,13,89.23
2013-01-18,18,89.98
2013-01-25,19,89.42
2013-02-01,14,88.13
2013-02-08,17,90.45
2013-02-15,17,89.99
2013-02-22,17,93.42
2013-03-01,15,91.44
2013-03-08,14,91.11
2013-03-15,16,91.37
2013-03-22,17,91.62
2013-04-05,16,92.72
2013-04-12,15,96.44
2013-04-19,16,91.95
2013-04-26,21,95.31
2013-05-03,12,94.26
2013-05-10,18,93.32
2013-05-17,17,95.68
2013-05-24,14,94.12
2013-05-31,17,90.91
2013-06-07,20,92.09
2013-06-14,13,92.12
2013-06-21,15,87.46
2013-06-28,18,86.62
2013-07-05,14,87.51
2013-07-12,20,89.7
2013-07-19,17,88.61
2013-07-26,18,88.88
2013-08-02,16,89.59
2013-08-09,16,88.7
2013-08-16,12,85.75
2013-08-23,18,85.37
2013-08-30,19,83.44
2013-09-06,14,84.19
2013-09-13,17,87.78
2013-09-20,14,90.47
2013-09-27,16,87.33
2013-10-04,17,87.04
2013-10-11,16,85.03
2013-10-18,17,86.93
2013-10-25,16,88.6
2013-11-01,18,89.76
2013-11-08,15,89.41
2013-11-15,17,91.36
2013-11-22,19,86.95
2013-11-29,16,85.54
2013-12-06,13,85.83
2013-12-13,13,85.24
2013-12-20,15,85.52
2013-12-27,10,86.74
2014-01-03,16,85.53
2014-01-10,23,82.57
2014-01-17,24,83.33
2014-01-24,26,81.5
2014-01-31,27,78.14
2014-02-07,26,80.25
2014-02-14,21,80.39
2014-02-21,22,78.97
2014-02-28,23,80.91
2014-03-07,20,80.34
2014-03-14,20,79.89
2014-03-21,17,81
2014-03-28,17,81.02
2014-04-04,21,82.81
2014-04-11,18,83.14
2014-04-25,15,84.11
