"Date","AZO","Price"
2011-09-16,35,331.25
2011-09-23,38,321.7
2011-09-30,43,319.19
2011-10-07,39,324.02
2011-10-14,35,328.12
2011-10-21,37,327.5
2011-10-28,37,327.82
2011-11-04,38,325
2011-11-11,39,337.66
2011-11-18,46,329.4
2011-11-25,36,322.96
2011-12-02,45,330.22
2011-12-09,44,329.82
2011-12-16,33,326
2011-12-23,36,330.3
2011-12-30,37,324.97
2012-01-06,37,338.04
2012-01-13,40,344.44
2012-01-20,40,347
2012-01-27,42,347.58
2012-02-03,39,353.18
2012-02-10,44,354.1
2012-02-17,42,360.21
2012-02-24,43,359.8
2012-03-02,43,378.45
2012-03-09,43,382.23
2012-03-16,41,378.87
2012-03-23,41,378.66
2012-03-30,42,371.8
2012-04-13,44,380.97
2012-04-20,60,381.73
2012-04-27,63,397.13
2012-05-04,48,389.43
2012-05-11,53,387.5
2012-05-18,69,372.45
2012-05-25,55,374.37
2012-06-01,47,373.68
2012-06-08,61,385.76
2012-06-15,60,385.3
2012-06-22,59,382.76
2012-06-29,66,367.17
2012-07-06,66,364.52
2012-07-13,78,380.94
2012-07-20,72,377.98
2012-07-27,75,374.79
2012-08-03,70,366.3
2012-08-10,94,359.29
2012-08-17,93,363.65
2012-08-24,91,365.08
2012-08-31,97,361.64
2012-09-07,100,369.72
2012-09-14,90,351.99
2012-09-21,86,371.8
2012-09-28,78,369.67
2012-10-05,72,381.29
2012-10-12,66,373.05
2012-10-19,71,369
2012-10-26,72,370.75
2012-11-02,66,382.91
2012-11-09,63,376.89
2012-11-16,64,380.5
2012-11-23,68,383.12
2012-11-30,68,383.77
2012-12-07,67,359.16
2012-12-14,62,357.68
2012-12-21,63,358.28
2012-12-28,69,348.57
2013-01-04,68,360.85
2013-01-11,66,346.23
2013-01-18,67,349.6
2013-01-25,67,365.36
2013-02-01,72,374.88
2013-02-08,74,385.89
2013-02-15,71,373.7
2013-02-22,61,385.2
2013-03-01,62,378.14
2013-03-08,60,385.25
2013-03-15,59,391.89
2013-03-22,64,395.72
2013-04-05,61,397.2
2013-04-12,61,393.57
2013-04-19,69,378.43
2013-04-26,71,406.73
2013-05-03,69,411.11
2013-05-10,70,420.95
2013-05-17,71,411.29
2013-05-24,76,415.81
2013-05-31,64,408.83
2013-06-07,66,416.68
2013-06-14,65,423.34
2013-06-21,65,411.98
2013-06-28,65,423.69
2013-07-05,63,428.52
2013-07-12,69,439.3
2013-07-19,66,435.97
2013-07-26,71,439.66
2013-08-02,70,448.04
2013-08-09,71,429.59
2013-08-16,68,416.52
2013-08-23,68,422.35
2013-08-30,70,419.94
2013-09-06,66,417.53
2013-09-13,57,415.7
2013-09-20,57,420
2013-09-27,63,422.57
2013-10-04,62,421.89
2013-10-11,64,424.61
2013-10-18,67,432.11
2013-10-25,60,429.47
2013-11-01,59,434.83
2013-11-08,65,448.55
2013-11-15,60,464.08
2013-11-22,63,467.69
2013-11-29,59,461.6
2013-12-06,59,459.6
2013-12-13,60,465.18
2013-12-20,53,473.19
2013-12-27,50,476.83
2014-01-03,57,475.5
2014-01-10,53,490
2014-01-17,48,505.86
2014-01-24,46,499.25
2014-01-31,51,495.06
2014-02-07,52,534.4
2014-02-14,46,539.08
2014-02-21,49,538.96
2014-02-28,56,538.44
2014-03-07,56,541.99
2014-03-14,54,533.25
2014-03-21,55,536.86
2014-03-28,60,527.44
2014-04-04,58,526.12
2014-04-11,56,511.28
2014-04-25,61,522.32
