"Date","buy.USB","Price"
2009-06-19,63,17.95
2009-06-26,61,18.02
2009-07-10,67,16.59
2009-07-17,62,17.96
2009-07-24,65,19.77
2009-07-31,59,20.41
2009-08-07,67,23.25
2009-08-14,68,22.49
2009-08-21,73,22.28
2009-08-28,66,22.43
2009-09-04,63,21.45
2009-09-11,64,21.86
2009-09-18,60,22.76
2009-09-25,63,22.06
2009-10-02,65,21.23
2009-10-09,63,22.93
2009-10-16,63,23.41
2009-10-23,71,24.95
2009-10-30,56,23.22
2009-11-06,59,23.73
2009-11-13,64,23.48
2009-11-20,71,23.29
2009-11-27,80,22.95
2009-12-04,81,23.5
2009-12-11,76,23.05
2009-12-18,90,22.3
2010-01-08,76,24.21
2010-01-15,70,24.62
2010-01-22,77,24.67
2010-01-29,63,25.08
2010-02-05,73,23.97
2010-02-12,66,23.26
2010-02-19,68,24.14
2010-02-26,70,24.61
2010-03-05,66,25.2
2010-03-12,58,25.67
2010-03-19,61,26.14
2010-03-26,58,26.05
2010-04-09,58,27.16
2010-04-16,63,27.45
2010-04-23,59,27.3
2010-04-30,59,26.77
2010-05-07,58,25.15
2010-05-14,56,25.51
2010-05-21,62,23.98
2010-05-28,61,23.96
2010-06-04,60,22.85
2010-06-11,65,23.31
2010-06-18,66,23.57
2010-06-25,58,23.36
2010-07-02,64,21.88
2010-07-09,59,23.91
2010-07-16,55,23.04
2010-07-23,62,23.7
2010-07-30,64,23.9
2010-08-06,64,23.22
2010-08-13,65,22.22
2010-08-20,72,21.74
2010-08-27,71,21.66
2010-09-03,72,22.67
2010-09-10,73,22.63
2010-09-17,66,22.81
2010-09-24,67,22.41
2010-10-01,59,21.71
2010-10-08,66,22.31
2010-10-15,58,22.54
2010-10-22,62,23.59
2010-10-29,60,24.2
2010-11-05,61,26.1
2010-11-12,71,24.62
2010-11-19,68,24.87
2010-11-26,73,23.97
2010-12-03,76,24.76
2010-12-10,75,26.45
2010-12-17,81,26.2
2010-12-31,94,26.97
2011-01-07,79,26.09
2011-01-14,67,27.37
2011-01-21,70,26.96
2011-01-28,65,26.8
2011-02-04,63,27.42
2011-02-11,65,28.37
2011-02-18,59,28.56
2011-02-25,54,27.52
2011-03-04,59,27.04
2011-03-11,57,27.16
2011-03-18,57,26.65
2011-03-25,57,26.92
2011-04-01,57,26.68
2011-04-08,51,26.18
2011-04-15,53,25.93
2011-04-29,53,25.82
2011-05-06,51,25.19
2011-05-13,53,25.02
2011-05-20,58,25.2
2011-05-27,58,25.42
2011-06-03,55,24.55
2011-06-10,53,24.33
2011-06-17,59,24.49
2011-06-24,50,23.92
2011-07-01,52,26.06
2011-07-08,56,25.35
2011-07-15,61,24.74
2011-07-22,62,26.91
2011-07-29,60,26.06
2011-08-05,62,23.72
2011-08-12,63,21.91
2011-08-19,59,20.56
2011-08-26,60,22.42
2011-09-02,63,21.61
2011-09-09,59,22
2011-09-16,53,24.11
2011-09-23,59,23.21
2011-09-30,54,23.54
2011-10-07,55,23.33
2011-10-14,52,24.7
2011-10-21,51,25.39
2011-10-28,55,26.03
2011-11-04,56,25.53
2011-11-11,53,25.94
2011-11-18,56,25.38
2011-11-25,64,24.03
2011-12-02,65,25.72
2011-12-09,66,26.29
2011-12-16,73,26
2011-12-23,72,27.49
2011-12-30,84,27.05
2012-01-06,61,27.75
2012-01-13,58,29.03
2012-01-20,54,28.74
2012-01-27,56,27.86
2012-02-03,57,29.2
2012-02-10,57,29.01
2012-02-17,59,29.35
2012-02-24,58,28.73
2012-03-02,56,29.27
2012-03-09,54,29.72
2012-03-16,50,31.65
2012-03-23,51,31.7
2012-03-30,50,31.68
2012-04-13,50,30.9
2012-04-20,49,31.29
2012-04-27,51,32.43
2012-05-04,55,31.67
2012-05-11,57,32.21
2012-05-18,49,30.27
2012-05-25,49,30.93
2012-06-01,54,29.6
2012-06-08,54,30.1
2012-06-15,57,31.58
2012-06-22,57,31.72
2012-06-29,56,32.16
2012-07-06,52,32.01
2012-07-13,57,32.7
2012-07-20,59,33.6
2012-07-27,61,33.92
2012-08-03,64,33.49
2012-08-10,67,33.16
2012-08-17,59,33.11
2012-08-24,62,33.03
2012-08-31,59,33.41
2012-09-07,66,33.98
2012-09-14,60,34.93
2012-09-21,61,33.85
2012-09-28,62,34.3
2012-10-05,59,34.92
2012-10-12,58,33.72
2012-10-19,55,34.23
2012-10-26,55,33.15
2012-11-02,54,33.43
2012-11-09,53,32.1
2012-11-16,60,31.55
2012-11-23,70,32.58
2012-11-30,66,32.26
2012-12-07,60,32.02
2012-12-14,67,31.4
2012-12-21,64,32.48
2012-12-28,78,31.68
2013-01-04,67,33.22
2013-01-11,61,33.5
2013-01-18,59,32.87
2013-01-25,62,33.17
2013-02-01,59,33.4
2013-02-08,56,33.65
2013-02-15,53,33.91
2013-02-22,52,33.88
2013-03-01,50,34.01
2013-03-08,55,34.23
2013-03-15,54,34.22
2013-03-22,55,33.57
2013-04-05,51,33.36
2013-04-12,47,34.08
2013-04-19,53,32.51
2013-04-26,48,33.13
2013-05-03,45,32.77
2013-05-10,47,33.49
2013-05-17,46,34.67
2013-05-24,47,35.41
2013-05-31,44,35.06
2013-06-07,48,35.87
2013-06-14,54,35.01
2013-06-21,48,35.57
2013-06-28,52,36.15
2013-07-05,52,36.76
2013-07-12,54,37.66
2013-07-19,56,37.26
2013-07-26,59,37.54
2013-08-02,55,37.77
2013-08-09,60,37.17
2013-08-16,58,36.92
2013-08-23,56,37.32
2013-08-30,56,36.13
2013-09-06,57,36.47
2013-09-13,56,37.14
2013-09-20,61,37.85
2013-09-27,56,36.5
2013-10-04,51,36.62
2013-10-11,51,37.05
2013-10-18,51,37.92
2013-10-25,53,37.83
2013-11-01,53,37.37
2013-11-08,51,38.08
2013-11-15,54,38.31
2013-11-22,53,38.95
2013-11-29,69,39.22
2013-12-06,61,39.66
2013-12-13,56,39.06
2013-12-20,62,40.05
2013-12-27,69,40.37
2014-01-03,63,40.06
2014-01-10,58,41.02
2014-01-17,56,41.45
2014-01-24,52,40.14
2014-01-31,51,39.73
2014-02-07,52,40
2014-02-14,49,40.79
2014-02-21,49,40.34
2014-02-28,49,41.14
2014-03-07,54,42.17
2014-03-14,49,41.54
2014-03-21,46,43.02
2014-03-28,46,42.3
2014-04-04,49,42.55
2014-04-11,46,40.51
2014-04-25,42,40.22
