"Date","PSA","Price"
2005-09-09,54,70.37
2005-09-16,53,67.8
2005-09-23,46,65.17
2005-09-30,50,67
2005-10-07,54,64.01
2005-10-14,53,63.2
2005-10-21,54,63.67
2005-10-28,56,65.48
2005-11-04,47,65.87
2005-11-11,55,69.17
2005-11-18,52,70.1
2005-11-25,48,71.18
2005-12-02,49,71.54
2005-12-09,48,70.32
2005-12-16,46,69.6
2005-12-23,49,70.3
2005-12-30,41,67.72
2006-01-06,51,71.94
2006-01-13,56,71.65
2006-01-20,53,70.29
2006-01-27,52,72.65
2006-02-03,58,71.1
2006-02-10,54,74.21
2006-02-17,53,76.75
2006-02-24,55,77.41
2006-03-03,54,78.36
2006-03-10,52,82.98
2006-03-17,54,82.45
2006-03-24,51,80.94
2006-03-31,46,81.23
2006-04-07,51,75.8
2006-04-21,48,77.64
2006-04-28,50,76.88
2006-05-05,48,77.33
2006-05-12,48,73.85
2006-05-19,54,72.63
2006-05-26,49,73.66
2006-06-02,46,74.45
2006-06-09,48,73.45
2006-06-16,45,73.46
2006-06-23,51,72.2
2006-06-30,47,75.9
2006-07-07,44,78.22
2006-07-14,47,77.45
2006-07-21,48,75.6
2006-07-28,49,79.89
2006-08-04,48,85.73
2006-08-11,45,82.21
2006-08-18,44,86.1
2006-08-25,48,85.17
2006-09-01,49,86.68
2006-09-08,46,86.74
2006-09-15,51,88.88
2006-09-22,52,86.8
2006-09-29,56,85.99
2006-10-06,49,88.23
2006-10-13,50,88.9
2006-10-20,52,88.25
2006-10-27,51,88.36
2006-11-03,51,86.31
2006-11-10,51,86.99
2006-11-17,48,89.15
2006-11-24,50,96.18
2006-12-01,49,95.42
2006-12-08,48,95.18
2006-12-15,47,96.16
2006-12-22,45,94.13
2006-12-29,40,97.5
2007-01-05,47,97.05
2007-01-12,50,102.98
2007-01-19,48,104.12
2007-01-26,48,105.77
2007-02-02,54,109.62
2007-02-09,55,112.4
2007-02-16,49,111.95
2007-02-23,49,106.37
2007-03-02,51,97.68
2007-03-09,53,99.18
2007-03-16,51,95.79
2007-03-23,50,97.48
2007-03-30,50,94.67
2007-04-13,51,93.97
2007-04-20,52,95.71
2007-04-27,50,95.31
2007-05-04,48,89.89
2007-05-11,51,87.98
2007-05-18,48,83.18
2007-05-25,48,82.57
2007-06-01,48,89.25
2007-06-08,49,84.25
2007-06-15,47,83.05
2007-06-22,48,79.05
2007-06-29,47,76.82
2007-07-06,47,80.48
2007-07-13,47,78.75
2007-07-20,50,76.14
2007-07-27,49,69.7
2007-08-03,47,71.92
2007-08-10,47,71.58
2007-08-17,47,75.17
2007-08-24,49,75.37
2007-08-31,48,75.78
2007-09-07,47,74.23
2007-09-14,48,76.59
2007-09-21,47,77.67
2007-09-28,50,78.65
2007-10-05,47,85.45
2007-10-12,48,82.65
2007-10-19,49,75.67
2007-10-26,48,78.48
2007-11-02,48,75.77
2007-11-09,51,75.08
2007-11-16,52,75.19
2007-11-23,48,76.25
2007-11-30,49,77.34
2007-12-07,46,79.22
2007-12-14,49,73.01
2007-12-21,43,76.98
2007-12-28,39,73.16
2008-01-04,43,69.91
2008-01-11,52,71.86
2008-01-18,49,72.02
2008-01-25,48,76.92
2008-02-01,51,81.07
2008-02-08,50,73.74
2008-02-15,50,74.01
2008-02-22,52,76.96
2008-02-29,51,81.36
2008-03-07,51,78.92
2008-03-14,50,85.03
2008-03-28,47,88.2
2008-04-04,50,90.76
2008-04-11,51,89.79
2008-04-18,50,94.46
2008-04-25,49,96.79
2008-05-02,46,92.1
2008-05-09,48,86.26
2008-05-16,49,89.52
2008-05-23,48,85.59
2008-05-30,47,88.13
2008-06-06,47,85.73
2008-06-13,45,85.85
2008-06-20,50,82.14
2008-06-27,46,79.59
2008-07-11,46,78.39
2008-07-18,48,84.39
2008-07-25,50,81.97
2008-08-01,47,81.32
2008-08-08,46,87
2008-08-15,45,88.44
2008-08-22,46,88.19
2008-08-29,46,88.32
2008-09-05,44,88.52
2008-09-12,45,89.51
2008-09-19,47,100.77
2008-09-26,51,97.67
2008-10-03,50,88.02
2008-10-10,49,84.8
2008-10-17,51,77.07
2008-10-24,50,70.13
2008-10-31,50,81.5
2008-11-07,48,76
2008-11-14,51,64.46
2008-11-21,51,60
2008-11-28,46,69.89
2008-12-05,49,69.51
2008-12-12,50,68.78
2008-12-19,46,75.31
2008-12-26,38,74.75
2009-01-02,41,75.58
2009-01-09,52,65.61
2009-01-16,49,67.34
2009-01-23,50,63.87
2009-01-30,52,61.87
2009-02-06,53,65.01
2009-02-13,51,57.52
2009-02-20,51,55.07
2009-02-27,54,55.48
2009-03-06,53,48.83
2009-03-13,53,56.77
2009-03-20,54,51.54
2009-03-27,53,54.14
2009-04-03,54,62.11
2009-04-17,50,64.83
2009-04-24,50,67.06
2009-05-01,48,64.66
2009-05-08,49,66.32
2009-05-15,52,61.4
2009-05-22,47,64.05
2009-05-29,47,66.61
2009-06-05,48,66.48
2009-06-12,49,67.66
2009-06-19,50,64.71
2009-06-26,49,64.66
2009-07-10,50,62.42
2009-07-17,47,66.06
2009-07-24,46,69.72
2009-07-31,49,72.57
2009-08-07,49,77.38
2009-08-14,49,71.49
2009-08-21,52,70.33
2009-08-28,66,71.46
2009-09-04,56,69.65
2009-09-11,50,69.89
2009-09-18,52,77.71
2009-09-25,51,74.18
2009-10-02,50,71.68
2009-10-09,52,72.48
2009-10-16,49,73.23
2009-10-23,48,74.75
2009-10-30,51,73.6
2009-11-06,50,75.98
2009-11-13,50,79.94
2009-11-20,53,78.6
2009-11-27,50,76.44
2009-12-04,51,79.81
2009-12-11,50,77.7
2009-12-18,47,79.36
2010-01-08,48,78.73
2010-01-15,50,78.97
2010-01-22,53,77.67
2010-01-29,52,79.18
2010-02-05,55,77.63
2010-02-12,51,76.55
2010-02-19,52,81.7
2010-02-26,53,82.19
2010-03-05,53,87.42
2010-03-12,51,88.99
2010-03-19,52,90.91
2010-03-26,52,92.14
2010-04-09,54,94.63
2010-04-16,51,91.86
2010-04-23,52,96.14
2010-04-30,51,96.91
2010-05-07,51,92.96
2010-05-14,51,93.84
2010-05-21,52,90.47
2010-05-28,49,92.69
2010-06-04,50,87.72
2010-06-11,51,91.27
2010-06-18,50,93.82
2010-06-25,49,93.28
2010-07-02,48,86.68
2010-07-09,45,92.38
2010-07-16,45,91.38
2010-07-23,50,96.66
2010-07-30,48,98.12
2010-08-06,49,99.34
2010-08-13,47,98.16
2010-08-20,46,97.75
2010-08-27,49,97.93
2010-09-03,47,103.62
2010-09-10,50,102.16
2010-09-17,50,102.71
2010-09-24,48,100.97
2010-10-01,50,97.98
2010-10-08,51,97.67
2010-10-15,52,100.96
2010-10-22,51,103.08
2010-10-29,50,99.22
2010-11-05,49,104.74
2010-11-12,53,101.16
2010-11-19,55,97.06
2010-11-26,51,98.01
2010-12-03,52,99.18
2010-12-10,58,100.4
2010-12-17,54,98.2
2010-12-31,41,101.42
2011-01-07,50,101.74
2011-01-14,53,103.72
2011-01-21,57,105.52
2011-01-28,54,106.47
2011-02-04,52,109.11
2011-02-11,55,111.36
2011-02-18,54,111.65
2011-02-25,52,110.57
2011-03-04,53,109.11
2011-03-11,51,110.78
2011-03-18,50,107.62
2011-03-25,54,108.05
2011-04-01,53,111
2011-04-08,52,108.5
2011-04-15,52,111.47
2011-04-29,47,117.31
2011-05-06,50,116.03
2011-05-13,52,116.33
2011-05-20,52,116.08
2011-05-27,50,115.97
2011-06-03,47,115.92
2011-06-10,50,112.22
2011-06-17,50,111.77
2011-06-24,50,110.73
2011-07-01,51,115.81
2011-07-08,47,119.4
2011-07-15,49,119.19
2011-07-22,50,123.23
2011-07-29,50,119.63
2011-08-05,45,110.31
2011-08-12,47,116.97
2011-08-19,48,113.95
2011-08-26,48,120.11
2011-09-02,46,118.59
2011-09-09,45,120.66
2011-09-16,49,122.94
2011-09-23,48,113.7
2011-09-30,48,111.35
2011-10-07,51,108.23
2011-10-14,51,114.91
2011-10-21,52,119.66
2011-10-28,51,131.52
2011-11-04,49,124.82
2011-11-11,52,125.66
2011-11-18,55,125.11
2011-11-25,49,122.3
2011-12-02,49,129.55
2011-12-09,49,130.17
2011-12-16,50,128.39
2011-12-23,42,134.51
2011-12-30,41,134.46
2012-01-06,47,132.28
2012-01-13,50,134.94
2012-01-20,50,135.83
2012-01-27,50,137.52
2012-02-03,51,141.34
2012-02-10,49,137.71
2012-02-17,49,138.74
2012-02-24,53,137.12
2012-03-02,54,133.4
2012-03-09,52,130.72
2012-03-16,49,136.52
2012-03-23,48,137.07
2012-03-30,49,138.17
2012-04-13,47,136.78
2012-04-20,51,139.72
2012-04-27,47,143.91
2012-05-04,45,140.49
2012-05-11,47,139.42
2012-05-18,47,130.51
2012-05-25,51,133.29
2012-06-01,47,132
2012-06-08,46,138.71
2012-06-15,45,137.78
2012-06-22,46,137.99
2012-06-29,46,144.41
2012-07-06,46,144.61
2012-07-13,57,146.67
2012-07-20,52,145.76
2012-07-27,51,149.37
2012-08-03,46,147.9
2012-08-10,46,144.56
2012-08-17,46,145.39
2012-08-24,49,142.68
2012-08-31,46,145.56
2012-09-07,47,146.82
2012-09-14,50,148.77
2012-09-21,48,141.51
2012-09-28,49,139.17
2012-10-05,48,139.19
2012-10-12,51,136.54
2012-10-19,48,138.02
2012-10-26,51,136.56
2012-11-02,46,140.3
2012-11-09,49,145.7
2012-11-16,50,143.86
2012-11-23,48,145.27
2012-11-30,49,140.64
2012-12-07,48,142.32
2012-12-14,54,140.1
2012-12-21,49,145.23
2012-12-28,40,143.46
2013-01-04,47,146.22
2013-01-11,54,147.05
2013-01-18,54,150.26
2013-01-25,57,152.7
2013-02-01,59,155.5
2013-02-08,63,157.4
2013-02-15,85,151.26
2013-02-22,55,152.41
2013-03-01,53,151.95
2013-03-08,54,150.47
2013-03-15,52,148.25
2013-03-22,53,150.71
2013-04-05,49,155.1
2013-04-12,53,158.51
2013-04-19,52,158.8
2013-04-26,51,159.97
2013-05-03,50,166.48
2013-05-10,48,164.27
2013-05-17,49,167.45
2013-05-24,47,162.59
2013-05-31,46,151.8
2013-06-07,47,153.78
2013-06-14,49,151.8
2013-06-21,46,149.73
2013-06-28,47,153.33
2013-07-05,45,152.87
2013-07-12,46,159.08
2013-07-19,47,162.54
2013-07-26,44,161
2013-08-02,45,160.73
2013-08-09,44,163.15
2013-08-16,45,153.95
2013-08-23,48,157.68
2013-08-30,48,152.67
2013-09-06,45,153.02
2013-09-13,46,156.03
2013-09-20,48,163.83
2013-09-27,49,162.59
2013-10-04,48,162.76
2013-10-11,47,168.41
2013-10-18,51,172.16
2013-10-25,49,174.26
2013-11-01,49,168.99
2013-11-08,52,159.91
2013-11-15,51,162.41
2013-11-22,51,154.86
2013-11-29,53,152.7
2013-12-06,51,154
2013-12-13,52,149.54
2013-12-20,49,151.82
2013-12-27,43,151.12
2014-01-03,51,150.11
2014-01-10,63,154.26
2014-01-17,100,154.97
2014-01-24,67,152.42
2014-01-31,57,157.59
2014-02-07,54,160.25
2014-02-14,54,165.75
2014-02-21,56,166.44
2014-02-28,54,169
2014-03-07,53,167.55
2014-03-14,54,168.17
2014-03-21,55,169.36
2014-03-28,54,168.03
2014-04-04,54,169.55
2014-04-11,51,168.48
2014-04-25,50,173.58
