"Date","buy.PG","Price"
2013-08-02,44,81.29
2013-08-09,71,81.64
2013-08-16,52,79.9
2013-08-23,48,80.01
2013-08-30,39,77.89
2013-09-06,48,77.15
2013-09-13,58,79.05
2013-09-20,64,79.39
2013-09-27,33,77.21
2013-10-04,47,76.02
2013-10-11,48,78.48
2013-10-18,43,79.41
2013-10-25,42,80
2013-11-01,47,81.15
2013-11-08,38,82.51
2013-11-15,43,84.84
2013-11-22,47,84.95
2013-11-29,54,84.22
2013-12-06,47,84.52
2013-12-13,68,82.37
2013-12-20,62,81.84
2013-12-27,73,82.01
2014-01-03,56,80.45
2014-01-10,72,80.3
2014-01-17,57,79.88
2014-01-24,49,79.18
2014-01-31,51,76.62
2014-02-07,55,77.31
2014-02-14,64,79.4
2014-02-21,82,77.97
2014-02-28,60,78.66
2014-03-07,57,78.38
2014-03-14,85,78.98
2014-03-21,60,77.88
2014-03-28,56,79.76
2014-04-04,58,79.77
2014-04-11,52,80.76
2014-04-25,81,81.41
