"Date","buy.RF","Price"
2009-01-30,20,3.46
2009-02-06,26,4.2
2009-02-13,17,3.38
2009-02-20,21,2.84
2009-02-27,21,3.42
2009-03-06,21,2.94
2009-03-13,15,3.89
2009-03-20,15,4.02
2009-03-27,16,4.32
2009-04-03,17,4.56
2009-04-17,21,7.23
2009-04-24,15,5.56
2009-05-01,15,4.39
2009-05-08,23,6.53
2009-05-15,32,4.85
2009-05-22,24,4.04
2009-05-29,23,4.19
2009-06-05,23,4
2009-06-12,26,4.46
2009-06-19,23,4.13
2009-06-26,23,3.95
2009-07-10,16,3.9
2009-07-17,16,4.05
2009-07-24,16,3.69
2009-07-31,19,4.42
2009-08-07,20,4.93
2009-08-14,21,5.64
2009-08-21,25,5.86
2009-08-28,17,5.97
2009-09-04,18,5.53
2009-09-11,20,5.51
2009-09-18,13,6.13
2009-09-25,17,6.36
2009-10-02,23,5.79
2009-10-09,29,5.95
2009-10-16,22,5.83
2009-10-23,23,5.53
2009-10-30,24,4.84
2009-11-06,30,4.75
2009-11-13,16,4.83
2009-11-20,16,5.45
2009-11-27,20,5.58
2009-12-04,19,5.71
2009-12-11,27,5.58
2009-12-18,20,5.45
2010-01-08,28,6.18
2010-01-15,19,6.52
2010-01-22,28,6.6
2010-01-29,26,6.35
2010-02-05,16,6.18
2010-02-12,24,6.35
2010-02-19,13,6.57
2010-02-26,19,6.75
2010-03-05,15,6.84
2010-03-12,20,7.34
2010-03-19,18,7.38
2010-03-26,16,7.63
2010-04-09,23,8.59
2010-04-16,17,8.3
2010-04-23,19,8.95
2010-04-30,16,8.84
2010-05-07,18,7.99
2010-05-14,16,8.26
2010-05-21,16,7.47
2010-05-28,12,7.63
2010-06-04,19,7.13
2010-06-11,19,7.06
2010-06-18,13,7.15
2010-06-25,22,6.99
2010-07-02,16,6.24
2010-07-09,18,7.15
2010-07-16,22,6.55
2010-07-23,21,6.65
2010-07-30,11,7.33
2010-08-06,22,7.4
2010-08-13,11,7.15
2010-08-20,12,6.82
2010-08-27,30,6.6
2010-09-03,13,6.89
2010-09-10,20,6.89
2010-09-17,19,6.83
2010-09-24,18,6.95
2010-10-01,22,7.18
2010-10-08,21,7.42
2010-10-15,22,7.06
2010-10-22,13,7.14
2010-10-29,15,6.3
2010-11-05,16,6.45
2010-11-12,20,6.15
2010-11-19,22,5.5
2010-11-26,21,5.25
2010-12-03,22,6.08
2010-12-10,28,6.46
2010-12-17,19,6.24
2010-12-31,33,7
2011-01-07,22,7.02
2011-01-14,15,7.47
2011-01-21,24,7.4
2011-01-28,24,6.88
2011-02-04,11,7.84
2011-02-11,16,8.02
2011-02-18,11,7.79
2011-02-25,22,7.56
2011-03-04,12,7.48
2011-03-11,13,7.48
2011-03-18,13,7.1
2011-03-25,13,7.18
2011-04-01,28,7.29
2011-04-08,15,7.27
2011-04-15,12,7.17
2011-04-29,20,7.34
2011-05-06,10,7.09
2011-05-13,10,7.05
2011-05-20,12,6.95
2011-05-27,11,6.98
2011-06-03,17,6.36
2011-06-10,13,6.14
2011-06-17,18,6.27
2011-06-24,13,5.94
2011-07-01,18,6.3
2011-07-08,16,6.15
2011-07-15,11,5.99
2011-07-22,18,6.2
2011-07-29,15,6.09
2011-08-05,15,5.1
2011-08-12,12,4.3
2011-08-19,13,3.86
2011-08-26,14,4.12
2011-09-02,14,4.13
2011-09-09,14,3.97
2011-09-16,17,4
2011-09-23,18,3.43
2011-09-30,10,3.33
2011-10-07,13,3.4
2011-10-14,15,3.7
2011-10-21,14,3.78
2011-10-28,21,4.27
2011-11-04,20,4.02
2011-11-11,18,4.17
2011-11-18,15,4.1
2011-11-25,15,3.69
2011-12-02,19,4.22
2011-12-09,15,4.12
2011-12-16,13,3.99
2011-12-23,22,4.4
2011-12-30,22,4.3
2012-01-06,12,4.41
2012-01-13,16,4.79
2012-01-20,18,4.91
2012-01-27,16,5.31
2012-02-03,11,5.64
2012-02-10,11,5.67
2012-02-17,21,6
2012-02-24,17,5.8
2012-03-02,15,5.96
2012-03-09,15,5.8
2012-03-16,12,6.41
2012-03-23,11,6.43
2012-03-30,14,6.59
2012-04-13,12,6.11
2012-04-20,13,6.07
2012-04-27,16,6.88
2012-05-04,10,6.7
2012-05-11,15,6.66
2012-05-18,16,6.13
2012-05-25,15,6.32
2012-06-01,9,5.88
2012-06-08,16,6.15
2012-06-15,18,6.45
2012-06-22,13,6.67
2012-06-29,14,6.75
2012-07-06,12,6.68
2012-07-13,18,6.7
2012-07-20,17,6.41
2012-07-27,23,7.1
2012-08-03,15,6.93
2012-08-10,12,7
2012-08-17,19,7.16
2012-08-24,13,7.18
2012-08-31,17,6.96
2012-09-07,12,7.37
2012-09-14,17,7.62
2012-09-21,13,7.52
2012-09-28,13,7.2
2012-10-05,14,7.57
2012-10-12,16,7.28
2012-10-19,15,7.13
2012-10-26,14,6.58
2012-11-02,10,6.66
2012-11-09,12,6.45
2012-11-16,9,6.32
2012-11-23,21,6.69
2012-11-30,17,6.67
2012-12-07,13,6.64
2012-12-14,15,6.7
2012-12-21,17,7.11
2012-12-28,19,6.93
2013-01-04,18,7.59
2013-01-11,15,7.24
2013-01-18,14,7.43
2013-01-25,21,7.69
2013-02-01,15,7.88
2013-02-08,16,7.93
2013-02-15,10,7.85
2013-02-22,13,7.77
2013-03-01,16,7.71
2013-03-08,18,8.15
2013-03-15,17,8.36
2013-03-22,15,8.21
2013-04-05,12,7.99
2013-04-12,14,8.11
2013-04-19,12,7.83
2013-04-26,8,8.37
2013-05-03,11,8.58
2013-05-10,15,8.81
2013-05-17,9,9.05
2013-05-24,12,9.1
2013-05-31,10,9.13
2013-06-07,12,9.21
2013-06-14,13,8.98
2013-06-21,17,9.1
2013-06-28,13,9.53
2013-07-05,11,10.18
2013-07-12,12,10
2013-07-19,11,10.23
2013-07-26,15,10.23
2013-08-02,11,10.24
2013-08-09,12,9.92
2013-08-16,12,9.84
2013-08-23,14,9.94
2013-08-30,11,9.4
2013-09-06,13,9.55
2013-09-13,14,9.52
2013-09-20,10,9.29
2013-09-27,14,9.3
2013-10-04,11,9.43
2013-10-11,12,9.59
2013-10-18,15,10.11
2013-10-25,8,9.49
2013-11-01,11,9.55
2013-11-08,14,9.78
2013-11-15,11,9.85
2013-11-22,16,9.86
2013-11-29,18,9.73
2013-12-06,21,9.71
2013-12-13,17,9.53
2013-12-20,17,9.63
2013-12-27,14,9.83
2014-01-03,18,9.87
2014-01-10,8,10.48
2014-01-17,7,10.57
2014-01-24,14,10.55
2014-01-31,13,10.17
2014-02-07,15,10.23
2014-02-14,11,10.35
2014-02-21,10,10.24
2014-02-28,12,10.64
2014-03-07,16,11.05
2014-03-14,11,10.63
2014-03-21,14,11.09
2014-03-28,13,10.95
2014-04-04,10,10.97
2014-04-11,10,10.17
2014-04-25,12,10.15
