"Date","IPG","Price"
2006-01-27,43,10.21
2006-02-03,66,9.86
2006-02-10,46,9.99
2006-02-17,45,10.02
2006-02-24,64,10.51
2006-03-03,67,10.26
2006-03-10,69,10.1
2006-03-17,63,10.11
2006-03-24,58,10.44
2006-03-31,60,9.56
2006-04-07,53,9.45
2006-04-21,47,9.46
2006-04-28,62,9.58
2006-05-05,55,9.93
2006-05-12,64,9.8
2006-05-19,62,9.47
2006-05-26,59,9.35
2006-06-02,62,9.67
2006-06-09,41,8.9
2006-06-16,57,8.57
2006-06-23,62,8.53
2006-06-30,51,8.35
2006-07-07,57,8.14
2006-07-14,65,7.86
2006-07-21,62,7.98
2006-07-28,53,8.18
2006-08-04,46,8.44
2006-08-11,57,8.59
2006-08-18,49,8.98
2006-08-25,48,8.84
2006-09-01,57,9.27
2006-09-08,56,9.49
2006-09-15,66,9.87
2006-09-22,64,9.61
2006-09-29,54,9.9
2006-10-06,69,10.11
2006-10-13,73,10.37
2006-10-20,69,10.58
2006-10-27,66,10.71
2006-11-03,54,10.49
2006-11-10,57,11.42
2006-11-17,61,11.92
2006-11-24,56,11.91
2006-12-01,67,11.95
2006-12-08,55,11.6
2006-12-15,83,11.87
2006-12-22,60,11.91
2006-12-29,52,12.24
2007-01-05,46,12.28
2007-01-12,55,13.37
2007-01-19,53,13.65
2007-01-26,58,13.36
2007-02-02,56,13.18
2007-02-09,60,12.92
2007-02-16,55,12.55
2007-02-23,51,13.18
2007-03-02,53,12.32
2007-03-09,63,12.43
2007-03-16,71,12.42
2007-03-23,56,12.59
2007-03-30,45,12.31
2007-04-13,53,12.65
2007-04-20,55,12.92
2007-04-27,38,12.77
2007-05-04,61,12.8
2007-05-11,57,11.77
2007-05-18,52,11.71
2007-05-25,56,11.63
2007-06-01,42,11.81
2007-06-08,55,11.59
2007-06-15,44,11.6
2007-06-22,54,11.54
2007-06-29,51,11.4
2007-07-06,48,11.44
2007-07-13,68,11.36
2007-07-20,60,10.99
2007-07-27,52,10.24
2007-08-03,48,9.84
2007-08-10,57,11.27
2007-08-17,50,11.27
2007-08-24,51,11.04
2007-08-31,55,10.95
2007-09-07,45,10.73
2007-09-14,61,10.15
2007-09-21,65,10.56
2007-09-28,58,10.38
2007-10-05,52,10.37
2007-10-12,58,10.55
2007-10-19,59,9.93
2007-10-26,57,10.09
2007-11-02,52,9.41
2007-11-09,56,8.98
2007-11-16,44,9.28
2007-11-23,62,9.02
2007-11-30,60,9.49
2007-12-07,51,8.95
2007-12-14,54,8.15
2007-12-21,53,8.23
2007-12-28,41,8.22
2008-01-04,40,7.67
2008-01-11,56,7.4
2008-01-18,52,7.77
2008-01-25,52,8.47
2008-02-01,56,8.98
2008-02-08,54,8.26
2008-02-15,60,8.52
2008-02-22,53,8.49
2008-02-29,49,8.62
2008-03-07,57,8.24
2008-03-14,58,8.15
2008-03-28,51,8.4
2008-04-04,59,8.35
2008-04-11,59,8.01
2008-04-18,48,8.23
2008-04-25,54,8.43
2008-05-02,51,9.43
2008-05-09,57,9.72
2008-05-16,48,10.07
2008-05-23,52,9.6
2008-05-30,49,9.97
2008-06-06,43,9.5
2008-06-13,46,9.36
2008-06-20,61,9.03
2008-06-27,58,8.62
2008-07-11,53,7.63
2008-07-18,52,7.74
2008-07-25,56,7.93
2008-08-01,52,8.71
2008-08-08,45,8.94
2008-08-15,59,9.57
2008-08-22,48,9.35
2008-08-29,53,9.4
2008-09-05,45,9
2008-09-12,54,8.81
2008-09-19,65,8.53
2008-09-26,57,8.14
2008-10-03,53,7.05
2008-10-10,55,5.31
2008-10-17,49,4.98
2008-10-24,58,4.22
2008-10-31,43,5.19
2008-11-07,53,4.81
2008-11-14,58,3.9
2008-11-21,47,3.67
2008-11-28,50,4.09
2008-12-05,48,3.7
2008-12-12,50,3.77
2008-12-19,46,4.18
2008-12-26,39,3.69
2009-01-02,34,4.28
2009-01-09,49,4.08
2009-01-16,51,3.83
2009-01-23,42,3.5
2009-01-30,52,3.33
2009-02-06,49,3.59
2009-02-13,55,3.68
2009-02-20,44,3.23
2009-02-27,57,3.81
2009-03-06,58,3.77
2009-03-13,52,4.01
2009-03-20,60,3.98
2009-03-27,42,4.26
2009-04-03,50,4.84
2009-04-17,45,5.66
2009-04-24,48,5.54
2009-05-01,43,6.32
2009-05-08,49,5.83
2009-05-15,46,5.09
2009-05-22,49,5.04
2009-05-29,46,5.24
2009-06-05,48,5.7
2009-06-12,49,6
2009-06-19,48,5.56
2009-06-26,58,5.1
2009-07-10,48,4.8
2009-07-17,47,5.44
2009-07-24,40,6.3
2009-07-31,46,5.21
2009-08-07,45,6.06
2009-08-14,48,6.26
2009-08-21,50,6.47
2009-08-28,49,6.42
2009-09-04,45,6.18
2009-09-11,46,6.75
2009-09-18,49,7.47
2009-09-25,51,7.02
2009-10-02,49,6.84
2009-10-09,54,7.07
2009-10-16,46,6.79
2009-10-23,48,6.12
2009-10-30,49,6.02
2009-11-06,49,6.47
2009-11-13,47,6.77
2009-11-20,49,6.83
2009-11-27,39,6.46
2009-12-04,47,6.36
2009-12-11,41,7.24
2009-12-18,46,7.17
2010-01-08,43,7.27
2010-01-15,50,7.16
2010-01-22,47,6.85
2010-01-29,50,6.46
2010-02-05,46,6.39
2010-02-12,49,6.72
2010-02-19,49,7.11
2010-02-26,47,7.5
2010-03-05,48,8.45
2010-03-12,57,8.42
2010-03-19,46,8.61
2010-03-26,55,8.33
2010-04-09,46,8.72
2010-04-16,49,8.96
2010-04-23,53,9.73
2010-04-30,56,8.91
2010-05-07,44,7.72
2010-05-14,42,8.05
2010-05-21,54,7.77
2010-05-28,46,8.35
2010-06-04,42,7.84
2010-06-11,52,7.98
2010-06-18,53,8.32
2010-06-25,56,7.71
2010-07-02,57,6.93
2010-07-09,47,7.72
2010-07-16,51,7.32
2010-07-23,48,8.18
2010-07-30,47,9.14
2010-08-06,46,9.29
2010-08-13,46,8.64
2010-08-20,44,8.57
2010-08-27,52,8.69
2010-09-03,43,9.2
2010-09-10,46,9.54
2010-09-17,52,9.65
2010-09-24,54,10.07
2010-10-01,53,10.15
2010-10-08,49,10.47
2010-10-15,61,10.81
2010-10-22,55,10.43
2010-10-29,50,10.35
2010-11-05,49,10.64
2010-11-12,54,10.54
2010-11-19,48,10.57
2010-11-26,46,10.6
2010-12-03,47,10.82
2010-12-10,51,11.11
2010-12-17,46,10.83
2010-12-31,41,10.62
2011-01-07,46,11.11
2011-01-14,54,11.1
2011-01-21,66,10.94
2011-01-28,55,10.72
2011-02-04,49,11.75
2011-02-11,53,12.31
2011-02-18,55,12.64
2011-02-25,51,12.57
2011-03-04,59,13.03
2011-03-11,59,12.71
2011-03-18,57,11.92
2011-03-25,62,12.1
2011-04-01,57,12.62
2011-04-08,55,12.1
2011-04-15,71,11.88
2011-04-29,48,11.75
2011-05-06,57,11.32
2011-05-13,56,11.56
2011-05-20,52,11.89
2011-05-27,61,11.86
2011-06-03,47,11.4
2011-06-10,60,11.5
2011-06-17,65,11.36
2011-06-24,60,11.46
2011-07-01,64,12.71
2011-07-08,57,12.72
2011-07-15,51,12.12
2011-07-22,55,12.66
2011-07-29,60,9.81
2011-08-05,54,8.37
2011-08-12,50,8.64
2011-08-19,50,7.74
2011-08-26,54,8.08
2011-09-02,41,7.85
2011-09-09,48,7.49
2011-09-16,49,7.96
2011-09-23,57,7.24
2011-09-30,52,7.2
2011-10-07,51,7.6
2011-10-14,47,8.01
2011-10-21,55,8.43
2011-10-28,50,9.92
2011-11-04,48,9.68
2011-11-11,53,9.58
2011-11-18,53,8.96
2011-11-25,48,8.41
2011-12-02,52,9.54
2011-12-09,56,9.58
2011-12-16,57,9.09
2011-12-23,55,9.69
2011-12-30,55,9.73
2012-01-06,63,10.33
2012-01-13,58,10.53
2012-01-20,60,10.52
2012-01-27,56,10.2
2012-02-03,59,10.86
2012-02-10,55,10.73
2012-02-17,53,10.83
2012-02-24,64,11.62
2012-03-02,68,11.57
2012-03-09,72,11.8
2012-03-16,61,11.8
2012-03-23,100,11.37
2012-03-30,83,11.41
2012-04-13,62,10.78
2012-04-20,62,10.87
2012-04-27,59,11.73
2012-05-04,76,11.5
2012-05-11,60,11.6
2012-05-18,63,10.75
2012-05-25,58,10.74
2012-06-01,53,10.07
2012-06-08,59,10.84
2012-06-15,71,10.5
2012-06-22,82,10.32
2012-06-29,73,10.85
2012-07-06,65,10.85
2012-07-13,59,10.7
2012-07-20,53,11.59
2012-07-27,63,10.12
2012-08-03,52,10.97
2012-08-10,52,10.74
2012-08-17,47,11.27
2012-08-24,45,10.81
2012-08-31,47,10.64
2012-09-07,52,10.98
2012-09-14,52,11.65
2012-09-21,55,11.58
2012-09-28,56,11.12
2012-10-05,53,11.47
2012-10-12,56,11.26
2012-10-19,54,10.9
2012-10-26,52,10.29
2012-11-02,52,9.92
2012-11-09,50,9.96
2012-11-16,45,9.59
2012-11-23,43,10.32
2012-11-30,46,10.82
2012-12-07,50,10.78
2012-12-14,58,10.9
2012-12-21,55,11.15
2012-12-28,45,10.78
2013-01-04,57,11.76
2013-01-11,62,11.68
2013-01-18,56,11.94
2013-01-25,57,12.17
2013-02-01,55,12.25
2013-02-08,56,12.16
2013-02-15,48,12.57
2013-02-22,57,12.58
2013-03-01,59,12.79
2013-03-08,57,13.1
2013-03-15,55,13.31
2013-03-22,66,13.04
2013-04-05,58,13.18
2013-04-12,54,13.65
2013-04-19,60,13.47
2013-04-26,94,13.97
2013-05-03,61,14.05
2013-05-10,82,14.88
2013-05-17,62,14.78
2013-05-24,53,14.56
2013-05-31,53,14.22
2013-06-07,57,14.66
2013-06-14,63,14.51
2013-06-21,85,14.27
2013-06-28,71,14.55
2013-07-05,62,15.04
2013-07-12,62,15.71
2013-07-19,64,15.58
2013-07-26,49,15.87
2013-08-02,57,16.4
2013-08-09,44,16.13
2013-08-16,42,15.92
2013-08-23,48,16.01
2013-08-30,47,15.72
2013-09-06,49,16.16
2013-09-13,53,16.86
2013-09-20,51,17.28
2013-09-27,54,17.15
2013-10-04,56,16.99
2013-10-11,50,16.93
2013-10-18,50,16.04
2013-10-25,53,16.15
2013-11-01,52,16.91
2013-11-08,50,16.94
2013-11-15,53,16.95
2013-11-22,48,17.34
2013-11-29,47,17.4
2013-12-06,47,16.88
2013-12-13,44,16.5
2013-12-20,54,16.9
2013-12-27,37,17.42
2014-01-03,45,17.62
2014-01-10,51,17.63
2014-01-17,48,17.46
2014-01-24,56,16.79
2014-01-31,50,16.32
2014-02-07,50,16.6
2014-02-14,47,16.48
2014-02-21,48,16.84
2014-02-28,50,17.72
2014-03-07,51,17.75
2014-03-14,59,17.1
2014-03-21,62,17.01
2014-03-28,71,17.04
2014-04-04,61,16.92
2014-04-11,89,16.28
2014-04-25,55,17.2
