"Date","Jacobs.Engineering.Group","Price"
2011-03-04,29,49.6
2011-03-11,27,49.08
2011-03-18,27,48.66
2011-03-25,27,48.73
2011-04-01,29,51.54
2011-04-08,31,50.59
2011-04-15,33,49.59
2011-04-29,22,49.61
2011-05-06,25,47.04
2011-05-13,25,46.59
2011-05-20,31,46.25
2011-05-27,44,45.38
2011-06-03,39,43.46
2011-06-10,39,41.51
2011-06-17,29,40.95
2011-06-24,29,40.88
2011-07-01,29,43.35
2011-07-08,27,43.48
2011-07-15,30,41.56
2011-07-22,33,42.81
2011-07-29,41,39.14
2011-08-05,22,35.64
2011-08-12,22,35.23
2011-08-19,21,31.88
2011-08-26,28,35.25
2011-09-02,25,35.03
2011-09-09,32,35.23
2011-09-16,34,36.54
2011-09-23,24,33.76
2011-09-30,30,32.29
2011-10-07,33,34.17
2011-10-14,39,37.81
2011-10-21,18,37.96
2011-10-28,22,40.39
2011-11-04,20,39.24
2011-11-11,22,38.96
2011-11-18,19,40.69
2011-11-25,27,38.51
2011-12-02,25,42.05
2011-12-09,21,42.53
2011-12-16,21,39.81
2011-12-23,20,40.89
2011-12-30,21,40.58
2012-01-06,28,41.17
2012-01-13,29,43
2012-01-20,29,45.29
2012-01-27,30,45.19
2012-02-03,24,47.21
2012-02-10,31,45.85
2012-02-17,18,45.55
2012-02-24,16,47.19
2012-03-02,21,47.18
2012-03-09,32,45.4
2012-03-16,21,46.89
2012-03-23,25,44.9
2012-03-30,30,44.37
2012-04-13,27,42.9
2012-04-20,18,43.18
2012-04-27,21,44.6
2012-05-04,22,39.55
2012-05-11,18,38.86
2012-05-18,18,36.14
2012-05-25,31,36.96
2012-06-01,23,34.95
2012-06-08,16,36.44
2012-06-15,24,35.94
2012-06-22,16,35.4
2012-06-29,16,37.86
2012-07-06,16,37.51
2012-07-13,21,37.24
2012-07-20,23,37.89
2012-07-27,35,39.45
2012-08-03,24,38.99
2012-08-10,18,39.34
2012-08-17,31,41
2012-08-24,20,40.4
2012-08-31,17,39.54
2012-09-07,16,40.2
2012-09-14,20,43.32
2012-09-21,21,42.78
2012-09-28,21,40.43
2012-10-05,24,41.21
2012-10-12,22,39.96
2012-10-19,29,39.62
2012-10-26,19,38.43
2012-11-02,19,38.77
2012-11-09,21,39
2012-11-16,23,38.95
2012-11-23,21,40.38
2012-11-30,21,40.94
2012-12-07,30,42.11
2012-12-14,17,41.34
2012-12-21,17,42.91
2012-12-28,17,41.73
2013-01-04,17,43.92
2013-01-11,26,44.95
2013-01-18,17,46.05
2013-01-25,28,48.46
2013-02-01,21,48.33
2013-02-08,33,48.08
2013-02-15,23,49.35
2013-02-22,23,49.1
2013-03-01,26,48
2013-03-08,35,51.82
2013-03-15,24,53.71
2013-03-22,15,54.49
2013-04-05,13,53.35
2013-04-12,14,53.08
2013-04-19,13,50.04
2013-04-26,13,51.65
2013-05-03,13,50.63
2013-05-10,13,51
2013-05-17,18,54.09
2013-05-24,22,54.99
2013-05-31,14,57.01
2013-06-07,18,56.93
2013-06-14,16,55.83
2013-06-21,17,55.86
2013-06-28,19,55.13
2013-07-05,19,55.36
2013-07-12,24,57.76
2013-07-19,23,59.52
2013-07-26,16,58.99
2013-08-02,20,62.33
2013-08-09,13,60.88
2013-08-16,19,61.42
2013-08-23,22,59.87
2013-08-30,14,58.28
2013-09-06,21,58.08
2013-09-13,21,57.9
2013-09-20,21,59.06
2013-09-27,24,57.79
2013-10-04,24,57.54
2013-10-11,29,58.15
2013-10-18,17,59.62
2013-10-25,14,60.56
2013-11-01,25,60.93
2013-11-08,14,61.99
2013-11-15,17,63.76
2013-11-22,19,60.09
2013-11-29,12,59.77
2013-12-06,14,58.48
2013-12-13,12,56.76
2013-12-20,13,61.2
2013-12-27,14,61.73
2014-01-03,15,62.29
2014-01-10,22,63.73
2014-01-17,21,65.73
2014-01-24,17,63
2014-01-31,23,60.71
2014-02-07,19,59.84
2014-02-14,24,60.47
2014-02-21,19,60.1
2014-02-28,18,60.65
2014-03-07,20,63.09
2014-03-14,31,62.59
2014-03-21,23,64.82
2014-03-28,23,63.12
2014-04-04,21,63.89
2014-04-11,13,61.45
2014-04-25,18,62.1
