"Date","buy.CVS","Price"
2009-07-17,43,32.74
2009-07-24,40,34.38
2009-07-31,42,33.48
2009-08-07,37,34.47
2009-08-14,40,34.75
2009-08-21,45,35.72
2009-08-28,43,36.77
2009-09-04,38,37.2
2009-09-11,41,36.53
2009-09-18,37,35.98
2009-09-25,44,35.2
2009-10-02,36,35.32
2009-10-09,42,36.48
2009-10-16,40,37.7
2009-10-23,35,37.16
2009-10-30,42,35.3
2009-11-06,42,29.79
2009-11-13,32,30.25
2009-11-20,35,31.64
2009-11-27,43,31.2
2009-12-04,41,30.76
2009-12-11,45,32.22
2009-12-18,57,31.18
2010-01-08,39,34
2010-01-15,39,33.91
2010-01-22,42,33.24
2010-01-29,40,32.37
2010-02-05,38,31.07
2010-02-12,42,32.99
2010-02-19,44,34.31
2010-02-26,41,33.75
2010-03-05,37,35.03
2010-03-12,35,34.63
2010-03-19,38,34.55
2010-03-26,38,36.79
2010-04-09,39,37.23
2010-04-16,39,37.14
2010-04-23,44,37.01
2010-04-30,38,36.92
2010-05-07,38,34.86
2010-05-14,47,35.78
2010-05-21,41,34.3
2010-05-28,49,34.63
2010-06-04,46,33.79
2010-06-11,44,32.08
2010-06-18,48,32.43
2010-06-25,44,30.6
2010-07-02,48,29.08
2010-07-09,48,29.8
2010-07-16,51,30.04
2010-07-23,44,30.93
2010-07-30,47,30.69
2010-08-06,50,29.84
2010-08-13,48,28.7
2010-08-20,54,27.99
2010-08-27,54,27.51
2010-09-03,43,28.68
2010-09-10,41,29.02
2010-09-17,51,29.83
2010-09-24,42,31.01
2010-10-01,49,31.78
2010-10-08,47,31.25
2010-10-15,43,31.31
2010-10-22,40,31.36
2010-10-29,50,30.13
2010-11-05,42,30.94
2010-11-12,45,30.24
2010-11-19,42,31.03
2010-11-26,57,31.15
2010-12-03,57,32.42
2010-12-10,67,33.65
2010-12-17,64,34.4
2010-12-31,57,34.77
2011-01-07,54,35.05
2011-01-14,49,35.08
2011-01-21,46,35.41
2011-01-28,52,34.8
2011-02-04,48,32.67
2011-02-11,50,33.03
2011-02-18,41,33.06
2011-02-25,44,32.94
2011-03-04,44,33.01
2011-03-11,41,34
2011-03-18,46,33.61
2011-03-25,46,33.89
2011-04-01,48,34.96
2011-04-08,41,36.23
2011-04-15,43,35.87
2011-04-29,50,36.22
2011-05-06,45,37.02
2011-05-13,46,38.13
2011-05-20,54,38.4
2011-05-27,49,38.8
2011-06-03,48,37.97
2011-06-10,46,37.21
2011-06-17,50,37.33
2011-06-24,54,36.42
2011-07-01,53,37.97
2011-07-08,52,38.1
2011-07-15,50,36.82
2011-07-22,50,37.35
2011-07-29,52,36.35
2011-08-05,56,34.15
2011-08-12,51,33.25
2011-08-19,55,32.37
2011-08-26,45,34.34
2011-09-02,45,35.43
2011-09-09,44,36.5
2011-09-16,48,36.22
2011-09-23,50,34.13
2011-09-30,41,33.59
2011-10-07,44,33.78
2011-10-14,45,35.13
2011-10-21,39,35.55
2011-10-28,43,36.84
2011-11-04,40,38.02
2011-11-11,43,39.24
2011-11-18,45,38.16
2011-11-25,61,36.85
2011-12-02,56,38.29
2011-12-09,48,38.37
2011-12-16,61,37.55
2011-12-23,75,40.99
2011-12-30,56,40.78
2012-01-06,55,41.46
2012-01-13,50,42.15
2012-01-20,47,42.77
2012-01-27,47,42.26
2012-02-03,50,43.51
2012-02-10,53,43.18
2012-02-17,53,44.27
2012-02-24,47,44.07
2012-03-02,49,45.03
2012-03-09,42,45.64
2012-03-16,51,45.28
2012-03-23,46,45.14
2012-03-30,56,44.8
2012-04-13,49,43.43
2012-04-20,54,44.33
2012-04-27,43,44.88
2012-05-04,47,45.42
2012-05-11,50,45.32
2012-05-18,50,44.43
2012-05-25,48,44.98
2012-06-01,49,43.6
2012-06-08,50,44.89
2012-06-15,52,45.65
2012-06-22,53,45.9
2012-06-29,51,46.73
2012-07-06,62,48.12
2012-07-13,59,48.05
2012-07-20,60,45.08
2012-07-27,58,44.94
2012-08-03,66,44.75
2012-08-10,62,44.95
2012-08-17,65,45.31
2012-08-24,67,45.56
2012-08-31,57,45.55
2012-09-07,55,46.06
2012-09-14,55,46.97
2012-09-21,56,47.87
2012-09-28,53,48.42
2012-10-05,57,48.86
2012-10-12,47,47.08
2012-10-19,51,46.2
2012-10-26,56,46.06
2012-11-02,49,46.56
2012-11-09,47,46.36
2012-11-16,50,44.8
2012-11-23,62,45.83
2012-11-30,63,46.51
2012-12-07,60,46.84
2012-12-14,66,49.24
2012-12-21,78,48.67
2012-12-28,82,47.92
2013-01-04,63,49.99
2013-01-11,61,51.3
2013-01-18,53,52.11
2013-01-25,58,51.86
2013-02-01,54,51.58
2013-02-08,51,51.2
2013-02-15,50,51.12
2013-02-22,46,51.35
2013-03-01,52,51.56
2013-03-08,51,52.28
2013-03-15,54,53.58
2013-03-22,51,55.2
2013-04-05,56,55.64
2013-04-12,53,57.52
2013-04-19,54,58
2013-04-26,46,57.73
2013-05-03,53,58.64
2013-05-10,47,58.03
2013-05-17,52,59.44
2013-05-24,55,59.2
2013-05-31,51,57.58
2013-06-07,53,58.49
2013-06-14,54,59.03
2013-06-21,57,57.57
2013-06-28,52,57.18
2013-07-05,65,58.64
2013-07-12,55,60.95
2013-07-19,57,61.63
2013-07-26,55,61.96
2013-08-02,59,61.84
2013-08-09,53,59.48
2013-08-16,60,58.57
2013-08-23,57,57.97
2013-08-30,51,58.05
2013-09-06,54,58.63
2013-09-13,56,59.9
2013-09-20,50,58.53
2013-09-27,52,57.8
2013-10-04,48,56.88
2013-10-11,51,59.57
2013-10-18,51,61.01
2013-10-25,48,61.41
2013-11-01,55,62.59
2013-11-08,44,63.78
2013-11-15,51,65.62
2013-11-22,49,66.68
2013-11-29,66,66.96
2013-12-06,57,66.75
2013-12-13,64,67.31
2013-12-20,79,70.06
2013-12-27,86,71.56
2014-01-03,67,70.55
2014-01-10,55,69.51
2014-01-17,49,67.97
2014-01-24,54,67.63
2014-01-31,54,67.72
2014-02-07,57,66.44
2014-02-14,61,69.9
2014-02-21,52,71.2
2014-02-28,51,73.14
2014-03-07,55,73.48
2014-03-14,53,72.75
2014-03-21,50,74.95
2014-03-28,53,74.26
2014-04-04,49,74.69
2014-04-11,51,72.58
2014-04-25,51,73.24
