"Date","buy.TEL","Price"
2010-07-02,76,24.58
2010-07-09,66,25.08
2010-07-16,76,25.37
2010-07-23,66,26.04
2010-07-30,68,27
2010-08-06,55,28.07
2010-08-13,65,26.73
2010-08-20,87,26.23
2010-08-27,84,24.94
2010-09-03,34,26.46
2010-09-10,55,26.35
2010-09-17,50,27.34
2010-09-24,43,29.26
2010-10-01,77,29.83
2010-10-08,39,29.95
2010-10-15,55,30.79
2010-10-22,60,31.4
2010-10-29,59,31.68
2010-11-05,38,33.1
2010-11-12,40,31.87
2010-11-19,59,31.97
2010-11-26,37,31.37
2010-12-03,57,33.05
2010-12-10,70,33.55
2010-12-17,71,35.34
2010-12-31,90,35.4
2011-01-07,61,35.23
2011-01-14,52,36.58
2011-01-21,49,36.45
2011-01-28,46,35.51
2011-02-04,41,36.89
2011-02-11,45,38.51
2011-02-18,53,37.72
2011-02-25,80,35.69
2011-03-04,80,36.78
2011-03-11,33,34.65
2011-03-18,70,33.19
2011-03-25,47,34.13
2011-04-01,48,35.02
2011-04-08,39,33.92
2011-04-15,70,35.61
2011-04-29,49,35.85
2011-05-06,42,37.03
2011-05-13,47,36.69
2011-05-20,42,37.09
2011-05-27,53,36.56
2011-06-03,43,36.11
2011-06-10,49,35
2011-06-17,44,33.83
2011-06-24,39,34.67
2011-07-01,44,37.9
2011-07-08,34,37.73
2011-07-15,51,35.2
2011-07-22,47,36.41
2011-07-29,44,34.43
2011-08-05,58,30.49
2011-08-12,33,30.67
2011-08-19,36,28.09
2011-08-26,53,29.66
2011-09-02,37,29.31
2011-09-09,33,28.09
2011-09-16,38,29.48
2011-09-23,40,27.93
2011-09-30,75,28.14
2011-10-07,64,29.5
2011-10-14,43,34.25
2011-10-21,47,33.87
2011-10-28,52,36.34
2011-11-04,53,35.11
2011-11-11,49,34.64
2011-11-18,53,32.9
2011-11-25,29,30.11
2011-12-02,66,31.42
2011-12-09,26,33.02
2011-12-16,30,30.45
2011-12-23,57,31.29
2011-12-30,65,30.81
2012-01-06,64,32.36
2012-01-13,47,34.45
2012-01-20,47,36.03
2012-01-27,47,34.3
2012-02-03,48,35.27
2012-02-10,44,35.11
2012-02-17,46,36.01
2012-02-24,59,35.97
2012-03-02,46,36.65
2012-03-09,52,36.05
2012-03-16,48,37.23
2012-03-23,57,36.38
2012-03-30,44,36.75
2012-04-13,36,34.76
2012-04-20,43,35.06
2012-04-27,37,36.64
2012-05-04,47,34.41
2012-05-11,65,33.27
2012-05-18,47,30.67
2012-05-25,55,31.61
2012-06-01,55,30.51
2012-06-08,41,32.48
2012-06-15,57,32.55
2012-06-22,32,32.29
2012-06-29,34,31.91
2012-07-06,46,31.38
2012-07-13,58,31.58
2012-07-20,37,31.79
2012-07-27,39,33.05
2012-08-03,37,32.98
2012-08-10,44,35.25
2012-08-17,53,35.7
2012-08-24,45,35.03
2012-08-31,64,35.17
2012-09-07,57,36.16
2012-09-14,54,37.11
2012-09-21,46,35.74
2012-09-28,51,34.01
2012-10-05,47,34.2
2012-10-12,48,32.75
2012-10-19,35,32.94
2012-10-26,49,32.22
2012-11-02,41,32.37
2012-11-09,58,34.09
2012-11-16,58,34.09
2012-11-23,59,35.5
2012-11-30,45,35.19
2012-12-07,49,35.89
2012-12-14,51,36.15
2012-12-21,52,37.43
2012-12-28,45,36.34
2013-01-04,67,37.64
2013-01-11,33,37.9
2013-01-18,46,38.72
2013-01-25,47,39.47
2013-02-01,54,39.37
2013-02-08,31,40.52
2013-02-15,40,41.03
2013-02-22,54,41.01
2013-03-01,45,40.23
2013-03-08,51,42.22
2013-03-15,52,41.83
2013-03-22,46,41.82
2013-04-05,51,41.14
2013-04-12,56,41.61
2013-04-19,40,39.38
2013-04-26,29,42.43
2013-05-03,51,44.44
2013-05-10,30,44.49
2013-05-17,41,45.99
2013-05-24,45,45.28
2013-05-31,45,44.39
2013-06-07,31,45.53
2013-06-14,54,45.42
2013-06-21,54,45.61
2013-06-28,50,45.54
2013-07-05,46,46.7
2013-07-12,60,47.46
2013-07-19,69,47.77
2013-07-26,52,50.52
2013-08-02,42,51.51
2013-08-09,39,50.64
2013-08-16,41,49.4
2013-08-23,46,50.08
2013-08-30,64,49
2013-09-06,45,50.22
2013-09-13,38,53.44
2013-09-20,33,53.1
2013-09-27,42,51.96
2013-10-04,43,52.12
2013-10-11,48,51.98
2013-10-18,50,53.57
2013-10-25,53,53.6
2013-11-01,59,51.21
2013-11-08,59,52.22
2013-11-15,60,52.39
2013-11-22,49,52.99
2013-11-29,56,52.72
2013-12-06,48,53.62
2013-12-13,63,51.98
2013-12-20,35,53.74
2013-12-27,62,54.53
2014-01-03,57,54.49
2014-01-10,55,55.44
2014-01-17,35,55.94
2014-01-24,49,57.32
2014-01-31,53,56.51
2014-02-07,44,56.61
2014-02-14,39,57.24
2014-02-21,39,57.47
2014-02-28,57,58.58
2014-03-07,40,59.11
2014-03-14,43,57
2014-03-21,52,60.16
2014-03-28,47,59.51
2014-04-04,53,59.98
2014-04-11,53,58.85
2014-04-25,48,59.24
