"Date","Colgate.Palmolive","Price"
2006-11-17,31,66.01
2006-11-24,26,65.97
2006-12-01,23,65.36
2006-12-08,22,65.6
2006-12-15,20,65.33
2006-12-22,21,64.59
2006-12-29,22,65.24
2007-01-05,22,65.46
2007-01-12,21,66.84
2007-01-19,28,66.85
2007-01-26,31,66.18
2007-02-02,27,67.74
2007-02-09,24,66.92
2007-02-16,18,68.76
2007-02-23,28,68.33
2007-03-02,16,66.65
2007-03-09,21,66.63
2007-03-16,37,65.1
2007-03-23,28,67.12
2007-03-30,22,66.79
2007-04-13,22,66.41
2007-04-20,21,67.29
2007-04-27,26,67.04
2007-05-04,20,68.15
2007-05-11,22,66.96
2007-05-18,29,67.3
2007-05-25,43,66.57
2007-06-01,33,67.41
2007-06-08,39,66.69
2007-06-15,43,66.63
2007-06-22,31,65.27
2007-06-29,27,64.85
2007-07-06,27,66.01
2007-07-13,24,68.45
2007-07-20,16,67.68
2007-07-27,39,68.45
2007-08-03,27,66.2
2007-08-10,29,66.95
2007-08-17,32,67.37
2007-08-24,30,67.46
2007-08-31,24,66.32
2007-09-07,20,65.43
2007-09-14,24,68.03
2007-09-21,21,69.85
2007-09-28,28,71.32
2007-10-05,35,72.13
2007-10-12,17,74.34
2007-10-19,24,71.84
2007-10-26,23,73.95
2007-11-02,26,74.72
2007-11-09,22,76.51
2007-11-16,22,78.8
2007-11-23,33,79
2007-11-30,26,80.08
2007-12-07,25,79.81
2007-12-14,18,80.64
2007-12-21,18,78.73
2007-12-28,16,78.74
2008-01-04,16,78.78
2008-01-11,16,79.41
2008-01-18,26,77
2008-01-25,22,73.75
2008-02-01,18,75.42
2008-02-08,24,74.32
2008-02-15,29,75.32
2008-02-22,19,76.18
2008-02-29,26,76.09
2008-03-07,22,74.89
2008-03-14,21,76.28
2008-03-28,23,78.12
2008-04-04,33,78.89
2008-04-11,17,78
2008-04-18,24,77.41
2008-04-25,23,76.1
2008-05-02,21,73.68
2008-05-09,28,71.21
2008-05-16,22,72.5
2008-05-23,21,72.14
2008-05-30,16,74.36
2008-06-06,24,72.69
2008-06-13,18,73.3
2008-06-20,19,69.61
2008-06-27,24,68.21
2008-07-11,21,69.19
2008-07-18,19,68.84
2008-07-25,23,69.2
2008-08-01,21,74.44
2008-08-08,26,78.27
2008-08-15,20,78.42
2008-08-22,25,77.26
2008-08-29,18,76.03
2008-09-05,16,77.07
2008-09-12,21,79.99
2008-09-19,16,75.71
2008-09-26,22,77.06
2008-10-03,24,75.5
2008-10-10,19,60.75
2008-10-17,13,62.19
2008-10-24,27,55.94
2008-10-31,29,62.76
2008-11-07,19,63.02
2008-11-14,17,62.06
2008-11-21,21,62.65
2008-11-28,19,65.07
2008-12-05,15,63.01
2008-12-12,23,59.22
2008-12-19,16,65
2008-12-26,17,68.1
2009-01-02,19,69.32
2009-01-09,20,64.9
2009-01-16,23,63.54
2009-01-23,12,61.68
2009-01-30,19,65.04
2009-02-06,17,65.66
2009-02-13,17,63.13
2009-02-20,12,59.48
2009-02-27,23,60.18
2009-03-06,20,56.05
2009-03-13,14,57.62
2009-03-20,19,57.37
2009-03-27,22,59.51
2009-04-03,16,60.44
2009-04-17,17,60.82
2009-04-24,17,59.16
2009-05-01,15,61.4
2009-05-08,18,61.82
2009-05-15,16,63.49
2009-05-22,14,64.11
2009-05-29,13,65.95
2009-06-05,12,70.9
2009-06-12,16,71.38
2009-06-19,9,70.57
2009-06-26,18,71.76
2009-07-10,18,71.23
2009-07-17,12,73.52
2009-07-24,15,75.1
2009-07-31,17,72.44
2009-08-07,15,71.02
2009-08-14,14,71.75
2009-08-21,11,73.16
2009-08-28,16,72.76
2009-09-04,12,71.08
2009-09-11,16,75.23
2009-09-18,13,76.1
2009-09-25,12,76.5
2009-10-02,15,76.84
2009-10-09,16,78.71
2009-10-16,17,79.26
2009-10-23,11,77.72
2009-10-30,19,78.63
2009-11-06,8,79.87
2009-11-13,16,81.49
2009-11-20,17,83.97
2009-11-27,18,83.63
2009-12-04,16,85.21
2009-12-11,11,83.92
2009-12-18,9,82.62
2010-01-08,12,81.51
2010-01-15,13,80
2010-01-22,11,80.71
2010-01-29,19,80.03
2010-02-05,13,79.26
2010-02-12,15,79.66
2010-02-19,12,81.75
2010-02-26,12,82.94
2010-03-05,12,84.21
2010-03-12,12,84.15
2010-03-19,13,84.84
2010-03-26,10,84.44
2010-04-09,15,84.27
2010-04-16,12,84.25
2010-04-23,15,83.27
2010-04-30,17,84.1
2010-05-07,10,80.21
2010-05-14,14,82.76
2010-05-21,9,79.59
2010-05-28,11,78.09
2010-06-04,8,77.24
2010-06-11,10,79.15
2010-06-18,10,80.59
2010-06-25,7,79.03
2010-07-02,13,78.72
2010-07-09,14,82.15
2010-07-16,9,82.83
2010-07-23,12,83.47
2010-07-30,13,78.98
2010-08-06,10,76.5
2010-08-13,11,76.39
2010-08-20,11,76.03
2010-08-27,10,74.25
2010-09-03,6,74.85
2010-09-10,11,75.18
2010-09-17,14,77.37
2010-09-24,10,78.52
2010-10-01,13,76.57
2010-10-08,10,74.9
2010-10-15,14,75.89
2010-10-22,13,76.84
2010-10-29,16,77.12
2010-11-05,14,77.57
2010-11-12,12,76.58
2010-11-19,14,78.53
2010-11-26,7,77.39
2010-12-03,9,77.95
2010-12-10,11,78.21
2010-12-17,7,81
2010-12-31,5,80.37
2011-01-07,8,78.33
2011-01-14,15,78.31
2011-01-21,14,79
2011-01-28,8,76.99
2011-02-04,11,76.24
2011-02-11,15,78.92
2011-02-18,13,78.42
2011-02-25,8,78.12
2011-03-04,10,77.5
2011-03-11,10,79.18
2011-03-18,15,76.95
2011-03-25,16,80.15
2011-04-01,12,80.52
2011-04-08,10,81.28
2011-04-15,11,81.81
2011-04-29,11,84.35
2011-05-06,8,84.88
2011-05-13,11,86.55
2011-05-20,11,86.55
2011-05-27,16,85.72
2011-06-03,9,84.11
2011-06-10,9,84.7
2011-06-17,10,87.88
2011-06-24,11,85.46
2011-07-01,12,88.47
2011-07-08,7,88.42
2011-07-15,6,89.01
2011-07-22,12,87.62
2011-07-29,11,84.38
2011-08-05,11,84.15
2011-08-12,12,85.34
2011-08-19,12,84.99
2011-08-26,9,87.84
2011-09-02,7,88.52
2011-09-09,6,88.96
2011-09-16,13,93.64
2011-09-23,9,88.92
2011-09-30,8,88.68
2011-10-07,10,90.41
2011-10-14,11,92.34
2011-10-21,11,93.92
2011-10-28,8,91.22
2011-11-04,16,88.06
2011-11-11,7,89.17
2011-11-18,13,88.61
2011-11-25,9,86.73
2011-12-02,7,90.19
2011-12-09,14,90.46
2011-12-16,7,89.89
2011-12-23,7,93.09
2011-12-30,7,92.39
2012-01-06,8,89.8
2012-01-13,8,88.52
2012-01-20,9,89
2012-01-27,10,90.4
2012-02-03,6,91.54
2012-02-10,8,91.17
2012-02-17,10,93.25
2012-02-24,10,93.3
2012-03-02,7,93.2
2012-03-09,9,93.98
2012-03-16,9,94.79
2012-03-23,10,95.94
2012-03-30,11,97.78
2012-04-13,7,97.21
2012-04-20,11,98.88
2012-04-27,7,98.38
2012-05-04,11,99.13
2012-05-11,11,99.31
2012-05-18,8,98.79
2012-05-25,10,98.8
2012-06-01,11,96.48
2012-06-08,10,100.17
2012-06-15,9,101.53
2012-06-22,12,99.9
2012-06-29,7,104.1
2012-07-06,8,104.29
2012-07-13,10,105.46
2012-07-20,10,103.9
2012-07-27,9,107.17
2012-08-03,9,106.46
2012-08-10,7,105.37
2012-08-17,9,106.18
2012-08-24,8,105.77
2012-08-31,10,106.31
2012-09-07,8,106.3
2012-09-14,10,103.75
2012-09-21,8,106.53
2012-09-28,12,107.22
2012-10-05,8,108.45
2012-10-12,6,107.89
2012-10-19,9,107.74
2012-10-26,14,103.87
2012-11-02,9,104.96
2012-11-09,9,103.87
2012-11-16,6,105.15
2012-11-23,9,108
2012-11-30,7,108.5
2012-12-07,7,108.37
2012-12-14,6,105.84
2012-12-21,7,105.1
2012-12-28,4,104.04
2013-01-04,4,107.9
2013-01-11,6,107.09
2013-01-18,8,109.01
2013-01-25,8,110.15
2013-02-01,7,109.84
2013-02-08,4,108.49
2013-02-15,8,110.02
2013-02-22,8,113.97
2013-03-01,9,114.11
2013-03-08,7,115.74
2013-03-15,9,112.08
2013-03-22,6,114.41
2013-04-05,7,116.72
2013-04-12,6,118.37
2013-04-19,10,119.72
2013-04-26,8,118.99
2013-05-03,8,121.15
2013-05-10,7,120.72
2013-05-17,9,62.04
2013-05-24,7,61.17
2013-05-31,6,57.84
2013-06-07,9,59.1
2013-06-14,7,58.82
2013-06-21,5,56.81
2013-06-28,7,57.29
2013-07-05,7,57.86
2013-07-12,7,59.14
2013-07-19,3,58.88
2013-07-26,5,60.25
2013-08-02,5,60.53
2013-08-09,4,60.68
2013-08-16,5,59.47
2013-08-23,5,59.03
2013-08-30,6,57.77
2013-09-06,7,58
2013-09-13,8,59.43
2013-09-20,5,60.44
2013-09-27,6,59.93
2013-10-04,5,59.33
2013-10-11,6,61.45
2013-10-18,6,62.81
2013-10-25,8,63.6
2013-11-01,7,65.39
2013-11-08,8,64.83
2013-11-15,8,65.78
2013-11-22,7,66.26
2013-11-29,6,65.81
2013-12-06,5,65.66
2013-12-13,4,63.98
2013-12-20,5,64.74
2013-12-27,4,65.37
2014-01-03,4,64.18
2014-01-10,5,65.08
2014-01-17,8,64.7
2014-01-24,5,62.39
2014-01-31,6,61.23
2014-02-07,3,60.86
2014-02-14,7,62.68
2014-02-21,6,61.56
2014-02-28,4,62.83
2014-03-07,7,63.13
2014-03-14,4,63.83
2014-03-21,6,63.46
2014-03-28,5,64.1
2014-04-04,7,64.22
2014-04-11,5,65.31
2014-04-25,7,66.24
