"Date","Host.Hotels...Resorts","Price"
2011-07-08,37,17.45
2011-07-15,33,16.8
2011-07-22,37,16.97
2011-07-29,43,15.85
2011-08-05,45,13.53
2011-08-12,36,12.1
2011-08-19,39,10.78
2011-08-26,33,10.62
2011-09-02,37,11.07
2011-09-09,49,10.69
2011-09-16,42,12.12
2011-09-23,36,10.55
2011-09-30,38,10.94
2011-10-07,34,10.77
2011-10-14,37,12.37
2011-10-21,39,13.45
2011-10-28,24,14.59
2011-11-04,24,14.54
2011-11-11,23,14.1
2011-11-18,27,13.79
2011-11-25,23,12.81
2011-12-02,26,14.31
2011-12-09,25,14.31
2011-12-16,29,13.88
2011-12-23,29,14.52
2011-12-30,24,14.77
2012-01-06,32,14.99
2012-01-13,35,15.56
2012-01-20,35,16.23
2012-01-27,37,16.52
2012-02-03,35,16.91
2012-02-10,28,16.68
2012-02-17,39,16.4
2012-02-24,30,15.98
2012-03-02,30,15.52
2012-03-09,36,15.55
2012-03-16,33,15.99
2012-03-23,25,16.2
2012-03-30,40,16.42
2012-04-13,35,16.31
2012-04-20,27,16.78
2012-04-27,41,16.79
2012-05-04,24,16.27
2012-05-11,18,16.13
2012-05-18,30,14.11
2012-05-25,32,15.15
2012-06-01,32,14.43
2012-06-08,28,15.34
2012-06-15,32,15.58
2012-06-22,43,15.42
2012-06-29,29,15.82
2012-07-06,32,16
2012-07-13,41,15.23
2012-07-20,49,15.04
2012-07-27,37,14.76
2012-08-03,46,15.04
2012-08-10,35,15.28
2012-08-17,38,15.56
2012-08-24,37,15.35
2012-08-31,48,15.3
2012-09-07,39,16.3
2012-09-14,30,17.25
2012-09-21,31,16.64
2012-09-28,33,16.05
2012-10-05,39,15.72
2012-10-12,27,15.69
2012-10-19,29,15.55
2012-10-26,31,14.79
2012-11-02,20,14.64
2012-11-09,22,14.24
2012-11-16,28,13.78
2012-11-23,12,14.68
2012-11-30,24,14.69
2012-12-07,21,15.09
2012-12-14,25,15.26
2012-12-21,18,15.8
2012-12-28,16,15.38
2013-01-04,28,16.68
2013-01-11,28,16.67
2013-01-18,31,16.71
2013-01-25,27,17.19
2013-02-01,23,16.69
2013-02-08,30,16.81
2013-02-15,24,17.17
2013-02-22,36,16.89
2013-03-01,29,16.61
2013-03-08,35,16.93
2013-03-15,29,17.73
2013-03-22,32,17
2013-04-05,28,17.45
2013-04-12,34,17.87
2013-04-19,30,17.57
2013-04-26,32,17.73
2013-05-03,24,18.35
2013-05-10,21,18.57
2013-05-17,32,18.77
2013-05-24,33,18.13
2013-05-31,20,17.79
2013-06-07,26,17.42
2013-06-14,33,17.22
2013-06-21,32,16.18
2013-06-28,20,16.87
2013-07-05,29,17.55
2013-07-12,23,17.99
2013-07-19,42,18.55
2013-07-26,33,18.12
2013-08-02,33,18.5
2013-08-09,31,17.7
2013-08-16,31,16.52
2013-08-23,34,17.42
2013-08-30,32,17.03
2013-09-06,16,17.29
2013-09-13,40,18.06
2013-09-20,18,18.22
2013-09-27,26,17.82
2013-10-04,27,17.78
2013-10-11,34,17.91
2013-10-18,37,18.58
2013-10-25,20,18.78
2013-11-01,28,18.81
2013-11-08,31,18.6
2013-11-15,29,19.01
2013-11-22,22,18.58
2013-11-29,15,18.41
2013-12-06,26,18.47
2013-12-13,24,18.07
2013-12-20,17,19.07
2013-12-27,16,19.35
2014-01-03,22,19.13
2014-01-10,23,19.18
2014-01-17,33,19.42
2014-01-24,26,18.79
2014-01-31,34,18.39
2014-02-07,22,18.42
2014-02-14,23,18.99
2014-02-21,34,19.54
2014-02-28,24,19.67
2014-03-07,33,20.13
2014-03-14,29,20.39
2014-03-21,28,20.28
2014-03-28,36,19.94
2014-04-04,31,20.52
2014-04-11,26,20.05
2014-04-25,25,20.9
