"Date","MSI","Price"
2008-06-20,47,7.94
2008-06-27,49,7.35
2008-07-11,54,6.99
2008-07-18,53,7.46
2008-07-25,53,7.25
2008-08-01,50,8.81
2008-08-08,53,9.63
2008-08-15,53,10.33
2008-08-22,53,9.99
2008-08-29,53,9.42
2008-09-05,52,9.06
2008-09-12,51,8.13
2008-09-19,49,7.53
2008-09-26,50,7.63
2008-10-03,47,6.72
2008-10-10,48,4.68
2008-10-17,48,5.62
2008-10-24,47,5.01
2008-10-31,46,5.37
2008-11-07,46,4.79
2008-11-14,48,4.08
2008-11-21,48,3.28
2008-11-28,49,4.31
2008-12-05,49,4.36
2008-12-12,49,4.19
2008-12-19,49,4.45
2008-12-26,54,4.05
2009-01-02,51,4.67
2009-01-09,49,4.46
2009-01-16,51,4.54
2009-01-23,50,4.6
2009-01-30,49,4.43
2009-02-06,47,3.88
2009-02-13,46,3.87
2009-02-20,45,3.61
2009-02-27,46,3.52
2009-03-06,45,3.1
2009-03-13,44,3.75
2009-03-20,44,3.96
2009-03-27,41,4.37
2009-04-03,39,4.56
2009-04-17,39,5.56
2009-04-24,39,5.81
2009-05-01,38,5.54
2009-05-08,38,6.5
2009-05-15,39,5.91
2009-05-22,37,5.9
2009-05-29,37,6.06
2009-06-05,38,6.24
2009-06-12,39,6.73
2009-06-19,37,6.11
2009-06-26,36,6.62
2009-07-10,36,6.05
2009-07-17,36,6.3
2009-07-24,36,6.58
2009-07-31,36,7.16
2009-08-07,36,7.13
2009-08-14,38,7.26
2009-08-21,38,7.58
2009-08-28,40,7.21
2009-09-04,37,7.73
2009-09-11,37,8.68
2009-09-18,38,8.96
2009-09-25,37,8.11
2009-10-02,36,7.99
2009-10-09,36,8.48
2009-10-16,37,7.85
2009-10-23,37,8.24
2009-10-30,38,8.57
2009-11-06,40,8.89
2009-11-13,37,8.78
2009-11-20,37,8.28
2009-11-27,40,8.2
2009-12-04,37,8.18
2009-12-11,37,8.55
2009-12-18,38,8.53
2010-01-08,38,7.76
2010-01-15,38,7.58
2010-01-22,37,7.21
2010-01-29,36,6.15
2010-02-05,36,6.4
2010-02-12,34,7.15
2010-02-19,34,7.01
2010-02-26,34,6.76
2010-03-05,35,6.95
2010-03-12,35,7.01
2010-03-19,34,7.18
2010-03-26,32,7.17
2010-04-09,32,7.39
2010-04-16,31,7.31
2010-04-23,31,7.09
2010-04-30,30,7.07
2010-05-07,28,6.6
2010-05-14,30,6.79
2010-05-21,30,6.84
2010-05-28,29,6.85
2010-06-04,30,6.7
2010-06-11,29,7.11
2010-06-18,29,7.26
2010-06-25,30,7.07
2010-07-02,28,6.48
2010-07-09,28,6.76
2010-07-16,28,7.5
2010-07-23,29,7.75
2010-07-30,30,7.49
2010-08-06,30,8
2010-08-13,32,7.64
2010-08-20,32,7.48
2010-08-27,32,7.68
2010-09-03,31,7.94
2010-09-10,31,7.92
2010-09-17,30,8.38
2010-09-24,30,8.68
2010-10-01,29,8.56
2010-10-08,29,8.3
2010-10-15,29,7.95
2010-10-22,29,7.83
2010-10-29,29,8.16
2010-11-05,28,8.2
2010-11-12,28,7.99
2010-11-19,28,8.12
2010-11-26,28,7.82
2010-12-03,27,8.24
2010-12-10,27,8.64
2010-12-17,27,8.88
2010-12-31,29,9.07
2011-01-07,29,38.9
2011-01-14,30,38.28
2011-01-21,29,37.15
2011-01-28,29,37.96
2011-02-04,28,39.31
2011-02-11,28,39.34
2011-02-18,28,39.01
2011-02-25,27,38.14
2011-03-04,28,40.15
2011-03-11,27,41.24
2011-03-18,27,41.63
2011-03-25,27,43.95
2011-04-01,27,44.4
2011-04-08,26,43.86
2011-04-15,26,43.81
2011-04-29,25,45.88
2011-05-06,24,46.02
2011-05-13,25,46.65
2011-05-20,25,46.78
2011-05-27,24,47.58
2011-06-03,24,46.47
2011-06-10,24,45.3
2011-06-17,24,45.48
2011-06-24,26,45.4
2011-07-01,24,46.5
2011-07-08,24,45.08
2011-07-15,24,43.96
2011-07-22,24,44.77
2011-07-29,24,44.89
2011-08-05,24,42.13
2011-08-12,25,40
2011-08-19,25,38.72
2011-08-26,24,40.43
2011-09-02,24,40.4
2011-09-09,24,40.34
2011-09-16,23,44.81
2011-09-23,24,41.69
2011-09-30,23,41.9
2011-10-07,23,43.64
2011-10-14,24,45.02
2011-10-21,23,45.99
2011-10-28,24,47.41
2011-11-04,24,45.95
2011-11-11,24,46.24
2011-11-18,23,45.57
2011-11-25,24,43.7
2011-12-02,24,46.8
2011-12-09,23,47.02
2011-12-16,22,46.16
2011-12-23,22,47.12
2011-12-30,23,46.29
2012-01-06,22,46.55
2012-01-13,22,46.48
2012-01-20,22,47.59
2012-01-27,21,45.8
2012-02-03,21,47.13
2012-02-10,21,47.4
2012-02-17,20,50.63
2012-02-24,21,49.43
2012-03-02,20,50.84
2012-03-09,20,50.74
2012-03-16,20,50.53
2012-03-23,19,50.67
2012-03-30,20,50.83
2012-04-13,19,48.4
2012-04-20,19,49.01
2012-04-27,19,50.75
2012-05-04,19,50.61
2012-05-11,19,49.83
2012-05-18,19,46.97
2012-05-25,19,48.02
2012-06-01,19,46.96
2012-06-08,19,48.6
2012-06-15,19,48.7
2012-06-22,19,47.88
2012-06-29,19,48.11
2012-07-06,19,46.97
2012-07-13,18,45.95
2012-07-20,18,46.5
2012-07-27,19,47.76
2012-08-03,19,47.06
2012-08-10,19,48.1
2012-08-17,19,47.85
2012-08-24,19,47.63
2012-08-31,20,47.66
2012-09-07,19,49.3
2012-09-14,19,50.54
2012-09-21,20,51.79
2012-09-28,19,50.55
2012-10-05,19,51.32
2012-10-12,18,50.09
2012-10-19,18,50.23
2012-10-26,19,51.62
2012-11-02,19,52.9
2012-11-09,19,53.11
2012-11-16,18,52.89
2012-11-23,20,54.76
2012-11-30,20,54.45
2012-12-07,20,54.6
2012-12-14,19,54.05
2012-12-21,19,54.58
2012-12-28,20,54.08
2013-01-04,19,56.28
2013-01-11,20,57.5
2013-01-18,19,59.01
2013-01-25,20,58.6
2013-02-01,19,58.87
2013-02-08,19,60.3
2013-02-15,18,61.43
2013-02-22,19,61.9
2013-03-01,19,62.03
2013-03-08,18,62.75
2013-03-15,19,62.07
2013-03-22,18,63.61
2013-04-05,18,62.67
2013-04-12,17,63.87
2013-04-19,17,61.72
2013-04-26,17,56.8
2013-05-03,16,57.29
2013-05-10,16,56.48
2013-05-17,16,57.84
2013-05-24,16,57.81
2013-05-31,17,57.96
2013-06-07,18,56.94
2013-06-14,18,56.93
2013-06-21,17,55.82
2013-06-28,17,57.73
2013-07-05,18,57.93
2013-07-12,17,59.54
2013-07-19,18,59.85
2013-07-26,18,54.26
2013-08-02,18,56.02
2013-08-09,19,57.36
2013-08-16,18,57.15
2013-08-23,19,56.74
2013-08-30,19,56.01
2013-09-06,19,56.47
2013-09-13,18,57.46
2013-09-20,18,60.39
2013-09-27,19,59.75
2013-10-04,19,61.14
2013-10-11,19,60.52
2013-10-18,19,60.81
2013-10-25,19,62.99
2013-11-01,20,62.39
2013-11-08,20,63.12
2013-11-15,20,65.57
2013-11-22,20,65.88
2013-11-29,21,65.88
2013-12-06,21,66.18
2013-12-13,21,65.05
2013-12-20,20,65.61
2013-12-27,21,67.33
2014-01-03,20,66.2
2014-01-10,21,66.15
2014-01-17,20,66.1
2014-01-24,20,64.42
2014-01-31,20,63.8
2014-02-07,19,64.6
2014-02-14,20,65.61
2014-02-21,19,65.02
2014-02-28,19,66.2
2014-03-07,19,66.64
2014-03-14,19,63.67
2014-03-21,18,66.81
2014-03-28,19,64.3
2014-04-04,18,64.26
2014-04-11,18,63.39
2014-04-25,18,62.5
