"Date","LH","Price"
2009-06-12,83,62.36
2009-06-19,84,66.76
2009-06-26,85,67.03
2009-07-10,80,66.26
2009-07-17,82,66.97
2009-07-24,78,68.59
2009-07-31,84,67.19
2009-08-07,79,67.29
2009-08-14,74,68.36
2009-08-21,77,69.84
2009-08-28,85,70.46
2009-09-04,77,69.5
2009-09-11,100,69.23
2009-09-18,88,63.5
2009-09-25,85,65.82
2009-10-02,85,64.35
2009-10-09,89,67.53
2009-10-16,80,67.56
2009-10-23,85,70.73
2009-10-30,89,68.89
2009-11-06,92,71.75
2009-11-13,93,72.78
2009-11-20,90,73.66
2009-11-27,87,73.29
2009-12-04,89,73.05
2009-12-11,86,73.81
2009-12-18,91,74.44
2010-01-08,86,74.06
2010-01-15,89,75.75
2010-01-22,87,72.27
2010-01-29,86,71.1
2010-02-05,91,70.64
2010-02-12,87,71.76
2010-02-19,89,73.98
2010-02-26,93,73.31
2010-03-05,91,72.45
2010-03-12,87,73.7
2010-03-19,86,75.51
2010-03-26,88,75.58
2010-04-09,83,76.16
2010-04-16,91,76.98
2010-04-23,96,79.99
2010-04-30,85,78.57
2010-05-07,91,75.23
2010-05-14,85,77.47
2010-05-21,83,76
2010-05-28,83,75.61
2010-06-04,81,75.05
2010-06-11,82,78.24
2010-06-18,83,80.25
2010-06-25,77,77.19
2010-07-02,76,74.5
2010-07-09,73,74.33
2010-07-16,69,75.03
2010-07-23,71,72.96
2010-07-30,76,72.98
2010-08-06,76,75.5
2010-08-13,73,75.01
2010-08-20,79,75.76
2010-08-27,75,75.22
2010-09-03,74,75.05
2010-09-10,74,76.65
2010-09-17,76,74.96
2010-09-24,74,76.83
2010-10-01,76,78.03
2010-10-08,76,79.39
2010-10-15,73,79.12
2010-10-22,75,79.16
2010-10-29,77,81.32
2010-11-05,73,82.99
2010-11-12,78,82.17
2010-11-19,75,83.01
2010-11-26,74,80.87
2010-12-03,74,83.73
2010-12-10,72,84.62
2010-12-17,72,88.92
2010-12-31,65,87.92
2011-01-07,71,89.67
2011-01-14,69,91.15
2011-01-21,70,89.76
2011-01-28,71,90.57
2011-02-04,69,90.4
2011-02-11,73,87.79
2011-02-18,77,89.01
2011-02-25,72,89.68
2011-03-04,68,92.38
2011-03-11,70,90.06
2011-03-18,73,87
2011-03-25,70,88.85
2011-04-01,72,92.86
2011-04-08,77,92.82
2011-04-15,73,95.79
2011-04-29,75,96.47
2011-05-06,73,97.59
2011-05-13,76,99.73
2011-05-20,76,100.6
2011-05-27,77,99.98
2011-06-03,72,97.11
2011-06-10,76,95.54
2011-06-17,69,96.5
2011-06-24,73,94.51
2011-07-01,73,98.42
2011-07-08,69,98.27
2011-07-15,70,95.73
2011-07-22,69,93.1
2011-07-29,71,90.76
2011-08-05,69,86.03
2011-08-12,71,83.04
2011-08-19,73,79.09
2011-08-26,72,80.64
2011-09-02,71,81.23
2011-09-09,70,81.02
2011-09-16,72,83.42
2011-09-23,74,79.66
2011-09-30,73,79.05
2011-10-07,73,78.33
2011-10-14,70,80.46
2011-10-21,78,82.24
2011-10-28,73,86.87
2011-11-04,72,81.83
2011-11-11,76,83.81
2011-11-18,73,80.99
2011-11-25,70,80.7
2011-12-02,70,86.23
2011-12-09,75,83.43
2011-12-16,73,81.63
2011-12-23,65,87.32
2011-12-30,63,85.97
2012-01-06,70,87.41
2012-01-13,75,86.94
2012-01-20,72,88.64
2012-01-27,75,91.32
2012-02-03,76,93.09
2012-02-10,78,90.03
2012-02-17,74,87.94
2012-02-24,78,89.08
2012-03-02,78,89.32
2012-03-09,76,88.74
2012-03-16,78,90.33
2012-03-23,75,89.47
2012-03-30,76,91.54
2012-04-13,72,88.52
2012-04-20,79,87.59
2012-04-27,79,87.49
2012-05-04,71,86.71
2012-05-11,74,86.72
2012-05-18,74,84.22
2012-05-25,75,85.73
2012-06-01,77,82.37
2012-06-08,74,85.69
2012-06-15,77,87.5
2012-06-22,77,89.19
2012-06-29,72,92.61
2012-07-06,68,91.97
2012-07-13,72,95.25
2012-07-20,71,85.26
2012-07-27,73,85.21
2012-08-03,72,87.45
2012-08-10,70,88.5
2012-08-17,69,89.01
2012-08-24,71,88.84
2012-08-31,81,87.95
2012-09-07,79,88.79
2012-09-14,76,90.99
2012-09-21,78,91.58
2012-09-28,77,92.47
2012-10-05,73,93.46
2012-10-12,73,92.73
2012-10-19,71,86.63
2012-10-26,73,84.95
2012-11-02,72,85.27
2012-11-09,70,84.44
2012-11-16,71,82.4
2012-11-23,72,83.75
2012-11-30,71,84.59
2012-12-07,69,85
2012-12-14,72,87.1
2012-12-21,66,86.72
2012-12-28,59,85.89
2013-01-04,62,87.87
2013-01-11,71,86.41
2013-01-18,69,88.53
2013-01-25,75,88.66
2013-02-01,70,90.47
2013-02-08,69,90.24
2013-02-15,74,89.84
2013-02-22,68,88.98
2013-03-01,71,89.05
2013-03-08,71,89.45
2013-03-15,77,89.19
2013-03-22,75,88.25
2013-04-05,75,93.05
2013-04-12,75,94.36
2013-04-19,77,93.86
2013-04-26,74,93.67
2013-05-03,74,92.81
2013-05-10,74,94.36
2013-05-17,76,98.97
2013-05-24,72,100.37
2013-05-31,76,99.49
2013-06-07,74,99.87
2013-06-14,77,100
2013-06-21,74,99.46
2013-06-28,74,100.1
2013-07-05,71,99.9
2013-07-12,72,96.7
2013-07-19,76,96.88
2013-07-26,76,98.35
2013-08-02,76,97.46
2013-08-09,75,97.77
2013-08-16,73,96.86
2013-08-23,75,96.5
2013-08-30,77,95.72
2013-09-06,77,98.17
2013-09-13,74,100.7
2013-09-20,72,99.57
2013-09-27,76,98.63
2013-10-04,76,100.47
2013-10-11,73,100.48
2013-10-18,70,100.2
2013-10-25,76,100.22
2013-11-01,74,101.14
2013-11-08,72,104.97
2013-11-15,76,106.33
2013-11-22,73,105.16
2013-11-29,73,101.85
2013-12-06,72,100
2013-12-13,72,89.13
2013-12-20,71,90
2013-12-27,57,90.97
2014-01-03,62,90.77
2014-01-10,70,91.98
2014-01-17,74,91.8
2014-01-24,72,90.1
2014-01-31,71,89.83
2014-02-07,72,89.15
2014-02-14,72,91.94
2014-02-21,74,93.56
2014-02-28,75,93.54
2014-03-07,72,95.32
2014-03-14,73,95.63
2014-03-21,78,97.03
2014-03-28,75,98.04
2014-04-04,78,101.48
2014-04-11,96,99.45
2014-04-25,81,99.49
