"Date","Charles.Schwab","Price"
2005-09-02,51,13.41
2005-09-09,51,13.7
2005-09-16,53,14.35
2005-09-23,47,14.15
2005-09-30,52,14.43
2005-10-07,55,13.97
2005-10-14,58,13.13
2005-10-21,63,13.78
2005-10-28,57,14.6
2005-11-04,70,15.12
2005-11-11,57,16
2005-11-18,59,14.96
2005-11-25,60,15.38
2005-12-02,57,15.61
2005-12-09,52,14.96
2005-12-16,71,15.09
2005-12-23,69,15
2005-12-30,83,14.67
2006-01-06,78,16.04
2006-01-13,83,15.22
2006-01-20,52,14.49
2006-01-27,64,14.87
2006-02-03,69,14.6
2006-02-10,56,14.55
2006-02-17,58,16.12
2006-02-24,65,16.56
2006-03-03,70,16.7
2006-03-10,60,16.34
2006-03-17,62,18.13
2006-03-24,56,17.39
2006-03-31,55,17.21
2006-04-07,69,18
2006-04-21,68,17.87
2006-04-28,59,17.9
2006-05-05,61,18.45
2006-05-12,59,17.23
2006-05-19,54,16.65
2006-05-26,50,16.85
2006-06-02,45,16.97
2006-06-09,45,16.16
2006-06-16,55,15.52
2006-06-23,50,15.34
2006-06-30,52,15.98
2006-07-07,52,15.28
2006-07-14,51,14.62
2006-07-21,59,14.7
2006-07-28,51,15.86
2006-08-04,56,16.21
2006-08-11,53,15.86
2006-08-18,60,16.38
2006-08-25,51,15.98
2006-09-01,50,16.48
2006-09-08,45,16.28
2006-09-15,52,17.51
2006-09-22,53,17.22
2006-09-29,59,17.91
2006-10-06,59,18.21
2006-10-13,56,17.56
2006-10-20,65,16.85
2006-10-27,64,17.81
2006-11-03,55,18.04
2006-11-10,59,18.18
2006-11-17,58,18.56
2006-11-24,44,18.99
2006-12-01,58,18.02
2006-12-08,57,19.27
2006-12-15,54,19.33
2006-12-22,56,18.95
2006-12-29,68,19.34
2007-01-05,67,19.2
2007-01-12,65,20.35
2007-01-19,60,19.05
2007-01-26,67,18.78
2007-02-02,60,19.33
2007-02-09,63,18.7
2007-02-16,59,19.53
2007-02-23,61,19.23
2007-03-02,65,18.11
2007-03-09,56,18.4
2007-03-16,59,17.97
2007-03-23,58,19
2007-03-30,64,18.29
2007-04-13,70,19.01
2007-04-20,70,19.42
2007-04-27,63,19.61
2007-05-04,66,19.51
2007-05-11,57,19.42
2007-05-18,54,20.97
2007-05-25,59,21.09
2007-06-01,52,22.69
2007-06-08,57,21.73
2007-06-15,55,21.8
2007-06-22,56,20.65
2007-06-29,51,20.52
2007-07-06,51,22.06
2007-07-13,62,22.22
2007-07-20,65,20.03
2007-07-27,54,19.61
2007-08-03,55,18.65
2007-08-10,55,18.55
2007-08-17,64,19.66
2007-08-24,53,19.95
2007-08-31,53,19.8
2007-09-07,43,18.98
2007-09-14,50,19.95
2007-09-21,58,20.87
2007-09-28,52,21.6
2007-10-05,61,22.83
2007-10-12,57,22.68
2007-10-19,57,21.6
2007-10-26,55,22.75
2007-11-02,63,22.81
2007-11-09,56,22.23
2007-11-16,58,23.58
2007-11-23,48,23.56
2007-11-30,63,24.31
2007-12-07,57,24.53
2007-12-14,55,24.25
2007-12-21,51,24.88
2007-12-28,55,25.12
2008-01-04,69,23.95
2008-01-11,66,22.55
2008-01-18,72,21.95
2008-01-25,74,21.21
2008-02-01,66,22.04
2008-02-08,59,19.76
2008-02-15,61,20.35
2008-02-22,58,20.05
2008-02-29,55,19.61
2008-03-07,61,19.04
2008-03-14,56,19.79
2008-03-28,60,18.04
2008-04-04,60,19.04
2008-04-11,64,18.33
2008-04-18,64,21.7
2008-04-25,61,21.94
2008-05-02,62,22.65
2008-05-09,59,21.47
2008-05-16,56,22.51
2008-05-23,53,21.34
2008-05-30,49,22.18
2008-06-06,51,21.7
2008-06-13,51,22.39
2008-06-20,47,21.45
2008-06-27,48,20.72
2008-07-11,51,19.72
2008-07-18,59,22.64
2008-07-25,61,22.09
2008-08-01,55,22.78
2008-08-08,56,22.82
2008-08-15,47,23.17
2008-08-22,52,23.73
2008-08-29,44,23.99
2008-09-05,45,24.09
2008-09-12,57,23.97
2008-09-19,100,25.25
2008-09-26,81,24.32
2008-10-03,88,22.49
2008-10-10,99,20.2
2008-10-17,92,21
2008-10-24,64,16.29
2008-10-31,67,19.12
2008-11-07,55,18.67
2008-11-14,51,16.61
2008-11-21,56,16.69
2008-11-28,52,18.33
2008-12-05,53,18.37
2008-12-12,57,16.71
2008-12-19,52,15.14
2008-12-26,46,15.23
2009-01-02,62,16.18
2009-01-09,56,15.46
2009-01-16,53,14.84
2009-01-23,54,14.65
2009-01-30,58,13.59
2009-02-06,54,14.55
2009-02-13,59,13.06
2009-02-20,54,13
2009-02-27,58,12.71
2009-03-06,63,11.36
2009-03-13,65,14.09
2009-03-20,69,13.71
2009-03-27,68,15.15
2009-04-03,68,16.37
2009-04-17,73,17.61
2009-04-24,57,17.84
2009-05-01,58,18.06
2009-05-08,69,18.74
2009-05-15,57,16.91
2009-05-22,53,16.97
2009-05-29,47,17.6
2009-06-05,62,18.12
2009-06-12,57,18.08
2009-06-19,50,17.92
2009-06-26,50,17.81
2009-07-10,51,16.47
2009-07-17,63,17.08
2009-07-24,62,16.6
2009-07-31,66,17.87
2009-08-07,72,19.45
2009-08-14,61,18.26
2009-08-21,69,18.01
2009-08-28,61,17.73
2009-09-04,56,18.1
2009-09-11,57,17.94
2009-09-18,63,17.61
2009-09-25,57,18.45
2009-10-02,52,18.73
2009-10-09,61,19.49
2009-10-16,64,18.21
2009-10-23,57,17.94
2009-10-30,56,17.34
2009-11-06,54,17.13
2009-11-13,55,18.25
2009-11-20,49,18.25
2009-11-27,42,17.74
2009-12-04,54,18.55
2009-12-11,48,18.43
2009-12-18,54,18.18
2010-01-08,64,19.16
2010-01-15,58,19
2010-01-22,58,18.82
2010-01-29,59,18.29
2010-02-05,57,18.07
2010-02-12,55,17.61
2010-02-19,58,18.73
2010-02-26,53,18.31
2010-03-05,59,18.96
2010-03-12,60,18.43
2010-03-19,58,18.58
2010-03-26,60,18.76
2010-04-09,68,19.23
2010-04-16,73,18.96
2010-04-23,58,19.88
2010-04-30,58,19.29
2010-05-07,57,17.22
2010-05-14,56,16.87
2010-05-21,49,16.67
2010-05-28,52,16.34
2010-06-04,51,16.31
2010-06-11,51,16.32
2010-06-18,51,15.45
2010-06-25,48,14.94
2010-07-02,50,13.94
2010-07-09,48,14.24
2010-07-16,51,15.14
2010-07-23,54,15.22
2010-07-30,53,14.79
2010-08-06,57,15.28
2010-08-13,55,14.52
2010-08-20,55,14.13
2010-08-27,50,13.22
2010-09-03,52,13.86
2010-09-10,49,13.67
2010-09-17,53,13.73
2010-09-24,60,13.97
2010-10-01,59,14.13
2010-10-08,61,14.2
2010-10-15,63,14.51
2010-10-22,60,14.98
2010-10-29,53,15.41
2010-11-05,66,16.1
2010-11-12,64,15.16
2010-11-19,57,15.08
2010-11-26,41,15.05
2010-12-03,60,16.13
2010-12-10,62,16.72
2010-12-17,62,16.81
2010-12-31,68,17.11
2011-01-07,72,17.89
2011-01-14,69,18.83
2011-01-21,61,18.19
2011-01-28,64,17.79
2011-02-04,67,18.12
2011-02-11,67,19.25
2011-02-18,65,19.45
2011-02-25,57,18.91
2011-03-04,66,18.66
2011-03-11,60,18.69
2011-03-18,56,17.56
2011-03-25,68,18.09
2011-04-01,63,18.51
2011-04-08,69,18.35
2011-04-15,66,18.61
2011-04-29,63,18.31
2011-05-06,56,18.06
2011-05-13,54,17.64
2011-05-20,51,17.32
2011-05-27,52,17.54
2011-06-03,49,16.76
2011-06-10,47,16.04
2011-06-17,52,15.91
2011-06-24,49,15.78
2011-07-01,59,16.72
2011-07-08,56,15.6
2011-07-15,58,15.01
2011-07-22,62,15.44
2011-07-29,60,14.93
2011-08-05,68,13.66
2011-08-12,82,12.29
2011-08-19,66,11.17
2011-08-26,62,12.01
2011-09-02,58,11.54
2011-09-09,46,11.27
2011-09-16,54,12.34
2011-09-23,55,11.38
2011-09-30,56,11.27
2011-10-07,72,11.64
2011-10-14,60,12.75
2011-10-21,59,12.26
2011-10-28,64,12.86
2011-11-04,60,12.66
2011-11-11,58,12.36
2011-11-18,54,11.26
2011-11-25,42,10.77
2011-12-02,61,11.67
2011-12-09,54,11.97
2011-12-16,50,10.85
2011-12-23,53,11.54
2011-12-30,54,11.26
2012-01-06,59,12.04
2012-01-13,61,12.16
2012-01-20,60,12.81
2012-01-27,58,11.67
2012-02-03,66,12.81
2012-02-10,67,12.18
2012-02-17,63,12.87
2012-02-24,60,13.52
2012-03-02,62,13.82
2012-03-09,58,14.13
2012-03-16,62,15.32
2012-03-23,59,15.02
2012-03-30,57,14.37
2012-04-13,59,13.87
2012-04-20,55,14.02
2012-04-27,48,14.31
2012-05-04,48,13.53
2012-05-11,43,13.11
2012-05-18,52,12.33
2012-05-25,46,12.8
2012-06-01,40,12.1
2012-06-08,46,12.3
2012-06-15,47,12.67
2012-06-22,44,12.37
2012-06-29,46,12.93
2012-07-06,40,12.64
2012-07-13,44,12.69
2012-07-20,48,12.49
2012-07-27,48,12.92
2012-08-03,48,12.8
2012-08-10,49,12.88
2012-08-17,50,13.2
2012-08-24,47,13.27
2012-08-31,44,13.49
2012-09-07,46,14.03
2012-09-14,52,14.43
2012-09-21,48,13.58
2012-09-28,46,12.79
2012-10-05,49,13.25
2012-10-12,43,12.95
2012-10-19,47,13.32
2012-10-26,42,13.47
2012-11-02,40,13.74
2012-11-09,46,13.06
2012-11-16,46,12.78
2012-11-23,35,13.23
2012-11-30,45,13.1
2012-12-07,44,13.42
2012-12-14,43,13.7
2012-12-21,46,14.32
2012-12-28,42,14.14
2013-01-04,55,15.46
2013-01-11,52,15.39
2013-01-18,50,15.45
2013-01-25,51,16.05
2013-02-01,57,16.75
2013-02-08,52,16.89
2013-02-15,53,16.9
2013-02-22,49,16.73
2013-03-01,52,16.4
2013-03-08,58,17.66
2013-03-15,53,17.86
2013-03-22,50,17.54
2013-04-05,52,16.55
2013-04-12,59,17.28
2013-04-19,53,16.39
2013-04-26,59,16.73
2013-05-03,52,17.47
2013-05-10,52,18.09
2013-05-17,54,19.34
2013-05-24,50,19.16
2013-05-31,45,19.86
2013-06-07,47,20.12
2013-06-14,45,19.71
2013-06-21,49,20.64
2013-06-28,46,21.23
2013-07-05,44,22.01
2013-07-12,54,21.69
2013-07-19,54,21.68
2013-07-26,52,22.12
2013-08-02,53,22.65
2013-08-09,50,22.29
2013-08-16,51,21.56
2013-08-23,47,21.53
2013-08-30,42,20.88
2013-09-06,43,21.58
2013-09-13,47,22.03
2013-09-20,51,21.27
2013-09-27,46,21.19
2013-10-04,48,21.58
2013-10-11,49,21.78
2013-10-18,53,23.77
2013-10-25,50,23.56
2013-11-01,52,23.12
2013-11-08,54,24.02
2013-11-15,51,24.42
2013-11-22,50,24.92
2013-11-29,40,24.48
2013-12-06,47,24.83
2013-12-13,46,24.79
2013-12-20,52,25.61
2013-12-27,53,25.66
2014-01-03,57,25.9
2014-01-10,57,25.66
2014-01-17,55,26.77
2014-01-24,50,25.27
2014-01-31,52,24.82
2014-02-07,53,24.6
2014-02-14,55,25.45
2014-02-21,51,26.25
2014-02-28,57,26.51
2014-03-07,60,27
2014-03-14,52,26.05
2014-03-21,52,28.53
2014-03-28,48,27.19
2014-04-04,58,26.05
2014-04-11,56,24.85
2014-04-25,46,26.85
