"Date","Juniper.Networks","Price"
2013-05-24,19,17.35
2013-05-31,19,17.73
2013-06-07,21,19.06
2013-06-14,19,19.05
2013-06-21,20,18.79
2013-06-28,20,19.31
2013-07-05,20,19.61
2013-07-12,20,20.35
2013-07-19,19,21.04
2013-07-26,23,21.52
2013-08-02,18,21.8
2013-08-09,20,20.92
2013-08-16,18,20.44
2013-08-23,20,19.74
2013-08-30,19,18.9
2013-09-06,19,20.83
2013-09-13,20,21.02
2013-09-20,19,20.99
2013-09-27,21,19.95
2013-10-04,20,20.85
2013-10-11,20,20.18
2013-10-18,26,20.82
2013-10-25,29,18.7
2013-11-01,23,18.48
2013-11-08,23,19.27
2013-11-15,25,19.84
2013-11-22,19,20.56
2013-11-29,20,20.27
2013-12-06,22,21.67
2013-12-13,19,20.67
2013-12-20,19,21.77
2013-12-27,14,22.22
2014-01-03,17,22.77
2014-01-10,21,23.54
2014-01-17,28,26
2014-01-24,27,27.72
2014-01-31,22,26.61
2014-02-07,24,27.25
2014-02-14,23,27.42
2014-02-21,24,27.95
2014-02-28,27,26.74
2014-03-07,26,26.26
2014-03-14,21,25.62
2014-03-21,19,25.96
2014-03-28,21,25.62
2014-04-04,22,25.9
2014-04-11,21,24.29
2014-04-25,19,24.48
