"Date","AME","Price"
2009-04-17,80,35.71
2009-04-24,73,32.88
2009-05-01,78,32.02
2009-05-08,81,33.07
2009-05-15,76,29.99
2009-05-22,75,30.22
2009-05-29,78,31.45
2009-06-05,75,34.58
2009-06-12,77,35.19
2009-06-19,81,34.04
2009-06-26,77,34.41
2009-07-10,81,32.85
2009-07-17,77,35.59
2009-07-24,79,38.41
2009-07-31,74,32.36
2009-08-07,74,31.4
2009-08-14,74,31.18
2009-08-21,78,31.87
2009-08-28,80,31.43
2009-09-04,81,31.81
2009-09-11,80,34.88
2009-09-18,80,35.5
2009-09-25,81,34.66
2009-10-02,82,33.33
2009-10-09,80,34.7
2009-10-16,78,35.56
2009-10-23,80,36.77
2009-10-30,89,34.89
2009-11-06,87,35.71
2009-11-13,83,36.26
2009-11-20,83,36.69
2009-11-27,81,36.78
2009-12-04,75,37.41
2009-12-11,78,37.82
2009-12-18,77,39.05
2010-01-08,81,39.32
2010-01-15,81,38.44
2010-01-22,83,37.37
2010-01-29,80,36.44
2010-02-05,83,36.29
2010-02-12,83,37.65
2010-02-19,78,38.82
2010-02-26,82,39.04
2010-03-05,82,39.95
2010-03-12,83,40.14
2010-03-19,78,39.52
2010-03-26,87,39.92
2010-04-09,96,42.44
2010-04-16,100,41.79
2010-04-23,91,43.53
2010-04-30,99,43.25
2010-05-07,91,40.22
2010-05-14,89,43.08
2010-05-21,96,40.58
2010-05-28,90,40.6
2010-06-04,89,40.17
2010-06-11,93,41.4
2010-06-18,93,42.48
2010-06-25,95,41.29
2010-07-02,90,40.52
2010-07-09,88,42.48
2010-07-16,91,41.83
2010-07-23,92,45.24
2010-07-30,90,44.27
2010-08-06,92,45.48
2010-08-13,85,43.26
2010-08-20,90,43.12
2010-08-27,91,43.73
2010-09-03,86,45.54
2010-09-10,88,45.07
2010-09-17,90,46.01
2010-09-24,87,46.55
2010-10-01,92,48.01
2010-10-08,86,48.24
2010-10-15,88,48.97
2010-10-22,89,49.87
2010-10-29,86,54.05
2010-11-05,91,56.58
2010-11-12,86,54.84
2010-11-19,87,55.8
2010-11-26,85,58.2
2010-12-03,81,60.55
2010-12-10,82,60.08
2010-12-17,78,59.22
2010-12-31,82,39.25
2011-01-07,85,39.31
2011-01-14,81,40.33
2011-01-21,86,40.42
2011-01-28,85,39.01
2011-02-04,83,41.65
2011-02-11,86,43.71
2011-02-18,83,43.12
2011-02-25,84,42.14
2011-03-04,84,42.47
2011-03-11,79,41.99
2011-03-18,81,40.99
2011-03-25,81,42.66
2011-04-01,84,44.62
2011-04-08,85,43.38
2011-04-15,83,44.79
2011-04-29,83,46.04
2011-05-06,79,44.62
2011-05-13,80,43.57
2011-05-20,86,42.61
2011-05-27,86,42.65
2011-06-03,82,42.33
2011-06-10,81,41.55
2011-06-17,82,40.9
2011-06-24,84,42.52
2011-07-01,80,45.63
2011-07-08,80,45.64
2011-07-15,84,43.94
2011-07-22,86,44.61
2011-07-29,92,42.5
2011-08-05,92,37.04
2011-08-12,89,38.27
2011-08-19,91,34.87
2011-08-26,85,36.9
2011-09-02,85,36.69
2011-09-09,83,36.38
2011-09-16,83,38.44
2011-09-23,85,32.92
2011-09-30,87,32.97
2011-10-07,85,35.46
2011-10-14,81,38.16
2011-10-21,89,38.45
2011-10-28,87,40.99
2011-11-04,81,40.79
2011-11-11,84,41.91
2011-11-18,85,40.34
2011-11-25,85,37.88
2011-12-02,85,42.62
2011-12-09,81,42.81
2011-12-16,82,40.56
2011-12-23,81,42.04
2011-12-30,83,42.1
2012-01-06,86,43.02
2012-01-13,82,46.02
2012-01-20,84,45.67
2012-01-27,83,46.55
2012-02-03,84,48.2
2012-02-10,79,47.77
2012-02-17,80,48.73
2012-02-24,82,48.25
2012-03-02,83,47.49
2012-03-09,85,48.12
2012-03-16,82,48.65
2012-03-23,83,47.76
2012-03-30,85,48.51
2012-04-13,88,47.65
2012-04-20,87,48.99
2012-04-27,82,50.62
2012-05-04,85,50.14
2012-05-11,82,50.28
2012-05-18,81,48.3
2012-05-25,81,49.22
2012-06-01,80,48.72
2012-06-08,83,51.87
2012-06-15,81,51.42
2012-06-22,83,50.31
2012-06-29,74,49.91
2012-07-06,79,33.91
2012-07-13,77,33.25
2012-07-20,82,33.79
2012-07-27,85,31.69
2012-08-03,75,31.17
2012-08-10,77,32.55
2012-08-17,80,34.1
2012-08-24,82,34.46
2012-08-31,81,34.31
2012-09-07,81,35.48
2012-09-14,82,36.14
2012-09-21,79,36.24
2012-09-28,80,35.45
2012-10-05,83,35.09
2012-10-12,78,34.11
2012-10-19,77,34.04
2012-10-26,78,35.82
2012-11-02,75,36.6
2012-11-09,77,36.04
2012-11-16,77,35.25
2012-11-23,77,37.26
2012-11-30,75,37.33
2012-12-07,75,37.73
2012-12-14,73,37.32
2012-12-21,73,37.34
2012-12-28,71,37.08
2013-01-04,77,38.92
2013-01-11,78,38.77
2013-01-18,80,39.36
2013-01-25,76,41.07
2013-02-01,77,41.47
2013-02-08,74,41.46
2013-02-15,84,41.91
2013-02-22,83,42.24
2013-03-01,80,41.49
2013-03-08,91,42.42
2013-03-15,84,42.81
2013-03-22,85,42.75
2013-04-05,85,40.99
2013-04-12,87,40.95
2013-04-19,86,40.2
2013-04-26,88,40.54
2013-05-03,84,40.87
2013-05-10,83,41.84
2013-05-17,82,43.36
2013-05-24,84,42.93
2013-05-31,83,43.15
2013-06-07,84,43.1
2013-06-14,89,42.76
2013-06-21,82,40.38
2013-06-28,79,42.3
2013-07-05,80,44.15
2013-07-12,83,45.33
2013-07-19,84,45.81
2013-07-26,79,45.76
2013-08-02,82,47.78
2013-08-09,80,45.42
2013-08-16,85,43.43
2013-08-23,79,44.25
2013-08-30,79,42.92
2013-09-06,78,43.98
2013-09-13,78,45.14
2013-09-20,75,46
2013-09-27,80,45.64
2013-10-04,81,44.98
2013-10-11,79,45.43
2013-10-18,80,46.07
2013-10-25,79,47.09
2013-11-01,78,47.8
2013-11-08,80,48.53
2013-11-15,80,49.25
2013-11-22,75,49.75
2013-11-29,75,49.22
2013-12-06,79,49.48
2013-12-13,76,49.28
2013-12-20,76,52.03
2013-12-27,72,52.45
2014-01-03,74,52.17
2014-01-10,77,52.53
2014-01-17,74,52.02
2014-01-24,77,49.63
2014-01-31,71,49.42
2014-02-07,74,49.66
2014-02-14,75,51.38
2014-02-21,76,52.35
2014-02-28,77,53.24
2014-03-07,70,54.15
2014-03-14,75,52.62
2014-03-21,75,52.92
2014-03-28,76,51.33
2014-04-04,75,51.4
2014-04-11,76,50.32
2014-04-25,81,51.49
