"Date","WLP","Price"
2008-10-24,31,40.4
2008-10-31,43,38.87
2008-11-07,32,38.71
2008-11-14,46,35.24
2008-11-21,38,30.08
2008-11-28,26,35.6
2008-12-05,43,36
2008-12-12,40,36.62
2008-12-19,48,42.26
2008-12-26,39,40.7
2009-01-02,40,43.85
2009-01-09,50,42.56
2009-01-16,63,37.89
2009-01-23,39,40.13
2009-01-30,44,41.45
2009-02-06,48,45.71
2009-02-13,33,43.75
2009-02-20,34,41.45
2009-02-27,39,33.92
2009-03-06,42,31.41
2009-03-13,48,36.8
2009-03-20,55,35.37
2009-03-27,38,36.42
2009-04-03,46,38.44
2009-04-17,59,42.41
2009-04-24,43,40.94
2009-05-01,36,42.38
2009-05-08,49,48.86
2009-05-15,37,46.88
2009-05-22,27,44.75
2009-05-29,29,46.57
2009-06-05,31,47.81
2009-06-12,38,46.72
2009-06-19,51,50.93
2009-06-26,42,51.34
2009-07-10,50,49.81
2009-07-17,44,49.99
2009-07-24,36,52.54
2009-07-31,41,52.64
2009-08-07,49,51.4
2009-08-14,30,52.19
2009-08-21,34,54.64
2009-08-28,38,53.72
2009-09-04,31,54.17
2009-09-11,42,54.03
2009-09-18,42,54.4
2009-09-25,49,49.6
2009-10-02,36,45.92
2009-10-09,30,46.33
2009-10-16,45,46.16
2009-10-23,34,46.03
2009-10-30,31,46.76
2009-11-06,45,51
2009-11-13,34,52.41
2009-11-20,51,52.14
2009-11-27,37,54.24
2009-12-04,43,53.88
2009-12-11,30,56.51
2009-12-18,38,58.31
2010-01-08,39,63.94
2010-01-15,35,66.65
2010-01-22,37,65.1
2010-01-29,38,63.72
2010-02-05,31,61.69
2010-02-12,29,59.33
2010-02-19,34,58.47
2010-02-26,30,61.87
2010-03-05,34,62.25
2010-03-12,35,62.58
2010-03-19,46,65.07
2010-03-26,49,63.05
2010-04-09,33,61.26
2010-04-16,37,59.08
2010-04-23,35,57.98
2010-04-30,40,53.8
2010-05-07,42,50.94
2010-05-14,38,53.09
2010-05-21,39,51.25
2010-05-28,36,51.3
2010-06-04,37,54.14
2010-06-11,28,52.65
2010-06-18,31,55.22
2010-06-25,31,51.75
2010-07-02,37,47.43
2010-07-09,24,51.17
2010-07-16,42,51.39
2010-07-23,30,51.99
2010-07-30,32,50.72
2010-08-06,40,55.05
2010-08-13,28,51.79
2010-08-20,39,49.89
2010-08-27,31,50.87
2010-09-03,33,53.25
2010-09-10,31,54.83
2010-09-17,33,54.06
2010-09-24,38,56.69
2010-10-01,37,56.11
2010-10-08,38,55.01
2010-10-15,36,57.78
2010-10-22,25,57.54
2010-10-29,27,54.34
2010-11-05,22,57.35
2010-11-12,39,58.08
2010-11-19,32,58.61
2010-11-26,34,57.1
2010-12-03,31,57.02
2010-12-10,27,57.68
2010-12-17,26,55.93
2010-12-31,25,56.86
2011-01-07,32,60.46
2011-01-14,36,63.55
2011-01-21,32,61.45
2011-01-28,31,62.66
2011-02-04,28,65.07
2011-02-11,29,65.25
2011-02-18,28,67.4
2011-02-25,32,66.52
2011-03-04,38,67.99
2011-03-11,35,67.98
2011-03-18,31,66.65
2011-03-25,39,69.34
2011-04-01,30,70.75
2011-04-08,38,68.95
2011-04-15,24,69.41
2011-04-29,46,76.79
2011-05-06,34,77.96
2011-05-13,31,80.25
2011-05-20,47,80.53
2011-05-27,32,77.58
2011-06-03,27,76.68
2011-06-10,39,76.34
2011-06-17,34,76.24
2011-06-24,37,77.33
2011-07-01,36,80.79
2011-07-08,33,78
2011-07-15,38,74.9
2011-07-22,28,74.41
2011-07-29,30,67.55
2011-08-05,31,61.95
2011-08-12,36,60.38
2011-08-19,31,58.09
2011-08-26,38,60.43
2011-09-02,28,62.19
2011-09-09,27,61.81
2011-09-16,31,67.7
2011-09-23,30,64.05
2011-09-30,29,65.28
2011-10-07,26,65.79
2011-10-14,24,67.07
2011-10-21,33,66.65
2011-10-28,29,68.68
2011-11-04,29,67.42
2011-11-11,33,70.75
2011-11-18,31,68.52
2011-11-25,25,63.7
2011-12-02,30,68.91
2011-12-09,28,66.5
2011-12-16,25,64.95
2011-12-23,24,68.05
2011-12-30,20,66.25
2012-01-06,29,70.73
2012-01-13,32,71.91
2012-01-20,28,71.78
2012-01-27,32,65.42
2012-02-03,28,65.07
2012-02-10,29,64.17
2012-02-17,28,66.05
2012-02-24,21,66.11
2012-03-02,31,65.78
2012-03-09,32,64.88
2012-03-16,30,67.33
2012-03-23,25,66.68
2012-03-30,26,73.8
2012-04-13,23,69.25
2012-04-20,28,70.68
2012-04-27,28,68.63
2012-05-04,25,66.26
2012-05-11,30,66.11
2012-05-18,23,65.08
2012-05-25,26,67.9
2012-06-01,20,66.36
2012-06-08,20,69.07
2012-06-15,24,70.77
2012-06-22,31,69.76
2012-06-29,26,63.79
2012-07-06,32,59.91
2012-07-13,32,62.36
2012-07-20,25,61.94
2012-07-27,31,55.12
2012-08-03,32,55.04
2012-08-10,24,57.91
2012-08-17,35,57.26
2012-08-24,31,57.66
2012-08-31,34,59.87
2012-09-07,29,60.29
2012-09-14,23,58.35
2012-09-21,21,59.26
2012-09-28,24,58.01
2012-10-05,31,61.22
2012-10-12,20,61.83
2012-10-19,24,61.82
2012-10-26,23,61.29
2012-11-02,23,61.14
2012-11-09,31,56.16
2012-11-16,33,55.15
2012-11-23,23,56.06
2012-11-30,24,55.9
2012-12-07,20,57.78
2012-12-14,23,58.49
2012-12-21,23,61.31
2012-12-28,19,59.89
2013-01-04,20,59.29
2013-01-11,23,61.75
2013-01-18,22,62.75
2013-01-25,38,66.17
2013-02-01,31,65.32
2013-02-08,27,66.28
2013-02-15,27,62.7
2013-02-22,24,61.92
2013-03-01,26,61.88
2013-03-08,28,63.03
2013-03-15,27,64.98
2013-03-22,30,64.03
2013-04-05,33,67.99
2013-04-12,31,69.79
2013-04-19,29,68.71
2013-04-26,31,72.87
2013-05-03,27,73.82
2013-05-10,24,75.89
2013-05-17,30,77.81
2013-05-24,28,76.98
2013-05-31,25,76.97
2013-06-07,26,77.39
2013-06-14,28,78.16
2013-06-21,20,79.4
2013-06-28,28,81.84
2013-07-05,24,81.96
2013-07-12,25,85.4
2013-07-19,29,86.8
2013-07-26,31,84.79
2013-08-02,24,86.08
2013-08-09,30,87.39
2013-08-16,28,86.05
2013-08-23,29,86.58
2013-08-30,23,85.14
2013-09-06,20,87.29
2013-09-13,26,89.09
2013-09-20,29,82.33
2013-09-27,24,83.95
2013-10-04,24,87.21
2013-10-11,28,88.64
2013-10-18,29,86.38
2013-10-25,28,84.1
2013-11-01,26,85.36
2013-11-08,25,87.28
2013-11-15,31,90.1
2013-11-22,30,93.03
2013-11-29,33,92.88
2013-12-06,23,90.69
2013-12-13,23,87.75
2013-12-20,28,89.59
2013-12-27,19,92.17
2014-01-03,19,90.63
2014-01-10,33,91.99
2014-01-17,30,85.49
2014-01-24,27,84.25
2014-01-31,27,86
2014-02-07,32,84.68
2014-02-14,31,87.8
2014-02-21,23,88.55
2014-02-28,31,90.59
2014-03-07,28,91.53
2014-03-14,24,93.35
2014-03-21,36,99.77
2014-03-28,38,99.39
2014-04-04,38,97.59
2014-04-11,34,95.05
2014-04-25,36,96
