"Date","sell.USB","Price"
2013-03-15,46,34.22
2013-03-22,53,33.57
2013-04-05,41,33.36
2013-04-12,59,34.08
2013-04-19,68,32.51
2013-04-26,55,33.13
2013-05-03,54,32.77
2013-05-10,57,33.49
2013-05-17,42,34.67
2013-05-24,69,35.41
2013-05-31,66,35.06
2013-06-07,34,35.87
2013-06-14,56,35.01
2013-06-21,52,35.57
2013-06-28,34,36.15
2013-07-05,49,36.76
2013-07-12,49,37.66
2013-07-19,76,37.26
2013-07-26,58,37.54
2013-08-02,49,37.77
2013-08-09,71,37.17
2013-08-16,69,36.92
2013-08-23,77,37.32
2013-08-30,62,36.13
2013-09-06,69,36.47
2013-09-13,68,37.14
2013-09-20,100,37.85
2013-09-27,80,36.5
2013-10-04,51,36.62
2013-10-11,66,37.05
2013-10-18,71,37.92
2013-10-25,58,37.83
2013-11-01,44,37.37
2013-11-08,47,38.08
2013-11-15,48,38.31
2013-11-22,59,38.95
2013-11-29,63,39.22
2013-12-06,68,39.66
2013-12-13,69,39.06
2013-12-20,47,40.05
2013-12-27,89,40.37
2014-01-03,75,40.06
2014-01-10,56,41.02
2014-01-17,66,41.45
2014-01-24,60,40.14
2014-01-31,61,39.73
2014-02-07,84,40
2014-02-14,75,40.79
2014-02-21,57,40.34
2014-02-28,48,41.14
2014-03-07,45,42.17
2014-03-14,41,41.54
2014-03-21,57,43.02
2014-03-28,63,42.3
2014-04-04,60,42.55
2014-04-11,59,40.51
2014-04-25,59,40.22
