"Date","ONEOK","Price"
2009-07-31,27,33.1
2009-08-07,39,34.18
2009-08-14,52,34.72
2009-08-21,55,35.46
2009-08-28,53,34.4
2009-09-04,36,33.49
2009-09-11,34,34.03
2009-09-18,38,36.76
2009-09-25,49,35.71
2009-10-02,33,35.18
2009-10-09,42,37.14
2009-10-16,44,37.86
2009-10-23,32,37.98
2009-10-30,24,36.21
2009-11-06,37,37.62
2009-11-13,42,39.03
2009-11-20,39,39.08
2009-11-27,20,39.68
2009-12-04,34,40.79
2009-12-11,37,42.39
2009-12-18,43,42.74
2010-01-08,46,45.4
2010-01-15,37,44.92
2010-01-22,36,44.79
2010-01-29,35,42.19
2010-02-05,44,40.75
2010-02-12,47,41.67
2010-02-19,41,43
2010-02-26,49,44.33
2010-03-05,48,46.89
2010-03-12,58,46.66
2010-03-19,53,45.95
2010-03-26,53,45.3
2010-04-09,100,47.58
2010-04-16,62,47.45
2010-04-23,49,50.04
2010-04-30,52,49.14
2010-05-07,79,45.99
2010-05-14,53,47.24
2010-05-21,66,43.22
2010-05-28,37,44.47
2010-06-04,38,43.37
2010-06-11,38,45.3
2010-06-18,64,47
2010-06-25,47,45.21
2010-07-02,72,42.29
2010-07-09,49,45.36
2010-07-16,48,45.08
2010-07-23,29,45.96
2010-07-30,56,46.53
2010-08-06,52,46.66
2010-08-13,34,45.2
2010-08-20,35,43.99
2010-08-27,35,44.31
2010-09-03,53,44.83
2010-09-10,43,44.46
2010-09-17,40,43.94
2010-09-24,34,44.83
2010-10-01,43,45.64
2010-10-08,42,48.13
2010-10-15,30,49.33
2010-10-22,39,50.1
2010-10-29,40,49.82
2010-11-05,33,51.12
2010-11-12,25,51.91
2010-11-19,24,50.86
2010-11-26,26,51.2
2010-12-03,38,52.98
2010-12-10,17,54.26
2010-12-17,35,54.16
2010-12-31,27,55.47
2011-01-07,36,55.82
2011-01-14,35,57.77
2011-01-21,45,58.51
2011-01-28,43,58.75
2011-02-04,38,59.01
2011-02-11,35,60.32
2011-02-18,54,64.65
2011-02-25,42,64.01
2011-03-04,47,64.53
2011-03-11,49,65.33
2011-03-18,46,64.04
2011-03-25,39,66.06
2011-04-01,56,67.37
2011-04-08,49,65.45
2011-04-15,54,65.05
2011-04-29,43,69.94
2011-05-06,61,69.48
2011-05-13,43,69.22
2011-05-20,50,70.57
2011-05-27,43,70.01
2011-06-03,37,69.7
2011-06-10,39,69.04
2011-06-17,53,69.37
2011-06-24,51,73.27
2011-07-01,51,75.35
2011-07-08,60,75.25
2011-07-15,52,74.4
2011-07-22,64,75.65
2011-07-29,52,72.79
2011-08-05,60,63.7
2011-08-12,56,66.32
2011-08-19,47,65.76
2011-08-26,55,68.8
2011-09-02,39,68.55
2011-09-09,41,66.45
2011-09-16,44,68.27
2011-09-23,50,64.37
2011-09-30,43,66.04
2011-10-07,53,67.92
2011-10-14,43,70.66
2011-10-21,36,73.66
2011-10-28,44,76.7
2011-11-04,46,77.53
2011-11-11,45,78.71
2011-11-18,42,79.66
2011-11-25,21,77.73
2011-12-02,34,83.12
2011-12-09,43,83.51
2011-12-16,34,82.06
2011-12-23,43,86.49
2011-12-30,36,86.69
2012-01-06,38,87.21
2012-01-13,46,88.81
2012-01-20,40,87.92
2012-01-27,42,85.1
2012-02-03,37,81.7
2012-02-10,43,81.01
2012-02-17,36,82.09
2012-02-24,39,83.87
2012-03-02,56,82.79
2012-03-09,38,83.26
2012-03-16,31,82.85
2012-03-23,35,82.18
2012-03-30,33,81.66
2012-04-13,53,80.22
2012-04-20,47,82.83
2012-04-27,46,85.49
2012-05-04,47,86.62
2012-05-11,39,86.45
2012-05-18,40,81.57
2012-05-25,38,83.6
2012-06-01,36,79.8
2012-06-08,57,41.28
2012-06-15,46,42.91
2012-06-22,51,42.59
2012-06-29,35,42.31
2012-07-06,45,42.78
2012-07-13,38,43.29
2012-07-20,51,44.06
2012-07-27,50,45.32
2012-08-03,60,44.72
2012-08-10,54,44.75
2012-08-17,38,44.3
2012-08-24,49,44.59
2012-08-31,46,44.53
2012-09-07,29,45.75
2012-09-14,44,47.09
2012-09-21,49,47.11
2012-09-28,39,48.31
2012-10-05,35,49.39
2012-10-12,41,47.8
2012-10-19,33,47.62
2012-10-26,36,47.14
2012-11-02,37,45.69
2012-11-09,29,44.92
2012-11-16,37,45.66
2012-11-23,20,45.98
2012-11-30,37,44.87
2012-12-07,35,43
2012-12-14,51,42.9
2012-12-21,34,43.41
2012-12-28,29,42.07
2013-01-04,33,44.37
2013-01-11,37,44.91
2013-01-18,39,46.94
2013-01-25,40,47.42
2013-02-01,43,47.32
2013-02-08,38,47.82
2013-02-15,37,47.75
2013-02-22,51,47.41
2013-03-01,62,44.63
2013-03-08,35,45.24
2013-03-15,33,44.97
2013-03-22,28,46.22
2013-04-05,47,47.73
2013-04-12,52,49.4
2013-04-19,38,51.35
2013-04-26,39,50.82
2013-05-03,42,47.1
2013-05-10,51,47.92
2013-05-17,37,49.25
2013-05-24,46,47.15
2013-05-31,37,45.14
2013-06-07,42,44.72
2013-06-14,44,44.34
2013-06-21,48,41.47
2013-06-28,44,41.31
2013-07-05,46,40
2013-07-12,35,43.17
2013-07-19,41,43.55
2013-07-26,61,52.16
2013-08-02,54,52.57
2013-08-09,45,52.43
2013-08-16,47,50.14
2013-08-23,40,51.93
2013-08-30,46,51.44
2013-09-06,35,51.28
2013-09-13,33,51.12
2013-09-20,37,53.12
2013-09-27,31,53.04
2013-10-04,49,53.88
2013-10-11,48,54.94
2013-10-18,35,54.96
2013-10-25,43,56.39
2013-11-01,40,56.4
2013-11-08,45,57.9
2013-11-15,32,57.8
2013-11-22,39,58.95
2013-11-29,24,58.07
2013-12-06,40,59.68
2013-12-13,35,58.65
2013-12-20,35,59.75
2013-12-27,24,60.88
2014-01-03,32,61.32
2014-01-10,46,64.36
2014-01-17,50,67.13
2014-01-24,46,65.36
2014-01-31,42,68.49
2014-02-07,53,59.08
2014-02-14,38,59.96
2014-02-21,38,60.71
2014-02-28,54,59.14
2014-03-07,39,58.96
2014-03-14,37,58.8
2014-03-21,37,59.43
2014-03-28,31,58.49
2014-04-04,38,59.77
2014-04-11,41,58.51
2014-04-25,38,62.69
