"Date","buy.LEG","Price"
2013-08-09,53,30.91
2013-08-16,52,30.26
2013-08-23,47,29.67
2013-08-30,54,28.92
2013-09-06,45,29.39
2013-09-13,59,30.65
2013-09-20,46,30.55
2013-09-27,49,30.36
2013-10-04,57,29.6
2013-10-11,53,29.7
2013-10-18,50,29.3
2013-10-25,65,30.35
2013-11-01,44,29.5
2013-11-08,50,29.38
2013-11-15,64,29.82
2013-11-22,62,30.07
2013-11-29,72,30.21
2013-12-06,63,29.66
2013-12-13,74,29.15
2013-12-20,88,30.55
2013-12-27,66,31.06
2014-01-03,98,30.71
2014-01-10,69,30.38
2014-01-17,51,29.75
2014-01-24,51,29.78
2014-01-31,44,30.02
2014-02-07,47,30.36
2014-02-14,55,31.09
2014-02-21,45,31.39
2014-02-28,57,32.05
2014-03-07,61,32.09
2014-03-14,47,31.47
2014-03-21,57,31.95
2014-03-28,50,32.23
2014-04-04,56,32.57
2014-04-11,56,31.96
2014-04-25,69,31.97
