"Date","Emerson.Electric","Price"
2006-08-04,43,80.63
2006-08-11,38,79.37
2006-08-18,27,82.1
2006-08-25,30,80.3
2006-09-01,34,82.69
2006-09-08,28,81.17
2006-09-15,43,82.68
2006-09-22,42,80.15
2006-09-29,31,83.86
2006-10-06,28,84.77
2006-10-13,43,84.85
2006-10-20,51,84.39
2006-10-27,28,84.16
2006-11-03,39,82.21
2006-11-10,40,87.56
2006-11-17,32,88.15
2006-11-24,38,89
2006-12-01,32,85.21
2006-12-08,29,86.11
2006-12-15,34,42.23
2006-12-22,39,44.04
2006-12-29,19,44.09
2007-01-05,38,43.48
2007-01-12,24,44.05
2007-01-19,31,44.41
2007-01-26,26,43.84
2007-02-02,41,45.2
2007-02-09,23,44.31
2007-02-16,28,45.32
2007-02-23,40,45.31
2007-03-02,33,42.54
2007-03-09,31,43.5
2007-03-16,26,42.23
2007-03-23,16,43.9
2007-03-30,41,43.09
2007-04-13,25,43.22
2007-04-20,33,44.96
2007-04-27,33,47.88
2007-05-04,28,46.86
2007-05-11,31,46.15
2007-05-18,25,45.92
2007-05-25,30,47.27
2007-06-01,32,48.8
2007-06-08,31,47.69
2007-06-15,25,48.7
2007-06-22,27,47.74
2007-06-29,39,46.8
2007-07-06,27,48.07
2007-07-13,46,49.81
2007-07-20,26,49.94
2007-07-27,28,47.17
2007-08-03,33,46.57
2007-08-10,34,47.09
2007-08-17,35,46.31
2007-08-24,33,47.78
2007-08-31,34,49.23
2007-09-07,39,47.38
2007-09-14,34,48.66
2007-09-21,39,50.2
2007-09-28,46,53.22
2007-10-05,28,54.27
2007-10-12,40,53.09
2007-10-19,33,50.5
2007-10-26,32,51.4
2007-11-02,31,51.83
2007-11-09,32,54.79
2007-11-16,29,54.97
2007-11-23,26,54.68
2007-11-30,33,57.02
2007-12-07,36,58.32
2007-12-14,34,56.21
2007-12-21,22,55.83
2007-12-28,22,57.03
2008-01-04,29,53.85
2008-01-11,38,51.39
2008-01-18,35,49.19
2008-01-25,28,51.52
2008-02-01,34,52.22
2008-02-08,33,50.84
2008-02-15,36,52.26
2008-02-22,32,51.81
2008-02-29,30,50.96
2008-03-07,32,49.46
2008-03-14,35,48.64
2008-03-28,29,51.18
2008-04-04,31,53.83
2008-04-11,26,50.19
2008-04-18,33,53.2
2008-04-25,40,53.74
2008-05-02,24,53.77
2008-05-09,27,54.18
2008-05-16,29,57.41
2008-05-23,35,56.08
2008-05-30,15,58.18
2008-06-06,25,55.93
2008-06-13,30,55.92
2008-06-20,28,53.91
2008-06-27,22,48.17
2008-07-11,32,49.34
2008-07-18,31,50.5
2008-07-25,25,49.83
2008-08-01,28,48.41
2008-08-08,25,49.03
2008-08-15,34,49.43
2008-08-22,27,48.4
2008-08-29,31,46.8
2008-09-05,20,44.22
2008-09-12,39,44.2
2008-09-19,22,43.84
2008-09-26,24,41.32
2008-10-03,34,38.2
2008-10-10,39,33.38
2008-10-17,39,34.04
2008-10-24,34,30.63
2008-10-31,44,32.73
2008-11-07,30,32.18
2008-11-14,31,33.4
2008-11-21,35,32.18
2008-11-28,37,35.89
2008-12-05,41,31.29
2008-12-12,34,32.36
2008-12-19,28,34.02
2008-12-26,23,34.4
2009-01-02,29,37.95
2009-01-09,29,35.7
2009-01-16,36,33.65
2009-01-23,38,32.79
2009-01-30,34,32.7
2009-02-06,34,33.43
2009-02-13,37,32.02
2009-02-20,36,29.2
2009-02-27,39,26.75
2009-03-06,34,25.17
2009-03-13,27,26.82
2009-03-20,33,26.8
2009-03-27,26,28.96
2009-04-03,32,31.96
2009-04-17,30,33.04
2009-04-24,35,33.6
2009-05-01,29,35.58
2009-05-08,31,36.46
2009-05-15,20,33.75
2009-05-22,26,32.18
2009-05-29,28,32.09
2009-06-05,31,35.2
2009-06-12,31,35.07
2009-06-19,30,32.76
2009-06-26,27,33.09
2009-07-10,29,31
2009-07-17,37,33.97
2009-07-24,31,36.8
2009-07-31,26,36.38
2009-08-07,36,35.64
2009-08-14,26,35.19
2009-08-21,36,36.02
2009-08-28,31,37.2
2009-09-04,27,37.41
2009-09-11,28,39.38
2009-09-18,33,41.12
2009-09-25,22,38.92
2009-10-02,31,38.31
2009-10-09,44,39.1
2009-10-16,36,39.12
2009-10-23,33,39.68
2009-10-30,28,37.75
2009-11-06,28,41.23
2009-11-13,33,41.77
2009-11-20,33,41.68
2009-11-27,38,41.5
2009-12-04,36,42.14
2009-12-11,29,42
2009-12-18,29,41.78
2010-01-08,27,44.06
2010-01-15,29,44.32
2010-01-22,26,42.08
2010-01-29,24,41.54
2010-02-05,30,45.15
2010-02-12,28,46.21
2010-02-19,29,48.08
2010-02-26,26,47.34
2010-03-05,25,48.49
2010-03-12,21,48.09
2010-03-19,25,48.62
2010-03-26,18,49.8
2010-04-09,27,50.8
2010-04-16,23,51.8
2010-04-23,25,52.74
2010-04-30,26,52.23
2010-05-07,29,48.47
2010-05-14,23,49.06
2010-05-21,27,45.93
2010-05-28,18,46.44
2010-06-04,18,44.97
2010-06-11,21,45.77
2010-06-18,20,47.47
2010-06-25,22,44.89
2010-07-02,31,43.42
2010-07-09,23,46.42
2010-07-16,22,45.22
2010-07-23,27,50.57
2010-07-30,25,49.54
2010-08-06,21,50.37
2010-08-13,26,48.23
2010-08-20,33,46.68
2010-08-27,26,46.88
2010-09-03,27,49.76
2010-09-10,23,49.81
2010-09-17,20,51.22
2010-09-24,19,53.46
2010-10-01,22,53.67
2010-10-08,24,53.42
2010-10-15,15,53.67
2010-10-22,17,54.51
2010-10-29,15,54.9
2010-11-05,19,57.28
2010-11-12,19,55.37
2010-11-19,21,55.75
2010-11-26,18,55.6
2010-12-03,24,56.84
2010-12-10,20,57.64
2010-12-17,22,58.33
2010-12-31,12,57.17
2011-01-07,18,56.83
2011-01-14,21,58.16
2011-01-21,17,57.54
2011-01-28,22,56.96
2011-02-04,19,60.59
2011-02-11,22,61.56
2011-02-18,22,61.78
2011-02-25,20,59.97
2011-03-04,23,59.74
2011-03-11,20,59.41
2011-03-18,21,57.14
2011-03-25,25,57.82
2011-04-01,15,59
2011-04-08,17,57.75
2011-04-15,20,57.55
2011-04-29,19,60.77
2011-05-06,23,55.66
2011-05-13,20,53.53
2011-05-20,19,54.09
2011-05-27,21,54.12
2011-06-03,17,51.22
2011-06-10,17,51.37
2011-06-17,20,52.06
2011-06-24,17,53.57
2011-07-01,21,57.09
2011-07-08,18,57.19
2011-07-15,19,55.37
2011-07-22,20,55.1
2011-07-29,22,49.09
2011-08-05,25,45.39
2011-08-12,22,46.3
2011-08-19,23,42.46
2011-08-26,19,45.41
2011-09-02,20,44.03
2011-09-09,19,43.4
2011-09-16,20,45.74
2011-09-23,21,42.33
2011-09-30,17,41.31
2011-10-07,16,44.01
2011-10-14,19,47.51
2011-10-21,20,47.42
2011-10-28,16,49.61
2011-11-04,22,51.26
2011-11-11,19,51.36
2011-11-18,16,49.71
2011-11-25,20,47.11
2011-12-02,19,51.36
2011-12-09,20,51.54
2011-12-16,16,49.13
2011-12-23,18,46.29
2011-12-30,17,46.59
2012-01-06,14,47.15
2012-01-13,22,48.54
2012-01-20,17,49.33
2012-01-27,17,51.67
2012-02-03,17,52.46
2012-02-10,23,52.2
2012-02-17,19,51.5
2012-02-24,17,50.88
2012-03-02,13,50.23
2012-03-09,15,49.99
2012-03-16,14,52.37
2012-03-23,14,51.21
2012-03-30,16,52.18
2012-04-13,14,50.09
2012-04-20,14,50.27
2012-04-27,12,52.67
2012-05-04,21,48.73
2012-05-11,16,48.18
2012-05-18,19,45.93
2012-05-25,14,47.28
2012-06-01,16,45.63
2012-06-08,17,46.69
2012-06-15,16,46.67
2012-06-22,16,45.71
2012-06-29,19,46.58
2012-07-06,15,45.16
2012-07-13,17,44.94
2012-07-20,15,46.25
2012-07-27,17,48.03
2012-08-03,19,48.5
2012-08-10,19,51.25
2012-08-17,17,52.3
2012-08-24,17,51.72
2012-08-31,20,50.72
2012-09-07,18,49.8
2012-09-14,17,49.81
2012-09-21,15,50.1
2012-09-28,14,48.27
2012-10-05,16,49.19
2012-10-12,17,48.35
2012-10-19,16,48.25
2012-10-26,17,47.84
2012-11-02,11,49.81
2012-11-09,18,50.15
2012-11-16,16,48.19
2012-11-23,15,49.12
2012-11-30,14,50.23
2012-12-07,17,50.85
2012-12-14,15,51.75
2012-12-21,13,53.01
2012-12-28,12,52.14
2013-01-04,16,55.07
2013-01-11,14,55.04
2013-01-18,17,55.89
2013-01-25,17,57.47
2013-02-01,19,58.08
2013-02-08,15,57.5
2013-02-15,15,58.29
2013-02-22,17,57.27
2013-03-01,14,56.07
2013-03-08,17,57.29
2013-03-15,15,57.59
2013-03-22,15,56.79
2013-04-05,14,55.73
2013-04-12,14,55.83
2013-04-19,15,53.48
2013-04-26,16,54.44
2013-05-03,15,56.82
2013-05-10,13,57.96
2013-05-17,15,59.36
2013-05-24,14,56.94
2013-05-31,13,57.46
2013-06-07,14,57.63
2013-06-14,11,56.14
2013-06-21,12,54.76
2013-06-28,15,54.54
2013-07-05,14,56.43
2013-07-12,14,57.22
2013-07-19,13,58.8
2013-07-26,15,59.8
2013-08-02,18,62.55
2013-08-09,15,61.9
2013-08-16,14,61.27
2013-08-23,14,61.96
2013-08-30,15,60.37
2013-09-06,14,61.47
2013-09-13,14,64.04
2013-09-20,15,64.92
2013-09-27,14,64.9
2013-10-04,15,63.97
2013-10-11,14,65.35
2013-10-18,13,65.64
2013-10-25,15,67.22
2013-11-01,14,67.03
2013-11-08,15,66.97
2013-11-15,17,67.97
2013-11-22,17,68
2013-11-29,15,66.99
2013-12-06,14,67.18
2013-12-13,13,66.2
2013-12-20,14,69.34
2013-12-27,11,70.21
2014-01-03,14,69.37
2014-01-10,13,68.55
2014-01-17,15,69.12
2014-01-24,15,65.26
2014-01-31,11,65.94
2014-02-07,16,65.19
2014-02-14,13,64.51
2014-02-21,17,63.42
2014-02-28,17,65.26
2014-03-07,16,65.6
2014-03-14,13,62.56
2014-03-21,11,65.35
2014-03-28,12,66.76
2014-04-04,14,67.27
2014-04-11,16,65.4
2014-04-25,14,68.44
